id,source,target,value
e0,n1402,n0,whole
e1,n1402,n1,
e2,n1402,n2,possible
e3,n1402,n3,different
e4,n1402,n4,great
e5,n1402,n5,big
e6,n1402,n6,physical
e7,n1402,n7,normal
e8,n1402,n8,observational
e9,n1402,n9,attractive
e10,n1402,n10,constant
e11,n1402,n11,repulsive
e12,n1402,n12,dark
e13,n1402,n13,
e14,n1402,n14,better
e15,n1402,n15,early
e16,n1402,n16,
e17,n1402,n17,good
e18,n1402,n18,
e19,n1402,n19,interesting
e20,n1402,n20,
e21,n1402,n21,
e22,n1402,n22,
e23,n1402,n23,
e24,n1402,n24,
e25,n1402,n25,quantum
e26,n1402,n26,
e27,n1402,n27,optimistic
e28,n1402,n28,
e29,n1402,n29,reasonable
e30,n1402,n30,observational
e31,n1402,n31,different
e32,n1402,n32,different
e33,n1402,n33,
e34,n1402,n34,
e35,n1402,n35,other
e36,n1402,n36,testable
e37,n1402,n37,
e38,n1402,n38,arbitrary
e39,n1402,n39,decimal
e40,n1402,n40,
e41,n1402,n41,actual
e42,n1402,n42,
e43,n1402,n43,interesting
e44,n1402,n44,
e45,n1402,n45,
e46,n1402,n46,existing
e47,n1402,n47,future
e48,n1402,n48,principle
e49,n1402,n49,distant
e50,n1402,n50,historical
e51,n1402,n51,
e52,n1402,n52,tiny
e53,n1402,n53,
e54,n1402,n54,
e55,n1402,n55,
e56,n1402,n56,
e57,n1402,n57,
e58,n1402,n58,few
e59,n1402,n59,observed
e60,n1402,n60,ridiculous
e61,n1402,n61,
e62,n1402,n62,fundamental
e63,n1402,n63,special
e64,n1402,n64,
e65,n1402,n65,young
e66,n1402,n66,
e67,n1402,n67,supernatural
e68,n1402,n68,broad
e69,n1402,n69,new
e70,n1402,n70,many
e71,n1402,n71,
e72,n1402,n72,unreasonable
e73,n1402,n73,
e74,n1402,n74,biological
e75,n1402,n75,
e76,n1402,n76,Aristotelian
e77,n1402,n77,many
e78,n1402,n78,
e79,n1402,n79,new
e80,n1402,n80,little
e81,n1402,n81,other
e82,n1402,n82,whole
e83,n1402,n83,
e84,n1402,n84,crazy
e85,n1402,n85,real
e86,n1402,n86,
e87,n1402,n87,applied
e88,n1402,n88,
e89,n1402,n89,particular
e90,n1402,n90,
e91,n1402,n91,
e92,n1402,n92,
e93,n1402,n93,
e94,n1402,n94,quantum
e95,n1402,n95,
