id,name,group
n0,conversation,2
n1,Alex Garland,1
n2,world,2
n3,shimmer,2
n4,movie,2
n5,Annihilation,2
n6,reality,2
n7,question,2
n8,dream,2
n9,simulation,2
n10,kind,2
n11,beings,2
n12,today,2
n13,sorts,2
n14,planet,2
n15,layer,2
n16,atmosphere,2
n17,space,2
n18,planets,2
n19,stars,2
n20,quasars,2
n21,stuff,2
n22,objects,2
n23,matter,2
n24,universe,2
n25,problem,2
n26,opinion,2
n27,state,2
n28,nature,2
n29,way,2
n30,thing,2
n31,respects,2
n32,degree,2
n33,objective,2
n34,quantum mechanics,2
n35,mechanics,2
n36,life,2
n37,understanding,2
n38,brain,2
n39,information,2
n40,nerve,2
n41,guess,2
n42,gap,2
n43,ways,2
n44,direction,2
n45,topic,2
n46,drugs,2
n47,kinds,2
n48,chemicals,2
n49,perception,2
n50,distortion,2
n51,window,2
n52,daydreams,2
n53,interests,2
n54,reason,2
n55,moment,2
n56,drug,2
n57,experience,2
n58,premise,2
n59,starting,2
n60,point,2
n61,avenue,2
n62,shemer,2
n63,entity,2
n64,interpretation,2
n65,humans,2
n66,annihilation,2
n67,form,2
n68,aliens,2
n69,books,2
n70,cinema,2
n71,television,2
n72,mediums,2
n73,qualities,2
n74,federations,2
n75,resources,2
n76,water,2
n77,motivations,2
n78,idea,2
n79,alien,2
n80,clock,2
n81,speed,2
n82,Light,2
n83,relationship,2
n84,gravity,2
n85,laws,2
n86,physics,2
n87,timescale,2
n88,machine,2
n89,creature,2
n90,place,2
n91,preoccupation,2
n92,connection,2
n93,human,2
n94,Venn,2
n95,diagram,2
n96,view,2
n97,sense,2
n98,success,2
n99,imagination,2
n100,Life,2
n101,mechanism,2
n102,communication,2
n103,biologist,2
n104,biologists,2
n105,type,2
n106,questions,2
n107,notion,2
n108,ideas,2
n109,environment,2
n110,octopus,2
n111,color,2
n112,extent,2
n113,clocks,2
n114,evolution,2
n115,solution,2
n116,years,2
n117,civilization,2
n118,organism,2
n119,organisms,2
n120,earth,2
n121,process,2
n122,heat,2
n123,death,2
n124,thought,2
n125,processes,2
n126,bubble,2
n127,contact,2
n128,Stanley Kubrick,2
n129,chance,2
n130,future,2
n131,paper,2
n132,writer,2
n133,screen,2
n134,director,2
n135,seeds,2
n136,minds,2
n137,millions,2
n138,scientists,2
n139,step,2
n140,method,2
n141,series,2
n142,Ex Machina,2
n143,thousands,2
n144,olds,2
n145,I.,2
n146,reverse,2
n147,reaction,2
n148,layperson,2
n149,individual,2
n150,area,2
n151,science,2
n152,art,2
n153,Newton,2
n154,lay,2
n155,person,2
n156,thinking,2
n157,principles,2
n158,guy,2
n159,string,2
n160,theory,2
n161,areas,2
n162,fields,2
n163,athlete,2
n164,20s,2
n165,people,2
n166,implications,2
n167,means,2
n168,lots,2
n169,checks,2
n170,experiments,2
n171,shadows,2
n172,Plato,2
n173,Cave,2
n174,Mary,2
n175,room,2
n176,standing,2
n177,sentience,2
n178,consciousness,2
n179,subjectivity,2
n180,gender,2
n181,narrative,2
n182,shot,2
n183,construction,2
n184,Kubrick,2
n185,HAL 9000 square,2
n186,HAL 9000,2
n187,square,2
n188,specifics,2
n189,knowledge,2
n190,act,2
n191,generation,2
n192,fuel,2
n193,quantum physics,2
n194,quantum,2
n195,quantum computing,2
n196,computing,2
n197,intelligence,2
n198,A.I.,2
n199,depth,2
n200,physicists,2
n201,A.I. Nobody,2
n202,importance,2
n203,role,2
n204,Freud,2
n205,subconscious,2
n206,stage,2
n207,box,2
n208,spread,2
n209,discussions,2
n210,anxieties,2
n211,fear,2
n212,possibility,2
n213,risk,2
n214,system,2
n215,offspring,2
n216,subject,2
n217,structures,2
n218,societies,2
n219,dangers,2
n220,systems,2
n221,balances,2
n222,government,2
n223,rules,2
n224,good,2
n225,anxiety,2
n226,spectrum,2
n227,sadness,2
n228,birth,2
n229,generations,2
n230,counterpoint,2
n231,parents,2
n232,children,2
n233,regret,2
n234,past,2
n235,machines,2
n236,cross,2
n237,version,2
n238,example,2
n239,media,2
n240,algorithm,2
n241,flow,2
n242,algorithms,2
n243,bias,2
n244,echo,2
n245,chambers,2
n246,AI,2
n247,naivety,2
n248,society,2
n249,Silicon Valley,2
n250,source,2
n251,income,2
n252,advertisements,2
n253,concerns,2
n254,failures,2
n255,naivete,2
n256,word,2
n257,evil,2
n258,intent,2
n259,consequence,2
n260,company,2
n261,drive,2
n262,instances,2
n263,times,2
n264,intentions,2
n265,terms,2
n266,issues,2
n267,power,2
n268,wealth,2
n269,80s,2
n270,sharks,2
n271,suits,2
n272,capitalism,2
n273,shirts,2
n274,cafes,2
n275,pursuit,2
n276,money,2
n277,veneer,2
n278,virtue,2
n279,devil,2
n280,advocate,2
n281,term,2
n282,case,2
n283,heart,2
n284,zone,2
n285,bullshit,2
n286,sports,2
n287,sport,2
n288,boxing,2
n289,match,2
n290,football,2
n291,cricket,2
n292,billions,2
n293,corruption,2
n294,appetite,2
n295,self,2
n296,hell,2
n297,guys,2
n298,a billion dollars,2
n299,dollars,2
n300,intuition,2
n301,souls,2
n302,Money,2
n303,corrupts,2
n304,Thing,2
n305,history,2
n306,reinforcement,2
n307,entrepreneurs,2
n308,difference,2
n309,words,2
n310,acquisition,2
n311,evidence,2
n312,drivers,2
n313,morality,2
n314,nerds,2
n315,doubt,2
n316,signals,2
n317,inflow,2
n318,signal,2
n319,compass,2
n320,board,2
n321,the Soviet Union,2
n322,president,2
n323,country,2
n324,incarnation,2
n325,fact,2
n326,historian,2
n327,Stalin,2
n328,communism,2
n329,competition,2
n330,work,2
n331,modifiers,2
n332,us,2
n333,researchers,2
n334,image,2
n335,level,2
n336,mind,2
n337,audience,2
n338,roboticists,2
n339,stories,2
n340,A Space Odyssey,2
n341,ethics,2
n342,target,2
n343,hope,2
n344,impact,2
n345,relation,2
n346,discussion,2
n347,account,2
n348,film,2
n349,job,2
n350,movies,2
n351,Ava Hal 9000,2
n352,perspective,2
n353,goals,2
n354,eyes,2
n355,test,2
n356,sight,2
n357,projection,2
n358,cave,2
n359,Space Odyssey,2
n360,Turing,2
n361,X,2
n362,mark,2
n363,robot,2
n364,interactions,2
n365,focus,2
n366,respect,2
n367,machina,2
n368,Consciousness,2
n369,tale,2
n370,men,2
n371,escapes,2
n372,empathy,2
n373,value,2
n374,judgments,2
n375,artist,2
n376,Ava,2
n377,building,2
n378,shoulder,2
n379,tests,2
n380,indication,2
n381,observer,2
n382,smile,2
n383,context,2
n384,interaction,2
n385,small,2
n386,end,2
n387,conversations,2
n388,answer,2
n389,motivation,2
n390,set,2
n391,paradigms,2
n392,mission,2
n393,paperclip,2
n394,task,2
n395,Earth,2
n396,effects,2
n397,Dave,2
n398,explanation,2
n399,Mark,2
n400,the United States,2
n401,desire,2
n402,F,2
n403,friend,2
n404,mugging,2
n405,stabbing,2
n406,crystal,2
n407,kid,2
n408,upbringing,2
n409,America,2
n410,introduction,2
n411,badness,2
n412,robots,2
n413,sentient,2
n414,arrival,2
n415,trajectory,2
n416,views,2
n417,elements,2
n418,difficulty,2
n419,Boris Johnson,2
n420,Test,2
