id,source,target,value
e0,n1370,n0,
e1,n1370,n1,good
e2,n1370,n2,
e3,n1370,n3,beautiful
e4,n1370,n4,general
e5,n1370,n5,nuclear
e6,n1370,n6,Great
e7,n1370,n7,best
e8,n1370,n8,
e9,n1370,n9,
e10,n1370,n10,competitive
e11,n1370,n11,stochastic
e12,n1370,n12,
e13,n1370,n13,
e14,n1370,n14,peaceful
e15,n1370,n15,rich
e16,n1370,n16,first
e17,n1370,n17,first
e18,n1370,n18,
e19,n1370,n19,
e20,n1370,n20,important
e21,n1370,n21,most
e22,n1370,n22,
e23,n1370,n23,
e24,n1370,n24,
e25,n1370,n25,bigger
e26,n1370,n26,
e27,n1370,n27,
e28,n1370,n28,Determine
e29,n1370,n29,whole
e30,n1370,n30,
e31,n1370,n31,super
e32,n1370,n32,electronic
e33,n1370,n33,
e34,n1370,n34,implicit
e35,n1370,n35,best
e36,n1370,n36,good
e37,n1370,n37,
e38,n1370,n38,20th
e39,n1370,n39,
e40,n1370,n40,many
e41,n1370,n41,
e42,n1370,n42,whole
e43,n1370,n43,whole
e44,n1370,n44,nice
e45,n1370,n45,sound
e46,n1370,n46,
e47,n1370,n47,
e48,n1370,n48,
e49,n1370,n49,
e50,n1370,n50,complicated
e51,n1370,n51,special
e52,n1370,n52,
e53,n1370,n53,close
e54,n1370,n54,
e55,n1370,n55,
e56,n1370,n56,
e57,n1370,n57,
e58,n1370,n58,
e59,n1370,n59,
e60,n1370,n60,
e61,n1370,n61,
e62,n1370,n62,
e63,n1370,n63,
e64,n1370,n64,tough
e65,n1370,n65,
e66,n1370,n66,
e67,n1370,n67,
e68,n1370,n68,
e69,n1370,n69,specific
e70,n1370,n70,
e71,n1370,n71,
e72,n1370,n72,
e73,n1370,n73,solar
e74,n1370,n74,
e75,n1370,n75,
e76,n1370,n76,
e77,n1370,n77,creative
e78,n1370,n78,
e79,n1370,n79,
e80,n1370,n80,
e81,n1370,n81,enough
e82,n1370,n82,elementary
e83,n1370,n83,
e84,n1370,n84,
e85,n1370,n85,third
e86,n1370,n86,
e87,n1370,n87,
e88,n1370,n88,
e89,n1370,n89,
e90,n1370,n90,
e91,n1370,n91,
e92,n1370,n92,strange
e93,n1370,n93,big
e94,n1370,n94,
e95,n1370,n95,
e96,n1370,n96,
e97,n1370,n97,white
e98,n1370,n98,
e99,n1370,n99,modern
e100,n1370,n100,
e101,n1370,n101,enough
e102,n1370,n102,
e103,n1370,n103,
e104,n1370,n104,
e105,n1370,n105,difficult
e106,n1370,n106,Russian
e107,n1370,n107,middle
e108,n1370,n108,special
e109,n1370,n109,small
e110,n1370,n110,small
e111,n1370,n111,famous
e112,n1370,n112,single
e113,n1370,n113,Jewish
e114,n1370,n114,other
e115,n1370,n115,
e116,n1370,n116,
e117,n1370,n117,
e118,n1370,n118,small
e119,n1370,n119,good
e120,n1370,n120,stupid
e121,n1370,n121,next
e122,n1370,n122,special
e123,n1370,n123,
e124,n1370,n124,only
e125,n1370,n125,big
e126,n1370,n126,
e127,n1370,n127,
e128,n1370,n128,single
e129,n1370,n129,
e130,n1370,n130,nuclear
e131,n1370,n131,
e132,n1370,n132,
e133,n1370,n133,
e134,n1370,n134,
e135,n1370,n135,Palestinian
e136,n1370,n136,nuclear
e137,n1370,n137,
e138,n1370,n138,photographic
e139,n1370,n139,special
e140,n1370,n140,
e141,n1370,n141,tiny
e142,n1370,n142,
e143,n1370,n143,
e144,n1370,n144,
e145,n1370,n145,
e146,n1370,n146,square
e147,n1370,n147,
e148,n1370,n148,
e149,n1370,n149,
e150,n1370,n150,
e151,n1370,n151,
e152,n1370,n152,
e153,n1370,n153,
e154,n1370,n154,
e155,n1370,n155,
e156,n1370,n156,first
e157,n1370,n157,
e158,n1370,n158,
e159,n1370,n159,
e160,n1370,n160,
e161,n1370,n161,romanticized
e162,n1370,n162,
e163,n1370,n163,
e164,n1370,n164,many
e165,n1370,n165,huge
e166,n1370,n166,
e167,n1370,n167,
e168,n1370,n168,
e169,n1370,n169,
e170,n1370,n170,
e171,n1370,n171,
e172,n1370,n172,entire
e173,n1370,n173,military
e174,n1370,n174,
e175,n1370,n175,
e176,n1370,n176,significant
e177,n1370,n177,whole
e178,n1370,n178,nice
e179,n1370,n179,real
e180,n1370,n180,
e181,n1370,n181,
e182,n1370,n182,
e183,n1370,n183,
e184,n1370,n184,
e185,n1370,n185,big
e186,n1370,n186,original
e187,n1370,n187,strong
e188,n1370,n188,
e189,n1370,n189,
e190,n1370,n190,favorite
e191,n1370,n191,
e192,n1370,n192,
e193,n1370,n193,first
e194,n1370,n194,old
e195,n1370,n195,
e196,n1370,n196,
e197,n1370,n197,
e198,n1370,n198,
e199,n1370,n199,few
e200,n1370,n200,special
e201,n1370,n201,old
e202,n1370,n202,
e203,n1370,n203,
e204,n1370,n204,
e205,n1370,n205,big
e206,n1370,n206,best
e207,n1370,n207,
e208,n1370,n208,
e209,n1370,n209,
e210,n1370,n210,
e211,n1370,n211,
e212,n1370,n212,many
e213,n1370,n213,
e214,n1370,n214,
e215,n1370,n215,
e216,n1370,n216,
e217,n1370,n217,early
e218,n1370,n218,different
e219,n1370,n219,great
e220,n1370,n220,
e221,n1370,n221,alternate
e222,n1370,n222,childish
e223,n1370,n223,serious
e224,n1370,n224,
e225,n1370,n225,
e226,n1370,n226,
e227,n1370,n227,good
e228,n1370,n228,good
e229,n1370,n229,much
e230,n1370,n230,Russian
e231,n1370,n231,important
e232,n1370,n232,
e233,n1370,n233,only
e234,n1370,n234,
e235,n1370,n235,
e236,n1370,n236,
e237,n1370,n237,
e238,n1370,n238,
e239,n1370,n239,Japanese
e240,n1370,n240,smart
e241,n1370,n241,
e242,n1370,n242,
e243,n1370,n243,
e244,n1370,n244,
e245,n1370,n245,
e246,n1370,n246,
e247,n1370,n247,
e248,n1370,n248,
e249,n1370,n249,
e250,n1370,n250,
e251,n1370,n251,
e252,n1370,n252,
e253,n1370,n253,
e254,n1370,n254,
e255,n1370,n255,
e256,n1370,n256,Israeli
e257,n1370,n257,
e258,n1370,n258,
e259,n1370,n259,Jewish
e260,n1370,n260,
e261,n1370,n261,
e262,n1370,n262,
e263,n1370,n263,yearly
e264,n1370,n264,
e265,n1370,n265,
e266,n1370,n266,
e267,n1370,n267,senior
e268,n1370,n268,
e269,n1370,n269,
e270,n1370,n270,
e271,n1370,n271,
e272,n1370,n272,
e273,n1370,n273,
e274,n1370,n274,
e275,n1370,n275,
e276,n1370,n276,
e277,n1370,n277,
e278,n1370,n278,
e279,n1370,n279,
e280,n1370,n280,representative
e281,n1370,n281,
e282,n1370,n282,
e283,n1370,n283,Japanese
e284,n1370,n284,
e285,n1370,n285,
e286,n1370,n286,
e287,n1370,n287,significant
e288,n1370,n288,
e289,n1370,n289,
e290,n1370,n290,good
e291,n1370,n291,
e292,n1370,n292,red
e293,n1370,n293,
e294,n1370,n294,
e295,n1370,n295,
e296,n1370,n296,
e297,n1370,n297,whole
e298,n1370,n298,absolute
e299,n1370,n299,
e300,n1370,n300,intense
e301,n1370,n301,
e302,n1370,n302,
e303,n1370,n303,new
e304,n1370,n304,
e305,n1370,n305,clear
e306,n1370,n306,lowest
e307,n1370,n307,
e308,n1370,n308,big
e309,n1370,n309,
e310,n1370,n310,
e311,n1370,n311,incredible
e312,n1370,n312,French
e313,n1370,n313,young
e314,n1370,n314,big
e315,n1370,n315,
e316,n1370,n316,
e317,n1370,n317,
e318,n1370,n318,
e319,n1370,n319,
e320,n1370,n320,interesting
e321,n1370,n321,same
e322,n1370,n322,
e323,n1370,n323,
e324,n1370,n324,
e325,n1370,n325,Russian
e326,n1370,n326,Russian
e327,n1370,n327,
e328,n1370,n328,actual
e329,n1370,n329,incorrect
e330,n1370,n330,scientific
e331,n1370,n331,
e332,n1370,n332,conservative
e333,n1370,n333,
e334,n1370,n334,
e335,n1370,n335,
e336,n1370,n336,
e337,n1370,n337,
e338,n1370,n338,
e339,n1370,n339,
e340,n1370,n340,
e341,n1370,n341,Japanese
e342,n1370,n342,new
e343,n1370,n343,
e344,n1370,n344,perfect
e345,n1370,n345,physical
e346,n1370,n346,
e347,n1370,n347,same
e348,n1370,n348,
e349,n1370,n349,
e350,n1370,n350,
e351,n1370,n351,Russian
e352,n1370,n352,interesting
e353,n1370,n353,
e354,n1370,n354,artificial
e355,n1370,n355,good
e356,n1370,n356,
e357,n1370,n357,
e358,n1370,n358,first
e359,n1370,n359,whole
e360,n1370,n360,popular
e361,n1370,n361,best
e362,n1370,n362,
e363,n1370,n363,fourth
e364,n1370,n364,
e365,n1370,n365,
e366,n1370,n366,
e367,n1370,n367,
e368,n1370,n368,
e369,n1370,n369,
e370,n1370,n370,thermal
e371,n1370,n371,Western
e372,n1370,n372,high
e373,n1370,n373,
e374,n1370,n374,
e375,n1370,n375,high
e376,n1370,n376,good
e377,n1370,n377,
e378,n1370,n378,
e379,n1370,n379,most
e380,n1370,n380,other
e381,n1370,n381,hard
e382,n1370,n382,most
e383,n1370,n383,
e384,n1370,n384,greatest
e385,n1370,n385,
e386,n1370,n386,
e387,n1370,n387,early
e388,n1370,n388,
e389,n1370,n389,
e390,n1370,n390,real
e391,n1370,n391,new
e392,n1370,n392,bottom
e393,n1370,n393,
e394,n1370,n394,
e395,n1370,n395,many
e396,n1370,n396,
e397,n1370,n397,
e398,n1370,n398,real
e399,n1370,n399,
e400,n1370,n400,same
e401,n1370,n401,
e402,n1370,n402,final
e403,n1370,n403,own
e404,n1370,n404,
e405,n1370,n405,
e406,n1370,n406,
e407,n1370,n407,central
e408,n1370,n408,
e409,n1370,n409,
e410,n1370,n410,
e411,n1370,n411,
e412,n1370,n412,
e413,n1370,n413,
e414,n1370,n414,
e415,n1370,n415,Jewish
e416,n1370,n416,significant
e417,n1370,n417,
e418,n1370,n418,
e419,n1370,n419,
e420,n1370,n420,
e421,n1370,n421,
e422,n1370,n422,simple
e423,n1370,n423,special
e424,n1370,n424,only
e425,n1370,n425,
e426,n1370,n426,light
e427,n1370,n427,
e428,n1370,n428,
e429,n1370,n429,
e430,n1370,n430,
e431,n1370,n431,
e432,n1370,n432,
e433,n1370,n433,proletarian
e434,n1370,n434,much
e435,n1370,n435,
e436,n1370,n436,
e437,n1370,n437,uncomfortable
e438,n1370,n438,
e439,n1370,n439,uncomfortable
e440,n1370,n440,other
e441,n1370,n441,other
e442,n1370,n442,Soviet
e443,n1370,n443,
e444,n1370,n444,historical
e445,n1370,n445,
e446,n1370,n446,
e447,n1370,n447,
e448,n1370,n448,different
e449,n1370,n449,
e450,n1370,n450,
e451,n1370,n451,interesting
e452,n1370,n452,last
e453,n1370,n453,
e454,n1370,n454,polar
e455,n1370,n455,historical
e456,n1370,n456,
e457,n1370,n457,Beautiful
e458,n1370,n458,good
e459,n1370,n459,
e460,n1370,n460,
e461,n1370,n461,
e462,n1370,n462,enormous
e463,n1370,n463,
e464,n1370,n464,
e465,n1370,n465,complicated
e466,n1370,n466,big
e467,n1370,n467,
e468,n1370,n468,different
e469,n1370,n469,associate
e470,n1370,n470,
e471,n1370,n471,Jewish
e472,n1370,n472,
e473,n1370,n473,
e474,n1370,n474,lesser
e475,n1370,n475,
e476,n1370,n476,
e477,n1370,n477,
e478,n1370,n478,
e479,n1370,n479,
e480,n1370,n480,full
e481,n1370,n481,
e482,n1370,n482,
e483,n1370,n483,
e484,n1370,n484,
e485,n1370,n485,
e486,n1370,n486,Chinese
e487,n1370,n487,
e488,n1370,n488,Jewish
e489,n1370,n489,good
e490,n1370,n490,
e491,n1370,n491,Christian
e492,n1370,n492,
e493,n1370,n493,cosmetic
e494,n1370,n494,
e495,n1370,n495,
e496,n1370,n496,small
e497,n1370,n497,
e498,n1370,n498,
e499,n1370,n499,associate
e500,n1370,n500,
e501,n1370,n501,
e502,n1370,n502,
e503,n1370,n503,
e504,n1370,n504,
