id,name,group
n0,conversation,2
n1,dad,2
n2,Alexander Friedman,2
n3,idea,2
n4,physics,2
n5,chemistry,2
n6,mathematics,2
n7,place,2
n8,Kiev,2
n9,Einstein,2
n10,ideas,2
n11,motion,2
n12,Brownian,2
n13,stochastics,2
n14,existence,2
n15,molecules,2
n16,publication,2
n17,wife,2
n18,collaborators,2
n19,papers,2
n20,stuff,2
n21,people,2
n22,Boom,2
n23,boom,2
n24,size,2
n25,particles,2
n26,propagation,2
n27,smoke,2
n28,behavior,2
n29,point,2
n30,proof,2
n31,electron,2
n32,microscope,2
n33,publications,2
n34,simplicity,2
n35,example,2
n36,look,2
n37,beginning,2
n38,century,2
n39,People,2
n40,times,2
n41,kinds,2
n42,life,2
n43,beauty,2
n44,feeling,2
n45,science,2
n46,minutes,2
n47,Kapisa,2
n48,Nobel Prize,2
n49,laureate,2
n50,way,2
n51,discussion,2
n52,Capitol Hill,2
n53,friend,2
n54,Capitán,2
n55,discussions,2
n56,extremes,2
n57,Feynman,2
n58,simple,2
n59,risk,2
n60,universe,2
n61,Darwin,2
n62,theory,2
n63,animals,2
n64,competition,2
n65,planets,2
n66,force,2
n67,R,2
n68,squared,2
n69,case,2
n70,circles,2
n71,analysis,2
n72,law,2
n73,system,2
n74,interaction,2
n75,square,2
n76,Isaac Newton,2
n77,thinking,2
n78,genius,2
n79,Newton,2
n80,action,2
n81,distance,2
n82,school,2
n83,knowledge,2
n84,fighting,2
n85,grade,2
n86,hand,2
n87,Kiff,2
n88,boys,2
n89,Americans,2
n90,Sputnik,2
n91,Gagarin,2
n92,mistake,2
n93,problem,2
n94,Khrushchev,2
n95,coverage,2
n96,shortage,2
n97,bread,2
n98,food,2
n99,Russia,2
n100,America,2
n101,corn,2
n102,agriculture,2
n103,result,2
n104,wheat,2
n105,moment,2
n106,kids,2
n107,class,2
n108,guy,2
n109,piece,2
n110,kid,2
n111,teacher,2
n112,space,2
n113,boy,2
n114,half,2
n115,astronauts,2
n116,cosmonauts,2
n117,USA,2
n118,rockets,2
n119,friends,2
n120,guys,2
n121,door,2
n122,house,2
n123,idiots,2
n124,stones,2
n125,fence,2
n126,houses,2
n127,soldiers,2
n128,scientist,2
n129,engineer,2
n130,engineering,2
n131,love,2
n132,sense,2
n133,fight,2
n134,beds,2
n135,rocket,2
n136,fuel,2
n137,mixture,2
n138,films,2
n139,chemicals,2
n140,voice,2
n141,details,2
n142,silver,2
n143,foil,2
n144,end,2
n145,match,2
n146,meters,2
n147,mistakes,2
n148,stability,2
n149,trajectory,2
n150,air,2
n151,defense,2
n152,meter,2
n153,calculations,2
n154,math,2
n155,fact,2
n156,period,2
n157,Science,2
n158,Events,2
n159,stone,2
n160,creation,2
n161,kind,2
n162,credit,2
n163,playground,2
n164,girls,2
n165,respect,2
n166,camaraderie,2
n167,parents,2
n168,thoughts,2
n169,American,2
n170,Apollo,2
n171,missions,2
n172,generation,2
n173,scientists,2
n174,thought,2
n175,race,2
n176,role,2
