id,name,group
n0,conversation,2
n1,Andrew Huberman,1
n2,lab,2
n3,Stanford,2
n4,stress,2
n5,people,2
n6,reality,2
n7,set,2
n8,experiences,2
n9,Roegan,2
n10,Whitney,2
n11,level,2
n12,fears,2
n13,fear,2
n14,person,2
n15,rabbit,2
n16,hole,2
n17,trauma,2
n18,word,2
n19,game,2
n20,motivations,2
n21,laboratory,2
n22,definitions,2
n23,field,2
n24,understanding,2
n25,emotions,2
n26,states,2
n27,debate,2
n28,value,2
n29,inflection,2
n30,arousal,2
n31,increases,2
n32,heart,2
n33,rate,2
n34,breathing,2
n35,perspiration,2
n36,pupil,2
n37,dilation,2
n38,signature,2
n39,features,2
n40,response,2
n41,cases,2
n42,benefit,2
n43,neurosurgery,2
n44,patients,2
n45,electrodes,2
n46,amygdala,2
n47,insula,2
n48,cortex,2
n49,skull,2
n50,signals,2
n51,brain,2
n52,heights,2
n53,place,2
n54,apparati,2
n55,flow,2
n56,canals,2
n57,ear,2
n58,stuff,2
n59,physiology,2
n60,feeling,2
n61,stomach,2
n62,platform,2
n63,dive,2
n64,sharks,2
n65,experience,2
n66,cage,2
n67,world,2
n68,video,2
n69,motivation,2
n70,studies,2
n71,laboratories,2
n72,subjects,2
n73,picture,2
n74,arm,2
n75,snake,2
n76,phobia,2
n77,thing,2
n78,presence,2
n79,movie,2
n80,solo,2
n81,popularity,2
n82,puzzle,2
n83,theater,2
n84,home,2
n85,Alex,2
n86,anxiety,2
n87,life,2
n88,state,2
n89,speaking,2
n90,sister,2
n91,instance,2
n92,stimuli,2
n93,floor,2
n94,possibility,2
n95,faith,2
n96,experiment,2
n97,case,2
n98,subject,2
n99,experiments,2
n100,lights,2
n101,cursor,2
n102,grid,2
n103,failure,2
n104,point,2
n105,motor,2
n106,commands,2
n107,buildings,2
n108,talking,2
n109,microphone,2
n110,ground,2
n111,beam,2
n112,power,2
n113,vestibular,2
n114,balance,2
n115,components,2
n116,system,2
n117,potential,2
n118,sound,2
n119,reason,2
n120,VR,2
n121,CGI,2
n122,friend,2
n123,Michael Muller,2
n124,project,2
n125,friends,2
n126,portrait,2
n127,photographer,2
n128,Hollywood,2
n129,apparatus,2
n130,water,2
n131,Guadaloupe Island,2
n132,Mexico,2
n133,fun,2
n134,moments,2
n135,danger,2
n136,attack,2
n137,dog,2
n138,moment,2
n139,element,2
n140,behavior,2
n141,corner,2
n142,threat,2
n143,body,2
n144,movements,2
n145,loop,2
n146,choices,2
n147,paths,2
n148,number,2
n149,tools,2
n150,environments,2
n151,answer,2
n152,psychology,2
n153,neuroscience,2
n154,perspective,2
n155,construction,2
n156,vehicles,2
n157,decision,2
n158,process,2
n159,pedestrian,2
n160,road,2
n161,car,2
n162,graphics,2
n163,simulation,2
n164,Looms,2
n165,kind,2
n166,depth,2
n167,edge,2
n168,neurons,2
n169,retina,2
n170,stage,2
n171,processing,2
n172,way,2
n173,Mullard,2
n174,folks,2
n175,luman,2
n176,movement,2
n177,creature,2
n178,questions,2
n179,idea,2
n180,survival,2
n181,tool,2
n182,exit,2
n183,divers,2
n184,vehicle,2
n185,research,2
n186,theoretic,2
n187,stimulus,2
n188,snakes,2
n189,spiders,2
n190,slithering,2
n191,levels,2
n192,bat,2
n193,weapon,2
n194,report,2
n195,ideas,2
n196,beauty,2
n197,humans,2
n198,mouse,2
n199,monkey,2
n200,language,2
n201,Russian,2
n202,room,2
n203,information,2
n204,Albania,2
n205,sauna,2
n206,leaves,2
n207,couple,2
n208,times,2
n209,city,2
n210,earthquakes,2
n211,spaces,2
n212,ventilation,2
n213,claustrophobia,2
n214,elevator,2
n215,environment,2
n216,oxygen,2
n217,planes,2
n218,flavors,2
n219,plane,2
n220,skydiving,2
n221,acceptance,2
n222,fact,2
n223,description,2
n224,surface,2
n225,freedom,2
n226,concept,2
n227,Earth,2
n228,seconds,2
n229,study,2
n230,standpoint,2
n231,tracks,2
n232,mice,2
n233,areas,2
n234,student,2
n235,Caltech,2
n236,Lindsay Salay,2
n237,paper,2
n238,mechanisms,2
n239,responses,2
n240,hub,2
n241,midbrain,2
n242,middle,2
n243,thalamus,2
n244,structure,2
n245,probability,2
n246,human,2
n247,face,2
n248,phenomenon,2
n249,freezing,2
n250,death,2
n251,looms,2
n252,retreat,2
n253,hide,2
n254,closet,2
n255,animals,2
n256,cat,2
n257,teeth,2
n258,inhibition,2
n259,freeze,2
n260,activation,2
n261,collateral,2
n262,connection,2
n263,wire,2
n264,dopamine,2
n265,circuits,2
n266,reward,2
n267,key,2
n268,behavioral,2
n269,therapy,2
n270,treatments,2
n271,circuit,2
n272,activity,2
n273,maximum,2
n274,valence,2
n275,bell,2
n276,shape,2
n277,curve,2
n278,performance,2
n279,bump,2
n280,distribution,2
n281,cognition,2
n282,changes,2
n283,perception,2
n284,frame,2
n285,matrix,2
n286,terms,2
n287,outcomes,2
n288,risk,2
n289,fraction,2
n290,focus,2
n291,peak,2
n292,words,2
n293,ability,2
n294,actions,2
n295,task,2
n296,spot,2
n297,alertness,2
n298,speed,2
n299,challenge,2
n300,exteroception,2
n301,estate,2
n302,interoception,2
n303,interception,2
n304,exterior,2
n305,dimensions,2
n306,range,2
n307,guitar,2
n308,order,2
n309,analysis,2
n310,space,2
n311,chords,2
n312,notes,2
n313,lens,2
n314,optics,2
n315,change,2
n316,slice,2
n317,frames,2
n318,readout,2
n319,learning,2
n320,drowsy,2
n321,music,2
n322,nuance,2
n323,ways,2
n324,fingers,2
n325,cue,2
n326,base,2
n327,demands,2
n328,slicing,2
n329,dynamics,2
n330,realm,2
n331,believer,2
n332,guy,2
n333,Cal Newport,2
n334,book,2
n335,Deep,2
n336,work,2
n337,concepts,2
n338,skill,2
n339,thinking,2
n340,periods,2
n341,programming,2
n342,steps,2
n343,mind,2
n344,step,2
n345,directions,2
n346,act,2
n347,action,2
n348,memory,2
n349,Jack Feldman,2
n350,fan,2
n351,professor,2
n352,UCLA,2
n353,respiration,2
n354,physics,2
n355,background,2
n356,Jack,2
n357,question,2
n358,coffee,2
n359,apologies,2
n360,advance,2
n361,example,2
n362,mathematics,2
n363,teens,2
n364,20s,2
n365,mathematician,2
n366,argument,2
n367,demand,2
n368,theorems,2
n369,math,2
n370,plates,2
n371,sense,2
n372,reliance,2
n373,stores,2
n374,library,2
n375,RAM,2
n376,biology,2
n377,physicists,2
n378,careers,2
n379,30s,2
n380,40s,2
n381,50s,2
n382,60s,2
n383,70s,2
n384,hands,2
n385,labs,2
n386,course,2
n387,insights,2
n388,knowledge,2
n389,figure,2
n390,tunnel,2
n391,thought,2
n392,plate,2
n393,spinning,2
n394,tasks,2
n395,load,2
n396,cliff,2
n397,team,2
n398,operators,2
n399,units,2
n400,military,2
n401,intellects,2
n402,backgrounds,2
n403,sorts,2
n404,cliffs,2
n405,function,2
n406,programmer,2
n407,regime,2
n408,control,2
n409,circuitry,2
n410,restroom,2
n411,phone,2
n412,loops,2
n413,access,2
n414,engineer,2
n415,thinker,2
n416,principles,2
n417,pattern,2
n418,problem,2
n419,recognition,2
n420,hell,2
n421,patterns,2
n422,facts,2
n423,testing,2
n424,algorithms,2
n425,basis,2
n426,training,2
n427,role,2
n428,kinds,2
n429,processes,2
n430,infancy,2
n431,one percent,2
n432,percent,2
n433,mysteries,2
n434,precision,2
n435,accuracy,2
n436,difference,2
n437,vastness,2
n438,Internet,2
n439,operations,2
n440,certainty,2
n441,lots,2
n442,dimensionality,2
n443,son,2
n444,physicist,2
n445,finger,2
n446,tiger,2
n447,scent,2
n448,hound,2
n449,plumes,2
n450,odor,2
n451,trails,2
n452,smell,2
n453,trail,2
n454,cone,2
n455,odour,2
n456,seed,2
n457,nose,2
n458,factory,2
n459,musicians,2
n460,Metronomes,2
n461,bass,2
n462,drumming,2
n463,frequency,2
n464,event,2
n465,eyes,2
n466,ears,2
n467,taste,2
n468,touch,2
n469,vision,2
n470,match,2
n471,creativity,2
n472,lava,2
n473,lamp,2
n474,connotations,2
n475,direction,2
n476,sleeping,2
n477,solutions,2
n478,sleep,2
n479,naps,2
n480,discussion,2
n481,psychedelics,2
n482,bursting,2
n483,hallucinations,2
n484,2C,2
n485,2A,2
n486,receptors,2
n487,sites,2
n488,LSD,2
n489,psilocybin,2
n490,halluc,2
