id,source,target,value
e0,n930,n0,
e1,n930,n1,
e2,n930,n2,
e3,n930,n3,odd
e4,n930,n4,famous
e5,n930,n5,definitive
e6,n930,n6,early
e7,n930,n7,
e8,n930,n8,same
e9,n930,n9,modest
e10,n930,n10,individual
e11,n930,n11,
e12,n930,n12,
e13,n930,n13,
e14,n930,n14,
e15,n930,n15,infinite
e16,n930,n16,complex
e17,n930,n17,new
e18,n930,n18,
e19,n930,n19,modest
e20,n930,n20,richer
e21,n930,n21,
e22,n930,n22,
e23,n930,n23,standard
e24,n930,n24,
e25,n930,n25,
e26,n930,n26,
e27,n930,n27,other
e28,n930,n28,
e29,n930,n29,early
e30,n930,n30,most
e31,n930,n31,big
e32,n930,n32,
e33,n930,n33,
e34,n930,n34,large
e35,n930,n35,
e36,n930,n36,
e37,n930,n37,interesting
e38,n930,n38,
e39,n930,n39,
e40,n930,n40,good
e41,n930,n41,
e42,n930,n42,
e43,n930,n43,
e44,n930,n44,basic
e45,n930,n45,
e46,n930,n46,same
e47,n930,n47,electric
e48,n930,n48,long
e49,n930,n49,single
e50,n930,n50,small
e51,n930,n51,particular
e52,n930,n52,
e53,n930,n53,
e54,n930,n54,
e55,n930,n55,
e56,n930,n56,whole
e57,n930,n57,
e58,n930,n58,large
e59,n930,n59,vague
e60,n930,n60,
e61,n930,n61,
e62,n930,n62,right
e63,n930,n63,
e64,n930,n64,much
e65,n930,n65,
e66,n930,n66,
e67,n930,n67,
e68,n930,n68,
e69,n930,n69,
e70,n930,n70,ancient
e71,n930,n71,
e72,n930,n72,wonderful
e73,n930,n73,
e74,n930,n74,
e75,n930,n75,other
e76,n930,n76,
e77,n930,n77,larger
e78,n930,n78,usual
e79,n930,n79,
e80,n930,n80,simplest
e81,n930,n81,much
e82,n930,n82,
e83,n930,n83,short
e84,n930,n84,
e85,n930,n85,
e86,n930,n86,
e87,n930,n87,high
e88,n930,n88,
e89,n930,n89,
e90,n930,n90,
e91,n930,n91,
e92,n930,n92,multiplexed
e93,n930,n93,
e94,n930,n94,large
e95,n930,n95,
e96,n930,n96,
e97,n930,n97,
e98,n930,n98,
e99,n930,n99,same
e100,n930,n100,different
e101,n930,n101,
e102,n930,n102,
e103,n930,n103,little
e104,n930,n104,
e105,n930,n105,optimistic
e106,n930,n106,
e107,n930,n107,daunting
e108,n930,n108,same
e109,n930,n109,
e110,n930,n110,
e111,n930,n111,
e112,n930,n112,good
e113,n930,n113,
e114,n930,n114,fine
e115,n930,n115,
e116,n930,n116,good
e117,n930,n117,legendary
e118,n930,n118,
e119,n930,n119,original
e120,n930,n120,
e121,n930,n121,primary
e122,n930,n122,
e123,n930,n123,
e124,n930,n124,
e125,n930,n125,small
e126,n930,n126,
e127,n930,n127,
e128,n930,n128,
e129,n930,n129,
e130,n930,n130,
e131,n930,n131,
e132,n930,n132,physical
e133,n930,n133,
e134,n930,n134,
e135,n930,n135,
e136,n930,n136,other
e137,n930,n137,strong
e138,n930,n138,paternal
e139,n930,n139,
e140,n930,n140,
e141,n930,n141,
e142,n930,n142,permanent
e143,n930,n143,
e144,n930,n144,
e145,n930,n145,
e146,n930,n146,
e147,n930,n147,
e148,n930,n148,
e149,n930,n149,
e150,n930,n150,
e151,n930,n151,real
e152,n930,n152,
e153,n930,n153,
e154,n930,n154,
e155,n930,n155,sociological
e156,n930,n156,physical
e157,n930,n157,
e158,n930,n158,
e159,n930,n159,optic
e160,n930,n160,
e161,n930,n161,real
e162,n930,n162,
e163,n930,n163,good
e164,n930,n164,short
e165,n930,n165,
e166,n930,n166,
e167,n930,n167,
e168,n930,n168,grand
e169,n930,n169,
e170,n930,n170,
e171,n930,n171,
e172,n930,n172,real
e173,n930,n173,
e174,n930,n174,
e175,n930,n175,few
e176,n930,n176,
e177,n930,n177,efficient
e178,n930,n178,
e179,n930,n179,
e180,n930,n180,several
e181,n930,n181,old
e182,n930,n182,
e183,n930,n183,
e184,n930,n184,early
e185,n930,n185,
e186,n930,n186,
e187,n930,n187,early
e188,n930,n188,
e189,n930,n189,
e190,n930,n190,
e191,n930,n191,
e192,n930,n192,
e193,n930,n193,
e194,n930,n194,little
e195,n930,n195,
e196,n930,n196,early
e197,n930,n197,first
e198,n930,n198,
e199,n930,n199,
e200,n930,n200,executable
e201,n930,n201,sequential
e202,n930,n202,
e203,n930,n203,nuclear
e204,n930,n204,
e205,n930,n205,
e206,n930,n206,
e207,n930,n207,nice
e208,n930,n208,
e209,n930,n209,
e210,n930,n210,straightforward
e211,n930,n211,
e212,n930,n212,
e213,n930,n213,
e214,n930,n214,perfect
e215,n930,n215,particular
e216,n930,n216,crude
e217,n930,n217,dumb
e218,n930,n218,big
e219,n930,n219,
e220,n930,n220,
e221,n930,n221,
e222,n930,n222,
e223,n930,n223,same
e224,n930,n224,
e225,n930,n225,enormous
e226,n930,n226,
e227,n930,n227,other
e228,n930,n228,
e229,n930,n229,
e230,n930,n230,
e231,n930,n231,several
e232,n930,n232,
e233,n930,n233,unique
e234,n930,n234,white
e235,n930,n235,weird
e236,n930,n236,
e237,n930,n237,
e238,n930,n238,happy
e239,n930,n239,alien
e240,n930,n240,
e241,n930,n241,initial
e242,n930,n242,
e243,n930,n243,
e244,n930,n244,whole
e245,n930,n245,blind
e246,n930,n246,great
e247,n930,n247,tremendous
e248,n930,n248,
e249,n930,n249,
e250,n930,n250,
e251,n930,n251,human
e252,n930,n252,viable
e253,n930,n253,
e254,n930,n254,various
e255,n930,n255,fundamental
e256,n930,n256,
e257,n930,n257,good
e258,n930,n258,
e259,n930,n259,
e260,n930,n260,front
e261,n930,n261,
e262,n930,n262,
e263,n930,n263,
e264,n930,n264,technical
e265,n930,n265,
e266,n930,n266,virtuous
e267,n930,n267,
e268,n930,n268,
e269,n930,n269,low
e270,n930,n270,
e271,n930,n271,whole
e272,n930,n272,tremendous
e273,n930,n273,
e274,n930,n274,minimal
e275,n930,n275,quick
e276,n930,n276,
e277,n930,n277,many
e278,n930,n278,
e279,n930,n279,full
e280,n930,n280,
e281,n930,n281,
e282,n930,n282,
e283,n930,n283,
e284,n930,n284,
e285,n930,n285,
e286,n930,n286,
e287,n930,n287,
e288,n930,n288,other
e289,n930,n289,
e290,n930,n290,giant
e291,n930,n291,
e292,n930,n292,
e293,n930,n293,
e294,n930,n294,
e295,n930,n295,
e296,n930,n296,
e297,n930,n297,
e298,n930,n298,little
e299,n930,n299,brief
e300,n930,n300,real
e301,n930,n301,
e302,n930,n302,interesting
e303,n930,n303,good
e304,n930,n304,
e305,n930,n305,
e306,n930,n306,
e307,n930,n307,useful
e308,n930,n308,good
e309,n930,n309,
e310,n930,n310,
e311,n930,n311,open
e312,n930,n312,
e313,n930,n313,
e314,n930,n314,
e315,n930,n315,other
e316,n930,n316,fundamental
e317,n930,n317,
e318,n930,n318,
e319,n930,n319,
e320,n930,n320,enough
e321,n930,n321,own
e322,n930,n322,
e323,n930,n323,simpler
e324,n930,n324,
e325,n930,n325,
e326,n930,n326,legal
e327,n930,n327,late
e328,n930,n328,early
e329,n930,n329,
e330,n930,n330,
e331,n930,n331,
e332,n930,n332,
e333,n930,n333,graphical
e334,n930,n334,
e335,n930,n335,distant
e336,n930,n336,serious
e337,n930,n337,ripple
e338,n930,n338,particular
e339,n930,n339,
e340,n930,n340,
e341,n930,n341,natural
e342,n930,n342,
e343,n930,n343,
e344,n930,n344,earlier
e345,n930,n345,
e346,n930,n346,certain
e347,n930,n347,procedural
e348,n930,n348,
e349,n930,n349,
e350,n930,n350,
e351,n930,n351,
e352,n930,n352,manual
e353,n930,n353,
e354,n930,n354,
e355,n930,n355,other
e356,n930,n356,
e357,n930,n357,
e358,n930,n358,
e359,n930,n359,
e360,n930,n360,
e361,n930,n361,
e362,n930,n362,
e363,n930,n363,intuitive
e364,n930,n364,
e365,n930,n365,many
e366,n930,n366,quadratic
e367,n930,n367,exploratory
e368,n930,n368,
e369,n930,n369,
e370,n930,n370,
e371,n930,n371,various
e372,n930,n372,
e373,n930,n373,random
e374,n930,n374,
e375,n930,n375,
e376,n930,n376,personal
e377,n930,n377,loose
e378,n930,n378,
e379,n930,n379,
e380,n930,n380,informal
e381,n930,n381,more
e382,n930,n382,certain
e383,n930,n383,
e384,n930,n384,wonderful
e385,n930,n385,
e386,n930,n386,OK
e387,n930,n387,
e388,n930,n388,
e389,n930,n389,
e390,n930,n390,
e391,n930,n391,
e392,n930,n392,
e393,n930,n393,dirty
e394,n930,n394,
e395,n930,n395,single
e396,n930,n396,
e397,n930,n397,useful
e398,n930,n398,
e399,n930,n399,Important
e400,n930,n400,most
e401,n930,n401,
e402,n930,n402,
e403,n930,n403,
e404,n930,n404,
e405,n930,n405,
e406,n930,n406,
e407,n930,n407,
e408,n930,n408,
e409,n930,n409,particular
e410,n930,n410,
e411,n930,n411,corresponding
e412,n930,n412,single
e413,n930,n413,same
e414,n930,n414,many
e415,n930,n415,
e416,n930,n416,few
e417,n930,n417,
e418,n930,n418,
e419,n930,n419,
e420,n930,n420,
e421,n930,n421,regular
e422,n930,n422,regular
e423,n930,n423,
e424,n930,n424,
e425,n930,n425,
e426,n930,n426,
e427,n930,n427,
e428,n930,n428,
e429,n930,n429,
e430,n930,n430,
e431,n930,n431,
e432,n930,n432,
e433,n930,n433,
e434,n930,n434,
e435,n930,n435,
e436,n930,n436,uphill
e437,n930,n437,
e438,n930,n438,long
e439,n930,n439,
e440,n930,n440,
