id,name,group
n0,conversation,2
n1,Brian,2
n2,Eunuchs,2
n3,years,2
n4,story,2
n5,book,2
n6,universe,2
n7,gist,2
n8,Bell Labs,2
n9,group,2
n10,people,2
n11,MultiChoice,2
n12,project,2
n13,follow,2
n14,success,2
n15,regress,2
n16,system,2
n17,summer,2
n18,Cambridge,2
n19,hardware,2
n20,operating,2
n21,CTS,2
n22,Seijas,2
n23,timesharing,2
n24,basic,2
n25,beginning,2
n26,word,2
n27,systems,2
n28,1950s,2
n29,1960s,2
n30,computing,2
n31,computers,2
n32,today,2
n33,standards,2
n34,rooms,2
n35,punch,2
n36,cards,2
n37,programs,2
n38,talk,2
n39,deck,2
n40,program,2
n41,counter,2
n42,operator,2
n43,mistake,2
n44,idea,2
n45,sharing,2
n46,computer,2
n47,typewriter,2
n48,distance,2
n49,person,2
n50,slice,2
n51,job,2
n52,file,2
n53,keystroke,2
n54,character,2
n55,illusion,2
n56,machine,2
n57,resource,2
n58,number,2
n59,sense,2
n60,feeling,2
n61,card,2
n62,model,2
n63,IBM,2
n64,memory,2
n65,norm,2
n66,banks,2
n67,words,2
n68,bits,2
n69,kilobytes,2
n70,times,2
n71,noise,2
n72,environment,2
n73,Mittie,2
n74,Fernando CAPATO Korby,2
n75,folks,2
n76,access,2
n77,population,2
n78,stuff,2
n79,scheduling,2
n80,algorithm,2
n81,magic,2
n82,metrics,2
n83,answer,2
n84,clue,2
n85,middle,2
n86,night,2
n87,noon,2
n88,Round-Robin,2
n89,editing,2
n90,schedule,2
n91,cleaning,2
n92,information,2
n93,service,2
n94,thing,2
n95,utility,2
n96,plug,2
n97,cloud,2
n98,piece,2
n99,kind,2
n100,resources,2
n101,lots,2
n102,dream,2
n103,computation,2
n104,needs,2
n105,point,2
n106,intern,2
n107,task,2
n108,view,2
n109,masses,2
n110,grandmother,2
n111,Amazon,2
n112,programmer,2
n113,future,2
n114,city,2
n115,winter,2
n116,fortune,2
n117,place,2
n118,journey,2
n119,Eunuch,2
n120,New Jersey,2
n121,location,2
n122,town,2
n123,Murray Hill,2
n124,boundary,2
n125,towns,2
n126,New Providence,2
n127,Berkeley Heights,2
n128,miles,2
n129,New York City,2
n130,north,2
n131,Princeton,2
n132,sciences,2
n133,chemistry,2
n134,physics,2
n135,materials,2
n136,kinds,2
n137,math,2
n138,interest,2
n139,labs,2
n140,models,2
n141,essence,2
n142,employee,2
n143,internship,2
n144,internships,2
n145,air,2
n146,Nobel Prizes,2
n147,Turing Awards,2
n148,scientist,2
n149,inventions,2
n150,developments,2
n151,goal,2
n152,AT&T,2
n153,country,2
n154,phone,2
n155,research,2
n156,devices,2
n157,transistor,2
n158,fiber,2
n159,cables,2
n160,microwave,2
n161,boom,2
n162,spite,2
n163,ideas,2
n164,run,2
n165,MIT Bell Labs,2
n166,General Electric,2
n167,operation,2
n168,scale,2
n169,taste,2
n170,environments,2
n171,facilities,2
n172,paper,2
n173,design,2
n174,Ken Thompson,2
n175,experiments,2
n176,filesystems,2
n177,way,2
n178,wife,2
n179,California,2
n180,weeks,2
n181,son,2
n182,software,2
n183,productivity,2
n184,days,2
n185,seven cents,2
n186,cents,2
n187,machines,2
n188,Digital Equipment Corporation,2
n189,numbers,2
n190,k,2
n191,100000 dollars,2
n192,dollars,2
n193,case,2
n194,use,2
n195,process,2
n196,development,2
n197,step,2
n198,reality,2
n199,PDB,2
n200,code,2
n201,processes,2
n202,periods,2
n203,power,2
n204,reboot,2
n205,core,2
n206,set,2
n207,tools,2
n208,Ken,2
n209,assembler,2
n210,text,2
n211,editor,2
n212,rest,2
n213,control,2
n214,programming,2
n215,language,2
n216,assembly,2
n217,question,2
n218,picture,2
n219,training,2
n220,wheels,2
n221,ebookers,2
n222,debuggers,2
n223,problem,2
n224,ability,2
n225,variation,2
n226,capabilities,2
n227,programmers,2
n228,singularity,2
n229,experience,2
n230,disrespect,2
n231,leagues,2
n232,levels,2
n233,stars,2
n234,space,2
n235,timing,2
n236,whim,2
n237,course,2
n238,world,2
n239,perspective,2
n240,Earth,2
n241,seed,2
n242,prediction,2
n243,evolution,2
n244,sequence,2
n245,luck,2
n246,guy,2
n247,contributions,2
n248,Dennis Ritchie,2
n249,History,2
n250,memoir,2
n251,stories,2
n252,solution,2
n253,bureaucracy,2
n254,ways,2
n255,philosophy,2
n256,aspect,2
n257,example,2
n258,processing,2
n259,lab,2
n260,end,2
n261,community,2
n262,observation,2
n263,standpoint,2
n264,aspects,2
n265,People,2
n266,circle,2
n267,blast,2
n268,fun,2
n269,hanging,2
n270,fruit,2
n271,combination,2
n272,colleagues,2
n273,morning,2
n274,experiment,2
n275,feedback,2
n276,loop,2
n277,cases,2
n278,puzzle,2
n279,variety,2
n280,fact,2
n281,reward,2
n282,mechanism,2
n283,method,2
n284,interaction,2
n285,communication,2
n286,Internet,2
n287,office,2
n288,places,2
n289,offices,2
n290,building,2
n291,quarters,2
n292,room,2
n293,feet,2
n294,coffee,2
n295,email,2
n296,need,2
n297,vicinity,2
n298,element,2
n299,history,2
n300,survivor,2
n301,bias,2
n302,work,2
n303,material,2
n304,parent,2
n305,company,2
n306,whoknows,2
n307,influence,2
n308,university,2
n309,activities,2
n310,slouch,2
n311,source,2
n312,focus,2
n313,telephones,2
n314,mischaracterization,2
n315,universities,2
n316,form,2
n317,generations,2
n318,students,2
n319,faculty,2
n320,expertise,2
n321,direction,2
n322,Berkeley,2
n323,version,2
n324,license,2
n325,Bill Joy,2
n326,jockeying,2
n327,80s,2
n328,90s,2
n329,movement,2
n330,Richard Stallman,2
n331,Torvalds,2
n332,target,2
n333,interface,2
n334,Linux,2
n335,perception,2
n336,money,2
n337,effect,2
n338,features,2
n339,lessons,2
n340,accident,2
n341,outcome,2
n342,reason,2
n343,efficiency,2
n344,processor,2
n345,speed,2
n346,minimal,2
n347,mechanisms,2
n348,search,2
n349,generalizations,2
n350,generalisations,2
n351,works,2
n352,reading,2
n353,writing,2
n354,disk,2
n355,parts,2
n356,files,2
n357,generalization,2
n358,love,2
n359,art,2
n360,science,2
n361,creativity,2
n362,rigour,2
n363,understanding,2
n364,want,2
n365,respects,2
n366,algorithms,2
n367,data,2
n368,structures,2
n369,engineering,2
n370,field,2
n371,constraints,2
n372,maintenance,2
n373,engineer,2
n374,horizon,2
n375,artist,2
n376,level,2
n377,notion,2
n378,sheet,2
n379,undergrad,2
n380,incremental,2
n381,lines,2
n382,class,2
n383,analysis,2
n384,collection,2
n385,earth,2
n386,scripts,2
n387,Python,2
n388,exploration,2
n389,AKA,2
n390,scripting,2
n391,El Eho,2
n392,Peter Weinberger,2
n393,tasks,2
n394,command,2
n395,line,2
n396,script,2
n397,tool,2
n398,terms,2
n399,languages,2
n400,bang,2
n401,buck,2
n402,somethings,2
n403,joy,2
n404,selection,2
n405,default,2
n406,behaviors,2
n407,moment,2
n408,Arktos,2
n409,patterns,2
n410,matches,2
n411,action,2
n412,pattern,2
n413,paradigm,2
n414,fields,2
n415,alkies,2
n416,commands,2
n417,crap,2
n418,grap,2
n419,grippe,2
n420,input,2
n421,expressions,2
n422,expression,2
n423,ORCA,2
n424,liner,2
n425,grep,2
n426,Windows,2
n427,windows,2
n428,simplicity,2
n429,weight,2
n430,Dos,2
n431,Kaminen,2
n432,Microsoft,2
n433,energy,2
n434,menus,2
n435,Computing,2
n436,struggle,2
n437,whistle,2
n438,cygwin,2
n439,batch,2
n440,suitable,2
n441,equivalents,2
n442,segment,2
n443,Barthélémy Bash,2
n444,write,2
n445,life,2
n446,setup,2
n447,inch,2
n448,MacBook Air,2
n449,balance,2
n450,horsepower,2
n451,screens,2
n452,keyboards,2
n453,screen,2
n454,ed,2
n455,Sam,2
n456,Ed,2
n457,Rob Pich,2
n458,V.I.,2
n459,Emacs,2
n460,Rob,2
n461,Eddie EnVie de.,2
n462,Emax,2
n463,interplay,2
n464,editors,2
n465,edit,2
n466,document,2
n467,QED,2
n468,cursor,2
n469,mice,2
n470,cursors,2
n471,terminals,2
n472,CRT,2
n473,type,2
n474,displays,2
n475,Lavonia,2
n476,LEDs,2
n477,Kinderhook,2
n478,print,2
