id,source,target,value
e0,n1250,n0,most
e1,n1250,n1,
e2,n1250,n2,different
e3,n1250,n3,more
e4,n1250,n4,
e5,n1250,n5,easy
e6,n1250,n6,
e7,n1250,n7,
e8,n1250,n8,other
e9,n1250,n9,
e10,n1250,n10,favorite
e11,n1250,n11,favorite
e12,n1250,n12,
e13,n1250,n13,
e14,n1250,n14,
e15,n1250,n15,fantastic
e16,n1250,n16,beautiful
e17,n1250,n17,
e18,n1250,n18,
e19,n1250,n19,underlying
e20,n1250,n20,
e21,n1250,n21,
e22,n1250,n22,
e23,n1250,n23,
e24,n1250,n24,
e25,n1250,n25,
e26,n1250,n26,
e27,n1250,n27,
e28,n1250,n28,other
e29,n1250,n29,only
e30,n1250,n30,
e31,n1250,n31,other
e32,n1250,n32,popular
e33,n1250,n33,
e34,n1250,n34,
e35,n1250,n35,
e36,n1250,n36,
e37,n1250,n37,
e38,n1250,n38,different
e39,n1250,n39,
e40,n1250,n40,
e41,n1250,n41,
e42,n1250,n42,complicated
e43,n1250,n43,
e44,n1250,n44,little
e45,n1250,n45,
e46,n1250,n46,single
e47,n1250,n47,
e48,n1250,n48,
e49,n1250,n49,other
e50,n1250,n50,
e51,n1250,n51,
e52,n1250,n52,
e53,n1250,n53,
e54,n1250,n54,excellent
e55,n1250,n55,
e56,n1250,n56,
e57,n1250,n57,small
e58,n1250,n58,martial
e59,n1250,n59,long
e60,n1250,n60,
e61,n1250,n61,first
e62,n1250,n62,
e63,n1250,n63,favorite
e64,n1250,n64,
e65,n1250,n65,
e66,n1250,n66,certain
e67,n1250,n67,other
e68,n1250,n68,
e69,n1250,n69,new
e70,n1250,n70,drunken
e71,n1250,n71,first
e72,n1250,n72,little
e73,n1250,n73,
e74,n1250,n74,
e75,n1250,n75,martial
e76,n1250,n76,
e77,n1250,n77,
e78,n1250,n78,recent
e79,n1250,n79,industrial
e80,n1250,n80,
e81,n1250,n81,fantastic
e82,n1250,n82,
e83,n1250,n83,
e84,n1250,n84,
e85,n1250,n85,
e86,n1250,n86,
e87,n1250,n87,
e88,n1250,n88,
e89,n1250,n89,little
e90,n1250,n90,favorite
e91,n1250,n91,
e92,n1250,n92,last
e93,n1250,n93,
e94,n1250,n94,
e95,n1250,n95,
e96,n1250,n96,
e97,n1250,n97,
e98,n1250,n98,
e99,n1250,n99,
e100,n1250,n100,
e101,n1250,n101,
e102,n1250,n102,objective
e103,n1250,n103,different
e104,n1250,n104,
e105,n1250,n105,
e106,n1250,n106,particular
e107,n1250,n107,
e108,n1250,n108,
e109,n1250,n109,
e110,n1250,n110,different
e111,n1250,n111,
e112,n1250,n112,single
e113,n1250,n113,specific
e114,n1250,n114,
e115,n1250,n115,aware
e116,n1250,n116,early
e117,n1250,n117,enough
e118,n1250,n118,
e119,n1250,n119,same
e120,n1250,n120,little
e121,n1250,n121,
e122,n1250,n122,
e123,n1250,n123,
e124,n1250,n124,bigger
e125,n1250,n125,different
e126,n1250,n126,
e127,n1250,n127,remote
