id,source,target,value
e0,n1632,n0,private
e1,n1632,n1,
e2,n1632,n2,philosophical
e3,n1632,n3,human
e4,n1632,n4,
e5,n1632,n5,stable
e6,n1632,n6,own
e7,n1632,n7,more
e8,n1632,n8,situational
e9,n1632,n9,
e10,n1632,n10,different
e11,n1632,n11,better
e12,n1632,n12,tough
e13,n1632,n13,
e14,n1632,n14,
e15,n1632,n15,small
e16,n1632,n16,
e17,n1632,n17,more
e18,n1632,n18,own
e19,n1632,n19,
e20,n1632,n20,German
e21,n1632,n21,slippery
e22,n1632,n22,same
e23,n1632,n23,apparent
e24,n1632,n24,smaller
e25,n1632,n25,interested
e26,n1632,n26,
e27,n1632,n27,
e28,n1632,n28,rational
e29,n1632,n29,few
e30,n1632,n30,
e31,n1632,n31,
e32,n1632,n32,
e33,n1632,n33,
e34,n1632,n34,military
e35,n1632,n35,
e36,n1632,n36,
e37,n1632,n37,young
e38,n1632,n38,
e39,n1632,n39,greater
e40,n1632,n40,
e41,n1632,n41,small
e42,n1632,n42,
e43,n1632,n43,utopian
e44,n1632,n44,
e45,n1632,n45,
e46,n1632,n46,different
e47,n1632,n47,hardcore
e48,n1632,n48,
e49,n1632,n49,
e50,n1632,n50,sure
e51,n1632,n51,evolutionary
e52,n1632,n52,
e53,n1632,n53,physical
e54,n1632,n54,great
e55,n1632,n55,
e56,n1632,n56,
e57,n1632,n57,
e58,n1632,n58,
e59,n1632,n59,
e60,n1632,n60,
e61,n1632,n61,good
e62,n1632,n62,political
e63,n1632,n63,political
e64,n1632,n64,creative
e65,n1632,n65,
e66,n1632,n66,broken
e67,n1632,n67,
e68,n1632,n68,formative
e69,n1632,n69,
e70,n1632,n70,Nazi
e71,n1632,n71,personal
e72,n1632,n72,permanent
e73,n1632,n73,
e74,n1632,n74,other
e75,n1632,n75,same
e76,n1632,n76,worse
e77,n1632,n77,
e78,n1632,n78,only
e79,n1632,n79,very
e80,n1632,n80,
e81,n1632,n81,unintentional
e82,n1632,n82,terrible
e83,n1632,n83,
e84,n1632,n84,
e85,n1632,n85,
e86,n1632,n86,
e87,n1632,n87,certain
e88,n1632,n88,conspiratorial
e89,n1632,n89,better
e90,n1632,n90,
e91,n1632,n91,good
e92,n1632,n92,
e93,n1632,n93,possible
e94,n1632,n94,whole
e95,n1632,n95,historical
e96,n1632,n96,
e97,n1632,n97,traditional
e98,n1632,n98,psychological
e99,n1632,n99,
e100,n1632,n100,many
e101,n1632,n101,
e102,n1632,n102,
e103,n1632,n103,seventh
e104,n1632,n104,different
e105,n1632,n105,
e106,n1632,n106,
e107,n1632,n107,
e108,n1632,n108,
e109,n1632,n109,
e110,n1632,n110,mass
e111,n1632,n111,
e112,n1632,n112,human
e113,n1632,n113,
e114,n1632,n114,little
e115,n1632,n115,vast
e116,n1632,n116,counter
e117,n1632,n117,safe
e118,n1632,n118,
e119,n1632,n119,
e120,n1632,n120,certain
e121,n1632,n121,tribal
e122,n1632,n122,own
e123,n1632,n123,natural
e124,n1632,n124,intellectual
e125,n1632,n125,individual
e126,n1632,n126,
e127,n1632,n127,highest
e128,n1632,n128,
e129,n1632,n129,
e130,n1632,n130,
e131,n1632,n131,
e132,n1632,n132,
e133,n1632,n133,human
e134,n1632,n134,
e135,n1632,n135,
e136,n1632,n136,Christian
e137,n1632,n137,proper
e138,n1632,n138,ahimsa
e139,n1632,n139,
e140,n1632,n140,
e141,n1632,n141,
e142,n1632,n142,real
e143,n1632,n143,random
e144,n1632,n144,
e145,n1632,n145,centralized
e146,n1632,n146,criminal
e147,n1632,n147,
e148,n1632,n148,terrorist
e149,n1632,n149,
e150,n1632,n150,better
e151,n1632,n151,
e152,n1632,n152,great
e153,n1632,n153,
e154,n1632,n154,
e155,n1632,n155,
e156,n1632,n156,good
e157,n1632,n157,early
e158,n1632,n158,
e159,n1632,n159,more
e160,n1632,n160,
e161,n1632,n161,intellectual
e162,n1632,n162,more
e163,n1632,n163,
e164,n1632,n164,heroic
e165,n1632,n165,
e166,n1632,n166,
e167,n1632,n167,
e168,n1632,n168,traditional
e169,n1632,n169,
e170,n1632,n170,
e171,n1632,n171,hopeful
e172,n1632,n172,long
e173,n1632,n173,less
e174,n1632,n174,own
e175,n1632,n175,Different
e176,n1632,n176,permanent
e177,n1632,n177,reflective
e178,n1632,n178,global
e179,n1632,n179,
e180,n1632,n180,ancient
e181,n1632,n181,20th
e182,n1632,n182,whole
e183,n1632,n183,old
e184,n1632,n184,
e185,n1632,n185,
e186,n1632,n186,
e187,n1632,n187,first
e188,n1632,n188,
e189,n1632,n189,
e190,n1632,n190,
e191,n1632,n191,other
e192,n1632,n192,important
e193,n1632,n193,
e194,n1632,n194,various
e195,n1632,n195,French
e196,n1632,n196,unfair
e197,n1632,n197,traditional
e198,n1632,n198,
e199,n1632,n199,other
e200,n1632,n200,
e201,n1632,n201,
e202,n1632,n202,
e203,n1632,n203,arsonist
e204,n1632,n204,many
e205,n1632,n205,
e206,n1632,n206,
e207,n1632,n207,
e208,n1632,n208,
e209,n1632,n209,particular
e210,n1632,n210,
e211,n1632,n211,
e212,n1632,n212,
e213,n1632,n213,
e214,n1632,n214,other
e215,n1632,n215,
e216,n1632,n216,funny
e217,n1632,n217,full
e218,n1632,n218,
