id,name,group
n0,conversation,2
n1,Daphne Koller,1
n2,Coursera,2
n3,impact,2
n4,education,2
n5,A.I.,2
n6,years,2
n7,blog,2
n8,post,2
n9,challenge,2
n10,development,2
n11,machine,2
n12,learning,2
n13,applications,2
n14,health,2
n15,questions,2
n16,cures,2
n17,diseases,2
n18,today,2
n19,way,2
n20,lifespan,2
n21,point,2
n22,immortality,2
n23,predictions,2
n24,type,2
n25,X,2
n26,smacks,2
n27,hubris,2
n28,eternity,2
n29,existence,2
n30,problem,2
n31,curing,2
n32,disease,2
n33,oftentimes,2
n34,damage,2
n35,stage,2
n36,ways,2
n37,parts,2
n38,body,2
n39,state,2
n40,treatment,2
n41,number,2
n42,work,2
n43,scale,2
n44,mechanisms,2
n45,sense,2
n46,computer,2
n47,science,2
n48,perspective,2
n49,world,2
n50,ones,2
n51,biology,2
n52,people,2
n53,70s,2
n54,80s,2
n55,majority,2
n56,schizophrenia,2
n57,diabetes,2
n58,hypotheses,2
n59,Type,2
n60,collection,2
n61,breast,2
n62,cancer,2
n63,multitude,2
n64,proliferation,2
n65,understanding,2
n66,mix,2
n67,insulin,2
n68,resistance,2
n69,longevity,2
n70,efforts,2
n71,phenomenon,2
n72,childhood,2
n73,risk,2
n74,contracting,2
n75,connection,2
n76,correlation,2
n77,fact,2
n78,occurrence,2
n79,processes,2
n80,cells,2
n81,age,2
n82,DNA,2
n83,repair,2
n84,accumulations,2
n85,proteins,2
n86,inflammation,2
n87,wear,2
n88,tear,2
n89,level,2
n90,tangent,2
n91,feature,2
n92,growth,2
n93,kind,2
n94,mechanism,2
n95,aging,2
n96,mortality,2
n97,span,2
n98,People,2
n99,aspiration,2
n100,quality,2
n101,life,2
n102,goal,2
n103,society,2
n104,debate,2
n105,universe,2
n106,role,2
n107,data,2
n108,play,2
n109,methods,2
n110,sets,2
n111,increase,2
n112,technologies,2
n113,case,2
n114,tools,2
n115,purpose,2
n116,extent,2
n117,techniques,2
n118,production,2
n119,discovery,2
n120,byproduct,2
n121,set,2
n122,analysis,2
n123,method,2
n124,Citra,2
n125,repertoire,2
n126,bioengineers,2
n127,cell,2
n128,biologists,2
n129,brand,2
n130,datasets,2
n131,models,2
n132,problems,2
n133,focus,2
n134,chemistry,2
n135,kinds,2
n136,terms,2
n137,end,2
n138,means,2
n139,address,2
n140,challenges,2
n141,opinion,2
n142,ability,2
n143,details,2
n144,step,2
n145,interest,2
n146,moments,2
n147,events,2
n148,tragedies,2
n149,passion,2
n150,desire,2
n151,2000s,2
n152,peers,2
n153,timers,2
n154,quote,2
n155,newsgroups,2
n156,text,2
n157,concept,2
n158,question,2
n159,bag,2
n160,words,2
n161,aspects,2
n162,papers,2
n163,component,2
n164,drug,2
n165,incident,2
n166,father,2
n167,lungs,2
n168,doctors,2
n169,thing,2
n170,prednisone,2
n171,doctor,2
n172,lung,2
n173,biopsy,2
n174,treatments,2
n175,friends,2
n176,rheumatologist,2
n177,FDA,2
n178,presses,2
n179,ratio,2
n180,effects,2
n181,Today,2
n182,immunity,2
n183,drugs,2
n184,engine,2
n185,company,2
n186,Citral,2
n187,Focus,2
n188,utilization,2
n189,model,2
n190,dish,2
n191,complex,2
n192,system,2
n193,animal,2
n194,testing,2
n195,mice,2
n196,mouse,2
n197,perturbation,2
n198,hope,2
n199,humans,2
n200,human,2
n201,copy,2
n202,phenotype,2
n203,outcome,2
n204,cases,2
n205,Mice,2
n206,atherosclerosis,2
n207,autism,2
n208,findings,2
n209,bottles,2
n210,approach,2
n211,instance,2
n212,Zeskind,2
n213,stem,2
n214,status,2
n215,types,2
n216,leks,2
n217,neuron,2
n218,cardiomyocytes,2
n219,Allex,2
n220,hepatocyte,2
n221,genetics,2
n222,burden,2
n223,interventions,2
n224,course,2
n225,gap,2
n226,reason,2
n227,factor,2
n228,magic,2
n229,result,2
n230,noise,2
n231,finicky,2
n232,stages,2
n233,contract,2
n234,research,2
n235,organizations,2
n236,vendors,2
n237,sample,2
n238,fraction,2
n239,changes,2
n240,skin,2
n241,exposures,2
n242,factors,2
n243,consensus,2
n244,bits,2
n245,pieces,2
n246,memory,2
n247,size,2
n248,reversals,2
n249,reverse,2
n250,reversal,2
n251,tens,2
n252,thousands,2
n253,hundreds,2
n254,IPS,2
n255,center,2
n256,range,2
n257,generate,2
n258,background,2
n259,experiments,2
n260,mutation,2
n261,miracle,2
n262,decade,2
n263,gene,2
n264,editing,2
n265,comparison,2
n266,starting,2
n267,diversity,2
n268,patient,2
n269,disposal,2
n270,difference,2
n271,populations,2
n272,peoples,2
n273,variability,2
n274,genotype,2
n275,staff,2
n276,differences,2
n277,term,2
n278,formulations,2
n279,variations,2
n280,genome,2
n281,scores,2
n282,person,2
n283,spectrum,2
n284,rise,2
n285,decile,2
n286,stretch,2
n287,explanation,2
n288,signal,2
n289,principle,2
n290,signals,2
n291,heck,2
n292,source,2
n293,information,2
n294,outsider,2
n295,revolutions,2
n296,90s,2
n297,era,2
n298,microarrays,2
n299,experiment,2
n300,activity,2
n301,expression,2
n302,multiple,2
n303,subtypes,2
n304,beginning,2
n305,process,2
n306,RNA,2
n307,sequencing,2
n308,genes,2
n309,transcripts,2
n310,digital,2
n311,resolution,2
n312,reconstruction,2
n313,structures,2
n314,diffraction,2
n315,limit,2
n316,light,2
n317,scientists,2
n318,developmental,2
n319,help,2
n320,pathways,2
n321,patients,2
n322,patterns,2
n323,subtype,2
n324,intervention,2
n325,benefit,2
n326,hypothesis,2
n327,feeling,2
n328,discussion,2
n329,days,2
n330,fundamentals,2
n331,dataset,2
n332,place,2
n333,morning,2
n334,Cedro,2
n335,job,2
n336,ads,2
n337,-,2
n338,commerce,2
n339,self,2
n340,cars,2
n341,nature,2
n342,humanity,2
n343,approaches,2
n344,promises,2
n345,promise,2
n346,characteristics,2
n347,basis,2
n348,setting,2
n349,stomach,2
n350,systems,2
n351,B,2
n352,instability,2
n353,capability,2
n354,organoids,2
n355,organ,2
n356,liver,2
n357,kidney,2
n358,organoid,2
n359,horizon,2
n360,stuff,2
n361,milk,2
n362,revolution,2
n363,topics,2
n364,origin,2
n365,story,2
n366,history,2
n367,Moakes,2
n368,audiences,2
n369,topic,2
n370,generation,2
n371,Moogs,2
n372,Stanford University,2
n373,Stanford,2
n374,individuals,2
n375,opportunities,2
n376,teaching,2
n377,Andrew,2
n378,engineering,2
n379,attempt,2
n380,courses,2
n381,video,2
n382,lectures,2
n383,effort,2
n384,units,2
n385,interactions,2
n386,support,2
n387,university,2
n388,leaders,2
n389,instruction,2
n390,classroom,2
n391,excitement,2
n392,energy,2
n393,community,2
n394,potential,2
n395,fall,2
n396,launch,2
n397,acronym,2
n398,Big Bang,2
n399,start,2
n400,matter,2
n401,weeks,2
n402,publicity,2
n403,campaign,2
n404,New York Times,2
n405,article,2
n406,students,2
n407,need,2
n408,academics,2
n409,labs,2
n410,debating,2
n411,Profit,2
n412,profit,2
n413,Corsaro,2
n414,rest,2
n415,popularity,2
n416,hunger,2
n417,globalization,2
n418,college,2
n419,skills,2
n420,change,2
n421,jobs,2
n422,material,2
n423,pedagogy,2
n424,playing,2
n425,ideas,2
n426,campus,2
n427,workforce,2
n428,week,2
n429,lives,2
n430,shortness,2
n431,entirety,2
n432,lecture,2
n433,MIT Open Courseware,2
n434,initiatives,2
n435,recording,2
n436,half,2
n437,experience,2
n438,kids,2
n439,errands,2
n440,modules,2
n441,minutes,2
n442,line,2
n443,kid,2
n444,appointment,2
n445,completion,2
n446,content,2
n447,works,2
n448,pace,2
n449,flexibility,2
n450,brevity,2
n451,engagement,2
n452,feedback,2
n453,introduction,2
n454,intuition,2
n455,quizzes,2
n456,assessments,2
n457,gender,2
n458,bias,2
n459,instructor,2
n460,balance,2
n461,men,2
n462,women,2
n463,compression,2
n464,creator,2
n465,times,2
n466,preparation,2
n467,crispness,2
n468,clarity,2
n469,delivers,2
n470,crispiness,2
n471,face,2
n472,chance,2
n473,practice,2
n474,moves,2
n475,chunks,2
n476,methodology,2
n477,videos,2
n478,exercises,2
n479,class,2
n480,classes,2
n481,group,2
n482,pedagogies,2
n483,instructors,2
n484,experts,2
n485,faculty,2
n486,future,2
n487,trend,2
n488,answer,2
n489,Mook,2
n490,Face,2
n491,study,2
n492,groups,2
n493,success,2
n494,learners,2
n495,music,2
n496,concerts,2
n497,school,2
n498,expertise,2
n499,format,2
n500,option,2
n501,intelligence,2
n502,recommendation,2
n503,journey,2
n504,plenty,2
n505,foundations,2
n506,mathematics,2
n507,statistics,2
n508,programming,2
n509,crank,2
n510,innovation,2
n511,adjustment,2
n512,hand,2
n513,application,2
n514,artifacts,2
n515,mistakes,2
n516,workplace,2
n517,Kagle,2
n518,competitions,2
n519,Practice,2
n520,idea,2
n521,training,2
n522,piece,2
n523,building,2
n524,blocks,2
n525,tasks,2
n526,blob,2
n527,middle,2
n528,notion,2
n529,representation,2
n530,turn,2
n531,task,2
n532,space,2
n533,capabilities,2
n534,networks,2
n535,amounts,2
n536,math,2
n537,surprise,2
n538,knowledge,2
n539,search,2
n540,construction,2
n541,solution,2
n542,architecture,2
n543,network,2
n544,images,2
n545,language,2
n546,speech,2
n547,Insight,2
n548,structure,2
n549,feel,2
n550,performance,2
n551,the Universal Learning Machine,2
n552,insight,2
n553,vision,2
n554,uncertainty,2
n555,limitations,2
n556,uncertainties,2
n557,confidence,2
n558,sale,2
n559,reliability,2
n560,issue,2
n561,areas,2
n562,diagnosis,2
n563,epitome,2
n564,population,2
n565,outlier,2
n566,mission,2
n567,stake,2
n568,road,2
n569,pedestrian,2
n570,Bayesian,2
n571,Gaussian,2
n572,slew,2
n573,ensembles,2
n574,subsets,2
n575,points,2
n576,area,2
n577,land,2
n578,philosophy,2
n579,speaking,2
n580,assistance,2
n581,Stuart Russell,2
n582,doubt,2
n583,power,2
n584,control,2
n585,supervision,2
n586,vehicles,2
n587,car,2
n588,trouble,2
n589,ajai,2
n590,reach,2
n591,feasibility,2
n592,timelines,2
n593,controls,2
n594,protections,2
n595,dream,2
n596,pioneers,2
n597,test,2
n598,discussions,2
n599,algorithms,2
n600,pattern,2
n601,recognizers,2
n602,domains,2
n603,a.,2
n604,Machine,2
n605,algorithm,2
n606,version,2
n607,versatility,2
n608,toddler,2
n609,knowledgebase,2
n610,brain,2
n611,machines,2
n612,superintelligence,2
n613,abilities,2
n614,generalization,2
n615,I.,2
n616,threats,2
n617,Aidi,2
n618,skeleton,2
n619,consequences,2
n620,exacerbates,2
n621,grid,2
n622,software,2
n623,markets,2
n624,crashes,2
n625,loops,2
n626,places,2
n627,interoperability,2
n628,tests,2
n629,circumstances,2
n630,vehicle,2
n631,city,2
n632,village,2
n633,weather,2
n634,condition,2
n635,conditions,2
n636,generalizability,2
n637,robustness,2
n638,robots,2
n639,threat,2
n640,analogy,2
n641,technology,2
n642,good,2
n643,missiles,2
n644,guns,2
n645,bombs,2
n646,CRISPR,2
n647,viruses,2
n648,attacks,2
n649,security,2
n650,recognition,2
n651,killer,2
n652,drones,2
n653,execution,2
n654,country,2
n655,trends,2
n656,wars,2
n657,violence,2
n658,rights,2
n659,species,2
n660,gooders,2
n661,norms,2
n662,societies,2
n663,behaviors,2
n664,member,2
n665,direction,2
n666,regard,2
n667,scientist,2
n668,meaning,2
n669,fulfillment,2
n670,Happiness,2
n671,joy,2
n672,Steve Jobs,2
n673,media,2
n674,quotes,2
n675,dent,2
n676,deathbed,2
n677,family,2
n678,parents,2
n679,care,2
n680,opportunity,2
n681,honor,2
n682,Thanks,2
n683,sponsor,2
n684,cash,2
n685,app,2
n686,podcast,2
n687,Code Leks,2
n688,Apple,2
n689,Patrón,2
n690,Twitter,2
n691,Epocrates,2
n692,physician,2
n693,Greece,2
n694,medicine,2
n695,art,2
n696,love,2
n697,listening,2
n698,Daphne Koller_ Biomedicine and Machine Learning _ Lex Fridman Podcast _93,1
