id,source,target,value
e0,n983,n0,social
e1,n983,n1,
e2,n983,n2,new
e3,n983,n3,human
e4,n983,n4,high
e5,n983,n5,
e6,n983,n6,
e7,n983,n7,particular
e8,n983,n8,whole
e9,n983,n9,
e10,n983,n10,
e11,n983,n11,
e12,n983,n12,much
e13,n983,n13,other
e14,n983,n14,new
e15,n983,n15,
e16,n983,n16,visual
e17,n983,n17,own
e18,n983,n18,different
e19,n983,n19,
e20,n983,n20,
e21,n983,n21,new
e22,n983,n22,
e23,n983,n23,
e24,n983,n24,terrific
e25,n983,n25,peripheral
e26,n983,n26,actual
e27,n983,n27,
e28,n983,n28,
e29,n983,n29,easy
e30,n983,n30,little
e31,n983,n31,few
e32,n983,n32,
e33,n983,n33,slight
e34,n983,n34,different
e35,n983,n35,
e36,n983,n36,
e37,n983,n37,
e38,n983,n38,patient
e39,n983,n39,
e40,n983,n40,real
e41,n983,n41,
e42,n983,n42,nice
e43,n983,n43,
e44,n983,n44,clinical
e45,n983,n45,
e46,n983,n46,
e47,n983,n47,
e48,n983,n48,
e49,n983,n49,whole
e50,n983,n50,
e51,n983,n51,possible
e52,n983,n52,difficult
e53,n983,n53,
e54,n983,n54,
e55,n983,n55,
e56,n983,n56,
e57,n983,n57,most
e58,n983,n58,general
e59,n983,n59,magic
e60,n983,n60,
e61,n983,n61,
e62,n983,n62,
e63,n983,n63,
e64,n983,n64,
e65,n983,n65,
e66,n983,n66,
e67,n983,n67,
e68,n983,n68,
e69,n983,n69,
e70,n983,n70,
e71,n983,n71,entire
e72,n983,n72,more
e73,n983,n73,
e74,n983,n74,most
e75,n983,n75,popular
e76,n983,n76,
e77,n983,n77,
e78,n983,n78,
e79,n983,n79,much
e80,n983,n80,
e81,n983,n81,
e82,n983,n82,
e83,n983,n83,different
e84,n983,n84,large
e85,n983,n85,different
e86,n983,n86,
e87,n983,n87,
e88,n983,n88,good
e89,n983,n89,
e90,n983,n90,
e91,n983,n91,
e92,n983,n92,
e93,n983,n93,
e94,n983,n94,
e95,n983,n95,new
e96,n983,n96,plastic
e97,n983,n97,live
e98,n983,n98,
e99,n983,n99,
e100,n983,n100,
e101,n983,n101,
e102,n983,n102,
e103,n983,n103,whole
e104,n983,n104,few
e105,n983,n105,
e106,n983,n106,few
e107,n983,n107,normal
e108,n983,n108,
e109,n983,n109,magnetic
e110,n983,n110,
e111,n983,n111,
e112,n983,n112,different
e113,n983,n113,
e114,n983,n114,visual
e115,n983,n115,right
e116,n983,n116,
e117,n983,n117,
e118,n983,n118,other
e119,n983,n119,certain
e120,n983,n120,
e121,n983,n121,
e122,n983,n122,
e123,n983,n123,
e124,n983,n124,
e125,n983,n125,
e126,n983,n126,
e127,n983,n127,
e128,n983,n128,
e129,n983,n129,
e130,n983,n130,
e131,n983,n131,different
e132,n983,n132,different
e133,n983,n133,different
e134,n983,n134,internal
e135,n983,n135,artificial
e136,n983,n136,whole
e137,n983,n137,
e138,n983,n138,
e139,n983,n139,
e140,n983,n140,big
e141,n983,n141,fellow
e142,n983,n142,other
e143,n983,n143,different
e144,n983,n144,
e145,n983,n145,
e146,n983,n146,other
e147,n983,n147,
e148,n983,n148,common
e149,n983,n149,
e150,n983,n150,
e151,n983,n151,successful
e152,n983,n152,whole
e153,n983,n153,
e154,n983,n154,
e155,n983,n155,
e156,n983,n156,
e157,n983,n157,
e158,n983,n158,own
e159,n983,n159,
e160,n983,n160,
e161,n983,n161,other
e162,n983,n162,
e163,n983,n163,
e164,n983,n164,
e165,n983,n165,blank
e166,n983,n166,
e167,n983,n167,
e168,n983,n168,complicated
e169,n983,n169,
e170,n983,n170,
e171,n983,n171,
e172,n983,n172,different
e173,n983,n173,particular
e174,n983,n174,chemical
e175,n983,n175,electrical
e176,n983,n176,
e177,n983,n177,
e178,n983,n178,
e179,n983,n179,
e180,n983,n180,
e181,n983,n181,
e182,n983,n182,
e183,n983,n183,
e184,n983,n184,
e185,n983,n185,
e186,n983,n186,synaptic
e187,n983,n187,
e188,n983,n188,
e189,n983,n189,
e190,n983,n190,weird
e191,n983,n191,
e192,n983,n192,little
e193,n983,n193,
e194,n983,n194,conformational
e195,n983,n195,more
e196,n983,n196,synaptic
e197,n983,n197,current
e198,n983,n198,different
e199,n983,n199,
e200,n983,n200,
e201,n983,n201,important
e202,n983,n202,
e203,n983,n203,
e204,n983,n204,distant
e205,n983,n205,
e206,n983,n206,
e207,n983,n207,
e208,n983,n208,
e209,n983,n209,different
e210,n983,n210,different
e211,n983,n211,oldest
e212,n983,n212,
e213,n983,n213,
e214,n983,n214,older
e215,n983,n215,
e216,n983,n216,gradual
e217,n983,n217,same
e218,n983,n218,hard
e219,n983,n219,
e220,n983,n220,
e221,n983,n221,
e222,n983,n222,exciting
e223,n983,n223,
e224,n983,n224,unquote
e225,n983,n225,important
e226,n983,n226,
e227,n983,n227,different
e228,n983,n228,
e229,n983,n229,
e230,n983,n230,
e231,n983,n231,
e232,n983,n232,particular
e233,n983,n233,whole
e234,n983,n234,good
e235,n983,n235,
e236,n983,n236,developmental
e237,n983,n237,right
e238,n983,n238,embryonic
e239,n983,n239,glial
e240,n983,n240,
e241,n983,n241,old
e242,n983,n242,new
e243,n983,n243,
e244,n983,n244,
e245,n983,n245,
e246,n983,n246,
e247,n983,n247,
e248,n983,n248,internal
e249,n983,n249,
e250,n983,n250,
e251,n983,n251,
e252,n983,n252,own
e253,n983,n253,
e254,n983,n254,
e255,n983,n255,
e256,n983,n256,
e257,n983,n257,
e258,n983,n258,different
e259,n983,n259,
e260,n983,n260,
e261,n983,n261,thin
e262,n983,n262,
e263,n983,n263,good
e264,n983,n264,
e265,n983,n265,compelling
e266,n983,n266,
e267,n983,n267,good
e268,n983,n268,
e269,n983,n269,
e270,n983,n270,
e271,n983,n271,
e272,n983,n272,
e273,n983,n273,
e274,n983,n274,
e275,n983,n275,
e276,n983,n276,
e277,n983,n277,neural
e278,n983,n278,
e279,n983,n279,
e280,n983,n280,basic
e281,n983,n281,futuristic
e282,n983,n282,young
e283,n983,n283,good
e284,n983,n284,fat
e285,n983,n285,
e286,n983,n286,canonical
e287,n983,n287,rapid
e288,n983,n288,inner
e289,n983,n289,
e290,n983,n290,open
e291,n983,n291,
e292,n983,n292,big
e293,n983,n293,
e294,n983,n294,
e295,n983,n295,
e296,n983,n296,
e297,n983,n297,
e298,n983,n298,tiny
e299,n983,n299,
e300,n983,n300,delicate
e301,n983,n301,
e302,n983,n302,
e303,n983,n303,
e304,n983,n304,
e305,n983,n305,
e306,n983,n306,
e307,n983,n307,higher
e308,n983,n308,
e309,n983,n309,
e310,n983,n310,similar
e311,n983,n311,autonomous
e312,n983,n312,brilliant
e313,n983,n313,
e314,n983,n314,
e315,n983,n315,
e316,n983,n316,
e317,n983,n317,
e318,n983,n318,
e319,n983,n319,
e320,n983,n320,exciting
e321,n983,n321,actual
e322,n983,n322,new
e323,n983,n323,artificial
e324,n983,n324,cochlear
e325,n983,n325,digital
e326,n983,n326,
