id,name,group
n0,conversation,2
n1,David Eagleman,1
n2,book,2
n3,brain,2
n4,level,2
n5,overview,2
n6,Live,2
n7,way,2
n8,thing,2
n9,terms,2
n10,metaphors,2
n11,hardware,2
n12,software,2
n13,stuff,2
n14,term,2
n15,live,2
n16,system,2
n17,world,2
n18,layers,2
n19,engineers,2
n20,efficiency,2
n21,sorts,2
n22,universality,2
n23,piece,2
n24,engineering,2
n25,devices,2
n26,circuitry,2
n27,cell,2
n28,phone,2
n29,example,2
n30,kids,2
n31,years,2
n32,half,2
n33,limp,2
n34,body,2
n35,children,2
n36,hemisphere,2
n37,thousands,2
n38,cases,2
n39,tasks,2
n40,estate,2
n41,quirk,2
n42,feature,2
n43,evolution,2
n44,work,2
n45,Billions,2
n46,trillions,2
n47,organisms,2
n48,skull,2
n49,idea,2
n50,systems,2
n51,future,2
n52,challenge,2
n53,blueprints,2
n54,pounds,2
n55,organ,2
n56,tens,2
n57,neuroscientists,2
n58,principles,2
n59,camera,2
n60,nucleus,2
n61,the hundreds of thousands,2
n62,hundreds,2
n63,Crick,2
n64,Watson,2
n65,order,2
n66,base,2
n67,pairs,2
n68,rest,2
n69,details,2
n70,goal,2
n71,life,2
n72,plastic,2
n73,pause,2
n74,people,2
n75,sources,2
n76,perspective,2
n77,debates,2
n78,decades,2
n79,neuroplasticity,2
n80,topic,2
n81,stage,2
n82,confusion,2
n83,plasticity,2
n84,studies,2
n85,ages,2
n86,distance,2
n87,Fred,2
n88,child,2
n89,the tens of thousands,2
n90,papers,2
n91,molecular,2
n92,diminishes,2
n93,surprise,2
n94,ability,2
n95,shape,2
n96,toy,2
n97,wire,2
n98,William James,2
n99,course,2
n100,manufacturing,2
n101,mold,2
n102,endpoint,2
n103,point,2
n104,minutes,2
n105,face,2
n106,months,2
n107,circumstances,2
n108,podcast,2
n109,field,2
n110,fact,2
n111,issue,2
n112,parts,2
n113,windows,2
n114,cortex,2
n115,place,2
n116,stability,2
n117,data,2
n118,words,2
n119,number,2
n120,angles,2
n121,colours,2
n122,shapes,2
n123,somatosensory,2
n124,information,2
n125,bodies,2
n126,leg,2
n127,bicycle,2
n128,surfboard,2
n129,hardens,2
n130,harden,2
n131,times,2
n132,sensors,2
n133,cultures,2
n134,experience,2
n135,eyes,2
n136,reason,2
n137,computer,2
n138,line,2
n139,malleability,2
n140,trick,2
n141,humans,2
n142,creatures,2
n143,degrees,2
n144,alligator,2
n145,generation,2
n146,hand,2
n147,culture,2
n148,language,2
n149,beliefs,2
n150,customs,2
n151,trek,2
n152,planet,2
n153,result,2
n154,guard,2
n155,age,2
n156,risk,2
n157,process,2
n158,hell,2
n159,environment,2
n160,experiment,2
n161,animals,2
n162,zoos,2
n163,stone,2
