id,source,target,value
e0,n2020,n0,original
e1,n2020,n1,
e2,n2020,n2,
e3,n2020,n3,
e4,n2020,n4,
e5,n2020,n5,ridiculous
e6,n2020,n6,whole
e7,n2020,n7,best
e8,n2020,n8,
e9,n2020,n9,different
e10,n2020,n10,big
e11,n2020,n11,tactical
e12,n2020,n12,middle
e13,n2020,n13,
e14,n2020,n14,single
e15,n2020,n15,
e16,n2020,n16,extensive
e17,n2020,n17,
e18,n2020,n18,Most
e19,n2020,n19,
e20,n2020,n20,most
e21,n2020,n21,biological
e22,n2020,n22,
e23,n2020,n23,top
e24,n2020,n24,real
e25,n2020,n25,
e26,n2020,n26,real
e27,n2020,n27,
e28,n2020,n28,big
e29,n2020,n29,best
e30,n2020,n30,entire
e31,n2020,n31,high
e32,n2020,n32,
e33,n2020,n33,
e34,n2020,n34,bad
e35,n2020,n35,
e36,n2020,n36,difficult
e37,n2020,n37,small
e38,n2020,n38,
e39,n2020,n39,
e40,n2020,n40,
e41,n2020,n41,
e42,n2020,n42,
e43,n2020,n43,many
e44,n2020,n44,bad
e45,n2020,n45,
e46,n2020,n46,
e47,n2020,n47,
e48,n2020,n48,
e49,n2020,n49,
e50,n2020,n50,high
e51,n2020,n51,same
e52,n2020,n52,high
e53,n2020,n53,only
e54,n2020,n54,
e55,n2020,n55,defensive
e56,n2020,n56,
e57,n2020,n57,
e58,n2020,n58,
e59,n2020,n59,same
e60,n2020,n60,due
e61,n2020,n61,
e62,n2020,n62,entire
e63,n2020,n63,
e64,n2020,n64,
e65,n2020,n65,
e66,n2020,n66,
e67,n2020,n67,
e68,n2020,n68,
e69,n2020,n69,
e70,n2020,n70,
e71,n2020,n71,
e72,n2020,n72,
e73,n2020,n73,
e74,n2020,n74,tactical
e75,n2020,n75,top
e76,n2020,n76,
e77,n2020,n77,original
e78,n2020,n78,
e79,n2020,n79,
e80,n2020,n80,same
e81,n2020,n81,easiest
e82,n2020,n82,rare
e83,n2020,n83,
e84,n2020,n84,
e85,n2020,n85,
e86,n2020,n86,
e87,n2020,n87,
e88,n2020,n88,
e89,n2020,n89,
e90,n2020,n90,
e91,n2020,n91,
e92,n2020,n92,
e93,n2020,n93,central
e94,n2020,n94,
e95,n2020,n95,
e96,n2020,n96,human
e97,n2020,n97,
e98,n2020,n98,blue
e99,n2020,n99,
e100,n2020,n100,other
e101,n2020,n101,few
e102,n2020,n102,funny
e103,n2020,n103,
e104,n2020,n104,
e105,n2020,n105,
e106,n2020,n106,
e107,n2020,n107,American
e108,n2020,n108,
e109,n2020,n109,full
e110,n2020,n110,interesting
e111,n2020,n111,
e112,n2020,n112,
e113,n2020,n113,civilian
e114,n2020,n114,
e115,n2020,n115,running
e116,n2020,n116,new
e117,n2020,n117,
e118,n2020,n118,
e119,n2020,n119,good
e120,n2020,n120,
e121,n2020,n121,
e122,n2020,n122,same
e123,n2020,n123,
e124,n2020,n124,entire
e125,n2020,n125,
e126,n2020,n126,
e127,n2020,n127,rare
