id,name,group
n0,conversation,2
n1,David Fraizer,2
n2,graduate,2
n3,the Navy Fighter Weapons School,2
n4,Top Gun,2
n5,question,2
n6,movie,2
n7,friend,2
n8,instructor,2
n9,place,2
n10,number,2
n11,airplanes,2
n12,class,2
n13,log,2
n14,person,2
n15,seal,2
n16,training,2
n17,list,2
n18,people,2
n19,posers,2
n20,Navy,2
n21,matter,2
n22,fact,2
n23,gun,2
n24,patch,2
n25,patches,2
n26,ones,2
n27,badge,2
n28,deal,2
n29,experiences,2
n30,group,2
n31,level,2
n32,students,2
n33,sides,2
n34,guys,2
n35,Phalen,2
n36,job,2
n37,tolerance,2
n38,Breece,2
n39,lecture,2
n40,fight,2
n41,employment,2
n42,days,2
n43,fighter,2
n44,guy,2
n45,multiple,2
n46,murder,2
n47,boards,2
n48,peers,2
n49,slides,2
n50,order,2
n51,thing,2
n52,school,2
n53,reason,2
n54,strike,2
n55,weapons,2
n56,tactics,2
n57,safety,2
n58,weapon,2
n59,schools,2
n60,east,2
n61,West Coast,2
n62,fleet,2
n63,squadrons,2
n64,rides,2
n65,course,2
n66,rank,2
n67,lieutenant,2
n68,commander,2
n69,lieutenants,2
n70,hierarchy,2
n71,today,2
n72,seniority,2
n73,the Phalen Ranges,2
n74,decisions,2
n75,X,2
n76,folks,2
n77,decision,2
n78,door,2
n79,staff,2
n80,language,2
n81,way,2
n82,individuals,2
n83,bar,2
n84,excellence,2
n85,instructors,2
n86,hey,2
n87,standard,2
n88,moment,2
n89,someplace,2
n90,site,2
n91,visits,2
n92,Tullamore,2
n93,California,2
n94,the West Coast,2
n95,sorties,2
n96,knowledge,2
n97,guard,2
n98,shirts,2
n99,sleeve,2
n100,pilot,2
n101,years,2
n102,story,2
n103,career,2
n104,Marine,2
n105,Marines,2
n106,the Naval Academy,2
n107,dream,2
n108,Neil Armstrong,2
n109,moon,2
n110,point,2
n111,mom,2
n112,Mom,2
n113,pilots,2
n114,delinquent,2
n115,joke,2
n116,jets,2
n117,bombs,2
n118,kid,2
n119,chance,2
n120,cousin,2
n121,wedding,2
n122,neighborhood,2
n123,Italian,2
n124,family,2
n125,house,2
n126,street,2
n127,Chad,2
n128,corner,2
n129,Ray,2
n130,aunts,2
n131,uncles,2
n132,stuff,2
n133,doors,2
n134,paper,2
n135,boy,2
n136,Reese,2
n137,David Frazier,2
n138,sir,2
n139,jail,2
n140,honor,2
n141,trajectory,2
n142,advice,2
n143,cases,2
n144,basketball,2
n145,NBA,2
n146,realism,2
n147,foot,2
n148,leap,2
n149,NFL,2
n150,ability,2
n151,size,2
n152,strength,2
n153,genius,2
n154,Matter,2
n155,80 percent,2
n156,percent,2
n157,solution,2
n158,air,2
n159,People,2
n160,degree,2
n161,places,2
n162,good,2
n163,believer,2
n164,chess,2
n165,game,2
n166,maneuver,2
n167,BCD,2
n168,error,2
n169,degrees,2
n170,problem,2
n171,advantage,2
n172,guns,2
n173,World War,2
n174,fighting,2
n175,type,2
n176,knots,2
n177,answer,2
n178,dad,2
n179,fire,2
n180,aim,2
n181,parenting,2
n182,times,2
n183,grandfather,2
n184,influence,2
n185,funeral,2
n186,miles,2
n187,church,2
n188,beer,2
n189,delivery,2
n190,rabbit,2
n191,hole,2
n192,Corps,2
n193,EVOL Services,2
n194,ball,2
n195,organization,2
n196,Nimitz,2
n197,freshman,2
n198,cruise,2
n199,ship,2
n200,half,2
n201,aircraft,2
n202,carrier,2
n203,acres,2
n204,sovereign,2
n205,US,2
n206,oceans,2
n207,wing,2
n208,airport,2
n209,land,2
n210,VF,2
n211,squadron,2
n212,couple,2
n213,experience,2
n214,the Marine Corps,2
n215,carriers,2
n216,unit,2
n217,service,2
n218,primary,2
n219,Kingsville,2
n220,Scott Widmaier,2
n221,Scott,2
n222,Beeville,2
n223,Missy,2
n224,Meridian,2
n225,wings,2
n226,luck,2
n227,Essex,2
n228,bomber,2
n229,the Left Sea,2
n230,Bombardier,2
n231,navigators,2
n232,seat,2
n233,60s,2
n234,weather,2
n235,night,2
n236,terrain,2
n237,mapping,2
n238,radar,2
n239,term,2
n240,jet,2
n241,Category,2
n242,public,2
n243,The Air Force,2
n244,F1,2
n245,B,2
n246,derivative,2
n247,PS,2
n248,Growler,2
n249,replacement,2
n250,6B.,2
n251,distance,2
n252,fuel,2
n253,Hornet,2
n254,Horn,2
n255,plane,2
n256,seater,2
n257,world,2
n258,exception,2
n259,outprice,2
n260,the Fifteen Strike Eagle,2
n261,the Fat F Super Hornet,2
n262,G,2
n263,attack,2
n264,15s,2
n265,end,2
n266,E,2
n267,S,2
n268,command,2
n269,the Black Aces,2
n270,parts,2
n271,journey,2
n272,kind,2
n273,stand,2
n274,XO,2
n275,CEO,2
n276,officer,2
n277,NOUSE,2
n278,Weitzel,2
n279,Super Hornets,2
n280,Lemoore,2
n281,community,2
n282,systems,2
n283,operators,2
n284,difference,2
n285,Kenny,2
n286,operator,2
n287,background,2
n288,switch,2
n289,environment,2
n290,capabilities,2
n291,autonomy,2
n292,airplane,2
n293,minimum,2
n294,head,2
n295,eyes,2
n296,capability,2
n297,factor,2
n298,automation,2
n299,autopilot,2
n300,psychology,2
n301,brain,2
n302,interplay,2
n303,change,2
n304,terms,2
n305,stars,2
n306,TAC,2
n307,analog,2
n308,studies,2
n309,the Bombardier Navigator,2
n310,crew,2
n311,coordination,2
n312,interaction,2
n313,mountains,2
n314,Whidbey Island,2
n315,Washington,2
n316,Cascades,2
n317,simulators,2
n318,train,2
n319,radars,2
n320,B1,2
n321,system,2
n322,line,2
n323,routes,2
n324,feet,2
n325,ground,2
n326,fog,2
n327,layers,2
n328,TV,2
n329,screen,2
n330,flare,2
n331,target,2
n332,recognition,2
n333,multisensory,2
n334,tram,2
n335,dots,2
n336,objects,2
n337,navigator,2
n338,feed,2
n339,pulse,2
n340,mountain,2
n341,return,2
n342,shadow,2
n343,charts,2
n344,valley,2
n345,interrupt,2
n346,questions,2
n347,controller,2
n348,throttles,2
n349,stick,2
n350,inch,2
n351,inches,2
n352,CRT,2
n353,range,2
n354,mode,2
n355,bends,2
n356,mile,2
n357,bin,2
n358,quarter,2
n359,quarters,2
n360,scope,2
n361,bump,2
n362,arrangement,2
n363,hand,2
n364,video,2
n365,Atari,2
n366,sense,2
n367,3D,2
n368,basis,2
n369,WIST,2
n370,trainer,2
n371,emotion,2
n372,First Fleet Bombardier,2
n373,Chris Sadow,2
n374,works,2
n375,Apple,2
n376,MIT Grad,2
n377,computer,2
n378,engineering,2
n379,Chris,2
n380,Matt,2
n381,SAP,2
n382,bond,2
n383,mind,2
n384,degradation,2
n385,modes,2
n386,Parshall,2
n387,B.N.,2
n388,heads,2
n389,sentences,2
n390,doubt,2
n391,picture,2
n392,gaps,2
n393,coverage,2
n394,left,2
n395,turn,2
n396,speed,2
n397,clouds,2
n398,ear,2
n399,instrument,2
n400,route,2
n401,country,2
n402,Kostyan,2
n403,ocean,2
n404,coastline,2
n405,lights,2
n406,antipollution,2
n407,light,2
n408,layer,2
n409,Mount St. Helens,2
n410,silhouette,2
n411,houses,2
n412,valleys,2
n413,effort,2
n414,technology,2
n415,century,2
n416,WIZO,2
n417,levels,2
n418,load,2
n419,communications,2
n420,wizard,2
n421,talk,2
n422,runs,2
n423,awareness,2
n424,display,2
n425,airports,2
n426,eye,2
n427,view,2
n428,the Super Hornet,2
n429,block,2
n430,tube,2
n431,windows,2
n432,legs,2
n433,wingman,2
n434,crews,2
n435,piece,2
n436,fusion,2
n437,link,2
n438,network,2
n439,intake,2
n440,pictures,2
n441,sensor,2
n442,integration,2
n443,sensors,2
n444,control,2
n445,A.I.,2
n446,loop,2
n447,flight,2
n448,controls,2
n449,life,2
n450,Flight SIM,2
n451,fear,2
n452,death,2
n453,simulator,2
n454,data,2
n455,targeting,2
n456,pod,2
n457,queuing,2
n458,field,2
n459,cockpit,2
n460,right,2
n461,helmet,2
n462,array,2
n463,kinds,2
n464,setup,2
n465,resonance,2
n466,button,2
n467,transfer,2
n468,quality,2
n469,coordinates,2
n470,joint,2
n471,Jaiden,2
n472,munition,2
n473,seconds,2
n474,vice,2
n475,minutes,2
n476,corniness,2
n477,minds,2
n478,ceiling,2
n479,AI,2
n480,human,2
n481,contribute,2
n482,example,2
n483,assistant,2
n484,warfare,2
n485,situations,2
n486,flying,2
n487,algorithm,2
n488,math,2
n489,Math,2
n490,problems,2
n491,areas,2
n492,performance,2
n493,model,2
n494,diagram,2
n495,energy,2
n496,force,2
n497,gravity,2
n498,design,2
n499,physics,2
n500,envelope,2
n501,World War One,2
n502,logic,2
n503,ends,2
n504,edges,2
n505,solutions,2
n506,premise,2
n507,bounds,2
n508,mess,2
n509,play,2
n510,comment,2
n511,discussions,2
n512,sexo,2
n513,standardization,2
n514,Oscar,2
n515,co,2
n516,-,2
n517,United Airlines,2
n518,Slim,2
n519,wizo,2
n520,months,2
n521,deployment,2
n522,effectiveness,2
n523,missions,2
n524,controllers,2
n525,assets,2
n526,troops,2
n527,threat,2
n528,area,2
n529,tons,2
n530,friends,2
n531,rules,2
n532,captain,2
n533,stops,2
n534,emergency,2
n535,case,2
n536,birds,2
n537,recordings,2
n538,tapes,2
n539,traffic,2
n540,New York,2
n541,bird,2
n542,alarm,2
n543,officers,2
n544,book,2
n545,procedures,2
n546,motors,2
n547,process,2
n548,New Jersey,2
n549,the Hudson River,2
n550,wreck,2
n551,Hudson,2
n552,words,2
n553,instinct,2
n554,aviation,2
n555,self,2
n556,cleaning,2
n557,oven,2
n558,the Air Force,2
n559,industry,2
n560,engines,2
n561,steps,2
n562,airline,2
n563,assessment,2
n564,choice,2
n565,test,2
n566,D,2
n567,the Jersey Airport,2
n568,LaGuardia,2
n569,option,2
n570,restart,2
n571,the 80 percent,2
n572,store,2
n573,water,2
n574,events,2
n575,plan,2
n576,landing,2
n577,commercial,2
n578,research,2
n579,motor,2
n580,pain,2
n581,cave,2
n582,check,2
n583,ride,2
n584,hydrogen,2
n585,issue,2
n586,hydraulics,2
n587,Wolf,2
n588,indications,2
n589,stress,2
n590,power,2
n591,shuts,2
n592,animal,2
n593,reaction,2
n594,abilities,2
n595,Sally,2
n596,mindset,2
n597,Mike Tyson,2
n598,ring,2
n599,confidence,2
n600,ego,2
n601,I.,2
n602,nighttime,2
n603,decks,2
n604,shit,2
n605,deficit,2
n606,Vietnam,2
n607,anxiety,2
n608,heart,2
n609,rates,2
n610,board,2
n611,civilian,2
n612,driving,2
n613,car,2
n614,road,2
n615,sidelights,2
n616,tendency,2
n617,nature,2
n618,headlights,2
n619,city,2
n620,New Hampshire,2
n621,roads,2
n622,lines,2
n623,depth,2
n624,perception,2
n625,runway,2
n626,initials,2
n627,precision,2
n628,approach,2
n629,azimuth,2
n630,glide,2
n631,slope,2
n632,plus,2
n633,beam,2
n634,needle,2
n635,base,2
n636,ships,2
n637,bomb,2
n638,tail,2
n639,pitch,2
n640,roll,2
n641,boat,2
n642,rolling,2
n643,Chris Sayto,2
n644,the USS Ranger,2
n645,Sinton,2
n646,razorblades,2
n647,San Diego,2
n648,rain,2
n649,thunderstorms,2
n650,tonight,2
n651,adrenaline,2
n652,pack,2
n653,island,2
n654,row,2
n655,seats,2
n656,concert,2
n657,wire,2
n658,exhaust,2
n659,deck,2
n660,dude,2
n661,man,2
n662,hands,2
n663,quote,2
n664,Tom Hanks,2
n665,girls,2
n666,baseball,2
n667,crying,2
n668,tears,2
n669,pants,2
n670,descendent,2
n671,ape,2
n672,planet,2
n673,office,2
n674,glass,2
n675,roller,2
n676,coasters,2
n677,coaster,2
n678,body,2
n679,Jets,2
n680,weight,2
n681,GS,2
n682,boss,2
n683,toll,2
n684,childhood,2
n685,percentage,2
n686,brand,2
n687,factory,2
n688,Super Hornet,2
n689,Boeing,2
n690,St. Louis,2
n691,inside,2
n692,tag,2
n693,relief,2
n694,generation,2
n695,kids,2
n696,Joey,2
n697,Joe,2
n698,breeds,2
n699,military,2
n700,son,2
n701,swimmer,2
n702,polo,2
n703,player,2
n704,daughter,2
n705,doctor,2
n706,perspective,2
n707,handover,2
n708,memory,2
n709,Tom Brady,2
n710,football,2
n711,opportunity,2
n712,budget,2
n713,issues,2
n714,platforms,2
n715,box,2
n716,women,2
n717,men,2
n718,female,2
n719,maintenance,2
n720,president,2
n721,Sarah,2
n722,page,2
n723,fighters,2
n724,teaches,2
n725,leadership,2
n726,home,2
n727,addition,2
n728,writing,2
n729,room,2
n730,horse,2
n731,crap,2
n732,woman,2
n733,vehicle,2
n734,characteristics,2
n735,desire,2
n736,rag,2
n737,the East Coast,2
n738,operations,2
n739,aviators,2
n740,average,2
n741,middle,2
n742,deviation,2
n743,bell,2
n744,curve,2
n745,hump,2
n746,outliers,2
n747,screening,2
n748,Piper Warriors',2
n749,evaluation,2
n750,mark,2
n751,preset,2
n752,SAT,2
n753,skill,2
n754,dimensions,2
n755,table,2
n756,space,2
n757,aviator,2
n758,building,2
n759,World Trade Center,2
n760,split,2
n761,C,2
n762,letter,2
n763,displacement,2
n764,Paul,2
n765,maneuvers,2
n766,vertical,2
n767,stacks,2
n768,dimension,2
n769,the Tic-Tac,2
n770,tektites,2
n771,circle,2
n772,altitude,2
n773,trade,2
n774,max,2
n775,performing,2
n776,demo,2
n777,pieces,2
n778,tight,2
n779,package,2
n780,dance,2
n781,making,2
n782,Tic-Tac,2
n783,history,2
n784,marvel,2
n785,50s,2
n786,Kelly Johnson,2
n787,skunkworks,2
n788,CIA,2
n789,companies,2
n790,titanium,2
n791,Russia,2
n792,X 15,2
n793,record,2
n794,member,2
n795,indicator,2
n796,flights,2
n797,speeds,2
n798,airfoil,2
n799,the F-16,2
n800,stresses,2
n801,airframe,2
n802,wheel,2
n803,White,2
n804,Pebble Beach,2
n805,start,2
n806,ejection,2
n807,limit,2
n808,coast,2
n809,Monterey Peninsula,2
n810,slipped,2
n811,pylons,2
n812,pads,2
n813,exit,2
n814,subsonic,2
n815,brakes,2
n816,mock,2
n817,planes,2
n818,China Lake,2
n819,Edwards,2
n820,Switzerland,2
n821,hornets,2
n822,NASA,2
n823,Palmdale,2
n824,Washington State,2
n825,Montana,2
n826,contrails,2
n827,tanker,2
n828,lifetime,2
n829,money,2
n830,age,2
n831,advent,2
n832,satellites,2
n833,need,2
n834,Sputnik,2
n835,U2,2
n836,ESR 71,2
n837,work,2
n838,feat,2
n839,hypersonics,2
n840,reasons,2
n841,witnesses,2
n842,object,2
n843,simpleton,2
n844,waste,2
n845,10th,2
n846,the USS Princeton,2
n847,cruiser,2
n848,helicopter,2
n849,pad,2
n850,Shoots,2
n851,missiles,2
n852,spy,2
n853,panels,2
n854,week,2
n855,the USS Nimitz,2
n856,ways,2
n857,interviews,2
n858,aspect,2
n859,situation,2
n860,videos,2
n861,receiver,2
n862,Armont,2
n863,Chad Underwood,2
n864,the east coast,2
n865,the United States,2
n866,Pentagon,2
n867,weirdness,2
n868,mystery,2
