id,source,target,value
e0,n921,n0,
e1,n921,n1,silly
e2,n921,n2,historical
e3,n921,n3,personal
e4,n921,n4,few
e5,n921,n5,architectural
e6,n921,n6,
e7,n921,n7,biggest
e8,n921,n8,
e9,n921,n9,first
e10,n921,n10,several
e11,n921,n11,quantum
e12,n921,n12,
e13,n921,n13,
e14,n921,n14,interesting
e15,n921,n15,other
e16,n921,n16,
e17,n921,n17,
e18,n921,n18,
e19,n921,n19,more
e20,n921,n20,
e21,n921,n21,first
e22,n921,n22,personal
e23,n921,n23,critical
e24,n921,n24,
e25,n921,n25,
e26,n921,n26,
e27,n921,n27,
e28,n921,n28,
e29,n921,n29,
e30,n921,n30,better
e31,n921,n31,important
e32,n921,n32,
e33,n921,n33,
e34,n921,n34,
e35,n921,n35,arithmetic
e36,n921,n36,
e37,n921,n37,human
e38,n921,n38,
e39,n921,n39,very
e40,n921,n40,
e41,n921,n41,
e42,n921,n42,
e43,n921,n43,
e44,n921,n44,nice
e45,n921,n45,
e46,n921,n46,
e47,n921,n47,
e48,n921,n48,arithmetic
e49,n921,n49,
e50,n921,n50,trivial
e51,n921,n51,
e52,n921,n52,
e53,n921,n53,
e54,n921,n54,
e55,n921,n55,complicated
e56,n921,n56,
e57,n921,n57,human
e58,n921,n58,popular
e59,n921,n59,
e60,n921,n60,very
e61,n921,n61,many
e62,n921,n62,new
e63,n921,n63,fundamental
e64,n921,n64,
e65,n921,n65,new
e66,n921,n66,
e67,n921,n67,
e68,n921,n68,former
e69,n921,n69,
e70,n921,n70,
e71,n921,n71,
e72,n921,n72,good
e73,n921,n73,simple
e74,n921,n74,
e75,n921,n75,many
e76,n921,n76,next
e77,n921,n77,
e78,n921,n78,outrageous
e79,n921,n79,
e80,n921,n80,
e81,n921,n81,
e82,n921,n82,
e83,n921,n83,
e84,n921,n84,
e85,n921,n85,
e86,n921,n86,select
e87,n921,n87,
e88,n921,n88,biological
e89,n921,n89,magnetic
e90,n921,n90,
e91,n921,n91,
e92,n921,n92,shocking
e93,n921,n93,inexpensive
e94,n921,n94,
e95,n921,n95,
e96,n921,n96,
e97,n921,n97,
e98,n921,n98,
e99,n921,n99,civic
e100,n921,n100,
e101,n921,n101,first
e102,n921,n102,
e103,n921,n103,
e104,n921,n104,alien
e105,n921,n105,
e106,n921,n106,
e107,n921,n107,
e108,n921,n108,
e109,n921,n109,nerdy
e110,n921,n110,Early
e111,n921,n111,
e112,n921,n112,
e113,n921,n113,
e114,n921,n114,
e115,n921,n115,scary
e116,n921,n116,
e117,n921,n117,philosophical
e118,n921,n118,more
e119,n921,n119,
e120,n921,n120,
e121,n921,n121,more
e122,n921,n122,
e123,n921,n123,complicated
e124,n921,n124,
e125,n921,n125,bottom
e126,n921,n126,
e127,n921,n127,
e128,n921,n128,
e129,n921,n129,
e130,n921,n130,
e131,n921,n131,first
e132,n921,n132,
e133,n921,n133,
e134,n921,n134,natural
e135,n921,n135,
e136,n921,n136,individual
e137,n921,n137,
e138,n921,n138,great
e139,n921,n139,open
e140,n921,n140,
e141,n921,n141,
e142,n921,n142,
e143,n921,n143,
e144,n921,n144,
e145,n921,n145,
e146,n921,n146,
e147,n921,n147,
e148,n921,n148,
e149,n921,n149,interested
e150,n921,n150,more
e151,n921,n151,
e152,n921,n152,
e153,n921,n153,vocabulary
e154,n921,n154,
e155,n921,n155,actual
e156,n921,n156,particular
e157,n921,n157,
e158,n921,n158,valuable
e159,n921,n159,magic
e160,n921,n160,technical
e161,n921,n161,
e162,n921,n162,giant
e163,n921,n163,
e164,n921,n164,
e165,n921,n165,
e166,n921,n166,
e167,n921,n167,
e168,n921,n168,efficient
e169,n921,n169,binary
e170,n921,n170,
e171,n921,n171,
e172,n921,n172,
e173,n921,n173,
e174,n921,n174,
e175,n921,n175,mobile
e176,n921,n176,first
e177,n921,n177,
e178,n921,n178,new
e179,n921,n179,powerful
e180,n921,n180,
e181,n921,n181,conventional
e182,n921,n182,polynomial
e183,n921,n183,
e184,n921,n184,
e185,n921,n185,
e186,n921,n186,
e187,n921,n187,
e188,n921,n188,
e189,n921,n189,
e190,n921,n190,
e191,n921,n191,controversial
e192,n921,n192,
e193,n921,n193,
e194,n921,n194,
e195,n921,n195,
e196,n921,n196,lower
e197,n921,n197,
e198,n921,n198,tradeoff
e199,n921,n199,
e200,n921,n200,few
e201,n921,n201,
e202,n921,n202,
e203,n921,n203,
e204,n921,n204,several
e205,n921,n205,
e206,n921,n206,fierce
e207,n921,n207,early
e208,n921,n208,
e209,n921,n209,
e210,n921,n210,further
e211,n921,n211,modern
e212,n921,n212,faster
e213,n921,n213,
e214,n921,n214,long
e215,n921,n215,faster
e216,n921,n216,
e217,n921,n217,
e218,n921,n218,complicated
e219,n921,n219,efficient
e220,n921,n220,
e221,n921,n221,
e222,n921,n222,
e223,n921,n223,
e224,n921,n224,benchmark
e225,n921,n225,famous
e226,n921,n226,better
e227,n921,n227,
e228,n921,n228,same
e229,n921,n229,better
e230,n921,n230,
e231,n921,n231,
e232,n921,n232,
e233,n921,n233,
e234,n921,n234,
e235,n921,n235,more
e236,n921,n236,
e237,n921,n237,dumb
e238,n921,n238,different
e239,n921,n239,
e240,n921,n240,early
e241,n921,n241,
e242,n921,n242,different
e243,n921,n243,first
e244,n921,n244,
e245,n921,n245,big
e246,n921,n246,
e247,n921,n247,
e248,n921,n248,
e249,n921,n249,
e250,n921,n250,
e251,n921,n251,
e252,n921,n252,
e253,n921,n253,
e254,n921,n254,
e255,n921,n255,
e256,n921,n256,
e257,n921,n257,right
e258,n921,n258,
e259,n921,n259,good
e260,n921,n260,
e261,n921,n261,
e262,n921,n262,assistant
e263,n921,n263,
e264,n921,n264,great
e265,n921,n265,right
e266,n921,n266,new
e267,n921,n267,
e268,n921,n268,
e269,n921,n269,
e270,n921,n270,
e271,n921,n271,
e272,n921,n272,revisionist
e273,n921,n273,human
e274,n921,n274,
e275,n921,n275,
e276,n921,n276,floppy
e277,n921,n277,
e278,n921,n278,
e279,n921,n279,
e280,n921,n280,valuable
e281,n921,n281,
e282,n921,n282,high
e283,n921,n283,
e284,n921,n284,same
e285,n921,n285,
e286,n921,n286,
e287,n921,n287,
e288,n921,n288,
e289,n921,n289,
e290,n921,n290,
e291,n921,n291,
e292,n921,n292,right
e293,n921,n293,interesting
e294,n921,n294,
e295,n921,n295,small
e296,n921,n296,
e297,n921,n297,
e298,n921,n298,
e299,n921,n299,
e300,n921,n300,
e301,n921,n301,
e302,n921,n302,big
e303,n921,n303,
e304,n921,n304,
e305,n921,n305,
e306,n921,n306,
e307,n921,n307,
e308,n921,n308,other
e309,n921,n309,incredible
e310,n921,n310,
e311,n921,n311,
e312,n921,n312,absolute
e313,n921,n313,same
e314,n921,n314,new
e315,n921,n315,possible
e316,n921,n316,different
e317,n921,n317,simplest
e318,n921,n318,more
e319,n921,n319,specific
e320,n921,n320,
e321,n921,n321,
e322,n921,n322,
e323,n921,n323,more
e324,n921,n324,
e325,n921,n325,average
e326,n921,n326,
e327,n921,n327,
e328,n921,n328,
e329,n921,n329,
e330,n921,n330,more
e331,n921,n331,
e332,n921,n332,big
e333,n921,n333,beautiful
e334,n921,n334,
e335,n921,n335,whole
e336,n921,n336,many
e337,n921,n337,
e338,n921,n338,
e339,n921,n339,
e340,n921,n340,technical
e341,n921,n341,
e342,n921,n342,
e343,n921,n343,
e344,n921,n344,scientific
e345,n921,n345,
e346,n921,n346,
e347,n921,n347,
e348,n921,n348,
e349,n921,n349,
e350,n921,n350,
e351,n921,n351,solid
e352,n921,n352,
e353,n921,n353,
e354,n921,n354,
e355,n921,n355,
e356,n921,n356,
e357,n921,n357,
e358,n921,n358,
e359,n921,n359,
e360,n921,n360,
e361,n921,n361,
e362,n921,n362,
e363,n921,n363,quick
e364,n921,n364,
e365,n921,n365,intermediate
e366,n921,n366,
e367,n921,n367,
e368,n921,n368,
e369,n921,n369,temporary
e370,n921,n370,
e371,n921,n371,
e372,n921,n372,
e373,n921,n373,
e374,n921,n374,conditional
e375,n921,n375,general
e376,n921,n376,
e377,n921,n377,
e378,n921,n378,
e379,n921,n379,
e380,n921,n380,
e381,n921,n381,basic
e382,n921,n382,
e383,n921,n383,
e384,n921,n384,
e385,n921,n385,
e386,n921,n386,other
e387,n921,n387,
e388,n921,n388,
e389,n921,n389,
e390,n921,n390,
e391,n921,n391,simple
e392,n921,n392,
e393,n921,n393,
e394,n921,n394,exciting
e395,n921,n395,
e396,n921,n396,
e397,n921,n397,
e398,n921,n398,
e399,n921,n399,
e400,n921,n400,
e401,n921,n401,
e402,n921,n402,
e403,n921,n403,
e404,n921,n404,other
e405,n921,n405,
e406,n921,n406,nerdy
e407,n921,n407,
e408,n921,n408,
e409,n921,n409,
e410,n921,n410,
e411,n921,n411,
e412,n921,n412,
e413,n921,n413,
e414,n921,n414,
e415,n921,n415,
e416,n921,n416,
e417,n921,n417,free
e418,n921,n418,
e419,n921,n419,
e420,n921,n420,
e421,n921,n421,
e422,n921,n422,much
e423,n921,n423,
e424,n921,n424,
e425,n921,n425,mobile
e426,n921,n426,big
e427,n921,n427,important
e428,n921,n428,
e429,n921,n429,
e430,n921,n430,
e431,n921,n431,
e432,n921,n432,
e433,n921,n433,
e434,n921,n434,next
e435,n921,n435,
e436,n921,n436,
e437,n921,n437,
e438,n921,n438,
e439,n921,n439,
e440,n921,n440,
e441,n921,n441,third
e442,n921,n442,
e443,n921,n443,
e444,n921,n444,
e445,n921,n445,
e446,n921,n446,
e447,n921,n447,quick
e448,n921,n448,
e449,n921,n449,
e450,n921,n450,
e451,n921,n451,other
e452,n921,n452,
e453,n921,n453,
e454,n921,n454,tremendous
e455,n921,n455,dominant
e456,n921,n456,
e457,n921,n457,
e458,n921,n458,
e459,n921,n459,
e460,n921,n460,armed
e461,n921,n461,exciting
e462,n921,n462,interesting
e463,n921,n463,
e464,n921,n464,old
e465,n921,n465,
e466,n921,n466,
e467,n921,n467,
e468,n921,n468,
e469,n921,n469,
e470,n921,n470,more
e471,n921,n471,
e472,n921,n472,
e473,n921,n473,
e474,n921,n474,
e475,n921,n475,other
e476,n921,n476,
e477,n921,n477,
e478,n921,n478,
e479,n921,n479,
e480,n921,n480,
e481,n921,n481,little
e482,n921,n482,
e483,n921,n483,
e484,n921,n484,
e485,n921,n485,
e486,n921,n486,
e487,n921,n487,
e488,n921,n488,
e489,n921,n489,
e490,n921,n490,
e491,n921,n491,good
e492,n921,n492,
e493,n921,n493,
e494,n921,n494,
e495,n921,n495,little
e496,n921,n496,
e497,n921,n497,elegant
e498,n921,n498,
e499,n921,n499,
e500,n921,n500,
e501,n921,n501,
e502,n921,n502,grad
e503,n921,n503,
e504,n921,n504,optional
e505,n921,n505,
e506,n921,n506,
e507,n921,n507,
e508,n921,n508,
e509,n921,n509,beautiful
e510,n921,n510,
e511,n921,n511,
e512,n921,n512,
e513,n921,n513,artificial
e514,n921,n514,straight
e515,n921,n515,
e516,n921,n516,
e517,n921,n517,amazing
e518,n921,n518,
e519,n921,n519,surprising
e520,n921,n520,
e521,n921,n521,
e522,n921,n522,senior
e523,n921,n523,
e524,n921,n524,young
e525,n921,n525,computational
e526,n921,n526,
e527,n921,n527,different
e528,n921,n528,
e529,n921,n529,
e530,n921,n530,
e531,n921,n531,full
e532,n921,n532,
e533,n921,n533,
e534,n921,n534,
e535,n921,n535,
e536,n921,n536,new
e537,n921,n537,
e538,n921,n538,specific
e539,n921,n539,internal
e540,n921,n540,
e541,n921,n541,
e542,n921,n542,sheer
e543,n921,n543,
e544,n921,n544,other
e545,n921,n545,
e546,n921,n546,
e547,n921,n547,
e548,n921,n548,key
e549,n921,n549,
e550,n921,n550,
e551,n921,n551,
e552,n921,n552,
e553,n921,n553,
e554,n921,n554,
e555,n921,n555,
e556,n921,n556,
e557,n921,n557,
e558,n921,n558,
e559,n921,n559,
e560,n921,n560,
e561,n921,n561,most
e562,n921,n562,neural
e563,n921,n563,new
e564,n921,n564,
e565,n921,n565,
e566,n921,n566,
e567,n921,n567,different
e568,n921,n568,own
e569,n921,n569,
e570,n921,n570,
e571,n921,n571,
e572,n921,n572,
e573,n921,n573,greater
e574,n921,n574,greatest
e575,n921,n575,
e576,n921,n576,neural
e577,n921,n577,
e578,n921,n578,
e579,n921,n579,
e580,n921,n580,
e581,n921,n581,
e582,n921,n582,
e583,n921,n583,
e584,n921,n584,
e585,n921,n585,
e586,n921,n586,
e587,n921,n587,
e588,n921,n588,most
e589,n921,n589,old
e590,n921,n590,
e591,n921,n591,
e592,n921,n592,
e593,n921,n593,
e594,n921,n594,fatal
e595,n921,n595,
e596,n921,n596,
e597,n921,n597,
e598,n921,n598,
e599,n921,n599,
e600,n921,n600,
e601,n921,n601,perfect
e602,n921,n602,
e603,n921,n603,
e604,n921,n604,
e605,n921,n605,good
e606,n921,n606,first
e607,n921,n607,
e608,n921,n608,
e609,n921,n609,
e610,n921,n610,
e611,n921,n611,
e612,n921,n612,
e613,n921,n613,
e614,n921,n614,
e615,n921,n615,
e616,n921,n616,
e617,n921,n617,
e618,n921,n618,
e619,n921,n619,
e620,n921,n620,
e621,n921,n621,
e622,n921,n622,
e623,n921,n623,
e624,n921,n624,
e625,n921,n625,
e626,n921,n626,
e627,n921,n627,
e628,n921,n628,
e629,n921,n629,
e630,n921,n630,
e631,n921,n631,
e632,n921,n632,small
e633,n921,n633,
e634,n921,n634,few
e635,n921,n635,
e636,n921,n636,
e637,n921,n637,
e638,n921,n638,
e639,n921,n639,
e640,n921,n640,
e641,n921,n641,
e642,n921,n642,social
e643,n921,n643,violent
e644,n921,n644,social
e645,n921,n645,
e646,n921,n646,
e647,n921,n647,big
e648,n921,n648,
e649,n921,n649,
e650,n921,n650,
e651,n921,n651,
e652,n921,n652,autonomous
e653,n921,n653,
e654,n921,n654,
e655,n921,n655,less
e656,n921,n656,own
e657,n921,n657,
e658,n921,n658,
e659,n921,n659,
e660,n921,n660,
e661,n921,n661,
e662,n921,n662,
e663,n921,n663,
e664,n921,n664,
e665,n921,n665,
e666,n921,n666,
e667,n921,n667,
e668,n921,n668,
e669,n921,n669,
e670,n921,n670,
e671,n921,n671,
e672,n921,n672,
e673,n921,n673,
e674,n921,n674,
e675,n921,n675,
e676,n921,n676,
e677,n921,n677,
e678,n921,n678,
e679,n921,n679,
e680,n921,n680,common
e681,n921,n681,
e682,n921,n682,
e683,n921,n683,
e684,n921,n684,national
e685,n921,n685,
e686,n921,n686,
e687,n921,n687,frank
e688,n921,n688,
e689,n921,n689,nuclear
e690,n921,n690,
e691,n921,n691,
e692,n921,n692,
e693,n921,n693,
e694,n921,n694,
e695,n921,n695,
e696,n921,n696,
e697,n921,n697,own
e698,n921,n698,
e699,n921,n699,
e700,n921,n700,
e701,n921,n701,
e702,n921,n702,severe
e703,n921,n703,young
e704,n921,n704,
e705,n921,n705,
e706,n921,n706,
e707,n921,n707,
e708,n921,n708,
e709,n921,n709,
e710,n921,n710,
e711,n921,n711,
e712,n921,n712,
e713,n921,n713,
e714,n921,n714,
e715,n921,n715,
e716,n921,n716,
e717,n921,n717,
e718,n921,n718,
e719,n921,n719,actual
e720,n921,n720,
e721,n921,n721,
e722,n921,n722,
e723,n921,n723,
e724,n921,n724,
e725,n921,n725,
e726,n921,n726,
e727,n921,n727,national
e728,n921,n728,
e729,n921,n729,
e730,n921,n730,
e731,n921,n731,
e732,n921,n732,
e733,n921,n733,
e734,n921,n734,
e735,n921,n735,
e736,n921,n736,
e737,n921,n737,
e738,n921,n738,
e739,n921,n739,
e740,n921,n740,
e741,n921,n741,
e742,n921,n742,redundant
e743,n921,n743,inexpensive
e744,n921,n744,
e745,n921,n745,
e746,n921,n746,
e747,n921,n747,fourth
e748,n921,n748,
e749,n921,n749,
e750,n921,n750,much
e751,n921,n751,
e752,n921,n752,magnetic
e753,n921,n753,
e754,n921,n754,
e755,n921,n755,
e756,n921,n756,
e757,n921,n757,
e758,n921,n758,
e759,n921,n759,first
e760,n921,n760,
e761,n921,n761,
e762,n921,n762,
e763,n921,n763,redundant
e764,n921,n764,extra
e765,n921,n765,enough
e766,n921,n766,
e767,n921,n767,
e768,n921,n768,
e769,n921,n769,
e770,n921,n770,
e771,n921,n771,
e772,n921,n772,technological
e773,n921,n773,
e774,n921,n774,
e775,n921,n775,
e776,n921,n776,technological
e777,n921,n777,big
e778,n921,n778,
e779,n921,n779,interesting
