id,name,group
n0,conversation,2
n1,David Paterson,2
n2,question,2
n3,computers,2
n4,years,2
n5,level,2
n6,eyes,2
n7,thing,2
n8,invention,2
n9,microprocessor,2
n10,rooms,2
n11,cell,2
n12,phone,2
n13,times,2
n14,point,2
n15,people,2
n16,planet,2
n17,half,2
n18,phones,2
n19,microprocessors,2
n20,ratio,2
n21,number,2
n22,computer,2
n23,pieces,2
n24,input,2
n25,output,2
n26,speech,2
n27,typing,2
n28,memory,2
n29,circuits,2
n30,job,2
n31,information,2
n32,processor,2
n33,control,2
n34,brain,2
n35,unit,2
n36,brawn,2
n37,body,2
n38,crunching,2
n39,dawn,2
n40,process,2
n41,fits,2
n42,microchip,2
n43,controllers,2
n44,way,2
n45,actions,2
n46,terms,2
n47,computation,2
n48,operations,2
n49,calculator,2
n50,instructions,2
n51,subtract,2
n52,brilliance,2
n53,micro,2
n54,billions,2
n55,software,2
n56,tasks,2
n57,beings,2
n58,today,2
n59,career,2
n60,kind,2
n61,surprises,2
n62,set,2
n63,driving,2
n64,force,2
n65,Moore,2
n66,Law,2
n67,Gordon Moore,2
n68,Berkeley,2
n69,alumnus,2
n70,observation,2
n71,semiconductors,2
n72,ideas,2
n73,switches,2
n74,microchips,2
n75,transistors,2
n76,decade,2
n77,industry,2
n78,prediction,2
n79,paper,2
n80,70s,2
n81,implications,2
n82,article,2
n83,cars,2
n84,grocery,2
n85,store,2
n86,stuff,2
n87,shot,2
n88,computing,2
n89,field,2
n90,future,2
n91,sense,2
n92,events,2
n93,life,2
n94,Marion,2
n95,bay,2
n96,San Francisco,2
n97,bulletin,2
n98,board,2
n99,center,2
n100,Eurail,2
n101,URLs,2
n102,w w,2
n103,P,2
n104,writing,2
n105,advertisements,2
n106,commercials,2
n107,boards,2
n108,hell,2
n109,world,2
n110,days,2
n111,magazines,2
n112,newspapers,2
n113,hands,2
n114,society,2
n115,step,2
n116,engineering,2
n117,perspective,2
n118,layers,2
n119,abstraction,2
n120,abstractions,2
n121,science,2
n122,fundamentals,2
n123,hardware,2
n124,disbelief,2
n125,layer,2
n126,contract,2
n127,interface,2
n128,commands,2
n129,London,2
n130,onion,2
n131,course,2
n132,Python,2
n133,follow,2
n134,language,2
n135,C,2
n136,transistor,2
n137,application,2
n138,depth,2
n139,source,2
n140,versions,2
n141,engineer,2
n142,programmer,2
n143,designs,2
n144,company,2
n145,the World Wide Web,2
n146,lots,2
n147,effort,2
n148,interfaces,2
n149,individual,2
n150,power,2
n151,design,2
n152,architecture,2
n153,instruction,2
n154,manufacture,2
n155,chips,2
n156,domain,2
n157,talks,2
n158,vocabulary,2
n159,words,2
n160,term,2
n161,divide,2
n162,data,2
n163,load,2
n164,sets,2
n165,Intel,2
n166,cloud,2
n167,sequence,2
n168,ones,2
n169,numbers,2
n170,family,2
n171,powers,2
n172,iPads,2
n173,Internet,2
n174,Things,2
n175,devices,2
n176,arm,2
n177,fee,2
n178,idea,2
n179,vocabularies,2
n180,1980s,2
n181,wisdom,2
n182,vide,2
n183,list,2
n184,hope,2
n185,service,2
n186,Stanford,2
n187,IBM,2
n188,opposite,2
n189,abbreviation,2
n190,abbreviations,2
n191,risk,2
n192,use,2
n193,stack,2
n194,compiler,2
n195,translates,2
n196,levels,2
n197,translator,2
n198,look,2
n199,maybe 50 percent,2
n200,percent,2
n201,factors,2
n202,context,2
n203,Cesc Cesc,2
n204,conferences,2
n205,devolution,2
n206,debates,2
n207,80s,2
n208,benefits,2
n209,land,2
n210,commentary,2
n211,compilers,2
n212,code,2
n213,definition,2
n214,run,2
n215,execution,2
n216,ton,2
n217,decades,2
n218,program,2
n219,languages,2
n220,assembly,2
n221,humans,2
n222,belief,2
n223,systems,2
n224,programs,2
n225,operating,2
n226,system,2
n227,grandfather,2
n228,arguments,2
n229,case,2
n230,SIST Constructions,2
n231,debate,2
n232,reading,2
n233,analogy,2
n234,discussion,2
n235,machine,2
n236,human,2
n237,intuition,2
n238,kinds,2
n239,Microsoft,2
n240,Apple,2
n241,Windows,2
n242,applications,2
n243,word,2
n244,Excel,2
n245,change,2
n246,translation,2
n247,debuggers,2
n248,linkers,2
n249,libraries,2
n250,interpreters,2
n251,C++,2
n252,places,2
n253,radicals,2
n254,rest,2
n255,community,2
n256,I.B.M.,2
n257,approach,2
n258,simplicity,2
n259,argument,2
n260,colleague,2
n261,John Hennessey,2
n262,professors,2
n263,thought,2
n264,programmers,2
n265,circumstances,2
n266,business,2
n267,standard,2
n268,railroad,2
n269,tracks,2
n270,chance,2
n271,success,2
n272,history,2
n273,civilization,2
n274,companies,2
n275,credit,2
n276,disk,2
n277,download,2
n278,fly,2
n279,speeds,2
n280,PC,2
n281,base,2
n282,volumes,2
n283,Cisco,2
n284,era,2
n285,artist,2
n286,philosopher,2
n287,art,2
n288,speed,2
n289,compromise,2
n290,matter,2
n291,taste,2
n292,place,2
n293,metrics,2
n294,quantifiable,2
n295,progress,2
n296,Hennessy,2
n297,hunches,2
n298,fact,2
n299,textbook,2
n300,end,2
n301,Computer Architecture,2
n302,impact,2
n303,textbooks,2
n304,pros,2
n305,cons,2
n306,formulas,2
n307,equations,2
n308,fields,2
n309,benchmarks,2
n310,suite,2
n311,curve,2
n312,scale,2
n313,access,2
n314,technology,2
n315,directions,2
n316,tradeoffs,2
n317,architectures,2
n318,detail,2
n319,features,2
n320,trade,2
n321,offs,2
n322,formula,2
n323,performance,2
n324,metric,2
n325,clock,2
n326,gigahertz,2
n327,nanoseconds,2
n328,cycle,2
n329,factor,2
n330,cycles,2
n331,recist,2
n332,difference,2
n333,mass,2
n334,parallelism,2
n335,picture,2
n336,constructions,2
n337,parallel,2
n338,tricks,2
n339,interpreter,2
n340,advantage,2
n341,25 or 50 percent,2
n342,wind,2
n343,benchmark,2
n344,results,2
n345,insists,2
n346,execute,2
n347,predictions,2
n348,ACM,2
n349,a.m.,2
n350,Turing Award,2
n351,contributions,2
n352,text,2
n353,book,2
n354,work,2
n355,eighties,2
n356,addition,2
n357,subtraction,2
n358,specific,2
n359,buttons,2
n360,button,2
n361,function,2
n362,memories,2
n363,tangent,2
n364,key,2
n365,calculation,2
n366,R.M.,2
n367,reconstruction,2
n368,display,2
n369,storage,2
n370,loads,2
n371,stores,2
n372,decisions,2
n373,value,2
n374,branch,2
n375,purpose,2
n376,thanks,2
n377,advances,2
n378,learning,2
n379,keys,2
n380,ability,2
n381,functions,2
n382,research,2
n383,projects,2
n384,couple,2
n385,mistakes,2
n386,Christus,2
n387,Danovitch,2
n388,forest,2
n389,involve,2
n390,past,2
n391,core,2
n392,implementations,2
n393,processors,2
n394,possibilities,2
n395,specification,2
n396,books,2
n397,Vilborg,2
n398,web,2
n399,Linux,2
n400,response,2
n401,story,2
n402,distribution,2
n403,license,2
n404,academics,2
n405,complaints,2
n406,courses,2
n407,industries,2
n408,fall,2
n409,spring,2
n410,semester,2
n411,thirst,2
n412,hours,2
n413,need,2
n414,timing,2
n415,universities,2
n416,the Linux Foundation,2
n417,foundation,2
n418,Risk,2
n419,reason,2
n420,lay,2
n421,transition,2
n422,challenge,2
n423,span,2
n424,unification,2
n425,device,2
n426,piece,2
n427,markets,2
n428,Alibaba,2
n429,Amazon,2
n430,Google,2
n431,centers,2
n432,tens,2
n433,thousands,2
n434,servers,2
n435,structures,2
n436,exit,2
n437,laptops,2
n438,sales,2
n439,PCs,2
n440,stacks,2
n441,category,2
n442,microwaves,2
n443,categories,2
n444,Android,2
n445,marketplaces,2
n446,Software,2
n447,interruption,2
n448,Advanced Risk Machine,2
n449,ARMM,2
n450,adopters,2
n451,guys,2
n452,papers,2
n453,People,2
n454,opportunities,2
n455,player,2
n456,smartphones,2
n457,licenses,2
n458,race,2
n459,period,2
n460,dominate,2
n461,space,2
n462,aspects,2
n463,efficiency,2
n464,construction,2
n465,disadvantages,2
n466,Cesc Constructions,2
n467,silicon,2
n468,area,2
n469,philosophy,2
n470,energy,2
n471,resource,2
n472,chip,2
n473,batteries,2
n474,disadvantage,2
n475,aspect,2
n476,Qualcomm,2
n477,Samsung,2
n478,varies,2
n479,opinion,2
n480,magic,2
n481,pictures,2
n482,ALM,2
n483,model,2
n484,ways,2
n485,Sea,2
n486,money,2
n487,tens of millions of dollars,2
n488,millions,2
n489,dollars,2
n490,right,2
n491,team,2
n492,specifications,2
n493,marketplace,2
n494,iPhones,2
n495,sides,2
n496,temptation,2
n497,solution,2
n498,examples,2
n499,Andrew Waterman,2
n500,mentor,2
n501,Christos Sandvik,2
n502,students,2
n503,subset,2
n504,subsets,2
n505,weight,2
n506,age,2
n507,teenager,2
n508,choice,2
n509,notion,2
n510,nudge,2
n511,pioneers,2
n512,1950s,2
n513,intelligence,2
n514,line,2
n515,wavelength,2
n516,light,2
n517,technologies,2
n518,executes,2
n519,outcome,2
n520,touring,2
n521,machines,2
n522,faculty,2
n523,Scientific American,2
n524,professor,2
n525,medium,2
n526,biological,2
n527,mediums,2
n528,types,2
n529,connection,2
n530,disjoint,2
n531,effect,2
n532,designers,2
n533,90s,2
n534,months,2
n535,friend,2
n536,laptop,2
n537,path,2
n538,accelerators,2
n539,processes,2
n540,a few percent,2
n541,subdomains,2
n542,coincidence,2
n543,revolution,2
n544,guests,2
n545,schools,2
n546,rules,2
n547,matrix,2
n548,feature,2
n549,godsend,2
n550,Matrix,2
n551,multipliers,2
n552,danger,2
n553,middle,2
n554,limits,2
n555,mechanism,2
n556,domains,2
n557,Software 2.0,2
n558,hyper,2
n559,parameters,2
n560,nature,2
n561,programming,2
n562,network,2
n563,general,2
n564,enthusiasm,2
n565,answers,2
n566,movement,2
n567,demand,2
n568,image,2
n569,recognition,2
n570,game,2
n571,playing,2
n572,databases,2
n573,increase,2
n574,fear,2
n575,five percent,2
n576,networks,2
n577,user,2
n578,lines,2
n579,accelerator,2
n580,designer,2
n581,title,2
n582,A New Golden Age,2
n583,acceleration,2
n584,Tipu,2
n585,culture,2
n586,optimisations,2
n587,Iraq,2
n588,optimization,2
n589,RECIST,2
n590,Tensor Flow and PI Torch,2
n591,PI Torch,2
n592,tensor,2
n593,flow,2
n594,flaw,2
n595,billions of dollars,2
n596,startup,2
n597,belly,2
n598,Benchmark,2
n599,Amelle PERF,2
n600,MLP,2
n601,comparison,2
n602,Israel,2
n603,Habana,2
n604,Machine Learning Accelerator's,2
n605,Molpus,2
n606,scores,2
n607,Nirvana,2
n608,product,2
n609,two billion dollars,2
n610,Kobana,2
n611,Olinger,2
n612,perv,2
n613,standards,2
n614,portfolio,2
n615,start,2
n616,Peter Mattsson,2
n617,ground,2
n618,competitors,2
n619,building,2
n620,liars,2
n621,good,2
n622,market,2
n623,PERF,2
n624,Invidia,2
n625,trap,2
n626,hat,2
n627,colleagues,2
n628,institution,2
n629,claims,2
n630,bullshit,2
n631,environment,2
n632,perf,2
n633,Anmol,2
n634,downsides,2
n635,president,2
n636,Companies,2
n637,Facebook,2
n638,Twitter,2
n639,engineers,2
n640,desire,2
n641,marketing,2
n642,networking,2
n643,reaction,2
n644,media,2
n645,flaws,2
n646,floor,2
n647,proponents,2
n648,committee,2
n649,improvements,2
n650,reputations,2
n651,reputation,2
n652,vehicles,2
n653,machinery,2
n654,hype,2
n655,willingness,2
n656,vision,2
n657,processing,2
n658,graduate,2
n659,student,2
n660,David Martin,2
n661,benchmarking,2
n662,Jitendra Malik,2
n663,Computer Vision Space,2
n664,Jeff,2
n665,Dave Martin,2
n666,algorithm,2
n667,dissertation,2
n668,images,2
n669,net,2
n670,religion,2
n671,Toronto,2
n672,competition,2
n673,experience,2
n674,hunch,2
n675,vacuum,2
n676,tube,2
n677,quantum,2
n678,thoughts,2
n679,slowing,2
n680,questions,2
n681,news,2
n682,mind,2
n683,corner,2
n684,reports,2
n685,the National Academy of Engineering,2
n686,consortium,2
n687,assessment,2
n688,error,2
n689,fusion,2
n690,micro Kelvin,2
n691,truck,2
n692,video,2
n693,problem,2
n694,Jim Keller,2
n695,Jim,2
n696,record,2
n697,facts,2
n698,periods,2
n699,cases,2
n700,semiconductor,2
n701,investments,2
n702,equipment,2
n703,minds,2
n704,downside,2
n705,impression,2
n706,aura,2
n707,changes,2
n708,Patterson,2
n709,TSMC,2
n710,plenty,2
n711,evidence,2
n712,perception,2
n713,educator,2
n714,bond,2
n715,politics,2
n716,Carver Mead,2
n717,compositions,2
n718,log,2
n719,cost,2
n720,beauty,2
n721,Eagles,2
n722,EMC,2
n723,reinterpretation,2
n724,innovations,2
n725,imagination,2
n726,employees,2
n727,offices,2
n728,warning,2
n729,arms,2
n730,attention,2
n731,assumptions,2
n732,behavior,2
n733,measurements,2
n734,transparency,2
n735,layperson,2
n736,rate,2
n737,measure,2
n738,rates,2
n739,Computers,2
n740,indications,2
n741,cameras,2
n742,arrays,2
n743,disks,2
n744,Randy Katz,2
n745,star,2
n746,Garth Gibson,2
n747,generation,2
n748,project,2
n749,Macintosh,2
n750,capacity,2
n751,drives,2
n752,material,2
n753,Mac,2
n754,Randy,2
n755,brand,2
n756,size,2
n757,washing,2
n758,Macintoshes,2
n759,draft,2
n760,reliability,2
n761,quality,2
n762,weeks,2
n763,array,2
n764,copies,2
n765,redundancy,2
n766,break,2
n767,collection,2
n768,breaks,2
n769,failure,2
n770,raid,2
n771,optimist,2
n772,trend,2
n773,volume,2
n774,inches,2
n775,diameter,2
n776,forces,2
n777,pusher,2
n778,Business,2
n779,developments,2
n780,failures,2
n781,noise,2
n782,revolutions,2
n783,vinyl,2
n784,records,2
n785,needle,2
n786,drive,2
n787,flash,2
n788,fraction,2
n789,switching,2
n790,mistake,2
n791,hassle,2
n792,nuts,2
n793,I.,2
n794,importance,2
n795,consequences,2
n796,switch,2
n797,risks,2
n798,teaching,2
n799,ENTIRETY,2
n800,person,2
n801,college,2
n802,tenure,2
n803,America,2
n804,teach,2
n805,moving,2
n806,date,2
n807,teacher,2
n808,guy,2
n809,researcher,2
n810,retirement,2
n811,party,2
n812,photograph,2
n813,the Distinguished Teaching Award,2
n814,department,2
n815,campus,2
n816,honor,2
n817,honors,2
n818,Manuel Bluhm,2
n819,Richard Karpe,2
n820,Randy Carson,2
n821,John Ostrow,2
n822,contemporaries,2
n823,Bluhm,2
n824,Karp,2
n825,Turing Awards,2
n826,awards,2
n827,award,2
n828,Richard Feynman,2
n829,box,2
n830,Feynman,2
n831,the Institute of Advanced Studies,2
n832,study,2
n833,Princeton,2
n834,Einstein,2
n835,university,2
n836,classroom,2
n837,interaction,2
n838,concept,2
n839,guest,2
n840,lectures,2
n841,lights,2
n842,satisfaction,2
n843,example,2
n844,joy,2
n845,wrestling,2
n846,Russian,2
n847,Dan Gable,2
n848,UCLA,2
n849,sports,2
n850,romance,2
n851,El Camino Community College,2
n852,state,2
n853,California,2
n854,champions,2
n855,El Camino,2
n856,mom,2
n857,decision,2
n858,girlfriend,2
n859,tournament,2
n860,freshmen,2
n861,sophomores,2
n862,Padres,2
n863,lecture,2
n864,members,2
n865,cutoff,2
n866,1st,2
n867,class,2
n868,budget,2
n869,self,2
n870,confidence,2
n871,school,2
n872,feeling,2
n873,seventies,2
n874,streets,2
n875,entirety,2
n876,street,2
n877,woman,2
n878,coaches,2
n879,sport,2
n880,skills,2
n881,teams,2
n882,strengths,2
n883,goal,2
n884,collision,2
n885,contact,2
n886,football,2
n887,positives,2
n888,Leadership,2
n889,bench,2
n890,press,2
n891,weightlifting,2
n892,appeals,2
n893,meaning,2
n894,zeros,2
n895,bank,2
n896,account,2
n897,obituary,2
n898,The New York Times,2
n899,cliche,2
n900,office,2
n901,dozen,2
n902,wife,2
n903,kids,2
n904,grandkids,2
n905,education,2
n906,help,2
n907,groups,2
n908,hundreds,2
n909,lives,2
n910,offer,2
n911,walks,2
n912,relationships,2
n913,childhood,2
n914,sweetheart,2
n915,partner,2
n916,relationship,2
n917,bumps,2
n918,road,2
n919,David,2
n920,interview,2
n921,David Patterson_ Computer Architecture and Data Storage _ Lex Fridman Podcast _104,1
