id,name,group
n0,conversation,2
n1,Dileep George,1
n2,brain,2
n3,order,2
n4,Blue Brain,2
n5,Henry Markham's,2
n6,project,2
n7,details,2
n8,experiments,2
n9,simulation,2
n10,neurons,2
n11,theory,2
n12,system,2
n13,pieces,2
n14,level,2
n15,the Blue Brain Project,2
n16,principle,2
n17,idea,2
n18,brains,2
n19,Brains,2
n20,lots,2
n21,cortex,2
n22,neocortex,2
n23,structure,2
n24,cat,2
n25,nature,2
n26,evil,2
n27,simulations,2
n28,thing,2
n29,oscillations,2
n30,number,2
n31,parameters,2
n32,rhythm,2
n33,models,2
n34,statistics,2
n35,connections,2
n36,neuroscience,2
n37,model,2
n38,Hodgkin Huxley,2
n39,signals,2
n40,cable,2
n41,dendrites,2
n42,phenomena,2
n43,connectivity,2
n44,guesswork,2
n45,course,2
n46,sense,2
n47,way,2
n48,signal,2
n49,travels,2
n50,axons,2
n51,crude,2
n52,dynamics,2
n53,neuron,2
n54,channels,2
n55,calcium,2
n56,receptors,2
n57,effect,2
n58,output,2
n59,people,2
n60,regime,2
n61,policy,2
n62,correctness,2
n63,levels,2
n64,kind,2
n65,mechanism,2
n66,iron,2
n67,channel,2
n68,circuits,2
n69,function,2
n70,terms,2
n71,circuit,2
n72,propagation,2
n73,99 percent,2
n74,percent,2
n75,analog,2
n76,transistor,2
n77,microprocessor,2
n78,transistors,2
n79,boolean,2
n80,logic,2
n81,gates,2
n82,paper,2
n83,reading,2
n84,group,2
n85,perspective,2
n86,neuroscientist,2
n87,tools,2
n88,aliens,2
n89,computers,2
n90,process,2
n91,exploration,2
n92,aspect,2
n93,architecture,2
n94,processes,2
n95,clocks,2
n96,timing,2
n97,methodology,2
n98,engineer,2
n99,microprocessors,2
n100,neuroscientists,2
n101,insights,2
n102,state,2
n103,underpinnings,2
n104,pinnings,2
n105,findings,2
n106,information,2
n107,processing,2
n108,hypotheses,2
n109,framework,2
n110,assistance,2
n111,podcast,2
n112,years,2
n113,probability,2
n114,words,2
n115,humans,2
n116,days,2
n117,understanding,2
n118,individual,2
n119,communication,2
n120,transfer,2
n121,intelligence,2
n122,stuff,2
n123,timeline,2
n124,timelines,2
n125,flight,2
n126,New York Times,2
n127,article,2
n128,machines,2
n129,point,2
n130,Wright,2
n131,brothers,2
n132,experimentation,2
n133,tribute,2
n134,battle,2
n135,depression,2
n136,person,2
n137,estimate,2
n138,angle,2
n139,functions,2
n140,task,2
n141,biology,2
n142,hints,2
n143,rest,2
n144,puzzle,2
n145,layer,2
n146,world,2
n147,value,2
n148,ways,2
n149,efforts,2
n150,data,2
n151,story,2
n152,cycle,2
n153,endeavor,2
n154,dream,2
n155,DGI,2
n156,systems,2
n157,aspects,2
n158,fraction,2
n159,area,2
n160,vision,2
n161,feed,2
n162,cascade,2
n163,feedback,2
n164,food,2
n165,Neuroscientists,2
n166,literature,2
n167,V1,2
n168,combination,2
n169,explanation,2
n170,hypothesis,2
n171,preparation,2
n172,control,2
n173,question,2
n174,studies,2
n175,travel,2
n176,example,2
n177,layers,2
n178,pathway,2
n179,object,2
n180,recognition,2
n181,microcircuit,2
n182,Reburn,2
n183,organization,2
n184,sheet,2
n185,layaways,2
n186,column,2
n187,experiment,2
n188,stimulus,2
n189,foreground,2
n190,background,2
n191,triangle,2
n192,surface,2
n193,contours,2
n194,perception,2
n195,inside,2
n196,percept,2
n197,edges,2
n198,surfaces,2
n199,answer,2
n200,case,2
n201,edge,2
n202,detail,2
n203,kinds,2
n204,illusion,2
n205,mind,2
n206,corners,2
n207,Pacman,2
n208,presence,2
n209,input,2
n210,signaling,2
n211,Kountouris percent,2
n212,context,2
n213,connection,2
n214,fire,2
n215,machine,2
n216,learning,2
n217,folks,2
n218,thanks,2
n219,heck,2
n220,picture,2
n221,objects,2
n222,expectations,2
n223,push,2
n224,difference,2
n225,illusions,2
n226,Hosn,2
n227,novelty,2
n228,movement,2
n229,fact,2
n230,exercise,2
n231,evidence,2
n232,inference,2
n233,procedure,2
n234,feet,2
n235,Feedback,2
n236,examples,2
n237,competition,2
n238,networks,2
n239,class,2
n240,set,2
n241,nodes,2
n242,dot,2
n243,product,2
n244,network,2
n245,approximation,2
n246,node,2
n247,representing,2
n248,knowledge,2
n249,right,2
n250,relationship,2
n251,variables,2
n252,piece,2
n253,50 percent,2
n254,belief,2
n255,square,2
n256,image,2
n257,courses,2
n258,causality,2
n259,alarm,2
n260,home,2
n261,burglar,2
n262,house,2
n263,earthquake,2
n264,office,2
n265,thinking,2
n266,radio,2
n267,vicinity,2
n268,strength,2
n269,causes,2
n270,variable,2
n271,costs,2
n272,storage,2
n273,hardware,2
n274,draft,2
n275,concept,2
n276,think,2
n277,columns,2
n278,thousands,2
n279,structures,2
n280,contact,2
