id,source,target,value
e0,n824,n0,
e1,n824,n1,
e2,n824,n2,dangerous
e3,n824,n3,
e4,n824,n4,computational
e5,n824,n5,different
e6,n824,n6,
e7,n824,n7,viral
e8,n824,n8,whole
e9,n824,n9,whole
e10,n824,n10,higher
e11,n824,n11,
e12,n824,n12,
e13,n824,n13,human
e14,n824,n14,
e15,n824,n15,little
e16,n824,n16,unique
e17,n824,n17,macro
e18,n824,n18,intelligent
e19,n824,n19,same
e20,n824,n20,limited
e21,n824,n21,necessary
e22,n824,n22,enough
e23,n824,n23,
e24,n824,n24,last
e25,n824,n25,new
e26,n824,n26,
e27,n824,n27,first
e28,n824,n28,
e29,n824,n29,
e30,n824,n30,artificial
e31,n824,n31,
e32,n824,n32,
e33,n824,n33,
e34,n824,n34,
e35,n824,n35,
e36,n824,n36,incredible
e37,n824,n37,little
e38,n824,n38,favorite
e39,n824,n39,
e40,n824,n40,
e41,n824,n41,evolutionary
e42,n824,n42,few
e43,n824,n43,natural
e44,n824,n44,interesting
e45,n824,n45,
e46,n824,n46,new
e47,n824,n47,pandemic
e48,n824,n48,
e49,n824,n49,related
e50,n824,n50,excellent
e51,n824,n51,computational
e52,n824,n52,
e53,n824,n53,
e54,n824,n54,main
e55,n824,n55,near
e56,n824,n56,
e57,n824,n57,human
e58,n824,n58,
e59,n824,n59,
e60,n824,n60,other
e61,n824,n61,
e62,n824,n62,
e63,n824,n63,
e64,n824,n64,confined
e65,n824,n65,
e66,n824,n66,
e67,n824,n67,
e68,n824,n68,
e69,n824,n69,several
e70,n824,n70,
e71,n824,n71,
e72,n824,n72,
e73,n824,n73,contagious
e74,n824,n74,other
e75,n824,n75,whole
e76,n824,n76,
e77,n824,n77,
e78,n824,n78,ongoing
e79,n824,n79,exponential
e80,n824,n80,big
e81,n824,n81,
e82,n824,n82,seasonal
e83,n824,n83,current
e84,n824,n84,
e85,n824,n85,
e86,n824,n86,
e87,n824,n87,impressive
e88,n824,n88,
e89,n824,n89,other
e90,n824,n90,more
e91,n824,n91,
e92,n824,n92,biological
e93,n824,n93,best
e94,n824,n94,viral
e95,n824,n95,
e96,n824,n96,
e97,n824,n97,much
e98,n824,n98,
e99,n824,n99,asymptomatic
e100,n824,n100,
e101,n824,n101,
e102,n824,n102,
e103,n824,n103,symptomatic
e104,n824,n104,
e105,n824,n105,ongoing
e106,n824,n106,
e107,n824,n107,
e108,n824,n108,
