id,source,target,value
e0,n1573,n0,general
e1,n1573,n1,
e2,n1573,n2,
e3,n1573,n3,
e4,n1573,n4,global
e5,n1573,n5,
e6,n1573,n6,collective
e7,n1573,n7,
e8,n1573,n8,
e9,n1573,n9,
e10,n1573,n10,horrible
e11,n1573,n11,
e12,n1573,n12,
e13,n1573,n13,
e14,n1573,n14,most
e15,n1573,n15,
e16,n1573,n16,tough
e17,n1573,n17,
e18,n1573,n18,
e19,n1573,n19,new
e20,n1573,n20,Russian
e21,n1573,n21,
e22,n1573,n22,same
e23,n1573,n23,
e24,n1573,n24,
e25,n1573,n25,only
e26,n1573,n26,
e27,n1573,n27,Soviet
e28,n1573,n28,
e29,n1573,n29,
e30,n1573,n30,
e31,n1573,n31,weird
e32,n1573,n32,
e33,n1573,n33,Russian
e34,n1573,n34,
e35,n1573,n35,many
e36,n1573,n36,historical
e37,n1573,n37,physical
e38,n1573,n38,profound
e39,n1573,n39,
e40,n1573,n40,global
e41,n1573,n41,
e42,n1573,n42,best
e43,n1573,n43,
e44,n1573,n44,
e45,n1573,n45,great
e46,n1573,n46,biggest
e47,n1573,n47,
e48,n1573,n48,violent
e49,n1573,n49,human
e50,n1573,n50,
e51,n1573,n51,potential
e52,n1573,n52,positive
e53,n1573,n53,
e54,n1573,n54,
e55,n1573,n55,
e56,n1573,n56,
e57,n1573,n57,kinetic
e58,n1573,n58,
e59,n1573,n59,
e60,n1573,n60,electronic
e61,n1573,n61,
e62,n1573,n62,
e63,n1573,n63,
e64,n1573,n64,
e65,n1573,n65,
e66,n1573,n66,same
e67,n1573,n67,long
e68,n1573,n68,
e69,n1573,n69,positive
e70,n1573,n70,particular
e71,n1573,n71,
e72,n1573,n72,
e73,n1573,n73,whole
e74,n1573,n74,
e75,n1573,n75,
e76,n1573,n76,
e77,n1573,n77,
e78,n1573,n78,
e79,n1573,n79,
e80,n1573,n80,American
e81,n1573,n81,
e82,n1573,n82,
e83,n1573,n83,
e84,n1573,n84,
e85,n1573,n85,great
e86,n1573,n86,amazing
e87,n1573,n87,
e88,n1573,n88,
e89,n1573,n89,global
e90,n1573,n90,separate
e91,n1573,n91,
e92,n1573,n92,
e93,n1573,n93,
e94,n1573,n94,
e95,n1573,n95,
e96,n1573,n96,
e97,n1573,n97,
e98,n1573,n98,
e99,n1573,n99,terrifying
e100,n1573,n100,other
e101,n1573,n101,
e102,n1573,n102,
e103,n1573,n103,
e104,n1573,n104,
e105,n1573,n105,
e106,n1573,n106,
e107,n1573,n107,
e108,n1573,n108,
e109,n1573,n109,same
e110,n1573,n110,basic
e111,n1573,n111,full
e112,n1573,n112,protective
e113,n1573,n113,jurisdictional
e114,n1573,n114,key
e115,n1573,n115,
e116,n1573,n116,
e117,n1573,n117,
e118,n1573,n118,
e119,n1573,n119,
e120,n1573,n120,current
e121,n1573,n121,
e122,n1573,n122,good
e123,n1573,n123,
e124,n1573,n124,
e125,n1573,n125,huge
e126,n1573,n126,small
e127,n1573,n127,
e128,n1573,n128,
e129,n1573,n129,armed
e130,n1573,n130,abstract
e131,n1573,n131,
e132,n1573,n132,key
e133,n1573,n133,
e134,n1573,n134,
e135,n1573,n135,
e136,n1573,n136,incredible
e137,n1573,n137,
e138,n1573,n138,
e139,n1573,n139,
e140,n1573,n140,
e141,n1573,n141,
e142,n1573,n142,
e143,n1573,n143,
e144,n1573,n144,retail
e145,n1573,n145,
e146,n1573,n146,
e147,n1573,n147,
e148,n1573,n148,bright
e149,n1573,n149,
e150,n1573,n150,
e151,n1573,n151,poor
e152,n1573,n152,
e153,n1573,n153,less
e154,n1573,n154,fellow
e155,n1573,n155,
e156,n1573,n156,military
e157,n1573,n157,separate
e158,n1573,n158,
e159,n1573,n159,sematic
e160,n1573,n160,
e161,n1573,n161,little
e162,n1573,n162,
e163,n1573,n163,
e164,n1573,n164,historical
e165,n1573,n165,
e166,n1573,n166,
e167,n1573,n167,
e168,n1573,n168,
e169,n1573,n169,
e170,n1573,n170,many
e171,n1573,n171,
e172,n1573,n172,
e173,n1573,n173,
e174,n1573,n174,
e175,n1573,n175,
e176,n1573,n176,
e177,n1573,n177,
e178,n1573,n178,
e179,n1573,n179,basic
e180,n1573,n180,
e181,n1573,n181,
e182,n1573,n182,
e183,n1573,n183,extra
e184,n1573,n184,respectable
e185,n1573,n185,
e186,n1573,n186,
e187,n1573,n187,
e188,n1573,n188,
e189,n1573,n189,European
e190,n1573,n190,Jewish
e191,n1573,n191,simple
e192,n1573,n192,beautiful
e193,n1573,n193,
e194,n1573,n194,
e195,n1573,n195,
e196,n1573,n196,vulnerable
