id,name,group
n0,conversation,2
n1,Eric Weinstein,1
n2,connection,2
n3,World War,2
n4,crisis,2
n5,need,2
n6,action,2
n7,fact,2
n8,abstractions,2
n9,reminder,2
n10,stories,2
n11,grandfather,2
n12,the Soviet Union,2
n13,army,2
n14,people,2
n15,brotherhood,2
n16,love,2
n17,enormity,2
n18,war,2
n19,Russian,2
n20,doorstep,2
n21,Stalingrad,2
n22,breath,2
n23,the Great Patriotic War,2
n24,sense,2
n25,way,2
n26,Soviet,2
n27,custom,2
n28,newlyweds,2
n29,memorials,2
n30,wedding,2
n31,life,2
n32,history,2
n33,program,2
n34,the Great Knap,2
n35,years,2
n36,standards,2
n37,terms,2
n38,disruption,2
n39,lack,2
n40,tragedy,2
n41,development,2
n42,example,2
n43,hydrogen,2
n44,bomb,2
n45,nap,2
n46,fear,2
n47,anxiety,2
n48,potential,2
n49,species,2
n50,form,2
n51,energy,2
n52,thing,2
n53,issue,2
n54,description,2
n55,Steven Pinker's,2
n56,optimism,2
n57,variables,2
n58,fragility,2
n59,dependence,2
n60,systems,2
n61,vulnerability,2
n62,sorts,2
n63,jubilation,2
n64,attention,2
n65,death,2
n66,sentence,2
n67,period,2
n68,bleed,2
n69,effect,2
n70,moment,2
n71,stock,2
n72,market,2
n73,idea,2
n74,coronavirus,2
n75,respect,2
n76,positives,2
n77,moon,2
n78,landing,2
n79,Soviet American,2
n80,link,2
n81,Skylab,2
n82,Soyuz,2
n83,nations,2
n84,orbit,2
n85,moments,2
n86,happens,2
n87,sporting,2
n88,event,2
n89,suffering,2
n90,storylines,2
n91,storyline,2
n92,food,2
n93,packaging,2
n94,lids,2
n95,masks,2
n96,doctors,2
n97,nurses,2
n98,triage,2
n99,story,2
n100,hand,2
n101,tons,2
n102,ventilator,2
n103,someplace,2
n104,lots,2
n105,hospital,2
n106,ships,2
n107,beds,2
n108,feeling,2
n109,kind,2
n110,tools,2
n111,data,2
n112,equipment,2
n113,battle,2
n114,question,2
n115,presence,2
n116,absence,2
n117,details,2
n118,ability,2
