id,source,target,value
e0,n1076,n0,
e1,n1076,n1,
e2,n1076,n2,
e3,n1076,n3,
e4,n1076,n4,
e5,n1076,n5,greatest
e6,n1076,n6,human
e7,n1076,n7,
e8,n1076,n8,exponential
e9,n1076,n9,exponential
e10,n1076,n10,
e11,n1076,n11,
e12,n1076,n12,second
e13,n1076,n13,
e14,n1076,n14,previous
e15,n1076,n15,
e16,n1076,n16,more
e17,n1076,n17,old
e18,n1076,n18,
e19,n1076,n19,most
e20,n1076,n20,
e21,n1076,n21,only
e22,n1076,n22,
e23,n1076,n23,last
e24,n1076,n24,
e25,n1076,n25,
e26,n1076,n26,
e27,n1076,n27,
e28,n1076,n28,
e29,n1076,n29,
e30,n1076,n30,
e31,n1076,n31,old
e32,n1076,n32,
e33,n1076,n33,
e34,n1076,n34,
e35,n1076,n35,many
e36,n1076,n36,
e37,n1076,n37,
e38,n1076,n38,
e39,n1076,n39,more
e40,n1076,n40,most
e41,n1076,n41,worst
e42,n1076,n42,
e43,n1076,n43,other
e44,n1076,n44,physical
e45,n1076,n45,
e46,n1076,n46,single
e47,n1076,n47,
e48,n1076,n48,digital
e49,n1076,n49,
e50,n1076,n50,
e51,n1076,n51,
e52,n1076,n52,
e53,n1076,n53,
e54,n1076,n54,
e55,n1076,n55,
e56,n1076,n56,
e57,n1076,n57,
e58,n1076,n58,first
e59,n1076,n59,
e60,n1076,n60,
e61,n1076,n61,
e62,n1076,n62,
e63,n1076,n63,much
e64,n1076,n64,natural
e65,n1076,n65,
e66,n1076,n66,
e67,n1076,n67,
e68,n1076,n68,weird
e69,n1076,n69,
e70,n1076,n70,few
e71,n1076,n71,
e72,n1076,n72,
e73,n1076,n73,social
e74,n1076,n74,digital
e75,n1076,n75,
e76,n1076,n76,other
e77,n1076,n77,
e78,n1076,n78,
e79,n1076,n79,whole
e80,n1076,n80,exponential
e81,n1076,n81,
e82,n1076,n82,
e83,n1076,n83,human
e84,n1076,n84,
e85,n1076,n85,fundamental
e86,n1076,n86,
e87,n1076,n87,other
e88,n1076,n88,economic
e89,n1076,n89,
e90,n1076,n90,exponential
e91,n1076,n91,
e92,n1076,n92,exponential
e93,n1076,n93,first
e94,n1076,n94,
e95,n1076,n95,personal
e96,n1076,n96,
e97,n1076,n97,
e98,n1076,n98,
e99,n1076,n99,
e100,n1076,n100,scientific
e101,n1076,n101,
e102,n1076,n102,
e103,n1076,n103,
e104,n1076,n104,initial
e105,n1076,n105,
e106,n1076,n106,
e107,n1076,n107,new
e108,n1076,n108,
e109,n1076,n109,
e110,n1076,n110,
e111,n1076,n111,
e112,n1076,n112,
e113,n1076,n113,
e114,n1076,n114,different
e115,n1076,n115,
e116,n1076,n116,own
e117,n1076,n117,grad
e118,n1076,n118,
e119,n1076,n119,
e120,n1076,n120,digital
e121,n1076,n121,different
e122,n1076,n122,Exponential
e123,n1076,n123,holy
e124,n1076,n124,
e125,n1076,n125,
e126,n1076,n126,German
e127,n1076,n127,late
e128,n1076,n128,early
e129,n1076,n129,
e130,n1076,n130,
e131,n1076,n131,
e132,n1076,n132,
e133,n1076,n133,
e134,n1076,n134,most
e135,n1076,n135,little
e136,n1076,n136,
e137,n1076,n137,
e138,n1076,n138,first
e139,n1076,n139,exponential
e140,n1076,n140,
e141,n1076,n141,
e142,n1076,n142,epidemiological
e143,n1076,n143,different
e144,n1076,n144,
e145,n1076,n145,new
e146,n1076,n146,new
e147,n1076,n147,good
e148,n1076,n148,
e149,n1076,n149,huge
e150,n1076,n150,economic
e151,n1076,n151,
e152,n1076,n152,raw
e153,n1076,n153,human
e154,n1076,n154,
e155,n1076,n155,significant
e156,n1076,n156,huge
e157,n1076,n157,
e158,n1076,n158,
e159,n1076,n159,
e160,n1076,n160,invisible
e161,n1076,n161,
e162,n1076,n162,
e163,n1076,n163,
e164,n1076,n164,
e165,n1076,n165,new
e166,n1076,n166,barbaric
e167,n1076,n167,new
e168,n1076,n168,
e169,n1076,n169,multiple
e170,n1076,n170,Other
e171,n1076,n171,
e172,n1076,n172,
e173,n1076,n173,neural
e174,n1076,n174,
e175,n1076,n175,graphic
e176,n1076,n176,
e177,n1076,n177,
e178,n1076,n178,
e179,n1076,n179,exponential
e180,n1076,n180,raw
e181,n1076,n181,scientific
e182,n1076,n182,
e183,n1076,n183,efficient
e184,n1076,n184,neural
e185,n1076,n185,
e186,n1076,n186,
e187,n1076,n187,more
e188,n1076,n188,
e189,n1076,n189,
e190,n1076,n190,more
e191,n1076,n191,digital
e192,n1076,n192,
e193,n1076,n193,
e194,n1076,n194,other
e195,n1076,n195,
e196,n1076,n196,
e197,n1076,n197,core
e198,n1076,n198,few
e199,n1076,n199,
e200,n1076,n200,
e201,n1076,n201,
e202,n1076,n202,
e203,n1076,n203,
e204,n1076,n204,convincing
e205,n1076,n205,human
e206,n1076,n206,
e207,n1076,n207,
e208,n1076,n208,
e209,n1076,n209,smaller
e210,n1076,n210,
e211,n1076,n211,
e212,n1076,n212,
e213,n1076,n213,future
e214,n1076,n214,other
e215,n1076,n215,
e216,n1076,n216,
e217,n1076,n217,
e218,n1076,n218,
e219,n1076,n219,other
e220,n1076,n220,
e221,n1076,n221,right
e222,n1076,n222,autonomous
e223,n1076,n223,
e224,n1076,n224,
e225,n1076,n225,
e226,n1076,n226,
e227,n1076,n227,harder
e228,n1076,n228,
e229,n1076,n229,whole
e230,n1076,n230,next
e231,n1076,n231,
e232,n1076,n232,total
e233,n1076,n233,
e234,n1076,n234,more
e235,n1076,n235,
e236,n1076,n236,
e237,n1076,n237,
e238,n1076,n238,good
e239,n1076,n239,
e240,n1076,n240,
e241,n1076,n241,
e242,n1076,n242,
e243,n1076,n243,
e244,n1076,n244,
e245,n1076,n245,good
e246,n1076,n246,straight
e247,n1076,n247,
e248,n1076,n248,other
e249,n1076,n249,
