id,name,group
n0,conversation,2
n1,Erik Brynjolfsson,1
n2,quote,2
n3,Twitter,2
n4,Albert Bartlett,2
n5,shortcoming,2
n6,race,2
n7,inability,2
n8,function,2
n9,growth,2
n10,IndyMac,2
n11,reprise,2
n12,machine,2
n13,age,2
n14,couple,2
n15,dozen,2
n16,cases,2
n17,days,2
n18,catastrophe,2
n19,people,2
n20,fact,2
n21,person,2
n22,conference,2
n23,week,2
n24,Las Vegas,2
n25,plane,2
n26,mask,2
n27,flight,2
n28,attendant,2
n29,hands,2
n30,shoulder,2
n31,kind,2
n32,anxiety,2
n33,disorder,2
n34,thousands,2
n35,times,2
n36,Moore,2
n37,Law,2
n38,wonders,2
n39,computer,2
n40,power,2
n41,case,2
n42,minutes,2
n43,way,2
n44,world,2
n45,brains,2
n46,story,2
n47,numbers,2
n48,technologies,2
n49,intuitions,2
n50,whack,2
n51,viruses,2
n52,spaces,2
n53,intuition,2
n54,aspects,2
n55,society,2
n56,math,2
n57,truth,2
n58,experiences,2
n59,Silicon Valley,2
n60,A.I.,2
n61,researchers,2
n62,mistakes,2
n63,progress,2
n64,language,2
n65,danger,2
n66,meantime,2
n67,caveman,2
n68,thing,2
n69,moment,2
n70,years,2
n71,Internet,2
n72,V.I.,2
n73,media,2
n74,umbrella,2
n75,stuff,2
n76,parts,2
n77,humans,2
n78,organizations,2
n79,institutions,2
n80,paces,2
n81,mismatch,2
n82,oftentimes,2
n83,skills,2
n84,root,2
n85,problems,2
n86,inequality,2
n87,dysfunctions,2
n88,systems,2
n89,guy,2
n90,functions,2
n91,Elon Musk,2
n92,thinking,2
n93,principles,2
n94,basics,2
n95,question,2
n96,assumptions,2
n97,past,2
n98,window,2
n99,10x,2
n100,process,2
n101,deadlines,2
n102,trouble,2
n103,Overestimates,2
n104,estimates,2
n105,thoughts,2
n106,Ellen,2
n107,ways,2
n108,grip,2
n109,tens,2
n110,hundreds,2
n111,sense,2
n112,Elon,2
n113,fairness,2
n114,applications,2
n115,shock,2
n116,life,2
n117,student,2
n118,advisor,2
n119,US,2
n120,economy,2
n121,industries,2
n122,curves,2
n123,shit,2
n124,industry,2
n125,rocket,2
n126,scientist,2
n127,80s,2
n128,90s,2
n129,orders,2
n130,magnitude,2
n131,course,2
n132,stack,2
n133,milk,2
n134,advantage,2
n135,revolution,2
n136,revolutions,2
n137,heck,2
n138,point,2
n139,curve,2
n140,half,2
n141,pool,2
n142,model,2
n143,generations,2
n144,generation,2
n145,materials,2
n146,processes,2
n147,theory,2
n148,beginning,2
n149,incentives,2
n150,system,2
n151,clock,2
n152,speed,2
n153,component,2
n154,bottleneck,2
n155,improvements,2
n156,returns,2
n157,resources,2
n158,version,2
n159,John Cumi,2
n160,college,2
n161,roommate,2
n162,energy,2
n163,consumption,2
n164,factor,2
n165,iPhones,2
n166,today,2
n167,iPhone,2
n168,battery,2
n169,chips,2
n170,dimensions,2
n171,AI,2
n172,learning,2
n173,nets,2
n174,chip,2
n175,processing,2
n176,unit,2
n177,tensor,2
n178,units,2
n179,improvement,2
n180,silicon,2
n181,work,2
n182,Open Eye,2
n183,training,2
n184,networks,2
n185,techniques,2
n186,algorithm,2
n187,tricks,2
n188,image,2
n189,recognition,2
n190,data,2
n191,photos,2
n192,yesterday,2
n193,sorts,2
n194,types,2
n195,phone,2
n196,sets,2
n197,idea,2
n198,decades,2
n199,advances,2
n200,fold,2
n201,hundredfold,2
n202,software,2
n203,algorithms,2
n204,arguments,2
n205,knowledge,2
n206,bottlenecks,2
n207,critics,2
n208,programs,2
n209,amounts,2
n210,China,2
n211,video,2
n212,games,2
n213,self,2
n214,car,2
n215,driving,2
n216,risks,2
n217,weaknesses,2
n218,game,2
n219,options,2
n220,step,2
n221,direction,2
n222,vehicles,2
n223,CTO,2
n224,Weemote,2
n225,tomorrow,2
n226,weeks,2
n227,problem,2
n228,potential,2
n229,continuum,2
n230,door,2
n231,Toyota,2
n232,accident,2
n233,trifocals,2
n234,folks,2
n235,Gill Pratt,2
n236,op,2
n237,ed,2
n238,counterpart,2
n239,assistant,2
n240,guardian,2
n241,angel,2
n242,highway,2
n243,L.A.,2
n244,Phoenix,2
n245,weather,2
n246,roads,2
n247,solved,2
n248,situations,2
n249,snow,2
n250,Boston,2
n251,judgments,2
n252,drivers,2
n253,intersections,2
n254,angles,2
n255,motivations,2
n256,places,2
n257,cars,2
n258,companies,2
n259,road,2
n260,approach,2
n261,streets,2
n262,sides,2
n263,acceptance,2
n264,blip,2
n265,concern,2
n266,setbacks,2
n267,wrong,2
n268,listeners,2
n269,levels,2
n270,level,2
n271,areas,2
n272,wild,2
n273,progressing,2
n274,public,2
n275,Arizona,2
n276,ride,2
n277,safety,2
n278,driver,2
n279,drive,2
n280,job,2
n281,infrastructure,2
n282,observation,2
n283,customer,2
n284,service,2
n285,tune,2
n286,tail,2
n287,exceptions,2
n288,ninety nine percent,2
n289,percent,2
n290,fatalities,2
n291,the United States,2
n292,expectations,2
n293,machines,2
n294,death,2
n295,damage,2
n296,edge,2
n297,criticism,2
n298,focus,2
n299,products,2
n300,customers,2
n301,beings,2
n302,extremes,2
n303,genius,2
n304,roadster,2
n305,end,2
n306,marketing,2
n307,technology,2
n308,Marketing,2
n309,movies,2
n310,A.I. Systems,2
n311,guts,2
n312,risk,2
n313,taking,2
n314,practice,2
n315,chagrin,2
n316,investors,2
n317,costs,2
n318,labor,2
n319,change,2
n320,Jeff Bezos,2
n321,bookstores,2
n322,robot,2
n323,cashier,2
n324,bookstore,2
n325,soup,2
n326,nuts,2
n327,warehouse,2
n328,delivery,2
n329,order,2
n330,screen,2
n331,purpose,2
n332,history,2
n333,books,2
n334,electricity,2
n335,productivity,2
n336,gain,2
n337,electrification,2
n338,factories,2
n339,century,2
n340,wimpy,2
n341,book,2
n342,doubling,2
n343,tripling,2
n344,combination,2
n345,business,2
n346,models,2
n347,organization,2
n348,creativity,2
n349,steam,2
n350,engines,2
n351,waterwheels,2
n352,machinery,2
n353,pulleys,2
n354,crankshafts,2
n355,torsion,2
n356,equipment,2
n357,engine,2
n358,thermodynamics,2
n359,distance,2
n360,motor,2
n361,General Electric,2
n362,managers,2
n363,motors,2
n364,piece,2
n365,debate,2
n366,management,2
n367,literature,2
n368,group,2
n369,guys,2
n370,factory,2
n371,workflow,2
n372,assembly,2
n373,line,2
n374,Machine,2
n375,increases,2
n376,People,2
n377,Paul David,2
n378,research,2
n379,papers,2
n380,lesson,2
n381,production,2
n382,computerization,2
n383,Michael Hammer,2
n384,obliterate,2
n385,gains,2
n386,entrepreneurs,2
n387,reinvention,2
n388,period,2
n389,slipping,2
n390,paper,2
n391,Chad Syverson,2
n392,Daniel Rockholt,2
n393,The Productivity J Curve,2
n394,dip,2
n395,reinvent,2
n396,assets,2
n397,balance,2
n398,sheet,2
n399,hundreds of billions of dollars,2
n400,billions,2
n401,dollars,2
n402,chauffeur,2
n403,taxi,2
n404,spending,2
n405,consumer,2
n406,belief,2
n407,run,2
n408,reasons,2
n409,economist,2
n410,eye,2
n411,statistics,2
n412,2000s,2
n413,tick,2
n414,decade,2
n415,relationship,2
n416,hope,2
n417,websites,2
n418,connectivity,2
n419,access,2
n420,information,2
n421,area,2
n422,goods,2
n423,Facebook,2
n424,price,2
n425,electrons,2
n426,house,2
n427,pause,2
n428,quantity,2
n429,approximation,2
n430,hours,2
n431,screens,2
n432,value,2
n433,cat,2
n434,videos,2
n435,articles,2
n436,economists,2
n437,Simon Kuznets,2
n438,GDP,2
n439,thirties,2
n440,measure,2
n441,welfare,2
n442,set,2
n443,colleagues,2
n444,Dasch,2
n445,measures,2
n446,benefits,2
n447,cost,2
n448,benefit,2
n449,Zoome,2
n450,Wikipedia,2
n451,agencies,2
n452,metrics,2
n453,accounts,2
n454,cash,2
n455,experiments,2
n456,choice,2
n457,millions,2
n458,lots,2
n459,AB,2
n460,tests,2
n461,three dollars,2
n462,ten dollars,2
n463,a hundred dollars,2
n464,demand,2
n465,prices,2
n466,values,2
n467,women,2
n468,men,2
n469,patterns,2
n470,individual,2
n471,estimate,2
n472,the National Academy of Sciences,2
n473,experiment,2
n474,title,2
n475,website,2
n476,mystery,2
n477,YouTube,2
n478,ads,2
n479,money,2
n480,economics,2
n481,product,2
n482,perspective,2
n483,MIT,2
n484,Stanford,2
n485,spring,2
n486,forces,2
n487,competition,2
n488,ad,2
n489,volunteer,2
n490,donations,2
n491,volunteerism,2
n492,National Public Radio,2
n493,podcast,2
n494,revenue,2
n495,sponsors,2
n496,timestamps,2
n497,advertisement,2
n498,advertiser,2
n499,Perspective,2
n500,example,2
n501,shape,2
n502,advertising,2
n503,news,2
n504,number,2
n505,inefficiencies,2
n506,targeting,2
n507,experimentation,2
n508,platform,2
n509,effects,2
n510,market,2
n511,users,2
n512,willingness,2
n513,mix,2
n514,newspapers,2
n515,The Wall Street Journal,2
n516,The New York Times,2
n517,subscription,2
n518,dial,2
n519,slider,2
n520,incentive,2
n521,win,2
n522,content,2
n523,provider,2
n524,click,2
n525,purchase,2
n526,Amazon,2
n527,frictionless,2
n528,effort,2
n529,afternoon,2
n530,deterrent,2
n531,network,2
n532,Netflix,2
n533,dilemma,2
n534,Tristan Harris,2
n535,company,2
n536,core,2
n537,tension,2
n538,right,2
n539,trust,2
n540,choices,2
n541,Danny Kahneman,2
n542,System One,2
n543,brain,2
n544,cortex,2
n545,decisions,2
n546,tendency,2
n547,reaction,2
n548,Sex,2
n549,violence,2
n550,disgust,2
n551,anger,2
n552,fear,2
n553,kinds,2
n554,emotions,2
n555,purposes,2
n556,globe,2
n557,falsehoods,2
n558,opposite,2
n559,Deb Roy,2
n560,cover,2
n561,Science,2
n562,lies,2
n563,tweets,2
n564,valence,2
n565,evidence,2
n566,Feki,2
n567,study,2
n568,Synon,2
n569,Deb,2
n570,bots,2
n571,platforms,2
n572,friction,2
n573,dinner,2
n574,Jimmy Wales,2
n575,design,2
n576,credit,2
n577,academia,2
n578,discovery,2
n579,bullet,2
n580,heads,2
n581,message,2
n582,popularity,2
n583,view,2
n584,thought,2
n585,future,2
n586,table,2
n587,terms,2
n588,ideas,2
n589,Toys,2
n590,reality,2
n591,determinist,2
n592,studies,2
n593,destiny,2
n594,audience,2
n595,use,2
n596,societies,2
n597,tools,2
n598,saying,2
n599,German,2
n600,missiles,2
n601,World War Two,2
n602,department,2
n603,attitude,2
n604,technologists,2
n605,engineers,2
n606,implications,2
n607,facts,2
n608,fame,2
n609,invention,2
n610,method,2
n611,tool,2
n612,ones,2
n613,mind,2
n614,methods,2
n615,competitor,2
n616,premise,2
n617,subpart,2
n618,Econ,2
n619,the NBER National Bureau of Economic Research,2
n620,godsend,2
n621,journal,2
n622,art,2
n623,essence,2
n624,cesspool,2
n625,misinformation,2
n626,agents,2
n627,Russia,2
n628,groups,2
n629,efforts,2
n630,term,2
n631,nutcase,2
n632,idiot,2
n633,subway,2
n634,KKK,2
n635,Antifa,2
n636,attention,2
n637,friends,2
n638,division,2
n639,friend,2
n640,Russian,2
n641,campaigns,2
n642,debates,2
n643,nationalists,2
n644,epithets,2
n645,goal,2
n646,heating,2
n647,democracy,2
n648,responsibility,2
n649,communication,2
n650,love,2
n651,compassion,2
n652,statements,2
n653,analysis,2
n654,science,2
n655,context,2
n656,statement,2
n657,the Third Reich,2
n658,rise,2
n659,fall,2
n660,Hitler,2
n661,I am 100 percent,2
n662,place,2
n663,form,2
n664,twenties,2
n665,opinion,2
n666,Leadership,2
n667,president,2
n668,Barack Obama,2
n669,cancer,2
n670,culture,2
n671,skill,2
n672,nitpicking,2
n673,idiots,2
n674,fire,2
n675,cooking,2
n676,extinguisher,2
n677,figure,2
n678,seatbelts,2
n679,et cetera,2
n680,intelligence,2
n681,trends,2
n682,rest,2
n683,techno,2
n684,optimist,2
n685,extreme,2
n686,singularity,2
n687,spectrum,2
n688,living,2
n689,standards,2
n690,vision,2
n691,voice,2
n692,health,2
n693,care,2
n694,child,2
n695,environment,2
n696,laundry,2
n697,Years,2
n698,plenty,2
n699,touch,2
n700,tasks,2
n701,restructuring,2
n702,bets,2
n703,abundance,2
n704,transition,2
n705,shame,2
n706,material,2
n707,philosophy,2
n708,playing,2
n709,hell,2
n710,VR,2
n711,headsets,2
n712,res,2
n713,interactions,2
n714,castles,2
n715,multisensory,2
n716,Nick Bostrom,2
n717,simulation,2
n718,argument,2
n719,path,2
n720,definition,2
n721,alignment,2
n722,B.C.,2
n723,moral,2
n724,branch,2
n725,nanotechnology,2
n726,weapons,2
n727,school,2
n728,civilizations,2
n729,complexity,2
n730,species,2
n731,traps,2
n732,filter,2
n733,universe,2
n734,galaxy,2
n735,filters,2
n736,Robert Hanssen,2
n737,possibility,2
n738,reason,2
n739,planets,2
n740,the Great Filter,2
n741,Jobs,2
n742,impact,2
n743,jobs,2
n744,landscape,2
n745,breadth,2
n746,calculator,2
n747,Tom Mitchell,2
n748,What Can Machine Learning Do,2
n749,experts,2
n750,rubric,2
n751,questions,2
n752,task,2
n753,suitability,2
n754,the Bureau of Labor Statistics,2
n755,government,2
n756,occupations,2
n757,bus,2
n758,teacher,2
n759,radiologist,2
n760,radiologists,2
n761,occupation,2
n762,ability,2
n763,radioshow,2
n764,radiology,2
n765,images,2
n766,court,2
n767,article,2
n768,Nature,2
n769,imaging,2
n770,sedation,2
n771,exams,2
n772,results,2
n773,doctors,2
n774,patients,2
n775,categories,2
n776,pattern,2
n777,reorganization,2
n778,mass,2
n779,unemployment,2
n780,inputs,2
n781,outputs,2
n782,X,2
n783,mapping,2
n784,relationships,2
n785,control,2
n786,dexterity,2
n787,box,2
n788,Andrew McAfee,2
n789,Second Machine Age,2
n790,Pablo Picasso,2
n791,Early Computer,2
n792,fuss,2
n793,plot,2
n794,Lin,2
n795,axis,2
n796,income,2
n797,index,2
n798,Gotterson,2
n799,wage,2
n800,cashiers,2
n801,supermarket,2
n802,barcodes,2
n803,apple,2
n804,orange,2
n805,Cashiers,2
n806,airline,2
n807,pilot,2
n808,category,2
n809,scatterplot,2
n810,topic,2
n811,effect,2
n812,Andrew Young,2
n813,domain,2
n814,discourse,2
n815,candidate,2
n816,Andrew,2
n817,mentions,2
n818,centerpiece,2
n819,campaign,2
n820,UBI,2
n821,fan,2
n822,evolution,2
n823,check,2
n824,Voltaire,2
n825,ills,2
n826,boredom,2
n827,vice,2
n828,need,2
n829,meeting,2
n830,steel,2
n831,workers,2
n832,coal,2
n833,miners,2
n834,checks,2
n835,alcoholism,2
n836,depression,2
n837,divorce,2
n838,indicators,2
n839,drug,2
n840,cities,2
n841,robots,2
n842,childcare,2
n843,buying,2
n844,wages,2
n845,billions or hundreds of billions,2
n846,those hundreds of billions,2
n847,10 billion dollars,2
n848,Bill Gates,2
n849,Microsoft,2
n850,tax,2
n851,rates,2
n852,70 percent,2
n853,employers,2
n854,employment,2
n855,employer,2
n856,total,2
n857,discussion,2
n858,condition,2
n859,workforce,2
n860,dreams,2
n861,net,2
n862,guidance,2
n863,help,2
n864,map,2
n865,tech,2
n866,taxation,2
n867,headway,2
n868,Andy,2
n869,Economics 101,2
n870,education,2
n871,immigrants,2
n872,incomes,2
n873,Pegula,2
n874,taxes,2
n875,capital,2
n876,pollution,2
n877,congestion,2
n878,carbon,2
n879,brainer,2
n880,Republican,2
n881,Democrat,2
n882,Greg Mankiw,2
n883,head,2
n884,George Bush's,2
n885,Council of Economic Advisers,2
n886,Dick Schmalensee,2
n887,Democratic,2
n888,traffic,2
n889,jam,2
n890,waste,2
n891,productive,2
n892,Singapore,2
n893,food,2
n894,dumping,2
n895,ocean,2
n896,R&D,2
n897,lunch,2
n898,colleague,2
n899,Bob Soula,2
n900,the Nobel Prize,2
n901,Paul Romer,2
n902,a Nobel Prize,2
n903,investments,2
n904,rate,2
n905,undergrad,2
n906,econ,2
n907,lunches,2
n908,development,2
n909,fusion,2
n910,biotech,2
n911,classic,2
n912,good,2
n913,result,2
n914,seed,2
n915,corn,2
n916,metaphor,2
n917,pockets,2
n918,pandemic,2
n919,destruction,2
n920,the World War Two,2
n921,mobilization,2
n922,shift,2
n923,office,2
n924,students,2
n925,a little over 15 percent,2
n926,Americans,2
n927,50 percent,2
n928,home,2
n929,transformation,2
n930,worker,2
n931,vaccine,2
n932,hypothesis,2
n933,instance,2
n934,seminars,2
n935,Europe,2
n936,countries,2
n937,matter,2
n938,chat,2
n939,feature,2
n940,voices,2
n941,reference,2
n942,bandwidth,2
n943,quality,2
n944,thanks,2
n945,failure,2
n946,spot,2
n947,email,2
n948,plus,2
n949,Economists,2
n950,hysteresis,2
n951,egg,2
n952,followers,2
n953,reporters,2
n954,suffering,2
n955,connection,2
n956,American,2
n957,center,2
n958,aspect,2
n959,prosperity,2
n960,planet,2
n961,one percent,2
n962,wealth,2
n963,interest,2
n964,imperative,2
n965,wherewithal,2
n966,deal,2
n967,demagogues,2
n968,country,2
n969,analogy,2
n970,trade,2
n971,winners,2
n972,losers,2
n973,formula,2
n974,pie,2
n975,promise,2
n976,bargain,2
n977,backlash,2
n978,parties,2
n979,Trump and Co.,2
n980,Technology,2
n981,characteristics,2
n982,majority,2
n983,class,2
n984,distribution,2
n985,sucks,2
n986,rocks,2
n987,Google,2
n988,Luddites,2
n989,looms,2
n990,spinning,2
n991,city,2
n992,Stafford,2
n993,East Coast,2
n994,The West Coast,2
n995,epicenter,2
n996,India,2
n997,months,2
n998,fires,2
n999,eyes,2
n1000,sky,2
n1001,heat,2
n1002,waves,2
n1003,fingers,2
n1004,brief,2
n1005,universities,2
n1006,avenues,2
n1007,playground,2
n1008,words,2
n1009,concept,2
n1010,preference,2
n1011,preferences,2
n1012,word,2
n1013,dream,2
