id,source,target,value
e0,n1219,n0,first
e1,n1219,n1,
e2,n1219,n2,
e3,n1219,n3,
e4,n1219,n4,
e5,n1219,n5,
e6,n1219,n6,other
e7,n1219,n7,
e8,n1219,n8,
e9,n1219,n9,
e10,n1219,n10,
e11,n1219,n11,
e12,n1219,n12,particular
e13,n1219,n13,heartfelt
e14,n1219,n14,
e15,n1219,n15,
e16,n1219,n16,
e17,n1219,n17,
e18,n1219,n18,
e19,n1219,n19,
e20,n1219,n20,
e21,n1219,n21,
e22,n1219,n22,fine
e23,n1219,n23,
e24,n1219,n24,same
e25,n1219,n25,true
e26,n1219,n26,
e27,n1219,n27,
e28,n1219,n28,fancy
e29,n1219,n29,
e30,n1219,n30,
e31,n1219,n31,good
e32,n1219,n32,
e33,n1219,n33,basic
e34,n1219,n34,systematic
e35,n1219,n35,public
e36,n1219,n36,
e37,n1219,n37,biggest
e38,n1219,n38,good
e39,n1219,n39,circular
e40,n1219,n40,clicking
e41,n1219,n41,better
e42,n1219,n42,wrong
e43,n1219,n43,
e44,n1219,n44,fundamental
e45,n1219,n45,emergent
e46,n1219,n46,actual
e47,n1219,n47,constant
e48,n1219,n48,
e49,n1219,n49,hard
e50,n1219,n50,perfect
e51,n1219,n51,personal
e52,n1219,n52,scaffolded
e53,n1219,n53,certain
e54,n1219,n54,exciting
e55,n1219,n55,other
e56,n1219,n56,best
e57,n1219,n57,
e58,n1219,n58,interesting
e59,n1219,n59,interactive
e60,n1219,n60,
e61,n1219,n61,big
e62,n1219,n62,active
e63,n1219,n63,good
e64,n1219,n64,whole
e65,n1219,n65,interactive
e66,n1219,n66,other
e67,n1219,n67,certain
e68,n1219,n68,
e69,n1219,n69,
e70,n1219,n70,few
e71,n1219,n71,
e72,n1219,n72,
e73,n1219,n73,
e74,n1219,n74,articulable
e75,n1219,n75,favorite
e76,n1219,n76,nonconstructive
e77,n1219,n77,concrete
e78,n1219,n78,
e79,n1219,n79,intuitive
e80,n1219,n80,
e81,n1219,n81,
e82,n1219,n82,
e83,n1219,n83,different
e84,n1219,n84,psychological
e85,n1219,n85,
e86,n1219,n86,
e87,n1219,n87,
e88,n1219,n88,particular
e89,n1219,n89,
e90,n1219,n90,
e91,n1219,n91,certain
e92,n1219,n92,
e93,n1219,n93,amazing
e94,n1219,n94,
e95,n1219,n95,biggest
e96,n1219,n96,
e97,n1219,n97,better
e98,n1219,n98,
e99,n1219,n99,
e100,n1219,n100,advanced
e101,n1219,n101,like
e102,n1219,n102,
e103,n1219,n103,personal
e104,n1219,n104,
e105,n1219,n105,
e106,n1219,n106,academic
e107,n1219,n107,
e108,n1219,n108,
e109,n1219,n109,
e110,n1219,n110,
e111,n1219,n111,
e112,n1219,n112,different
e113,n1219,n113,
e114,n1219,n114,
e115,n1219,n115,
e116,n1219,n116,significant
e117,n1219,n117,personal
e118,n1219,n118,deep
e119,n1219,n119,wide
e120,n1219,n120,central
e121,n1219,n121,interesting
e122,n1219,n122,analytic
e123,n1219,n123,novel
e124,n1219,n124,complex
e125,n1219,n125,
e126,n1219,n126,
e127,n1219,n127,
e128,n1219,n128,
e129,n1219,n129,
e130,n1219,n130,
e131,n1219,n131,big
e132,n1219,n132,new
e133,n1219,n133,
e134,n1219,n134,few
e135,n1219,n135,online
e136,n1219,n136,
e137,n1219,n137,
e138,n1219,n138,multidimensional
e139,n1219,n139,cutting
e140,n1219,n140,new
e141,n1219,n141,new
e142,n1219,n142,false
e143,n1219,n143,whole
e144,n1219,n144,beautiful
e145,n1219,n145,
e146,n1219,n146,
e147,n1219,n147,thin
e148,n1219,n148,
e149,n1219,n149,whole
e150,n1219,n150,other
e151,n1219,n151,
e152,n1219,n152,first
e153,n1219,n153,
e154,n1219,n154,different
e155,n1219,n155,selfish
e156,n1219,n156,parental
e157,n1219,n157,ripple
e158,n1219,n158,biweekly
e159,n1219,n159,
e160,n1219,n160,
e161,n1219,n161,intellectual
e162,n1219,n162,fundamental
e163,n1219,n163,
e164,n1219,n164,
e165,n1219,n165,amazing
e166,n1219,n166,
e167,n1219,n167,
e168,n1219,n168,same
e169,n1219,n169,intellectual
e170,n1219,n170,
e171,n1219,n171,smug
e172,n1219,n172,dimensional
e173,n1219,n173,
e174,n1219,n174,
e175,n1219,n175,previous
e176,n1219,n176,
e177,n1219,n177,
e178,n1219,n178,other
e179,n1219,n179,long
e180,n1219,n180,
e181,n1219,n181,
e182,n1219,n182,
e183,n1219,n183,
e184,n1219,n184,
e185,n1219,n185,
e186,n1219,n186,
e187,n1219,n187,
e188,n1219,n188,publish
e189,n1219,n189,
e190,n1219,n190,interactive
e191,n1219,n191,
e192,n1219,n192,
e193,n1219,n193,
e194,n1219,n194,
e195,n1219,n195,
e196,n1219,n196,interactive
e197,n1219,n197,
e198,n1219,n198,small
e199,n1219,n199,
e200,n1219,n200,
e201,n1219,n201,same
e202,n1219,n202,
e203,n1219,n203,secondary
e204,n1219,n204,
e205,n1219,n205,interactive
e206,n1219,n206,best
e207,n1219,n207,
e208,n1219,n208,
e209,n1219,n209,
e210,n1219,n210,
e211,n1219,n211,
e212,n1219,n212,
e213,n1219,n213,
e214,n1219,n214,
e215,n1219,n215,
e216,n1219,n216,layered
e217,n1219,n217,
e218,n1219,n218,abstract
e219,n1219,n219,other
e220,n1219,n220,
e221,n1219,n221,
e222,n1219,n222,own
e223,n1219,n223,
e224,n1219,n224,whole
e225,n1219,n225,incredible
e226,n1219,n226,
e227,n1219,n227,
e228,n1219,n228,interesting
e229,n1219,n229,
e230,n1219,n230,interesting
e231,n1219,n231,different
e232,n1219,n232,
e233,n1219,n233,
e234,n1219,n234,
e235,n1219,n235,
e236,n1219,n236,
e237,n1219,n237,exponential
e238,n1219,n238,
e239,n1219,n239,
e240,n1219,n240,
e241,n1219,n241,
e242,n1219,n242,
e243,n1219,n243,
e244,n1219,n244,
e245,n1219,n245,
e246,n1219,n246,
e247,n1219,n247,vague
e248,n1219,n248,
e249,n1219,n249,complex
e250,n1219,n250,
e251,n1219,n251,
e252,n1219,n252,
e253,n1219,n253,very
e254,n1219,n254,
e255,n1219,n255,
e256,n1219,n256,
e257,n1219,n257,
e258,n1219,n258,
e259,n1219,n259,imaginative
e260,n1219,n260,
e261,n1219,n261,short
e262,n1219,n262,
e263,n1219,n263,
e264,n1219,n264,arbitrary
e265,n1219,n265,
e266,n1219,n266,general
e267,n1219,n267,exact
e268,n1219,n268,
e269,n1219,n269,
e270,n1219,n270,trivial
e271,n1219,n271,fascinating
e272,n1219,n272,
e273,n1219,n273,
e274,n1219,n274,
e275,n1219,n275,
e276,n1219,n276,intuitive
e277,n1219,n277,natural
e278,n1219,n278,open
e279,n1219,n279,open
e280,n1219,n280,
e281,n1219,n281,
e282,n1219,n282,
e283,n1219,n283,
e284,n1219,n284,
e285,n1219,n285,
e286,n1219,n286,narrow
e287,n1219,n287,
e288,n1219,n288,
e289,n1219,n289,same
e290,n1219,n290,
e291,n1219,n291,last
e292,n1219,n292,relevant
e293,n1219,n293,
e294,n1219,n294,
e295,n1219,n295,same
e296,n1219,n296,elegant
e297,n1219,n297,
e298,n1219,n298,
e299,n1219,n299,
e300,n1219,n300,
e301,n1219,n301,
e302,n1219,n302,social
e303,n1219,n303,
e304,n1219,n304,
e305,n1219,n305,
e306,n1219,n306,
e307,n1219,n307,
e308,n1219,n308,exponential
e309,n1219,n309,
e310,n1219,n310,
e311,n1219,n311,
e312,n1219,n312,
e313,n1219,n313,
e314,n1219,n314,natural
e315,n1219,n315,certain
e316,n1219,n316,
e317,n1219,n317,
e318,n1219,n318,
e319,n1219,n319,actual
e320,n1219,n320,
e321,n1219,n321,
e322,n1219,n322,
e323,n1219,n323,
e324,n1219,n324,human
e325,n1219,n325,ish
e326,n1219,n326,
e327,n1219,n327,different
e328,n1219,n328,enough
e329,n1219,n329,
e330,n1219,n330,
e331,n1219,n331,exponential
e332,n1219,n332,exponential
e333,n1219,n333,early
e334,n1219,n334,fundamental
e335,n1219,n335,whole
e336,n1219,n336,certain
e337,n1219,n337,intelligent
e338,n1219,n338,
e339,n1219,n339,
e340,n1219,n340,
e341,n1219,n341,whole
e342,n1219,n342,
e343,n1219,n343,
e344,n1219,n344,
e345,n1219,n345,anthropological
e346,n1219,n346,small
e347,n1219,n347,modern
e348,n1219,n348,
e349,n1219,n349,
e350,n1219,n350,
e351,n1219,n351,natural
e352,n1219,n352,
e353,n1219,n353,
e354,n1219,n354,social
e355,n1219,n355,
e356,n1219,n356,same
e357,n1219,n357,
e358,n1219,n358,small
e359,n1219,n359,small
e360,n1219,n360,
e361,n1219,n361,
e362,n1219,n362,
e363,n1219,n363,
e364,n1219,n364,exponential
e365,n1219,n365,
e366,n1219,n366,
e367,n1219,n367,
e368,n1219,n368,
e369,n1219,n369,
e370,n1219,n370,
e371,n1219,n371,
e372,n1219,n372,next
e373,n1219,n373,
e374,n1219,n374,
e375,n1219,n375,old
e376,n1219,n376,
e377,n1219,n377,only
e378,n1219,n378,single
e379,n1219,n379,
e380,n1219,n380,more
e381,n1219,n381,compelling
e382,n1219,n382,few
e383,n1219,n383,lily
e384,n1219,n384,
e385,n1219,n385,big
e386,n1219,n386,
e387,n1219,n387,many
e388,n1219,n388,
e389,n1219,n389,initial
e390,n1219,n390,
e391,n1219,n391,
e392,n1219,n392,
e393,n1219,n393,
e394,n1219,n394,nice
e395,n1219,n395,
e396,n1219,n396,
e397,n1219,n397,
e398,n1219,n398,
e399,n1219,n399,
e400,n1219,n400,exponential
e401,n1219,n401,technological
e402,n1219,n402,exponential
e403,n1219,n403,
e404,n1219,n404,good
e405,n1219,n405,
e406,n1219,n406,
e407,n1219,n407,
e408,n1219,n408,giant
e409,n1219,n409,
e410,n1219,n410,
e411,n1219,n411,
e412,n1219,n412,
e413,n1219,n413,
e414,n1219,n414,
e415,n1219,n415,more
e416,n1219,n416,
e417,n1219,n417,
e418,n1219,n418,
e419,n1219,n419,
e420,n1219,n420,more
e421,n1219,n421,commercial
e422,n1219,n422,
e423,n1219,n423,major
e424,n1219,n424,
e425,n1219,n425,
e426,n1219,n426,
e427,n1219,n427,
e428,n1219,n428,current
e429,n1219,n429,
e430,n1219,n430,
e431,n1219,n431,operational
e432,n1219,n432,
e433,n1219,n433,
e434,n1219,n434,ripple
e435,n1219,n435,psychological
e436,n1219,n436,
e437,n1219,n437,
e438,n1219,n438,
e439,n1219,n439,
e440,n1219,n440,
e441,n1219,n441,micro
e442,n1219,n442,consistent
e443,n1219,n443,true
e444,n1219,n444,
e445,n1219,n445,fundamental
e446,n1219,n446,last
e447,n1219,n447,
e448,n1219,n448,
e449,n1219,n449,small
e450,n1219,n450,
e451,n1219,n451,smaller
e452,n1219,n452,
e453,n1219,n453,
e454,n1219,n454,
e455,n1219,n455,nice
e456,n1219,n456,real
e457,n1219,n457,possible
e458,n1219,n458,right
e459,n1219,n459,
e460,n1219,n460,
e461,n1219,n461,live
e462,n1219,n462,
e463,n1219,n463,
e464,n1219,n464,
e465,n1219,n465,many
e466,n1219,n466,
e467,n1219,n467,
e468,n1219,n468,concrete
e469,n1219,n469,deliberate
e470,n1219,n470,
e471,n1219,n471,human
e472,n1219,n472,interactive
e473,n1219,n473,
e474,n1219,n474,
e475,n1219,n475,
e476,n1219,n476,
e477,n1219,n477,
e478,n1219,n478,
e479,n1219,n479,
e480,n1219,n480,
e481,n1219,n481,
e482,n1219,n482,
e483,n1219,n483,more
e484,n1219,n484,
e485,n1219,n485,
e486,n1219,n486,
e487,n1219,n487,incredible
e488,n1219,n488,
e489,n1219,n489,vibrant
e490,n1219,n490,smaller
e491,n1219,n491,
e492,n1219,n492,heavy
e493,n1219,n493,
e494,n1219,n494,actual
e495,n1219,n495,entire
e496,n1219,n496,
e497,n1219,n497,
e498,n1219,n498,
e499,n1219,n499,
e500,n1219,n500,
e501,n1219,n501,
e502,n1219,n502,
e503,n1219,n503,
e504,n1219,n504,
e505,n1219,n505,
e506,n1219,n506,
e507,n1219,n507,
e508,n1219,n508,
e509,n1219,n509,inspiring
e510,n1219,n510,
e511,n1219,n511,
e512,n1219,n512,
e513,n1219,n513,most
e514,n1219,n514,
e515,n1219,n515,
e516,n1219,n516,small
e517,n1219,n517,
e518,n1219,n518,second
e519,n1219,n519,future
e520,n1219,n520,
e521,n1219,n521,
e522,n1219,n522,backup
e523,n1219,n523,budgetary
e524,n1219,n524,
e525,n1219,n525,
e526,n1219,n526,
e527,n1219,n527,
e528,n1219,n528,different
e529,n1219,n529,
e530,n1219,n530,
e531,n1219,n531,other
e532,n1219,n532,
e533,n1219,n533,
e534,n1219,n534,
e535,n1219,n535,
e536,n1219,n536,
e537,n1219,n537,
e538,n1219,n538,basic
e539,n1219,n539,robust
e540,n1219,n540,
e541,n1219,n541,military
e542,n1219,n542,
e543,n1219,n543,low
e544,n1219,n544,
e545,n1219,n545,
e546,n1219,n546,much
e547,n1219,n547,
e548,n1219,n548,
e549,n1219,n549,
e550,n1219,n550,
e551,n1219,n551,
e552,n1219,n552,
e553,n1219,n553,
e554,n1219,n554,
e555,n1219,n555,
e556,n1219,n556,
e557,n1219,n557,
e558,n1219,n558,
e559,n1219,n559,
e560,n1219,n560,other
e561,n1219,n561,
e562,n1219,n562,
e563,n1219,n563,national
e564,n1219,n564,
e565,n1219,n565,
e566,n1219,n566,
e567,n1219,n567,calamitous
e568,n1219,n568,central
e569,n1219,n569,
e570,n1219,n570,traditional
e571,n1219,n571,
e572,n1219,n572,national
e573,n1219,n573,
e574,n1219,n574,
e575,n1219,n575,
e576,n1219,n576,
e577,n1219,n577,20th
e578,n1219,n578,industrial
e579,n1219,n579,open
e580,n1219,n580,
e581,n1219,n581,
e582,n1219,n582,more
e583,n1219,n583,smart
e584,n1219,n584,human
e585,n1219,n585,
e586,n1219,n586,
e587,n1219,n587,
e588,n1219,n588,
e589,n1219,n589,
e590,n1219,n590,
e591,n1219,n591,
e592,n1219,n592,young
e593,n1219,n593,
e594,n1219,n594,
e595,n1219,n595,
e596,n1219,n596,
e597,n1219,n597,pragmatic
e598,n1219,n598,
e599,n1219,n599,
e600,n1219,n600,good
e601,n1219,n601,
e602,n1219,n602,
e603,n1219,n603,
e604,n1219,n604,whole
e605,n1219,n605,
e606,n1219,n606,big
e607,n1219,n607,
e608,n1219,n608,
e609,n1219,n609,
e610,n1219,n610,other
e611,n1219,n611,
e612,n1219,n612,
e613,n1219,n613,large
e614,n1219,n614,
e615,n1219,n615,many
e616,n1219,n616,
e617,n1219,n617,
e618,n1219,n618,
e619,n1219,n619,
e620,n1219,n620,
e621,n1219,n621,whole
e622,n1219,n622,
e623,n1219,n623,
e624,n1219,n624,serendipitous
e625,n1219,n625,different
e626,n1219,n626,certain
e627,n1219,n627,serendipitous
e628,n1219,n628,
e629,n1219,n629,
e630,n1219,n630,
e631,n1219,n631,
e632,n1219,n632,human
e633,n1219,n633,
e634,n1219,n634,
e635,n1219,n635,
e636,n1219,n636,
e637,n1219,n637,solitary
e638,n1219,n638,quirky
e639,n1219,n639,graphical
e640,n1219,n640,
e641,n1219,n641,
e642,n1219,n642,
e643,n1219,n643,
e644,n1219,n644,
e645,n1219,n645,hot
e646,n1219,n646,
e647,n1219,n647,
e648,n1219,n648,
e649,n1219,n649,little
e650,n1219,n650,
e651,n1219,n651,
e652,n1219,n652,
e653,n1219,n653,
e654,n1219,n654,
e655,n1219,n655,
e656,n1219,n656,mathematical
e657,n1219,n657,entire
e658,n1219,n658,
e659,n1219,n659,
e660,n1219,n660,
e661,n1219,n661,different
e662,n1219,n662,
e663,n1219,n663,
e664,n1219,n664,different
e665,n1219,n665,
e666,n1219,n666,
e667,n1219,n667,
e668,n1219,n668,
e669,n1219,n669,
e670,n1219,n670,
e671,n1219,n671,
e672,n1219,n672,
e673,n1219,n673,
e674,n1219,n674,
e675,n1219,n675,
e676,n1219,n676,nice
e677,n1219,n677,
e678,n1219,n678,many
e679,n1219,n679,big
e680,n1219,n680,
e681,n1219,n681,
e682,n1219,n682,fundamental
e683,n1219,n683,many
e684,n1219,n684,
e685,n1219,n685,
e686,n1219,n686,
e687,n1219,n687,
e688,n1219,n688,
e689,n1219,n689,
e690,n1219,n690,rigorous
e691,n1219,n691,little
e692,n1219,n692,
e693,n1219,n693,
e694,n1219,n694,random
e695,n1219,n695,
e696,n1219,n696,legitimate
e697,n1219,n697,
e698,n1219,n698,
e699,n1219,n699,
e700,n1219,n700,
e701,n1219,n701,
e702,n1219,n702,like
e703,n1219,n703,
e704,n1219,n704,
e705,n1219,n705,pandemic
e706,n1219,n706,
e707,n1219,n707,
e708,n1219,n708,
e709,n1219,n709,
e710,n1219,n710,
e711,n1219,n711,
e712,n1219,n712,
e713,n1219,n713,different
e714,n1219,n714,
e715,n1219,n715,greatest
e716,n1219,n716,
e717,n1219,n717,
e718,n1219,n718,
e719,n1219,n719,like
e720,n1219,n720,
e721,n1219,n721,interesting
e722,n1219,n722,
e723,n1219,n723,
e724,n1219,n724,
e725,n1219,n725,
e726,n1219,n726,
e727,n1219,n727,
e728,n1219,n728,
e729,n1219,n729,important
e730,n1219,n730,
e731,n1219,n731,actual
e732,n1219,n732,
e733,n1219,n733,huge
e734,n1219,n734,negative
e735,n1219,n735,
e736,n1219,n736,
e737,n1219,n737,personal
e738,n1219,n738,
e739,n1219,n739,
e740,n1219,n740,sure
e741,n1219,n741,
e742,n1219,n742,
e743,n1219,n743,back
e744,n1219,n744,
e745,n1219,n745,better
e746,n1219,n746,
e747,n1219,n747,
e748,n1219,n748,
e749,n1219,n749,
e750,n1219,n750,
e751,n1219,n751,
e752,n1219,n752,
e753,n1219,n753,
e754,n1219,n754,
e755,n1219,n755,
e756,n1219,n756,
e757,n1219,n757,good
e758,n1219,n758,
e759,n1219,n759,
e760,n1219,n760,
e761,n1219,n761,
e762,n1219,n762,
e763,n1219,n763,
e764,n1219,n764,
e765,n1219,n765,small
e766,n1219,n766,
e767,n1219,n767,
e768,n1219,n768,
e769,n1219,n769,
e770,n1219,n770,
e771,n1219,n771,
e772,n1219,n772,
e773,n1219,n773,
e774,n1219,n774,early
e775,n1219,n775,
e776,n1219,n776,live
e777,n1219,n777,
e778,n1219,n778,
e779,n1219,n779,
e780,n1219,n780,
e781,n1219,n781,live
e782,n1219,n782,excellent
e783,n1219,n783,live
e784,n1219,n784,
e785,n1219,n785,
e786,n1219,n786,
e787,n1219,n787,
e788,n1219,n788,
e789,n1219,n789,wonderful
e790,n1219,n790,
e791,n1219,n791,
e792,n1219,n792,different
e793,n1219,n793,
e794,n1219,n794,
e795,n1219,n795,
e796,n1219,n796,
e797,n1219,n797,
e798,n1219,n798,
e799,n1219,n799,
e800,n1219,n800,
e801,n1219,n801,
e802,n1219,n802,quick
e803,n1219,n803,
e804,n1219,n804,
e805,n1219,n805,
e806,n1219,n806,
e807,n1219,n807,more
e808,n1219,n808,
e809,n1219,n809,finite
e810,n1219,n810,good
e811,n1219,n811,
e812,n1219,n812,
e813,n1219,n813,short
e814,n1219,n814,
e815,n1219,n815,
e816,n1219,n816,different
e817,n1219,n817,
e818,n1219,n818,
e819,n1219,n819,
e820,n1219,n820,
e821,n1219,n821,
e822,n1219,n822,
e823,n1219,n823,actual
e824,n1219,n824,
e825,n1219,n825,actualised
e826,n1219,n826,
e827,n1219,n827,
e828,n1219,n828,
e829,n1219,n829,
e830,n1219,n830,
e831,n1219,n831,
e832,n1219,n832,
e833,n1219,n833,
e834,n1219,n834,
e835,n1219,n835,
e836,n1219,n836,
e837,n1219,n837,
e838,n1219,n838,black
e839,n1219,n839,giant
e840,n1219,n840,
e841,n1219,n841,
e842,n1219,n842,
e843,n1219,n843,lapel
e844,n1219,n844,
e845,n1219,n845,
e846,n1219,n846,
e847,n1219,n847,blue
e848,n1219,n848,
e849,n1219,n849,audio
e850,n1219,n850,own
e851,n1219,n851,
e852,n1219,n852,
e853,n1219,n853,
e854,n1219,n854,
e855,n1219,n855,
e856,n1219,n856,
e857,n1219,n857,
e858,n1219,n858,generalisable
e859,n1219,n859,
e860,n1219,n860,
e861,n1219,n861,
e862,n1219,n862,
e863,n1219,n863,
e864,n1219,n864,
e865,n1219,n865,
e866,n1219,n866,
e867,n1219,n867,
e868,n1219,n868,
e869,n1219,n869,complicated
e870,n1219,n870,
e871,n1219,n871,
e872,n1219,n872,
e873,n1219,n873,
e874,n1219,n874,accessible
e875,n1219,n875,
e876,n1219,n876,
e877,n1219,n877,
e878,n1219,n878,
e879,n1219,n879,
e880,n1219,n880,
e881,n1219,n881,
e882,n1219,n882,
e883,n1219,n883,theoretic
e884,n1219,n884,actual
e885,n1219,n885,
e886,n1219,n886,
e887,n1219,n887,
e888,n1219,n888,
e889,n1219,n889,
e890,n1219,n890,
e891,n1219,n891,
e892,n1219,n892,
e893,n1219,n893,
e894,n1219,n894,
e895,n1219,n895,
e896,n1219,n896,
e897,n1219,n897,terrible
e898,n1219,n898,
e899,n1219,n899,
e900,n1219,n900,
e901,n1219,n901,
e902,n1219,n902,
e903,n1219,n903,
e904,n1219,n904,quantum
e905,n1219,n905,
e906,n1219,n906,
e907,n1219,n907,
e908,n1219,n908,own
e909,n1219,n909,
e910,n1219,n910,
e911,n1219,n911,
e912,n1219,n912,
e913,n1219,n913,
e914,n1219,n914,
e915,n1219,n915,
e916,n1219,n916,
e917,n1219,n917,
e918,n1219,n918,
e919,n1219,n919,
e920,n1219,n920,
e921,n1219,n921,full
e922,n1219,n922,
e923,n1219,n923,
e924,n1219,n924,
e925,n1219,n925,
e926,n1219,n926,
e927,n1219,n927,
e928,n1219,n928,
e929,n1219,n929,
e930,n1219,n930,
e931,n1219,n931,
e932,n1219,n932,
e933,n1219,n933,
e934,n1219,n934,
e935,n1219,n935,
e936,n1219,n936,
e937,n1219,n937,
e938,n1219,n938,articulate
e939,n1219,n939,
e940,n1219,n940,
e941,n1219,n941,neural
e942,n1219,n942,mathematical
e943,n1219,n943,
e944,n1219,n944,
e945,n1219,n945,different
e946,n1219,n946,
e947,n1219,n947,
e948,n1219,n948,convolutional
e949,n1219,n949,
e950,n1219,n950,
e951,n1219,n951,
e952,n1219,n952,
e953,n1219,n953,
e954,n1219,n954,
e955,n1219,n955,
e956,n1219,n956,modern
e957,n1219,n957,
e958,n1219,n958,
e959,n1219,n959,
e960,n1219,n960,
e961,n1219,n961,
e962,n1219,n962,
e963,n1219,n963,quick
e964,n1219,n964,
e965,n1219,n965,
e966,n1219,n966,local
e967,n1219,n967,local
e968,n1219,n968,
e969,n1219,n969,gradient
e970,n1219,n970,good
e971,n1219,n971,
e972,n1219,n972,interesting
e973,n1219,n973,many
e974,n1219,n974,
e975,n1219,n975,
e976,n1219,n976,
e977,n1219,n977,
e978,n1219,n978,
e979,n1219,n979,tiny
e980,n1219,n980,
e981,n1219,n981,
e982,n1219,n982,
e983,n1219,n983,
e984,n1219,n984,
e985,n1219,n985,
e986,n1219,n986,little
e987,n1219,n987,
e988,n1219,n988,
e989,n1219,n989,good
e990,n1219,n990,
e991,n1219,n991,
e992,n1219,n992,random
e993,n1219,n993,
e994,n1219,n994,
e995,n1219,n995,huge
e996,n1219,n996,possible
e997,n1219,n997,
e998,n1219,n998,short
e999,n1219,n999,
e1000,n1219,n1000,good
e1001,n1219,n1001,
e1002,n1219,n1002,open
e1003,n1219,n1003,
e1004,n1219,n1004,
e1005,n1219,n1005,
e1006,n1219,n1006,
e1007,n1219,n1007,
e1008,n1219,n1008,
e1009,n1219,n1009,
e1010,n1219,n1010,
e1011,n1219,n1011,
e1012,n1219,n1012,
e1013,n1219,n1013,powerful
e1014,n1219,n1014,
e1015,n1219,n1015,absolute
e1016,n1219,n1016,
e1017,n1219,n1017,
e1018,n1219,n1018,
e1019,n1219,n1019,novel
e1020,n1219,n1020,
e1021,n1219,n1021,
e1022,n1219,n1022,
e1023,n1219,n1023,
e1024,n1219,n1024,
e1025,n1219,n1025,
e1026,n1219,n1026,
e1027,n1219,n1027,internal
e1028,n1219,n1028,
e1029,n1219,n1029,other
e1030,n1219,n1030,
e1031,n1219,n1031,
e1032,n1219,n1032,
e1033,n1219,n1033,
e1034,n1219,n1034,
e1035,n1219,n1035,
e1036,n1219,n1036,weird
e1037,n1219,n1037,formulaic
e1038,n1219,n1038,
e1039,n1219,n1039,
e1040,n1219,n1040,
e1041,n1219,n1041,
e1042,n1219,n1042,
e1043,n1219,n1043,
e1044,n1219,n1044,
e1045,n1219,n1045,
e1046,n1219,n1046,
e1047,n1219,n1047,
