id,name,group
n0,conversation,2
n1,Grant Sanderson,1
n2,Richard Feynman,2
n3,eyes,2
n4,impact,2
n5,ton,2
n6,people,2
n7,Feynman,2
n8,sports,2
n9,the Super Bowl,2
n10,layer,2
n11,iconography,2
n12,thing,2
n13,letter,2
n14,wife,2
n15,years,2
n16,Manhattan,2
n17,polio,2
n18,love,2
n19,icon,2
n20,philanderer,2
n21,woman,2
n22,men,2
n23,reality,2
n24,kind,2
n25,science,2
n26,Ashok,2
n27,character,2
n28,faluting,2
n29,formulas,2
n30,essentials,2
n31,book,2
n32,cafe,2
n33,math,2
n34,person,2
n35,perception,2
n36,physicist,2
n37,reason,2
n38,place,2
n39,direction,2
n40,point,2
n41,physics,2
n42,way,2
n43,creativity,2
n44,theories,2
n45,phenomena,2
n46,question,2
n47,desire,2
n48,papers,2
n49,problem,2
n50,sense,2
n51,ownership,2
n52,problems,2
n53,idea,2
n54,possibility,2
n55,magic,2
n56,work,2
n57,process,2
n58,ones,2
n59,element,2
n60,rediscovery,2
n61,fault,2
n62,researcher,2
n63,depth,2
n64,field,2
n65,stuff,2
n66,times,2
n67,pace,2
n68,reinvention,2
n69,component,2
n70,core,2
n71,building,2
n72,blocks,2
n73,sorts,2
n74,intuitions,2
n75,topic,2
n76,proof,2
n77,example,2
n78,counterexamples,2
n79,examples,2
n80,brain,2
n81,data,2
n82,text,2
n83,angle,2
n84,aspect,2
n85,respects,2
n86,period,2
n87,rest,2
n88,state,2
n89,swimming,2
n90,topics,2
n91,moment,2
n92,hell,2
n93,intuition,2
n94,worlds,2
n95,regrets,2
n96,undergrad,2
n97,relationships,2
n98,professors,2
n99,success,2
n100,research,2
n101,mentorship,2
n102,goals,2
n103,learning,2
n104,I.,2
n105,Mark Twain,2
n106,types,2
n107,researchers,2
n108,Fox,2
n109,hedgehog,2
n110,von Neumann,2
n111,fox,2
n112,fields,2
n113,Einstein,2
n114,progress,2
n115,powers,2
n116,contribution,2
n117,value,2
n118,understanding,2
n119,variety,2
n120,computer,2
n121,aspects,2
n122,number,2
n123,theory,2
n124,analysis,2
n125,algebraic,2
n126,geometry,2
n127,PhD,2
n128,student,2
n129,seminar,2
n130,specialist,2
n131,picture,2
n132,contributions,2
n133,notion,2
n134,videos,2
n135,teaching,2
n136,world,2
n137,visualizations,2
n138,visualization,2
n139,edge,2
n140,ideas,2
n141,discoveries,2
n142,humility,2
n143,video,2
n144,mathematics,2
n145,machine,2
n146,weeks,2
n147,line,2
n148,feel,2
n149,subject,2
n150,end,2
n151,hump,2
n152,step,2
n153,Fineman,2
n154,style,2
n155,perspective,2
n156,use,2
n157,effect,2
n158,lectures,2
n159,entertainment,2
n160,session,2
