id,name,group
n0,conversation,2
n1,Harry Cliff,1
n2,beings,2
n3,kilometer,2
n4,circumference,2
n5,particle,2
n6,accelerators,2
n7,ring,2
n8,meters,2
n9,surface,2
n10,countryside,2
n11,Geneva,2
n12,Switzerland,2
n13,building,2
n14,blocks,2
n15,universe,2
n16,way,2
n17,microscope,2
n18,analogy,2
n19,structure,2
n20,vacuum,2
n21,order,2
n22,kind,2
n23,thing,2
n24,particles,2
n25,entities,2
n26,physics,2
n27,field,2
n28,ingredients,2
n29,objects,2
n30,fluid,2
n31,quantum,2
n32,fields,2
n33,magnet,2
n34,space,2
n35,fact,2
n36,institution,2
n37,idea,2
n38,Michael Faraday,2
n39,experiments,2
n40,magnets,2
n41,coils,2
n42,wire,2
n43,experiment,2
n44,piece,2
n45,paper,2
n46,iron,2
n47,filings,2
n48,loops,2
n49,influence,2
n50,poles,2
n51,force,2
n52,vibrations,2
n53,ripples,2
n54,question,2
n55,nature,2
n56,reality,2
n57,sense,2
n58,block,2
n59,misunderstanding,2
n60,science,2
n61,school,2
n62,picture,2
n63,atom,2
n64,nucleus,2
n65,protons,2
n66,neutrons,2
n67,spheres,2
n68,middle,2
n69,electrons,2
n70,flies,2
n71,Picture,2
n72,electron,2
n73,planet,2
n74,spread,2
n75,century,2
n76,thanks,2
n77,quantum mechanics,2
n78,mechanics,2
n79,word,2
n80,marbles,2
n81,bullets,2
n82,LHC,2
n83,hundreds,2
n84,detector,2
n85,trajectory,2
n86,bullet,2
n87,disturbances,2
n88,magic,2
n89,bodies,2
n90,knots,2
n91,energy,2
n92,story,2
n93,atoms,2
n94,years,2
n95,types,2
n96,clock,2
n97,quark,2
n98,ripple,2
n99,body,2
n100,number,2
n101,model,2
n102,Higgs,2
n103,disturbance,2
n104,boson,2
n105,proof,2
n106,reason,2
n107,quarks,2
n108,mass,2
n109,checking,2
n110,size,2
n111,matters,2
n112,questions,2
n113,matter,2
n114,context,2
n115,heck,2
n116,collider,2
n117,collisions,2
n118,accelerator,2
n119,line,2
n120,advantage,2
n121,machine,2
n122,kick,2
n123,metres,2
n124,metal,2
n125,boxes,2
n126,volt,2
n127,box,2
n128,person,2
n129,timing,2
n130,synchronization,2
n131,effect,2
n132,attention,2
n133,orchestration,2
n134,hardware,2
n135,problem,2
n136,software,2
n137,engineer,2
n138,guy,2
n139,people,2
