id,name,group
n0,conversation,2
n1,Ian Hutchinson,1
n2,distinction,2
n3,physics,2
n4,plasma,2
n5,nucleus,2
n6,department,2
n7,Department of Nuclear Science and Engineering,2
n8,MIT,2
n9,interactions,2
n10,reactions,2
n11,consequences,2
n12,energy,2
n13,fission,2
n14,fusion,2
n15,source,2
n16,sun,2
n17,stars,2
n18,humankind,2
n19,moment,2
n20,research,2
n21,state,2
n22,matter,2
n23,gas,2
n24,states,2
n25,temperature,2
n26,ice,2
n27,liquids,2
n28,water,2
n29,degrees,2
n30,Celsius,2
n31,substances,2
n32,electrons,2
n33,nuclei,2
n34,nuclear,2
n35,net,2
n36,electricity,2
n37,sorts,2
n38,properties,2
n39,separation,2
n40,TVs,2
n41,reason,2
n42,thing,2
n43,universe,2
n44,majority,2
n45,place,2
n46,kind,2
n47,phenomena,2
n48,Earth,2
n49,reaction,2
n50,vision,2
n51,elements,2
n52,uranium,2
n53,process,2
n54,releases,2
n55,element,2
n56,particles,2
n57,neutrons,2
n58,protons,2
n59,case,2
n60,number,2
n61,bonds,2
n62,arms,2
n63,proton,2
n64,neutron,2
n65,contrast,2
n66,Hydrogen,2
n67,hydrogen,2
n68,isotopes,2
n69,tritium,2
n70,total,2
n71,nucleotides,2
n72,helium,2
n73,times,2
n74,unit,2
n75,mass,2
n76,chemical,2
n77,oxygen,2
n78,burning,2
n79,coal,2
n80,oil,2
n81,impact,2
n82,deuterium,2
n83,charges,2
n84,repulsion,2
n85,order,2
n86,forces,2
n87,energies,2
n88,correspond,2
n89,temperatures,2
n90,motion,2
n91,way,2
n92,nature,2
n93,engineering,2
n94,reactors,2
n95,center,2
n96,point,2
n97,radiation,2
n98,transport,2
n99,surface,2
n100,ignition,2
n101,fire,2
n102,bundle,2
n103,sticks,2
n104,match,2
n105,smoke,2
n106,heat,2
n107,star,2
n108,tens,2
n109,millions,2
n110,bottle,2
n111,plastic,2
n112,glass,2
n113,milliseconds,2
n114,mechanism,2
n115,force,2
n116,gravity,2
n117,attraction,2
n118,objects,2
n119,attempt,2
n120,work,2
n121,fields,2
n122,career,2
n123,gases,2
n124,plasmas,2
n125,objective,2
n126,society,2
n127,question,2
n128,walls,2
n129,purpose,2
n130,atmosphere,2
n131,air,2
n132,density,2
n133,confinement,2
n134,room,2
n135,reactor,2
n136,vacuum,2
n137,days,2
n138,device,2
n139,isolates,2
n140,Atacama,2
n141,Russian,2
n142,acronym,2
n143,word,2
n144,Tokamak,2
n145,toroidal,2
n146,chamber,2
n147,Tauruses,2
n148,shape,2
n149,doughnut,2
n150,hole,2
n151,middle,2
n152,meat,2
n153,Taurus,2
n154,field,2
n155,configuration,2
n156,prospect,2
n157,term,2
n158,fusion energy work,2
n159,advantage,2
n160,presence,2
n161,direction,2
n162,line,2
n163,orbits,2
n164,spring,2
n165,orbit,2
n166,example,2
n167,Helmholtz Coil,2
n168,bar,2
n169,magnet,2
n170,ends,2
n171,end,2
n172,current,2
n173,track,2
n174,feline,2
n175,helices,2
n176,reasons,2
n177,terms,2
n178,particle,2
n179,generation,2
n180,Deuch Runs and Trichy,2
n181,Tritons,2
n182,directions,2
n183,amounts,2
n184,form,2
n185,alpha,2
n186,Donat,2
n187,leaking,2
n188,fifths,2
n189,blanket,2
n190,generator,2
n191,engine,2
n192,turbine,2
n193,powder,2
n194,generates,2
n195,experiments,2
n196,powers,2
n197,vicinity,2
n198,megawatts,2
n199,seconds,2
n200,megajoules,2
n201,doughnuts,2
n202,Taco Macs,2
n203,detail,2
n204,tokamak,2
n205,self,2
n206,sustaining,2
n207,values,2
n208,experiment,2
n209,south,2
n210,France,2
n211,ITER ETR,2
n212,power,2
n213,hundreds,2
n214,grid,2
n215,challenges,2
n216,clock,2
n217,demonstration,2
n218,period,2
n219,ways,2
n220,people,2
n221,ITR,2
n222,problems,2
n223,operation,2
n224,years,2
n225,disappointments,2
n226,sense,2
n227,ITER,2
n228,discouragement,2
n229,folks,2
n230,Elon Musk,2
n231,system,2
n232,world,2
n233,retirement,2
n234,fact,2
n235,effort,2
n236,bullet,2
n237,statement,2
n238,view,2
n239,mistake,2
n240,science,2
n241,needs,2
n242,disappointment,2
n243,challenge,2
n244,earth,2
n245,People,2
n246,the Second World War,2
