id,source,target,value
e0,n517,n0,
e1,n517,n1,
e2,n517,n2,several
e3,n517,n3,
e4,n517,n4,
e5,n517,n5,
e6,n517,n6,excellent
e7,n517,n7,several
e8,n517,n8,cool
e9,n517,n9,deep
e10,n517,n10,artificial
e11,n517,n11,natural
e12,n517,n12,incredible
e13,n517,n13,large
e14,n517,n14,
e15,n517,n15,digital
e16,n517,n16,
e17,n517,n17,
e18,n517,n18,
e19,n517,n19,philosophical
e20,n517,n20,whole
e21,n517,n21,
e22,n517,n22,
e23,n517,n23,
e24,n517,n24,biggest
e25,n517,n25,other
e26,n517,n26,
e27,n517,n27,
e28,n517,n28,
e29,n517,n29,cool
e30,n517,n30,
e31,n517,n31,
e32,n517,n32,dressed
e33,n517,n33,
e34,n517,n34,legit
e35,n517,n35,
e36,n517,n36,
e37,n517,n37,
e38,n517,n38,more
e39,n517,n39,stronger
e40,n517,n40,
e41,n517,n41,
e42,n517,n42,
e43,n517,n43,human
e44,n517,n44,fast
e45,n517,n45,least
e46,n517,n46,
e47,n517,n47,open
e48,n517,n48,
e49,n517,n49,
e50,n517,n50,
e51,n517,n51,
e52,n517,n52,
e53,n517,n53,biggest
e54,n517,n54,slow
e55,n517,n55,whole
e56,n517,n56,
e57,n517,n57,
e58,n517,n58,
e59,n517,n59,
e60,n517,n60,
e61,n517,n61,
e62,n517,n62,
e63,n517,n63,
e64,n517,n64,
e65,n517,n65,fundamental
e66,n517,n66,
e67,n517,n67,scientific
e68,n517,n68,current
e69,n517,n69,
e70,n517,n70,
e71,n517,n71,
e72,n517,n72,interesting
e73,n517,n73,social
e74,n517,n74,large
e75,n517,n75,
e76,n517,n76,only
e77,n517,n77,
e78,n517,n78,
e79,n517,n79,large
e80,n517,n80,biggest
e81,n517,n81,real
e82,n517,n82,credible
e83,n517,n83,
e84,n517,n84,
e85,n517,n85,
e86,n517,n86,critical
e87,n517,n87,new
e88,n517,n88,
e89,n517,n89,
e90,n517,n90,next
e91,n517,n91,
e92,n517,n92,
e93,n517,n93,first
e94,n517,n94,
e95,n517,n95,
e96,n517,n96,
e97,n517,n97,
e98,n517,n98,
e99,n517,n99,
e100,n517,n100,
e101,n517,n101,equal
e102,n517,n102,
e103,n517,n103,
e104,n517,n104,
e105,n517,n105,
e106,n517,n106,
e107,n517,n107,major
e108,n517,n108,
e109,n517,n109,
e110,n517,n110,
e111,n517,n111,
e112,n517,n112,
e113,n517,n113,other
e114,n517,n114,
e115,n517,n115,
e116,n517,n116,
e117,n517,n117,good
e118,n517,n118,
e119,n517,n119,
e120,n517,n120,
e121,n517,n121,consistent
e122,n517,n122,broad
e123,n517,n123,
