id,name,group
n0,conversation,2
n1,Jack Dorsey,1
n2,podcasts,2
n3,Joe Rogan,2
n4,Sam Harris,2
n5,Rachel,2
n6,conversations,2
n7,topics,2
n8,machine,2
n9,learning,2
n10,intelligence,2
n11,kind,2
n12,engineering,2
n13,scale,2
n14,crypto,2
n15,cryptocurrency,2
n16,block,2
n17,chain,2
n18,kinds,2
n19,questions,2
n20,life,2
n21,death,2
n22,meaning,2
n23,beauty,2
n24,network,2
n25,systems,2
n26,world,2
n27,trillions,2
n28,interactions,2
n29,thing,2
n30,infrastructure,2
n31,programmer,2
n32,hacker,2
n33,engineer,2
n34,software,2
n35,tracker,2
n36,heart,2
n37,magic,2
n38,people,2
n39,sense,2
n40,approach,2
n41,oftentimes,2
n42,matter,2
n43,experience,2
n44,learners,2
n45,years,2
n46,ton,2
n47,source,2
n48,community,2
n49,learnings,2
n50,open,2
n51,mistakes,2
n52,success,2
n53,problems,2
n54,moving,2
n55,process,2
n56,pace,2
n57,hacking,2
n58,programming,2
n59,generosity,2
n60,expectation,2
n61,return,2
n62,movement,2
n63,Square,2
n64,care,2
n65,problem,2
n66,hardware,2
n67,perspective,2
n68,system,2
n69,transactions,2
n70,insight,2
n71,lessons,2
n72,tidbits,2
n73,challenge,2
n74,teams,2
n75,engineers,2
n76,way,2
n77,enumeration,2
n78,ability,2
n79,parts,2
n80,mistake,2
n81,answers,2
n82,hypothesis,2
n83,results,2
n84,fall,2
n85,face,2
n86,thinking,2
n87,skills,2
n88,solving,2
n89,skill,2
n90,step,2
n91,questioning,2
n92,assumptions,2
n93,principles,2
n94,issue,2
n95,solutions,2
n96,vice,2
n97,categories,2
n98,emerge,2
n99,patience,2
n100,mission,2
n101,access,2
n102,economy,2
n103,merchants,2
n104,payments,2
n105,crypto cryptocurrency,2
n106,digital cryptocurrency,2
n107,ways,2
n108,society,2
n109,participation,2
n110,today,2
n111,the North America,2
n112,Africa,2
n113,places,2
n114,word,2
n115,piece,2
n116,phone,2
n117,credit,2
n118,card,2
n119,cards,2
n120,past,2
n121,theme,2
n122,question,2
n123,banks,2
n124,merchant,2
n125,acquirers,2
n126,check,2
n127,FICO,2
n128,score,2
n129,businesses,2
n130,history,2
n131,entrepreneurs,2
n132,risk,2
n133,job,2
n134,money,2
n135,intention,2
n136,industry,2
n137,tool,2
n138,authenticity,2
n139,intent,2
n140,predictor,2
n141,behavior,2
n142,terms,2
n143,modeling,2
n144,path,2
n145,data,2
n146,science,2
n147,discipline,2
n148,business,2
n149,barrier,2
n150,checking,2
n151,person,2
n152,vendor,2
n153,mindset,2
n154,distrust,2
n155,opportunities,2
n156,trust,2
n157,space,2
n158,percent,2
n159,number,2
n160,ninety nine percent,2
n161,models,2
n162,level,2
n163,transaction,2
n164,integrity,2
n165,interestingness,2
n166,change,2
n167,technology,2
n168,role,2
n169,play,2
n170,context,2
n171,shift,2
n172,viewpoint,2
n173,ones,2
n174,company,2
n175,verification,2
n176,culture,2
n177,vein,2
n178,bank,2
n179,Visa,2
n180,MasterCard,2
n181,tricks,2
n182,set,2
n183,tears,2
n184,bucket,2
n185,constraint,2
n186,pressure,2
n187,accountability,2
n188,transparency,2
n189,folks,2
n190,future,2
n191,devices,2
n192,look,2
n193,consumers,2
n194,currency,2
n195,answer,2
n196,Internet,2
n197,believer,2
n198,Bitcoin,2
n199,market,2
n200,partnership,2
n201,attention,2
n202,environments,2
n203,product,2
n204,understanding,2
n205,regulation,2
n206,onboarding,2
n207,innovation,2
n208,speed,2
n209,lifetime,2
n210,aspect,2
n211,aspects,2
n212,interest,2
n213,tech,2
n214,Italic Budarin,2
n215,yesterday,2
n216,podcast,2
n217,theory,2
n218,course,2
n219,point,2
n220,challenges,2
n221,respect,2
n222,direction,2
n223,nature,2
n224,design,2
n225,the Bitcoin White Paper,2
n226,works,2
n227,computer,2
n228,poetry,2
n229,hype,2
n230,digital,2
n231,impacts,2
n232,pseudonym,2
n233,statement,2
n234,timing,2
n235,story,2
n236,ecosystem,2
n237,developer,2
n238,complications,2
n239,companies,2
n240,confidence,2
n241,frame,2
n242,satellites,2
n243,Earth,2
n244,constraints,2
n245,field,2
n246,proxy,2
n247,concept,2
n248,planet,2
n249,ramifications,2
n250,positives,2
n251,negatives,2
n252,nations,2
n253,decentralization,2
n254,control,2
n255,ramification,2
n256,Money,2
n257,layer,2
n258,entrepreneur,2
n259,Ethiopia,2
n260,continent,2
n261,borders,2
n262,corruption,2
n263,lack,2
n264,the Lyft Uber of Ethiopia,2
n265,riders,2
n266,drivers,2
n267,growth,2
n268,fact,2
n269,writer,2
n270,bus,2
n271,driver,2
n272,Experience,2
n273,standard,2
n274,case,2
n275,study,2
n276,countries,2
n277,health,2
n278,sustainability,2
n279,transportation,2
n280,majority,2
n281,launch,2
n282,Surinamese,2
n283,identity,2
n284,Satoshi Nakamoto,2
n285,Anonymity,2
n286,window,2
n287,Tosches,2
n288,instance,2
n289,example,2
n290,tangibility,2
n291,empathy,2
n292,human,2
n293,humans,2
n294,sacrifice,2
n295,ego,2
n296,decisions,2
n297,corporation,2
n298,appreciation,2
n299,headlines,2
n300,Alan Turing,2
n301,the Turing Test,2
n302,language,2
n303,spaces,2
n304,test,2
n305,standpoint,2
n306,discretion,2
n307,severity,2
n308,depth,2
n309,nuance,2
n310,chasm,2
n311,cross,2
n312,decision,2
n313,sets,2
n314,explain,2
n315,boxes,2
n316,criteria,2
n317,recommendation,2
n318,watches,2
n319,reasoning,2
n320,recommendations,2
n321,apologies,2
n322,line,2
n323,thought,2
n324,movie,2
n325,love,2
n326,connection,2
n327,Japan,2
n328,eye,2
n329,relationships,2
n330,connections,2
n331,function,2
n332,individual,2
n333,100 percent,2
n334,algorithm,2
n335,difference,2
n336,exchange,2
n337,Elon Musk,2
n338,version,2
n339,bot,2
n340,robot,2
n341,domains,2
n342,reverse,2
n343,Turing,2
n344,hope,2
n345,race,2
n346,detection,2
n347,technologies,2
n348,steps,2
n349,creation,2
n350,fakes,2
n351,license,2
n352,passports,2
n353,state,2
n354,identities,2
n355,order,2
n356,cash,2
n357,focus,2
n358,security,2
n359,signals,2
n360,correctness,2
n361,errors,2
n362,self,2
n363,worries,2
n364,Elon,2
n365,threats,2
n366,concerns,2
n367,thoughts,2
n368,domain,2
n369,book,2
n370,Lessons,2
n371,chapters,2
n372,meditation,2
n373,title,2
n374,chapter,2
n375,kids,2
n376,Google,2
n377,preferences,2
n378,mother,2
n379,Facebook,2
n380,Twitter,2
n381,square,2
n382,awareness,2
n383,algorithms,2
n384,concern,2
n385,doctor,2
n386,recommender,2
n387,journey,2
n388,ideas,2
n389,period,2
n390,invitation,2
n391,sea,2
n392,movies,2
n393,predatory,2
n394,attitude,2
n395,form,2
n396,rat,2
n397,soundtrack,2
n398,Andrew Yang,2
n399,displacement,2
n400,jobs,2
n401,candidates,2
n402,Yangyang,2
n403,argument,2
n404,automation,2
n405,AI,2
n406,framework,2
n407,income,2
n408,dimension,2
n409,truck,2
n410,Missouri,2
n411,cashiers,2
n412,sale,2
n413,customers,2
n414,apps,2
n415,preorder,2
n416,kiosks,2
n417,Amazon,2
n418,workers,2
n419,cashier,2
n420,retail,2
n421,work,2
n422,careers,2
n423,floor,2
n424,a thousand dollars,2
n425,dollars,2
n426,age,2
n427,factory,2
n428,lines,2
n429,velocity,2
n430,centralization,2
n431,guy,2
n432,insights,2
n433,needs,2
n434,primitives,2
n435,A.I.,2
n436,tools,2
n437,services,2
n438,spot,2
n439,Martin Luther King,2
n440,dollar,2
n441,mark,2
n442,diets,2
n443,fasting,2
n444,food,2
n445,suffering,2
n446,Russian,2
n447,stuff,2
n448,thinker,2
n449,hours,2
n450,CEO,2
n451,diet,2
n452,lifestyle,2
n453,performance,2
n454,distractions,2
n455,structure,2
n456,meals,2
n457,snacks,2
n458,dinner,2
n459,revolution,2
n460,rebel,2
n461,parents,2
n462,week,2
n463,superpower,2
n464,mind,2
n465,structures,2
n466,necessity,2
n467,bodies,2
n468,kid,2
n469,vegan,2
n470,place,2
n471,experiments,2
n472,half,2
n473,spouse,2
n474,breath,2
n475,meal,2
n476,moments,2
n477,speech,2
n478,therapist,2
n479,club,2
n480,topic,2
n481,note,2
n482,minutes,2
n483,power,2
n484,communication,2
n485,deficiencies,2
n486,light,2
n487,result,2
n488,clarity,2
n489,mortality,2
n490,finiteness,2
n491,existence,2
n492,multiple,2
n493,times,2
n494,transformation,2
n495,importance,2
n496,moment,2
n497,reminder,2
n498,sunsets,2
n499,sunrises,2
n500,reminders,2
n501,friend,2
n502,coworker,2
n503,news,2
n504,matters,2
n505,friendships,2
n506,family,2
n507,clarifier,2
n508,purpose,2
n509,individuals,2
n510,simulation,2
n511,tons,2
n512,connectivity,2
n513,simulations,2
n514,fun,2
n515,Jack,2
n516,Thanks,2
n517,Jack Dorsey_ Square_ Cryptocurrency_ and Artificial Intelligence _ Lex Fridman Podcast _91,1
