id,name,group
n0,conversation,2
n1,Jitendra Malik,1
n2,Seymour Pepper and Imit,2
n3,proposal,2
n4,the Summer Vision Project,2
n5,students,2
n6,summer,2
n7,computer,2
n8,vision,2
n9,task,2
n10,today,2
n11,Washington,2
n12,effortlessness,2
n13,sense,2
n14,researchers,2
n15,eye,2
n16,neuroscience,2
n17,psychology,2
n18,complexity,2
n19,fact,2
n20,processing,2
n21,primates,2
n22,perspective,2
n23,problem,2
n24,level,2
n25,parts,2
n26,difficulty,2
n27,theorem,2
n28,chess,2
n29,brain,2
n30,aspects,2
n31,behavior,2
n32,awareness,2
n33,example,2
n34,community,2
n35,mistake,2
n36,driving,2
n37,nature,2
n38,days,2
n39,people,2
n40,fallacy,2
n41,step,2
n42,problems,2
n43,50 percent,2
n44,percent,2
n45,solution,2
n46,90 percent,2
n47,99 percent,2
n48,years,2
n49,ninety nine percent,2
n50,point,2
n51,lifetime,2
n52,division,2
n53,language,2
n54,ability,2
n55,understanding,2
n56,way,2
n57,reasoning,2
n58,scenes,2
n59,levels,2
n60,literature,2
n61,terms,2
n62,sensation,2
n63,perception,2
n64,cognition,2
n65,end,2
n66,stages,2
n67,deal,2
n68,divides,2
n69,challenges,2
n70,techniques,2
n71,applications,2
n72,application,2
n73,pessimist,2
n74,future,2
n75,reason,2
n76,0.01 percent,2
n77,cases,2
n78,tasks,2
n79,error,2
n80,rate,2
n81,image,2
n82,search,2
n83,images,2
n84,description,2
n85,matter,2
n86,life,2
n87,death,2
n88,mistakes,2
n89,miles,2
n90,fun,2
n91,briefly,2
n92,vehicles,2
n93,companies,2
n94,space,2
n95,Tesla,2
n96,Carpathia,2
n97,system,2
n98,autopilot,2
n99,cameras,2
n100,network,2
n101,multitask,2
n102,mode,2
n103,heads,2
n104,representation,2
n105,core,2
n106,learning,2
n107,approach,2
n108,test,2
n109,team,2
n110,subsets,2
n111,base,2
n112,freeway,2
n113,conditions,2
n114,demonstrations,2
n115,1980s,2
n116,statements,2
n117,Munich,2
n118,90s,2
n119,protests,2
n120,Carnegie Mellon,2
n121,approaches,2
n122,Berkeley,2
n123,Stanford,2
n124,settings,2
n125,challenge,2
n126,work,2
n127,kinds,2
n128,question,2
n129,control,2
n130,edge,2
n131,highway,2
n132,rule,2
n133,victim,2
n134,elements,2
n135,help,2
n136,action,2
n137,interaction,2
n138,environment,2
n139,debility,2
n140,ground,2
n141,world,2
n142,scene,2
n143,model,2
n144,actors,2
n145,blends,2
n146,building,2
n147,models,2
n148,agents,2
n149,past,2
n150,behaviors,2
n151,examples,2
n152,safety,2
n153,features,2
n154,skateboarder,2
n155,systems,2
n156,criticism,2
n157,months,2
n158,failure,2
n159,hit,2
n160,response,2
n161,skateboarders,2
n162,pedestrian,2
n163,skateboard,2
n164,job,2
n165,data,2
n166,patterns,2
n167,principle,2
n168,humans,2
n169,capabilities,2
n170,architectures,2
n171,case,2
n172,networks,2
n173,regard,2
n174,hypothesis,2
n175,position,2
n176,paradigm,2
n177,tabula,2
n178,lots,2
n179,slate,2
n180,series,2
n181,experiences,2
n182,setting,2
n183,rasa,2
n184,age,2
n185,school,2
n186,teenager,2
n187,driver,2
n188,class,2
n189,geniuses,2
n190,repertoire,2
n191,period,2
n192,objects,2
n193,perspectives,2
n194,occlusion,2
n195,dynamics,2
n196,bodies,2
n197,notion,2
n198,physics,2
n199,observations,2
n200,interactions,2
n201,childhood,2
n202,course,2
n203,Ed,2
n204,mastery,2
n205,steering,2
n206,brakes,2
n207,traffic,2
n208,situations,2
n209,idea,2
n210,education,2
n211,process,2
n212,ed,2
n213,truck,2
n214,junk,2
n215,knowledge,2
n216,expertise,2
n217,mechanisms,2
