id,name,group
n0,conversation,2
n1,Joe Rogan,1
n2,mortality,2
n3,death,2
n4,head,2
n5,fact,2
n6,years,2
n7,car,2
n8,accidents,2
n9,injuries,2
n10,today,2
n11,thing,2
n12,philosophers,2
n13,Ernest Becker,2
n14,Sheldon Solomon,2
n15,core,2
n16,book,2
n17,Worm,2
n18,play,2
n19,way,2
n20,world,2
n21,sense,2
n22,urgency,2
n23,life,2
n24,spans,2
n25,power,2
n26,living,2
n27,rise,2
n28,daughter,2
n29,perspective,2
n30,kind,2
n31,protests,2
n32,riots,2
n33,chaos,2
n34,anger,2
n35,pandemic,2
n36,folks,2
n37,work,2
n38,fault,2
n39,ends,2
n40,people,2
n41,turmoil,2
n42,terms,2
n43,possibilities,2
n44,deaths,2
n45,flu,2
n46,comparison,2
n47,eruptions,2
n48,asteroid,2
n49,impact,2
n50,millions,2
n51,civility,2
n52,society,2
n53,months,2
n54,throats,2
n55,advent,2
n56,media,2
n57,images,2
n58,videos,2
n59,police,2
n60,abuse,2
n61,tensions,2
n62,point,2
n63,problems,2
n64,country,2
n65,lifetime,2
n66,boy,2
n67,60s,2
n68,rights,2
n69,movement,2
n70,fever,2
n71,tension,2
n72,road,2
n73,rage,2
n74,state,2
n75,movements,2
n76,People,2
n77,light,2
n78,fire,2
n79,reason,2
n80,looting,2
n81,motivation,2
n82,days,2
n83,future,2
n84,question,2
n85,Trump,2
n86,economy,2
n87,Today,2
n88,solution,2
n89,wins,2
n90,Biden,2
n91,woke,2
n92,force,2
n93,compliance,2
n94,WOAK,2
n95,losers,2
n96,faces,2
n97,Lives,2
n98,protest,2
n99,woman,2
n100,restaurant,2
n101,fist,2
n102,lives,2
n103,times,2
n104,friend,2
n105,wrestling,2
n106,coach,2
n107,podcast,2
n108,Brian Moses,2
n109,guy,2
n110,Black Lives Matter,2
n111,cult,2
n112,picture,2
n113,board,2
n114,members,2
n115,entrance,2
n116,examination,2
n117,perceptions,2
n118,man,2
n119,supporter,2
n120,Portland,2
n121,cop,2
n122,hand,2
n123,gun,2
n124,supporters,2
n125,madness,2
n126,night,2
n127,Demonstrations,2
n128,row,2
n129,buildings,2
n130,comment,2
n131,Mad Max,2
n132,apocalypse,2
n133,invasion,2
n134,war,2
n135,responsibility,2
n136,beginning,2
n137,park,2
n138,kindness,2
n139,lack,2
n140,jealousy,2
n141,profession,2
n142,comedy,2
n143,aspects,2
n144,nature,2
n145,20s,2
n146,success,2
n147,person,2
n148,role,2
n149,megaphone,2
n150,words,2
n151,example,2
n152,place,2
n153,hopes,2
n154,category,2
n155,deal,2
n156,touch,2
n157,issue,2
n158,heart,2
n159,Elon Musk,2
n160,billionaire,2
n161,statement,2
n162,worry,2
n163,attack,2
n164,vector,2
n165,truth,2
n166,human,2
n167,a.,2
n168,listen,2
n169,group,2
n170,Nobel Prize,2
n171,winners,2
n172,ear,2
n173,arrogance,2
n174,air,2
n175,Kool-Aid,2
n176,Aid,2
n177,praise,2
n178,struggle,2
n179,balancing,2
n180,tools,2
n181,fan,2
n182,critic,2
n183,comedian,2
n184,balance,2
n185,confidence,2
n186,reasons,2
n187,end,2
n188,balances,2
n189,analogy,2
n190,body,2
n191,ways,2
n192,battery,2
n193,charge,2
n194,psyche,2
n195,energy,2
n196,training,2
n197,session,2
n198,Jerry,2
n199,eyes,2
n200,demons,2
n201,parts,2
n202,dark,2
n203,darkness,2
n204,competitiveness,2
n205,focus,2
n206,friends,2
n207,shit,2
n208,fitness,2
n209,challenges,2
n210,points,2
n211,eighty percent,2
n212,percent,2
n213,rate,2
n214,hours,2
n215,machine,2
n216,bathhouse,2
n217,scene,2
n218,John Wick,2
n219,fighting,2
n220,assassin,2
n221,killer,2
n222,echoes,2
n223,Mike Tyson,2
n224,plague,2
n225,introduction,2
n226,violence,2
n227,train,2
n228,mom,2
n229,dad,2
n230,DNA,2
n231,size,2
n232,hands,2
n233,width,2
n234,shoulders,2
n235,history,2
n236,past,2
n237,ancestry,2
n238,behavior,2
n239,100 percent,2
n240,personality,2
n241,form,2
n242,fear,2
n243,household,2
n244,obsession,2
n245,stop,2
n246,handsprings,2
n247,house,2
n248,dinner,2
n249,psycho,2
n250,Behavior,2
n251,genetics,2
n252,nurture,2
n253,parents,2
n254,child,2
n255,exploration,2
n256,monkey,2
n257,fun,2
n258,dude,2
n259,morning,2
n260,pusses,2
n261,pictures,2
n262,selfies,2
n263,Goggins,2
n264,talk,2
n265,ultramarathon,2
n266,realm,2
n267,the Joe Rogan,2
n268,sub,2
n269,aspect,2
n270,video,2
n271,Gorgons,2
n272,knee,2
n273,cartilage,2
n274,replacement,2
n275,line,2
n276,push,2
n277,dog,2
n278,fuel,2
n279,Wesley Snipes,2
n280,jujitsu,2
n281,fucks,2
n282,friendships,2
n283,fuck,2
n284,mindset,2
n285,artist,2
n286,conqueror,2
n287,switch,2
n288,fight,2
n289,dimension,2
n290,Roy Jones Junior,2
n291,heavyweight,2
n292,Roy Jones,2
n293,pounds,2
n294,Roy,2
n295,room,2
n296,Mike,2
n297,empire,2
n298,door,2
n299,weed,2
n300,Adonis,2
n301,mind,2
n302,games,2
n303,studio,2
n304,podcasts,2
n305,playing,2
n306,game,2
n307,career,2
n308,path,2
n309,concern,2
n310,fighter,2
n311,job,2
n312,teaching,2
n313,Boston University,2
n314,school,2
n315,Revere,2
n316,illness,2
n317,ish,2
n318,arts,2
n319,surface,2
n320,feeling,2
n321,demon,2
n322,guitar,2
n323,love,2
n324,golf,2
n325,Rogan,2
n326,technique,2
n327,arm,2
n328,neck,2
n329,chokes,2
n330,kink,2
n331,disc,2
n332,submission,2
n333,guard,2
n334,takedowns,2
n335,wrestler,2
n336,spot,2
n337,rubber,2
n338,pass,2
n339,half,2
n340,card,2
n341,preference,2
n342,plan,2
n343,Hooke,2
n344,arms,2
n345,lockdown,2
n346,unhooks,2
n347,bodies,2
n348,pressure,2
n349,position,2
n350,dogfight,2
n351,type,2
n352,system,2
n353,Velcro,2
n354,feel,2
n355,guards,2
n356,Shangai,2
n357,transition,2
n358,control,2
n359,advance,2
n360,Donahoe,2
n361,hold,2
n362,thought,2
n363,MMO,2
n364,Approach,2
n365,bars,2
n366,sleep,2
n367,legs,2
n368,mistakes,2
n369,joints,2
n370,jiujitsu,2
n371,roboticist,2
n372,Russ Tetrarchy Build's,2
n373,class,2
n374,robots,2
n375,Boston Dynamics,2
n376,robotics,2
n377,robot,2
n378,UFC,2
n379,champion,2
n380,problem,2
n381,Daniel,2
n382,timing,2
n383,leverage,2
n384,kinds,2
n385,Klensch,2
n386,situation,2
n387,striking,2
n388,abilities,2
n389,heel,2
n390,locks,2
n391,guys,2
n392,knees,2
n393,meniscus,2
n394,cops,2
n395,Self,2
n396,defense,2
n397,judo,2
n398,climate,2
n399,winter,2
n400,jacket,2
n401,concrete,2
n402,specialist,2
n403,self,2
n404,situations,2
n405,skills,2
n406,Krav Maga,2
n407,argument,2
n408,sports,2
n409,reality,2
n410,set,2
n411,sport,2
n412,suck,2
n413,face,2
n414,luck,2
n415,keys,2
n416,chance,2
n417,choke,2
n418,crap,2
n419,window,2
n420,son,2
n421,killers,2
n422,idea,2
n423,eye,2
n424,nuts,2
n425,drills,2
n426,practice,2
n427,knife,2
n428,wrist,2
n429,craft,2
n430,crop,2
n431,prepares,2
n432,streets,2
n433,basis,2
n434,rolls,2
n435,morti,2
n436,champions,2
n437,artists,2
n438,Texas,2
n439,guns,2
n440,art,2
n441,The Second Amendment,2
n442,Second Amendment,2
n443,shootings,2
n444,murder,2
n445,efficacy,2
n446,firearm,2
n447,family,2
n448,firearms,2
n449,ones,2
n450,shooters,2
n451,stories,2
n452,culture,2
n453,beings,2
n454,crime,2
n455,the First Amendment,2
n456,ease,2
n457,Alex Jones,2
n458,episode,2
n459,tequila,2
n460,places,2
n461,law,2
n462,government,2
n463,overreach,2
n464,population,2
n465,cities,2
n466,level,2
n467,psychology,2
n468,West Philly,2
n469,trouble,2
n470,approach,2
n471,savior,2
n472,danger,2
n473,escalation,2
n474,home,2
n475,warrant,2
n476,license,2
n477,licenses,2
n478,Massachusetts,2
n479,memories,2
n480,flamethrower,2
n481,middle,2
n482,hallway,2
n483,Instagram,2
n484,Bernie Sanders,2
n485,companions,2
n486,Joey Diaz,2
n487,Duncan Trussell,2
n488,moments,2
n489,antenna,2
n490,twist,2
n491,passenger,2
n492,ride,2
n493,carriers,2
n494,ideas,2
n495,brain,2
n496,use,2
n497,medium,2
n498,Bojo,2
n499,comedians,2
n500,Jodean,2
n501,number,2
n502,offensive,2
n503,Spotify,2
n504,dress,2
n505,NASA,2
n506,suits,2
n507,platform,2
n508,Donald Trump,2
n509,butt,2
n510,CEOs,2
n511,a David Favre,2
n512,David Favre,2
n513,the Duncan Trussell,2
n514,experiences,2
n515,UFOs,2
n516,possibility,2
n517,community,2
n518,evidence,2
n519,step,2
n520,inspiration,2
n521,hell,2
n522,money,2
n523,cars,2
n524,kid,2
n525,muscle,2
n526,1960s,2
n527,70s,2
n528,Corvette,2
n529,generation,2
n530,Dunkin,2
n531,views,2
n532,aliens,2
n533,spaceships,2
n534,invention,2
n535,toaster,2
n536,heating,2
n537,elements,2
n538,spring,2
n539,timer,2
n540,Toaster,2
n541,airplane,2
n542,creativity,2
n543,hunters,2
n544,magic,2
n545,inclination,2
n546,animal,2
n547,species,2
n548,bees,2
n549,beehives,2
n550,uniform,2
n551,animals,2
n552,chimps,2
n553,sticks,2
n554,termites,2
n555,sky,2
n556,electronics,2
n557,inventions,2
n558,bits,2
n559,Steven Pressfield,2
n560,The War of Art,2
n561,muse,2
n562,professional,2
n563,muses,2
n564,creature,2
n565,respect,2
n566,pro,2
n567,writing,2
n568,the Comedy Store,2
n569,bullshit,2
n570,emails,2
n571,couple,2
n572,stage,2
n573,laugh,2
n574,discipline,2
n575,inventor,2
n576,product,2
n577,market,2
n578,frequency,2
n579,image,2
n580,opportunity,2
n581,finding,2
n582,joke,2
n583,thieves,2
n584,jokes,2
n585,writers,2
n586,shadow,2
n587,humility,2
n588,detachment,2
n589,order,2
n590,function,2
n591,believer,2
n592,page,2
n593,wife,2
n594,phone,2
n595,gifts,2
n596,universe,2
n597,comics,2
n598,standard,2
n599,television,2
n600,cable,2
n601,asking,2
n602,advice,2
n603,journey,2
n604,Eric Weinstein,2
n605,audience,2
n606,Jamie,2
n607,I.,2
n608,ice,2
n609,team,2
n610,marriage,2
n611,circle,2
n612,special,2
n613,attention,2
n614,interpretation,2
n615,engineer,2
n616,producer,2
n617,co,2
n618,-,2
n619,host,2
n620,disagreement,2
n621,dance,2
n622,dancing,2
n623,feet,2
n624,Debate,2
n625,structure,2
n626,debate,2
n627,structures,2
n628,headphones,2
n629,sound,2
n630,voice,2
n631,calls,2
n632,location,2
n633,handful,2
n634,Sapolsky,2
n635,email,2
n636,ass,2
n637,industry,2
n638,toxoplasmosis,2
n639,downtown,2
n640,reach,2
n641,discovery,2
n642,minutes,2
n643,schedule,2
n644,beacon,2
n645,hope,2
n646,value,2
n647,Tony,2
n648,ears,2
n649,progress,2
n650,Putin,2
n651,character,2
n652,Jerry Kraft,2
n653,Stoles Super Bowl,2
n654,ring,2
n655,misunderstanding,2
n656,Super Bowl,2
n657,displays,2
n658,tool,2
n659,Russia,2
n660,players,2
n661,action,2
n662,lens,2
n663,evils,2
n664,wit,2
n665,depth,2
n666,Jarry,2
n667,manager,2
n668,belt,2
n669,skill,2
n670,principal,2
n671,variety,2
n672,wing,2
n673,fighters,2
n674,Comedians,2
n675,tribe,2
n676,conversations,2
n677,listening,2
n678,follow,2
n679,couch,2
n680,office,2
n681,documentary,2
n682,Tom Sigurður,2
n683,Barnet,2
n684,listenings,2
n685,nonsense,2
n686,waste,2
n687,shows,2
n688,Two Thousand Views,2
n689,episodes,2
n690,Larrys,2
n691,friendship,2
n692,kids,2
n693,daughters,2
n694,fucking,2
n695,weirdo,2
n696,stages,2
n697,boyfriend,2
n698,men,2
n699,filter,2
n700,producers,2
n701,guest,2
n702,groups,2
n703,news,2
n704,brand,2
n705,David,2
n706,David Sinclair,2
n707,experience,2
n708,extension,2
n709,intelligence,2
n710,interest,2
n711,furniture,2
n712,PBS,2
n713,Rassman,2
n714,polishing,2
n715,Furniture,2
n716,desk,2
n717,task,2
n718,passion,2
n719,challenge,2
n720,scientists,2
n721,meaning,2
n722,meanings,2
n723,interests,2
n724,subsistence,2
n725,lifestyle,2
n726,land,2
n727,hunting,2
n728,fishing,2
n729,woods,2
n730,connection,2
n731,actions,2
n732,sustenance,2
n733,food,2
n734,recipe,2
n735,guests,2
n736,joy,2
n737,happiness,2
n738,quality,2
n739,relationships,2
n740,stuff,2
n741,butterfly,2
n742,effect,2
n743,philosophy,2
n744,generosity,2
n745,Love,2
n746,mechanism,2
n747,failures,2
n748,suicide,2
n749,mark,2
n750,eggs,2
n751,basket,2
n752,accomplishment,2
n753,understanding,2
n754,boat,2
n755,wave,2
n756,walks,2
n757,cucumber,2
n758,kettle,2
n759,bells,2
n760,bag,2
n761,echo,2
n762,bike,2
n763,assault,2
n764,hardcore,2
n765,interactions,2
n766,NewLink,2
n767,feature,2
n768,Joe,2
n769,honor,2
n770,week,2
n771,earth,2
n772,brother,2
n773,Thanks,2
n774,Josh Rogin,2
n775,sponsors,2
n776,Neuro Asleep,2
n777,Shave Club,2
n778,description,2
n779,discount,2
n780,YouTube,2
n781,stars,2
n782,support,2
n783,Pichon,2
n784,Twitter,2
n785,Allex Friedman,2
n786,wisdom,2
n787,rewards,2
n788,risk,2
n789,Joe Rogan_ Conversations_ Ideas_ Love_ Freedom _ the Joe Rogan Experience _ Lex Fridman Podcast _127,1
