id,source,target,value
e0,n1497,n0,intellectual
e1,n1497,n1,powerful
e2,n1497,n2,whole
e3,n1497,n3,
e4,n1497,n4,
e5,n1497,n5,American
e6,n1497,n6,unbelievable
e7,n1497,n7,
e8,n1497,n8,covid
e9,n1497,n9,
e10,n1497,n10,
e11,n1497,n11,long
e12,n1497,n12,
e13,n1497,n13,
e14,n1497,n14,
e15,n1497,n15,
e16,n1497,n16,
e17,n1497,n17,fair
e18,n1497,n18,
e19,n1497,n19,
e20,n1497,n20,great
e21,n1497,n21,virtual
e22,n1497,n22,different
e23,n1497,n23,
e24,n1497,n24,best
e25,n1497,n25,loose
e26,n1497,n26,
e27,n1497,n27,
e28,n1497,n28,rough
e29,n1497,n29,
e30,n1497,n30,
e31,n1497,n31,
e32,n1497,n32,few
e33,n1497,n33,weird
e34,n1497,n34,introspective
e35,n1497,n35,vague
e36,n1497,n36,north
e37,n1497,n37,old
e38,n1497,n38,cool
e39,n1497,n39,
e40,n1497,n40,
e41,n1497,n41,
e42,n1497,n42,strict
e43,n1497,n43,certain
e44,n1497,n44,
e45,n1497,n45,
e46,n1497,n46,awesome
e47,n1497,n47,
e48,n1497,n48,
e49,n1497,n49,
e50,n1497,n50,hard
e51,n1497,n51,disappoint
e52,n1497,n52,
e53,n1497,n53,
e54,n1497,n54,
e55,n1497,n55,full
e56,n1497,n56,new
e57,n1497,n57,
e58,n1497,n58,different
e59,n1497,n59,few
e60,n1497,n60,
e61,n1497,n61,broader
e62,n1497,n62,
e63,n1497,n63,
e64,n1497,n64,inspiring
e65,n1497,n65,
e66,n1497,n66,
e67,n1497,n67,
e68,n1497,n68,
e69,n1497,n69,deliberate
e70,n1497,n70,
e71,n1497,n71,
e72,n1497,n72,
e73,n1497,n73,
e74,n1497,n74,different
e75,n1497,n75,ridiculous
e76,n1497,n76,little
e77,n1497,n77,
e78,n1497,n78,local
e79,n1497,n79,
e80,n1497,n80,
e81,n1497,n81,middle
e82,n1497,n82,more
e83,n1497,n83,
e84,n1497,n84,
e85,n1497,n85,
e86,n1497,n86,
e87,n1497,n87,
e88,n1497,n88,
e89,n1497,n89,small
e90,n1497,n90,same
e91,n1497,n91,biggest
e92,n1497,n92,
e93,n1497,n93,
e94,n1497,n94,special
e95,n1497,n95,
e96,n1497,n96,good
e97,n1497,n97,
e98,n1497,n98,low
e99,n1497,n99,
e100,n1497,n100,little
e101,n1497,n101,little
e102,n1497,n102,
e103,n1497,n103,
e104,n1497,n104,
e105,n1497,n105,small
e106,n1497,n106,
e107,n1497,n107,financial
e108,n1497,n108,mythical
e109,n1497,n109,
e110,n1497,n110,big
e111,n1497,n111,
e112,n1497,n112,short
e113,n1497,n113,
e114,n1497,n114,
e115,n1497,n115,
e116,n1497,n116,bad
e117,n1497,n117,
e118,n1497,n118,
e119,n1497,n119,new
e120,n1497,n120,
e121,n1497,n121,more
e122,n1497,n122,
e123,n1497,n123,old
e124,n1497,n124,
e125,n1497,n125,
e126,n1497,n126,certain
e127,n1497,n127,
e128,n1497,n128,small
e129,n1497,n129,
e130,n1497,n130,disposable
e131,n1497,n131,
e132,n1497,n132,
e133,n1497,n133,humongous
e134,n1497,n134,enough
e135,n1497,n135,
e136,n1497,n136,late
e137,n1497,n137,early
e138,n1497,n138,certain
e139,n1497,n139,whole
e140,n1497,n140,great
e141,n1497,n141,strongest
e142,n1497,n142,
e143,n1497,n143,entire
e144,n1497,n144,
e145,n1497,n145,
e146,n1497,n146,
e147,n1497,n147,
e148,n1497,n148,
e149,n1497,n149,
e150,n1497,n150,old
e151,n1497,n151,
e152,n1497,n152,little
e153,n1497,n153,human
e154,n1497,n154,
e155,n1497,n155,greatest
e156,n1497,n156,
e157,n1497,n157,
e158,n1497,n158,
e159,n1497,n159,few
e160,n1497,n160,
e161,n1497,n161,several
e162,n1497,n162,
e163,n1497,n163,non
e164,n1497,n164,
e165,n1497,n165,brightest
e166,n1497,n166,
e167,n1497,n167,certain
e168,n1497,n168,
e169,n1497,n169,new
e170,n1497,n170,Most
e171,n1497,n171,old
e172,n1497,n172,
e173,n1497,n173,
e174,n1497,n174,
e175,n1497,n175,
e176,n1497,n176,
e177,n1497,n177,
e178,n1497,n178,
e179,n1497,n179,super
e180,n1497,n180,
e181,n1497,n181,
e182,n1497,n182,
e183,n1497,n183,
e184,n1497,n184,
e185,n1497,n185,
e186,n1497,n186,close
e187,n1497,n187,complete
e188,n1497,n188,
e189,n1497,n189,philosophical
e190,n1497,n190,hyper
e191,n1497,n191,private
e192,n1497,n192,
e193,n1497,n193,best
e194,n1497,n194,presidential
e195,n1497,n195,
e196,n1497,n196,
e197,n1497,n197,
e198,n1497,n198,young
e199,n1497,n199,new
e200,n1497,n200,final
e201,n1497,n201,
e202,n1497,n202,
e203,n1497,n203,little
e204,n1497,n204,
e205,n1497,n205,
e206,n1497,n206,bigger
e207,n1497,n207,
e208,n1497,n208,little
e209,n1497,n209,calmer
e210,n1497,n210,
e211,n1497,n211,great
e212,n1497,n212,
e213,n1497,n213,
e214,n1497,n214,great
e215,n1497,n215,
e216,n1497,n216,
e217,n1497,n217,natural
e218,n1497,n218,different
e219,n1497,n219,
e220,n1497,n220,
e221,n1497,n221,different
e222,n1497,n222,
e223,n1497,n223,
e224,n1497,n224,
e225,n1497,n225,amazing
e226,n1497,n226,
e227,n1497,n227,
e228,n1497,n228,weird
e229,n1497,n229,
e230,n1497,n230,small
e231,n1497,n231,fleeting
e232,n1497,n232,prolonged
e233,n1497,n233,
e234,n1497,n234,
e235,n1497,n235,
e236,n1497,n236,
e237,n1497,n237,
e238,n1497,n238,physical
e239,n1497,n239,
e240,n1497,n240,
e241,n1497,n241,great
e242,n1497,n242,
e243,n1497,n243,lovely
e244,n1497,n244,great
e245,n1497,n245,old
e246,n1497,n246,like
e247,n1497,n247,
e248,n1497,n248,
e249,n1497,n249,
e250,n1497,n250,
e251,n1497,n251,
e252,n1497,n252,
e253,n1497,n253,
e254,n1497,n254,
e255,n1497,n255,
e256,n1497,n256,
e257,n1497,n257,
e258,n1497,n258,
e259,n1497,n259,
e260,n1497,n260,
e261,n1497,n261,great
e262,n1497,n262,
e263,n1497,n263,good
e264,n1497,n264,
e265,n1497,n265,
e266,n1497,n266,complete
e267,n1497,n267,
e268,n1497,n268,
e269,n1497,n269,good
e270,n1497,n270,
e271,n1497,n271,
e272,n1497,n272,
e273,n1497,n273,unfulfilled
e274,n1497,n274,complete
e275,n1497,n275,
e276,n1497,n276,
e277,n1497,n277,
e278,n1497,n278,Immediate
e279,n1497,n279,
e280,n1497,n280,early
e281,n1497,n281,
e282,n1497,n282,long
e283,n1497,n283,wild
e284,n1497,n284,brutal
e285,n1497,n285,regular
e286,n1497,n286,martial
e287,n1497,n287,military
e288,n1497,n288,
e289,n1497,n289,little
e290,n1497,n290,
e291,n1497,n291,philosophical
e292,n1497,n292,
e293,n1497,n293,full
e294,n1497,n294,brief
e295,n1497,n295,introspective
e296,n1497,n296,
e297,n1497,n297,American
e298,n1497,n298,
e299,n1497,n299,gay
e300,n1497,n300,
e301,n1497,n301,
e302,n1497,n302,
e303,n1497,n303,
e304,n1497,n304,good
e305,n1497,n305,martial
e306,n1497,n306,much
e307,n1497,n307,
e308,n1497,n308,great
e309,n1497,n309,bittersweet
e310,n1497,n310,own
e311,n1497,n311,martial
e312,n1497,n312,contemporary
e313,n1497,n313,martial
e314,n1497,n314,highest
e315,n1497,n315,
e316,n1497,n316,
e317,n1497,n317,public
e318,n1497,n318,
e319,n1497,n319,
e320,n1497,n320,social
e321,n1497,n321,
e322,n1497,n322,vast
e323,n1497,n323,human
e324,n1497,n324,
e325,n1497,n325,
e326,n1497,n326,specific
e327,n1497,n327,
e328,n1497,n328,
e329,n1497,n329,
e330,n1497,n330,
e331,n1497,n331,
e332,n1497,n332,penultimate
e333,n1497,n333,
e334,n1497,n334,many
e335,n1497,n335,
e336,n1497,n336,extreme
e337,n1497,n337,
e338,n1497,n338,
e339,n1497,n339,wise
e340,n1497,n340,
e341,n1497,n341,
e342,n1497,n342,
e343,n1497,n343,moderate
e344,n1497,n344,
e345,n1497,n345,
e346,n1497,n346,
e347,n1497,n347,eager
e348,n1497,n348,less
e349,n1497,n349,
e350,n1497,n350,
e351,n1497,n351,
e352,n1497,n352,biggest
e353,n1497,n353,
e354,n1497,n354,
e355,n1497,n355,first
e356,n1497,n356,
e357,n1497,n357,
e358,n1497,n358,much
e359,n1497,n359,inner
e360,n1497,n360,
e361,n1497,n361,
e362,n1497,n362,
e363,n1497,n363,
e364,n1497,n364,possible
e365,n1497,n365,first
e366,n1497,n366,many
e367,n1497,n367,
e368,n1497,n368,eventual
e369,n1497,n369,political
e370,n1497,n370,
e371,n1497,n371,
e372,n1497,n372,
e373,n1497,n373,
e374,n1497,n374,interested
e375,n1497,n375,
e376,n1497,n376,possible
e377,n1497,n377,dogged
e378,n1497,n378,
e379,n1497,n379,private
e380,n1497,n380,good
e381,n1497,n381,
e382,n1497,n382,sick
e383,n1497,n383,
e384,n1497,n384,
e385,n1497,n385,lesser
e386,n1497,n386,little
e387,n1497,n387,little
e388,n1497,n388,ridiculous
e389,n1497,n389,
e390,n1497,n390,other
e391,n1497,n391,
e392,n1497,n392,
e393,n1497,n393,
e394,n1497,n394,
e395,n1497,n395,good
e396,n1497,n396,
e397,n1497,n397,
e398,n1497,n398,
e399,n1497,n399,aggressive
e400,n1497,n400,weird
e401,n1497,n401,
e402,n1497,n402,early
e403,n1497,n403,
e404,n1497,n404,chief
e405,n1497,n405,
e406,n1497,n406,
e407,n1497,n407,
e408,n1497,n408,little
e409,n1497,n409,
e410,n1497,n410,
e411,n1497,n411,
e412,n1497,n412,
e413,n1497,n413,large
e414,n1497,n414,
e415,n1497,n415,
e416,n1497,n416,
e417,n1497,n417,
e418,n1497,n418,
e419,n1497,n419,
e420,n1497,n420,
e421,n1497,n421,moderate
e422,n1497,n422,
e423,n1497,n423,
e424,n1497,n424,
e425,n1497,n425,
e426,n1497,n426,
e427,n1497,n427,early
e428,n1497,n428,
e429,n1497,n429,
e430,n1497,n430,entire
e431,n1497,n431,
e432,n1497,n432,brutal
e433,n1497,n433,clean
e434,n1497,n434,
e435,n1497,n435,
e436,n1497,n436,dialectical
e437,n1497,n437,
e438,n1497,n438,different
e439,n1497,n439,large
e440,n1497,n440,more
e441,n1497,n441,
e442,n1497,n442,
e443,n1497,n443,other
e444,n1497,n444,unique
e445,n1497,n445,old
e446,n1497,n446,certain
e447,n1497,n447,
e448,n1497,n448,
e449,n1497,n449,athletic
e450,n1497,n450,
e451,n1497,n451,
e452,n1497,n452,much
e453,n1497,n453,
e454,n1497,n454,side
e455,n1497,n455,
e456,n1497,n456,
e457,n1497,n457,
e458,n1497,n458,good
e459,n1497,n459,tremendous
e460,n1497,n460,great
e461,n1497,n461,top
e462,n1497,n462,own
e463,n1497,n463,
e464,n1497,n464,
e465,n1497,n465,
e466,n1497,n466,
e467,n1497,n467,
e468,n1497,n468,different
e469,n1497,n469,honest
e470,n1497,n470,great
e471,n1497,n471,right
e472,n1497,n472,
e473,n1497,n473,
e474,n1497,n474,
e475,n1497,n475,
e476,n1497,n476,
e477,n1497,n477,
e478,n1497,n478,physical
e479,n1497,n479,
e480,n1497,n480,
e481,n1497,n481,good
e482,n1497,n482,double
e483,n1497,n483,first
e484,n1497,n484,
e485,n1497,n485,
e486,n1497,n486,
e487,n1497,n487,
e488,n1497,n488,
e489,n1497,n489,other
e490,n1497,n490,political
e491,n1497,n491,
e492,n1497,n492,tragic
e493,n1497,n493,high
e494,n1497,n494,
e495,n1497,n495,
e496,n1497,n496,
e497,n1497,n497,
e498,n1497,n498,
e499,n1497,n499,
e500,n1497,n500,
e501,n1497,n501,
e502,n1497,n502,
e503,n1497,n503,good
e504,n1497,n504,
e505,n1497,n505,humongous
e506,n1497,n506,
e507,n1497,n507,
e508,n1497,n508,
e509,n1497,n509,
e510,n1497,n510,full
e511,n1497,n511,
e512,n1497,n512,
e513,n1497,n513,
e514,n1497,n514,right
e515,n1497,n515,
e516,n1497,n516,great
e517,n1497,n517,full
e518,n1497,n518,other
e519,n1497,n519,
e520,n1497,n520,Japanese
e521,n1497,n521,
e522,n1497,n522,
e523,n1497,n523,
e524,n1497,n524,
e525,n1497,n525,
e526,n1497,n526,ultraviolent
e527,n1497,n527,
e528,n1497,n528,
e529,n1497,n529,
e530,n1497,n530,
e531,n1497,n531,
