id,name,group
n0,conversation,2
n1,John Clarke,1
n2,life,2
n3,Kerouac,2
n4,style,2
n5,road,2
n6,trip,2
n7,the United States,2
n8,thing,2
n9,lifts,2
n10,handful,2
n11,distance,2
n12,driving,2
n13,trips,2
n14,the East Coast,2
n15,the West Coast,2
n16,California,2
n17,share,2
n18,country,2
n19,longing,2
n20,American,2
n21,world,2
n22,point,2
n23,tons,2
n24,way,2
n25,deadline,2
n26,Chicago,2
n27,St. Louis,2
n28,place,2
n29,mission,2
n30,reason,2
n31,San Francisco,2
n32,weeks,2
n33,characters,2
n34,experience,2
n35,beginning,2
n36,end,2
n37,Boston,2
n38,night,2
n39,New York,2
n40,morning,2
n41,Philly,2
n42,guidelines,2
n43,experiences,2
n44,frame,2
n45,Indianapolis,2
n46,shit,2
n47,sun,2
n48,plans,2
n49,type,2
n50,deadlines,2
n51,people,2
n52,promises,2
n53,love,2
n54,biker,2
n55,breadth,2
n56,city,2
n57,week,2
n58,parts,2
n59,years,2
n60,opportunity,2
n61,question,2
n62,fact,2
n63,contract,2
n64,students,2
n65,leap,2
n66,faith,2
n67,gym,2
n68,obligation,2
n69,decision,2
n70,summer,2
n71,lots,2
n72,MFA,2
n73,nights,2
n74,exhibits,2
n75,stuff,2
n76,beer,2
n77,carts,2
n78,food,2
n79,tents,2
n80,painting,2
n81,class,2
n82,attention,2
n83,travel,2
n84,site,2
n85,hotel,2
n86,bar,2
n87,drink,2
n88,bartender,2
n89,town,2
n90,tourist,2
n91,attractions,2
n92,locals,2
n93,visitors,2
n94,places,2
n95,pinnacle,2
n96,restaurants,2
n97,Bogey,2
n98,spots,2
n99,hell,2
n100,steak,2
n101,house,2
n102,JM Curley's,2
n103,South Boston,2
n104,downtown,2
n105,area,2
n106,neighborhoods,2
n107,district,2
n108,Southie,2
n109,SJS,2
n110,difference,2
n111,mythical,2
n112,term,2
n113,Stobo,2
n114,good,2
n115,personality,2
n116,ass,2
n117,dudes,2
n118,jimmies,2
n119,neighborhood,2
n120,gentrification,2
n121,luxury,2
n122,condominiums,2
n123,businesses,2
n124,mom,2
n125,pop,2
n126,kind,2
n127,makeup,2
n128,community,2
n129,influx,2
n130,income,2
n131,exodus,2
n132,families,2
n133,sums,2
n134,money,2
n135,homes,2
n136,70s,2
n137,80s,2
n138,areas,2
n139,combination,2
n140,cities,2
n141,character,2
n142,expense,2
n143,culture,2
n144,shoulders,2
n145,giants,2
n146,scene,2
n147,rise,2
n148,charm,2
n149,People,2
n150,New England city,2
n151,Amitay,2
n152,flame,2
n153,history,2
n154,greatness,2
n155,moments,2
n156,echoes,2
n157,halls,2
n158,MIT,2
n159,individuals,2
n160,minority,2
n161,times,2
n162,dimension,2
n163,data,2
n164,assertion,2
n165,stars,2
n166,theory,2
n167,age,2
n168,studies,2
n169,music,2
n170,dads,2
n171,clothes,2
n172,period,2
n173,evolution,2
n174,memories,2
n175,course,2
n176,store,2
n177,gastro pub,2
n178,lane,2
n179,highway,2
n180,Epcot Center,2
n181,conglomerate,2
n182,diners,2
n183,middle,2
n184,paper,2
n185,chance,2
n186,friends,2
n187,strangers,2
n188,alcohol,2
n189,context,2
n190,localization,2
n191,person,2
n192,L.A.,2
n193,friend,2
n194,run,2
n195,cops,2
n196,traffic,2
n197,tickets,2
n198,kids,2
n199,idea,2
n200,destination,2
n201,Pennsylvania,2
n202,stops,2
n203,diamond,2
n204,diner,2
n205,movies,2
n206,guy,2
n207,quaint,2
n208,spot,2
n209,corner,2
n210,citizen,2
n211,chicken,2
n212,sandwich,2
n213,Argentina,2
n214,meal,2
n215,Costa Rica,2
n216,egg,2
n217,ability,2
n218,goals,2
n219,meaning,2
n220,woman,2
n221,kinds,2
n222,meanings,2
n223,legs,2
n224,tension,2
n225,fights,2
n226,silences,2
n227,brothers,2
n228,journey,2
n229,friendship,2
n230,space,2
n231,relationship,2
n232,periods,2
n233,closeness,2
n234,vulnerability,2
n235,Denver,2
n236,motherfucker,2
n237,spending,2
n238,contact,2
n239,buddies,2
n240,lives,2
n241,story,2
n242,Alabama,2
n243,library,2
n244,book,2
n245,kid,2
n246,stories,2
n247,couple,2
n248,Vegas,2
n249,Circus Circus,2
n250,three dollar,2
n251,dollar,2
n252,blackjack,2
n253,12 bucks,2
n254,bucks,2
n255,buddy,2
n256,degenerate,2
n257,gambler,2
n258,chips,2
n259,pockets,2
n260,gas,2
n261,line,2
n262,hours,2
n263,guys,2
n264,turning,2
n265,retrospect,2
n266,darkness,2
n267,uncertainty,2
n268,possibilities,2
n269,self,2
n270,doubt,2
n271,trajectories,2
n272,failure,2
n273,dreams,2
n274,piece,2
n275,concept,2
n276,consequence,2
n277,toxoplasmosis,2
n278,gratification,2
n279,mind,2
n280,20s,2
n281,rest,2
n282,play,2
n283,man,2
n284,violence,2
n285,basis,2
n286,arts,2
n287,folks,2
n288,philosophers,2
n289,parallel,2
n290,fighting,2
n291,depths,2
n292,starting,2
n293,existentialist,2
n294,moment,2
n295,human,2
n296,soldier,2
n297,warrior,2
