id,name,group
n0,conversation,2
n1,John Hockfield,2
n2,difference,2
n3,networks,2
n4,level,2
n5,fact,2
n6,Neurons,2
n7,kinds,2
n8,components,2
n9,properties,2
n10,biology,2
n11,quirk,2
n12,molecule,2
n13,works,2
n14,use,2
n15,evolution,2
n16,feature,2
n17,glitch,2
n18,neurobiology,2
n19,revolution,2
n20,possibilities,2
n21,neurons,2
n22,aspect,2
n23,glitches,2
n24,features,2
n25,network,2
n26,research,2
n27,rhythms,2
n28,circumstances,2
n29,phase,2
n30,transition,2
n31,rhythm,2
n32,step,2
n33,example,2
n34,the Millennium Bridge,2
n35,the Thames River,2
n36,Bill,2
n37,pedestrians,2
n38,Pedestrians,2
n39,Synchronizer,2
n40,lock,2
n41,lockstep,2
n42,frequency,2
n43,bridge,2
n44,lights,2
n45,movies,2
n46,engineers,2
n47,mistake,2
n48,motion,2
n49,foot,2
n50,result,2
n51,people,2
n52,years,2
n53,nerves,2
n54,nerve,2
n55,cells,2
n56,action,2
n57,potentials,2
n58,rate,2
n59,brain,2
n60,possibility,2
n61,process,2
n62,systems,2
n63,mass,2
n64,sense,2
n65,ability,2
n66,complexities,2
n67,piece,2
n68,protein,2
n69,function,2
n70,chemical,2
n71,reaction,2
n72,pressure,2
n73,computers,2
n74,improvement,2
n75,companies,2
n76,Opening,2
n77,scale,2
n78,Scale,2
n79,boring,2
n80,company,2
n81,century,2
n82,couple,2
n83,organism,2
n84,correspondance,2
n85,difficulty,2
n86,product,2
n87,IBM,2
n88,PC,2
n89,book,2
n90,unit,2
n91,history,2
n92,market,2
n93,thing,2
n94,culture,2
n95,markets,2
n96,way,2
n97,kind,2
n98,integration,2
n99,mechanism,2
n100,mind,2
n101,Adaptation,2
n102,differences,2
n103,adaptation,2
n104,learning,2
n105,generations,2
n106,individual,2
n107,environment,2
n108,lifetime,2
n109,system,2
n110,math,2
n111,computer,2
n112,scientist,2
n113,Biology,2
n114,dimensions,2
n115,chips,2
n116,structures,2
n117,point,2
n118,dimension,2
n119,wiring,2
n120,neocortex,2
n121,matter,2
n122,times,2
n123,volume,2
n124,wires,2
n125,effect,2
n126,structure,2
n127,events,2
n128,hand,2
n129,problems,2
n130,end,2
n131,life,2
n132,perspective,2
n133,edges,2
n134,hole,2
n135,connections,2
n136,evolves,2
n137,combination,2
n138,genetics,2
n139,days,2
n140,months,2
n141,course,2
n142,notification,2
n143,infancy,2
n144,Turnover,2
n145,moment,2
n146,field,2
n147,breakthroughs,2
n148,science,2
n149,psychology,2
n150,Physics,2
n151,literature,2
n152,world,2
n153,lens,2
n154,physics,2
n155,background,2
n156,chemistry,2
n157,parents,2
n158,physicists,2
n159,feeling,2
n160,place,2
n161,experiments,2
n162,mathematics,2
n163,decades,2
n164,hope,2
n165,question,2
n166,subject,2
n167,Newton,2
n168,laws,2
n169,set,2
n170,examples,2
n171,equations,2
n172,answers,2
n173,idea,2
n174,understanding,2
n175,situation,2
n176,ball,2
n177,notion,2
n178,nets,2
n179,essence,2
n180,lookup,2
n181,table,2
n182,feet,2
n183,answer,2
n184,ways,2
n185,Feedback,2
n186,feedback,2
n187,expansion,2
n188,stuff,2
n189,problem,2
n190,recurrence,2
n191,pieces,2
n192,mechanisms,2
n193,surface,2
n194,neurosurgeon,2
n195,ones,2
n196,electrodes,2
n197,patterns,2
n198,detail,2
n199,Google,2
n200,musician,2
n201,piano,2
n202,figures,2
n203,disciplines,2
n204,sides,2
n205,river,2
n206,generation,2
n207,A.I.,2
n208,community,2
n209,following,2
n210,model,2
n211,sand,2
n212,test,2
n213,aspects,2
n214,human,2
n215,waves,2
n216,word,2
n217,view,2
n218,car,2
n219,wreck,2
n220,dodge,2
n221,miles,2
n222,wheels,2
n223,Jimmy,2
n224,malfunctioning,2
n225,computation,2
n226,transistors,2
n227,laptop,2
n228,number,2
n229,Summerskill ten,2
n230,parts,2
n231,air,2
n232,earthquakes,2
n233,I. Yes,2
n234,surprises,2
n235,high,2
n236,stroll,2
n237,work,2
n238,memory,2
n239,friends,2
n240,friend,2
n241,voice,2
n242,college,2
n243,papers,2
n244,a.,2
n245,scientists,2
n246,Hinton,2
n247,facts,2
n248,person,2
n249,hold,2
n250,rest,2
n251,subset,2
n252,Link,2
n253,behavior,2
n254,words,2
n255,memories,2
n256,mystery,2
n257,inklings,2
n258,cognition,2
n259,physicist,2
n260,states,2
n261,terms,2
n262,artificial,2
n263,extent,2
n264,look,2
n265,images,2
n266,information,2
n267,chunks,2
n268,activities,2
n269,entities,2
n270,machine,2
n271,hardware,2
n272,John Johnsonville,2
n273,Hadfield Networks,2
n274,simplification,2
n275,Richard Feynman,2
n276,track,2
n277,biologies,2
n278,Computers,2
n279,timescale,2
n280,synapses,2
n281,damage,2
n282,activity,2
n283,dynamics,2
n284,order,2
n285,feed,2
n286,change,2
n287,synopsis,2
n288,skills,2
n289,mathematicians,2
n290,respect,2
n291,complexity,2
n292,nuts,2
n293,bolts,2
n294,molecules,2
n295,atmosphere,2
n296,wind,2
n297,hurricanes,2
n298,differentials,2
n299,details,2
n300,roots,2
n301,Haberfield,2
n302,insight,2
n303,insights,2
n304,picture,2
n305,pattern,2
n306,description,2
n307,concept,2
n308,representations,2
n309,error,2
n310,correction,2
n311,lots,2
n312,path,2
n313,space,2
n314,zeros,2
n315,trajectory,2
n316,spite,2
n317,competition,2
n318,line,2
n319,models,2
n320,valley,2
n321,water,2
n322,rock,2
n323,analogue,2
n324,metaphor,2
n325,schemes,2
n326,energy,2
n327,corrections,2
n328,mathematician,2
n329,follow,2
n330,machines,2
n331,belief,2
n332,the Hatfield Network,2
n333,ideas,2
n334,progress,2
n335,exploration,2
n336,image,2
n337,recognition,2
n338,language,2
n339,processing,2
n340,Bultman,2
n341,brilliance,2
n342,Sadowsky,2
n343,intuition,2
n344,probabilities,2
n345,encapsulation,2
n346,computational,2
n347,parameters,2
n348,Hamiltonian,2
n349,domain,2
n350,guy,2
n351,Jeff Hinton,2
n352,propagation,2
n353,echoes,2
n354,power,2
n355,Reveals,2
n356,depth,2
n357,building,2
n358,clock,2
n359,cycle,2
n360,reload,2
n361,clocks,2
n362,eyes,2
n363,chessboard,2
n364,minutes,2
n365,input,2
n366,consciousness,2
n367,shelf,2
n368,betters,2
n369,room,2
n370,Marvin Minsky,2
n371,Marvin,2
n372,epiphenomenon,2
n373,computations,2
n374,evidence,2
n375,decisions,2
n376,icing,2
n377,cake,2
n378,subconscious,2
n379,Freud,2
n380,Nicholas Chatur,2
n381,title,2
n382,net,2
n383,layers,2
n384,effort,2
n385,weaving,2
n386,narrative,2
n387,event,2
n388,anchor,2
n389,points,2
n390,knowledge,2
n391,Watergate,2
n392,slash,2
n393,impeachment,2
n394,era,2
n395,John Dean,2
n396,lawyer,2
n397,cover,2
n398,jail,2
n399,truth,2
n400,Nixon,2
n401,witness,2
n402,conversations,2
n403,the John Dean,2
n404,tapes,2
n405,Don,2
n406,Eugene,2
n407,inability,2
n408,tone,2
n409,psych,2
n410,ward,2
n411,today,2
n412,importance,2
n413,mess,2
n414,maker,2
n415,intelligence,2
n416,Francis Crick,2
n417,monologue,2
n418,peace,2
n419,biologists,2
n420,inheritance,2
n421,traits,2
n422,grey,2
n423,thinking,2
n424,Francis,2
n425,smoking,2
n426,gun,2
n427,mental,2
n428,weakness,2
n429,position,2
n430,Cock,2
n431,fun,2
n432,reason,2
n433,views,2
n434,entry,2
n435,collective,2
n436,phenomenon,2
n437,neurobiologist,2
n438,questions,2
n439,contradictions,2
n440,quantum mechanics,2
n441,mechanics,2
n442,universe,2
n443,mysteries,2
n444,appearance,2
n445,Attracta Networks,2
n446,attraction,2
n447,lines,2
n448,Attracta,2
n449,dissipation,2
n450,Veith,2
n451,detectors,2
n452,places,2
n453,theory,2
n454,Leesville Theorem,2
n455,subsystem,2
n456,contraction,2
n457,flow,2
n458,pathway,2
n459,pathways,2
n460,stability,2
n461,characteristics,2
n462,source,2
n463,devil,2
n464,Alpena,2
n465,convergent,2
n466,functions,2
n467,channeling,2
n468,Pathway,2
n469,mountain,2
n470,fall,2
n471,attractors,2
n472,Aliev,2
n473,thought,2
n474,eye,2
n475,excitement,2
n476,adviser,2
n477,pursuit,2
n478,Symbol,2
n479,hypotheses,2
n480,chess,2
n481,simulating,2
n482,outcomes,2
n483,element,2
n484,Cancellation,2
n485,instances,2
n486,suggestion,2
n487,query,2
n488,limitations,2
n489,population,2
n490,tests,2
n491,distribution,2
n492,street,2
n493,security,2
n494,training,2
n495,child,2
n496,neural,2
n497,probability,2
n498,tangent,2
n499,value,2
n500,reasoning,2
n501,data,2
n502,collection,2
n503,principles,2
n504,deductive,2
n505,route,2
n506,analysis,2
n507,hell,2
n508,cosmology,2
n509,Jim Peoples,2
n510,Nobel Prize,2
n511,department,2
n512,regard,2
n513,phenomena,2
n514,rises,2
n515,heart,2
n516,wool,2
n517,Biologist,2
n518,explanation,2
n519,interfaces,2
n520,Neural Link with Elon Musk,2
n521,interest,2
n522,AIS,2
n523,limb,2
n524,case,2
n525,link,2
