id,source,target,value
e0,n806,n0,interesting
e1,n806,n1,
e2,n806,n2,human
e3,n806,n3,low
e4,n806,n4,neuronal
e5,n806,n5,psychiatric
e6,n806,n6,better
e7,n806,n7,last
e8,n806,n8,unanswerable
e9,n806,n9,
e10,n806,n10,deep
e11,n806,n11,enormous
e12,n806,n12,interesting
e13,n806,n13,broad
e14,n806,n14,detailed
e15,n806,n15,functional
e16,n806,n16,micro
e17,n806,n17,single
e18,n806,n18,
e19,n806,n19,parametric
e20,n806,n20,perfect
e21,n806,n21,
e22,n806,n22,
e23,n806,n23,scientific
e24,n806,n24,dendritic
e25,n806,n25,synaptic
e26,n806,n26,right
e27,n806,n27,sensory
e28,n806,n28,
e29,n806,n29,cubic
e30,n806,n30,
e31,n806,n31,
e32,n806,n32,other
e33,n806,n33,holistic
e34,n806,n34,
e35,n806,n35,
e36,n806,n36,
e37,n806,n37,whole
e38,n806,n38,fundamental
e39,n806,n39,
e40,n806,n40,current
e41,n806,n41,particular
e42,n806,n42,mutual
e43,n806,n43,analog
e44,n806,n44,ensemble
e45,n806,n45,
e46,n806,n46,
e47,n806,n47,
e48,n806,n48,probabilistic
e49,n806,n49,individual
e50,n806,n50,same
e51,n806,n51,non
e52,n806,n52,steady
e53,n806,n53,hot
e54,n806,n54,active
e55,n806,n55,
e56,n806,n56,collective
e57,n806,n57,coarse
e58,n806,n58,sparse
e59,n806,n59,
e60,n806,n60,current
e61,n806,n61,high
e62,n806,n62,magnetic
e63,n806,n63,
e64,n806,n64,
e65,n806,n65,different
e66,n806,n66,visual
e67,n806,n67,clinical
e68,n806,n68,actual
e69,n806,n69,
e70,n806,n70,neuronal
e71,n806,n71,neuronal
e72,n806,n72,different
e73,n806,n73,
e74,n806,n74,
e75,n806,n75,big
e76,n806,n76,surprising
e77,n806,n77,recursive
e78,n806,n78,actual
e79,n806,n79,
e80,n806,n80,
e81,n806,n81,structural
e82,n806,n82,marvelous
e83,n806,n83,
e84,n806,n84,
e85,n806,n85,beautiful
e86,n806,n86,delicate
e87,n806,n87,
e88,n806,n88,
e89,n806,n89,minimalist
e90,n806,n90,
e91,n806,n91,functional
e92,n806,n92,
e93,n806,n93,giant
e94,n806,n94,magic
e95,n806,n95,
e96,n806,n96,
e97,n806,n97,
e98,n806,n98,
e99,n806,n99,
e100,n806,n100,right
e101,n806,n101,
e102,n806,n102,
e103,n806,n103,
e104,n806,n104,
e105,n806,n105,quantitive
e106,n806,n106,certain
e107,n806,n107,external
e108,n806,n108,outgoing
e109,n806,n109,
e110,n806,n110,
e111,n806,n111,
e112,n806,n112,
e113,n806,n113,
e114,n806,n114,
e115,n806,n115,most
e116,n806,n116,
e117,n806,n117,hierarchical
e118,n806,n118,
e119,n806,n119,
e120,n806,n120,active
e121,n806,n121,massive
e122,n806,n122,artificial
e123,n806,n123,visual
e124,n806,n124,
e125,n806,n125,
e126,n806,n126,hierarchical
e127,n806,n127,certain
e128,n806,n128,
e129,n806,n129,representational
e130,n806,n130,
e131,n806,n131,
e132,n806,n132,
e133,n806,n133,amazing
e134,n806,n134,
e135,n806,n135,different
e136,n806,n136,human
e137,n806,n137,
e138,n806,n138,
e139,n806,n139,complementary
e140,n806,n140,intrinsic
e141,n806,n141,first
e142,n806,n142,
e143,n806,n143,neuronal
e144,n806,n144,vascular
e145,n806,n145,sensory
e146,n806,n146,
e147,n806,n147,
e148,n806,n148,
e149,n806,n149,
e150,n806,n150,functional
e151,n806,n151,neural
e152,n806,n152,visual
e153,n806,n153,
e154,n806,n154,visual
e155,n806,n155,
e156,n806,n156,static
e157,n806,n157,
e158,n806,n158,segregated
e159,n806,n159,hot
e160,n806,n160,such
e161,n806,n161,parametric
e162,n806,n162,
e163,n806,n163,
e164,n806,n164,
e165,n806,n165,little
e166,n806,n166,
e167,n806,n167,prominent
e168,n806,n168,renowned
e169,n806,n169,segregated
e170,n806,n170,much
e171,n806,n171,
e172,n806,n172,
e173,n806,n173,very
e174,n806,n174,good
e175,n806,n175,careful
e176,n806,n176,
e177,n806,n177,
e178,n806,n178,
e179,n806,n179,temporal
e180,n806,n180,
e181,n806,n181,
e182,n806,n182,
e183,n806,n183,
e184,n806,n184,little
e185,n806,n185,receptive
e186,n806,n186,
e187,n806,n187,little
e188,n806,n188,
e189,n806,n189,alien
e190,n806,n190,other
e191,n806,n191,
e192,n806,n192,
e193,n806,n193,
e194,n806,n194,
e195,n806,n195,finer
e196,n806,n196,
e197,n806,n197,
e198,n806,n198,
e199,n806,n199,
e200,n806,n200,
e201,n806,n201,
e202,n806,n202,ethical
e203,n806,n203,
e204,n806,n204,human
e205,n806,n205,
e206,n806,n206,related
e207,n806,n207,
e208,n806,n208,
e209,n806,n209,next
e210,n806,n210,
e211,n806,n211,
e212,n806,n212,
