id,name,group
n0,conversation,2
n1,Lee Smolin,1
n2,question,2
n3,way,2
n4,creation,2
n5,perception,2
n6,imagination,2
n7,science,2
n8,world,2
n9,existence,2
n10,experience,2
n11,knowledge,2
n12,step,2
n13,idea,2
n14,mind,2
n15,people,2
n16,cortex,2
n17,constructs,2
n18,reality,2
n19,version,2
n20,brains,2
n21,mode,2
n22,mirror,2
n23,sense,2
n24,tools,2
n25,physics,2
n26,theory,2
n27,experiments,2
n28,ape,2
n29,ancestors,2
n30,math,2
n31,position,2
n32,caves,2
n33,fires,2
n34,animals,2
n35,plants,2
n36,stuff,2
n37,sky,2
n38,sun,2
n39,moon,2
n40,stars,2
n41,movies,2
n42,stories,2
n43,explanations,2
n44,judgments,2
n45,tiger,2
n46,information,2
n47,lots,2
n48,benefit,2
n49,realist,2
n50,scale,2
n51,writer,2
n52,description,2
n53,method,2
n54,counts,2
n55,school,2
n56,writings,2
n57,Paul Firearm,2
n58,philosopher,2
n59,notion,2
n60,age,2
n61,Paul Farhi,2
n62,student,2
n63,Pomper,2
n64,logic,2
n65,example,2
n66,practice,2
n67,theories,2
n68,data,2
n69,times,2
n70,scientist,2
n71,advice,2
n72,matter,2
n73,community,2
n74,precepts,2
n75,set,2
n76,ideas,2
n77,rules,2
n78,game,2
n79,results,2
n80,hypothesis,2
n81,training,2
n82,methods,2
n83,checking,2
n84,mistakes,2
n85,error,2
n86,mathematics,2
n87,check,2
n88,street,2
n89,test,2
n90,case,2
n91,colleagues,2
n92,contradiction,2
n93,Answers,2
n94,point,2
n95,kind,2
n96,argument,2
n97,gap,2
n98,thing,2
n99,ideal,2
n100,experiment,2
n101,elements,2
n102,result,2
n103,hope,2
n104,confidence,2
n105,truth,2
n106,relationship,2
n107,Galileo,2
n108,ball,2
n109,tower,2
n110,base,2
n111,Aristotelian,2
n112,course,2
n113,earth,2
n114,principle,2
n115,inertia,2
n116,direction,2
n117,Harristown,2
n118,cases,2
n119,centuries,2
n120,transition,2
n121,Newton,2
n122,nature,2
n123,process,2
n124,progress,2
n125,scientists,2
n126,job,2
n127,engineers,2
n128,rockets,2
n129,computers,2
n130,century,2
n131,string,2
n132,ends,2
n133,history,2
n134,civilization,2
n135,iPhone,2
n136,right,2
n137,quality,2
n138,life,2
n139,place,2
n140,revolution,2
n141,80s,2
n142,20th,2
n143,1930s,2
n144,technology,2
n145,discovery,2
n146,relativity,2
n147,developments,2
n148,electromagnetism,2
n149,atoms,2
n150,picture,2
n151,nuclei,2
n152,electrons,2
n153,quantum mechanics,2
n154,mechanics,2
n155,1920s,2
n156,form,2
n157,basis,2
n158,technologies,2
n159,fact,2
n160,relation,2
n161,the United States,2
n162,development,2
n163,electricity,2
n164,electrification,2
n165,cities,2
n166,Europe,2
n167,sigh,2
n168,story,2
n169,series,2
n170,triumphs,2
n171,progresses,2
n172,application,2
n173,revolutions,2
n174,validation,2
n175,predictions,2
n176,magnetism,2
n177,Einstein,2
n178,book,2
n179,level,2
n180,realism,2
n181,Realism,2
n182,belief,2
n183,physicist,2
n184,system,2
n185,view,2
n186,magic,2
n187,determinism,2
n188,chance,2
n189,I. You,2
n190,dice,2
n191,universe,2
n192,warning,2
n193,future,2
n194,laws,2
n195,ground,2
n196,entirety,2
n197,role,2
n198,molecules,2
n199,observer,2
n200,consciousness,2
n201,ways,2
n202,questions,2
n203,perceptions,2
n204,answer,2
n205,flavor,2
n206,camps,2
n207,divisions,2
n208,views,2
n209,scholar,2
n210,advantages,2
n211,quantum physics,2
n212,scholars,2
n213,wars,2
n214,trends,2
n215,culture,2
n216,purpose,2
n217,absence,2
n218,peace,2
n219,kneels,2
n220,extension,2
n221,conversations,2
n222,interactions,2
n223,terms,2
n224,particle,2
n225,wave,2
n226,causality,2
n227,space,2
n228,implication,2
n229,aspect,2
n230,beings,2
n231,aspects,2
n232,a.,2
n233,Niels Bohr,2
n234,storytellers,2
n235,aspiration,2
n236,perfection,2
n237,I. Well,2
n238,years,2
n239,limit,2
n240,abilities,2
n241,descendants,2
n242,apes,2
n243,systems,2
n244,capability,2
n245,help,2
n246,universality,2
n247,David Deutsch,2
n248,exploration,2
n249,languages,2
n250,computing,2
n251,symbolics,2
n252,possibility,2
n253,understanding,2
n254,plenty,2
n255,friend,2
n256,Eric Weinstein,2
n257,luggage,2
n258,Freude,2
n259,Martha Graham,2
n260,Ellison,2
n261,geniuses,2
n262,wheel,2
n263,Eric Wilstein,2
n264,wheels,2
n265,eyes,2
n266,guy,2
n267,airport,2
n268,person,2
n269,box,2
n270,thinking,2
n271,habit,2
n272,psychology,2
n273,resists,2
n274,compliment,2
n275,study,2
n276,work,2
n277,biographies,2
n278,autobiography,2
n279,couple,2
n280,stubbornness,2
n281,arrogance,2
n282,tearaways,2
n283,speed,2
n284,angle,2
n285,ferocity,2
n286,commitment,2
n287,ability,2
n288,talent,2
n289,ego,2
n290,knife,2
n291,edge,2
n292,overconfident,2
n293,death,2
n294,I. I am,2
n295,moment,2
n296,approach,2
n297,calm,2
n298,hand,2
n299,self,2
n300,Einsteins Unfinished Revolution,2
n301,quantum,2
n302,paradox,2
n303,duality,2
n304,photons,2
n305,connection,2
n306,founders,2
n307,closet,2
n308,reasons,2
n309,degrees,2
n310,freedom,2
n311,particles,2
n312,forces,2
n313,stage,2
n314,phenomenon,2
n315,demands,2
n316,wavefunction,2
n317,collapse,2
n318,discussions,2
n319,measurement,2
n320,problem,2
n321,formulation,2
n322,situations,2
n323,measurements,2
n324,observations,2
n325,reason,2
n326,parts,2
n327,gravitation,2
n328,cosmology,2
n329,Quantum,2
n330,gravity,2
n331,domain,2
n332,completion,2
n333,spacetime,2
n334,Space,2
n335,construction,2
n336,events,2
n337,relationships,2
n338,geometry,2
n339,equations,2
n340,approximation,2
n341,Israel,2
n342,assumption,2
n343,location,2
n344,means,2
n345,phrase,2
n346,combination,2
n347,activity,2
n348,past,2
n349,present,2
n350,locality,2
n351,Kazal,2
n352,flow,2
n353,event,2
n354,changes,2
n355,concept,2
n356,paths,2
n357,path,2
n358,definition,2
n359,energy,2
n360,Exchange,2
n361,Marina Cortez,2
n362,collaborators,2
n363,search,2
n364,period,2
n365,Roberto Manuever,2
n366,professor,2
n367,law,2
n368,efforts,2
n369,influence,2
n370,fundamentals,2
n371,order,2
n372,words,2
n373,property,2
n374,complexity,2
n375,word,2
n376,properties,2
n377,detail,2
n378,models,2
n379,sports,2
n380,affect,2
n381,action,2
n382,distance,2
n383,construct,2
n384,humans,2
n385,survival,2
n386,therapist,2
n387,definitions,2
n388,field,2
n389,mixture,2
n390,apparatus,2
n391,commute,2
n392,operators,2
n393,fields,2
n394,impact,2
n395,John Bell,2
n396,entanglement,2
n397,B,2
n398,choice,2
n399,outcome,2
n400,today,2
n401,Bell,2
n402,inequality,2
n403,correlation,2
n404,functions,2
n405,correlations,2
n406,pairs,2
n407,vocality,2
n408,light,2
n409,number,2
n410,kilometers,2
n411,the unsolved revolution,2
n412,ant,2
n413,colony,2
n414,ones,2
n415,quantum gravity,2
n416,approaches,2
n417,problems,2
n418,situation,2
n419,opportunity,2
n420,rights,2
n421,dozen,2
n422,attempts,2
n423,issue,2
n424,reaction,2
n425,communities,2
n426,metaphor,2
n427,Eric,2
n428,hills,2
n429,landscape,2
n430,rocks,2
n431,valleys,2
n432,party,2
n433,talk,2
n434,spirit,2
n435,Sean Carroll,2
n436,fan,2
n437,worlds,2
n438,interpretation,2
n439,troublemaker,2
n440,Sean,2
n441,commentary,2
n442,guys,2
n443,debating,2
n444,I. He,2
n445,representative,2
n446,ambassador,2
n447,public,2
n448,philosophy,2
n449,homework,2
n450,arguments,2
n451,issues,2
n452,podcast,2
n453,perspective,2
n454,estate,2
n455,line,2
n456,thoughts,2
n457,anger,2
n458,principles,2
n459,use,2
n460,agenda,2
n461,Everett,2
n462,derivation,2
n463,bone,2
n464,rule,2
n465,probabilities,2
n466,probability,2
n467,cuts,2
n468,Schrodinger,2
n469,state,2
n470,row,2
n471,experimentalists,2
n472,sight,2
n473,Francis,2
n474,branch,2
n475,branches,2
n476,numbers,2
n477,frequenters,2
n478,possibilities,2
n479,expert,2
n480,proposal,2
n481,decoherence,2
n482,Everet,2
n483,versions,2
n484,area,2
n485,chapters,2
n486,Chapter Ten,2
n487,Chapter 11,2
n488,group,2
n489,philosophies,2
n490,Oxford Simon Sanders,2
n491,David Wallace,2
n492,Harvey Brown,2
n493,salivates,2
n494,multiverse,2
n495,bets,2
n496,decision,2
n497,gambling,2
n498,debate,2
n499,experts,2
n500,Simon,2
n501,locating,2
n502,observers,2
n503,achievements,2
n504,lesson,2
n505,model,2
n506,class,2
n507,postulates,2
n508,candidates,2
n509,papers,2
n510,powers,2
n511,", The Trouble with Physics",2
n512,rigors,2
n513,trouble,2
n514,fault,2
n515,author,2
n516,claim,2
n517,reviewers,2
n518,topic,2
n519,Cambridge,2
n520,Massachusetts,2
n521,Harvard,2
n522,campus,2
n523,Andy Strachman Jr.,2
n524,symmetries,2
n525,masses,2
n526,charges,2
n527,constant,2
n528,solutions,2
n529,phenomenology,2
n530,manifolds,2
n531,friends,2
n532,hundreds,2
n533,thousands,2
n534,Andy,2
n535,curvature,2
n536,paper,2
n537,Toreson,2
n538,loads,2
n539,anecdote,2
n540,worry,2
n541,general,2
n542,biology,2
n543,art,2
n544,palace,2
n545,fitness,2
n546,DNA,2
n547,sequences,2
n548,proteins,2
n549,species,2
n550,scenario,2
n551,parameters,2
n552,manner,2
n553,selection,2
n554,goal,2
n555,The Life of the Cosmos,2
n556,ensemble,2
n557,universes,2
n558,descent,2
n559,extent,2
n560,maximum,2
n561,tests,2
n562,falsifications,2
n563,90s,2
n564,Lupine Gravity,2
n565,inventors,2
n566,background,2
n567,lupine,2
n568,strings,2
n569,troops,2
n570,Nutt,2
n571,loops,2
n572,works,2
n573,ethics,2
n574,draft,2
n575,methodology,2
n576,remnants,2
n577,chapter,2
n578,studies,2
n579,suggestion,2
n580,individuals,2
n581,writing,2
n582,program,2
n583,worthwhile,2
n584,exception,2
n585,DMCA,2
n586,CFT Woodcourt,2
n587,diagnosis,2
n588,critique,2
n589,names,2
n590,misunderstood,2
n591,message,2
n592,disinterest,2
n593,interest,2
n594,conferences,2
n595,conference,2
n596,triangulations,2
n597,causal,2
n598,week,2
n599,workshop,2
n600,summer,2
n601,organizers,2
n602,speakers,2
n603,honor,2
n604,Lee,2
n605,thanks,2
n606,Thanks,2
n607,cash,2
n608,app,2
n609,Scolex,2
n610,ten dollars,2
n611,dollars,2
n612,organization,2
n613,minds,2
n614,innovators,2
n615,tomorrow,2
n616,YouTube,2
n617,Spotify,2
n618,Patrón,2
n619,Twitter,2
n620,power,2
n621,listening,2
n622,Lee Smolin_ Quantum Gravity and Einstein_s Unfinished Revolution _ Lex Fridman Podcast _79,1
