id,source,target,value
e0,n1058,n0,wonderful
e1,n1058,n1,
e2,n1058,n2,different
e3,n1058,n3,
e4,n1058,n4,craziest
e5,n1058,n5,intelligent
e6,n1058,n6,interesting
e7,n1058,n7,little
e8,n1058,n8,
e9,n1058,n9,
e10,n1058,n10,
e11,n1058,n11,
e12,n1058,n12,
e13,n1058,n13,
e14,n1058,n14,
e15,n1058,n15,
e16,n1058,n16,curative
e17,n1058,n17,
e18,n1058,n18,
e19,n1058,n19,
e20,n1058,n20,
e21,n1058,n21,
e22,n1058,n22,clever
e23,n1058,n23,
e24,n1058,n24,
e25,n1058,n25,
e26,n1058,n26,
e27,n1058,n27,
e28,n1058,n28,
e29,n1058,n29,social
e30,n1058,n30,
e31,n1058,n31,
e32,n1058,n32,
e33,n1058,n33,next
e34,n1058,n34,
e35,n1058,n35,
e36,n1058,n36,major
e37,n1058,n37,
e38,n1058,n38,
e39,n1058,n39,
e40,n1058,n40,
e41,n1058,n41,multicellular
e42,n1058,n42,
e43,n1058,n43,
e44,n1058,n44,great
e45,n1058,n45,
e46,n1058,n46,rich
e47,n1058,n47,specific
e48,n1058,n48,
e49,n1058,n49,other
e50,n1058,n50,classical
e51,n1058,n51,
e52,n1058,n52,miraculous
e53,n1058,n53,
e54,n1058,n54,other
e55,n1058,n55,certain
e56,n1058,n56,female
e57,n1058,n57,
e58,n1058,n58,
e59,n1058,n59,evolutionary
e60,n1058,n60,ancient
e61,n1058,n61,
e62,n1058,n62,
e63,n1058,n63,evolutionary
e64,n1058,n64,abstract
e65,n1058,n65,
e66,n1058,n66,evolutionary
e67,n1058,n67,great
e68,n1058,n68,
e69,n1058,n69,
e70,n1058,n70,
e71,n1058,n71,
e72,n1058,n72,costly
e73,n1058,n73,
e74,n1058,n74,
e75,n1058,n75,sexual
e76,n1058,n76,
e77,n1058,n77,
e78,n1058,n78,old
e79,n1058,n79,
e80,n1058,n80,
e81,n1058,n81,big
e82,n1058,n82,
e83,n1058,n83,
e84,n1058,n84,
e85,n1058,n85,good
e86,n1058,n86,
e87,n1058,n87,
e88,n1058,n88,cognitive
e89,n1058,n89,
e90,n1058,n90,
e91,n1058,n91,
e92,n1058,n92,different
e93,n1058,n93,
e94,n1058,n94,
e95,n1058,n95,
e96,n1058,n96,
e97,n1058,n97,sensitive
e98,n1058,n98,human
e99,n1058,n99,
e100,n1058,n100,early
e101,n1058,n101,
e102,n1058,n102,
e103,n1058,n103,common
e104,n1058,n104,interesting
e105,n1058,n105,back
e106,n1058,n106,
e107,n1058,n107,
e108,n1058,n108,little
e109,n1058,n109,
e110,n1058,n110,
e111,n1058,n111,huge
e112,n1058,n112,modern
e113,n1058,n113,
e114,n1058,n114,
e115,n1058,n115,popular
e116,n1058,n116,
e117,n1058,n117,
e118,n1058,n118,other
e119,n1058,n119,
e120,n1058,n120,
e121,n1058,n121,
e122,n1058,n122,limited
e123,n1058,n123,
e124,n1058,n124,
e125,n1058,n125,little
e126,n1058,n126,
e127,n1058,n127,structural
e128,n1058,n128,
e129,n1058,n129,
e130,n1058,n130,
e131,n1058,n131,impaired
e132,n1058,n132,basic
e133,n1058,n133,
e134,n1058,n134,
e135,n1058,n135,
e136,n1058,n136,cerebral
e137,n1058,n137,
e138,n1058,n138,
e139,n1058,n139,physical
e140,n1058,n140,useful
e141,n1058,n141,
e142,n1058,n142,
e143,n1058,n143,Western
e144,n1058,n144,
e145,n1058,n145,
e146,n1058,n146,
e147,n1058,n147,
e148,n1058,n148,
e149,n1058,n149,physical
e150,n1058,n150,real
e151,n1058,n151,
e152,n1058,n152,
e153,n1058,n153,little
e154,n1058,n154,rhetorical
e155,n1058,n155,
e156,n1058,n156,
e157,n1058,n157,early
e158,n1058,n158,
e159,n1058,n159,
e160,n1058,n160,
e161,n1058,n161,human
e162,n1058,n162,
e163,n1058,n163,interesting
e164,n1058,n164,
e165,n1058,n165,
e166,n1058,n166,
e167,n1058,n167,effective
e168,n1058,n168,interesting
e169,n1058,n169,particular
e170,n1058,n170,certain
e171,n1058,n171,many
e172,n1058,n172,nervous
e173,n1058,n173,physical
e174,n1058,n174,
e175,n1058,n175,
e176,n1058,n176,
e177,n1058,n177,
e178,n1058,n178,
e179,n1058,n179,
e180,n1058,n180,
e181,n1058,n181,
e182,n1058,n182,
e183,n1058,n183,beautiful
e184,n1058,n184,
e185,n1058,n185,human
e186,n1058,n186,
e187,n1058,n187,mental
e188,n1058,n188,squeaky
e189,n1058,n189,
e190,n1058,n190,
e191,n1058,n191,nervous
e192,n1058,n192,mental
e193,n1058,n193,
e194,n1058,n194,
e195,n1058,n195,
e196,n1058,n196,instinctual
e197,n1058,n197,
e198,n1058,n198,
e199,n1058,n199,compelling
e200,n1058,n200,different
e201,n1058,n201,
e202,n1058,n202,human
e203,n1058,n203,
e204,n1058,n204,
e205,n1058,n205,
e206,n1058,n206,
e207,n1058,n207,ancient
e208,n1058,n208,moral
e209,n1058,n209,moral
e210,n1058,n210,
e211,n1058,n211,
e212,n1058,n212,
e213,n1058,n213,other
e214,n1058,n214,
e215,n1058,n215,
e216,n1058,n216,
e217,n1058,n217,
e218,n1058,n218,
e219,n1058,n219,salty
e220,n1058,n220,
