id,name,group
n0,conversation,2
n1,Lisa Feldman Barrett,1
n2,brain,2
n3,today,2
n4,question,2
n5,life,2
n6,universe,2
n7,planet,2
n8,Think,2
n9,probabilities,2
n10,scientists,2
n11,hopes,2
n12,dreams,2
n13,case,2
n14,Gary,2
n15,comfort,2
n16,curiosity,2
n17,Resource,2
n18,stress,2
n19,mushrooms,2
n20,octopuses,2
n21,kinds,2
n22,stuff,2
n23,realm,2
n24,purpose,2
n25,speck,2
n26,relief,2
n27,intelligence,2
n28,Earth,2
n29,thing,2
n30,terms,2
n31,odds,2
n32,magic,2
n33,person,2
n34,husband,2
n35,magician,2
n36,steps,2
n37,course,2
n38,evolution,2
n39,beginning,2
n40,step,2
n41,organisms,2
n42,likelihood,2
n43,menu,2
n44,answer,2
n45,chance,2
n46,complexity,2
n47,kind,2
n48,dolphins,2
n49,humans,2
n50,category,2
n51,range,2
n52,creatures,2
n53,earth,2
n54,animals,2
n55,types,2
n56,birds,2
n57,Bower,2
n58,dances,2
n59,story,2
n60,people,2
n61,Birds,2
n62,mating,2
n63,purposes,2
n64,concept,2
n65,beauty,2
n66,arguments,2
n67,book,2
n68,Richard,2
n69,Yale,2
n70,Argyle,2
n71,argument,2
n72,displays,2
n73,fitness,2
n74,Darwin,2
n75,selection,2
n76,reasons,2
n77,observation,2
n78,idea,2
n79,meaning,2
n80,pleasure,2
n81,pressure,2
n82,woman,2
n83,studies,2
n84,aspect,2
n85,reason,2
n86,ocean,2
n87,sky,2
n88,science,2
n89,fiction,2
n90,stories,2
n91,guess,2
n92,ways,2
n93,form,2
n94,lots,2
n95,structures,2
n96,menagerie,2
n97,way,2
n98,brains,2
n99,mechanisms,2
n100,ancestors,2
n101,example,2
n102,difference,2
n103,ancestor,2
n104,comparison,2
n105,limbs,2
n106,color,2
n107,texture,2
n108,crevice,2
n109,superhero,2
n110,abilities,2
n111,number,2
n112,animal,2
n113,work,2
n114,emotions,2
n115,view,2
n116,thread,2
n117,homeostasis,2
n118,vertebrates,2
n119,backbones,2
n120,abundance,2
n121,ability,2
n122,sense,2
n123,fact,2
n124,network,2
n125,feature,2
n126,coordination,2
n127,features,2
n128,primate,2
n129,size,2
n130,chimpanzee,2
n131,human,2
n132,blueprint,2
n133,embryo,2
n134,vertebrate,2
n135,the cerebral cortex,2
n136,cortex,2
n137,capacity,2
n138,civilizations,2
n139,world,2
n140,tools,2
n141,line,2
n142,sand,2
n143,countries,2
n144,citizens,2
n145,immigrants,2
n146,ideas,2
n147,citizen,2
n148,immigrant,2
n149,reality,2
n150,effects,2
n151,Dawkins,2
n152,memes,2
n153,canvas,2
n154,tool,2
n155,Michael Pollan,2
n156,the Botany of Desire,2
n157,books,2
n158,botany,2
n159,gardening,2
n160,plants,2
n161,gut,2
n162,propagation,2
n163,device,2
n164,seeds,2
n165,tomatoes,2
n166,Lisa,2
n167,communicator,2
n168,worldview,2
n169,aspects,2
n170,sets,2
n171,species,2
n172,systems,2
n173,means,2
n174,chemicals,2
n175,termites,2
n176,ants,2
n177,bees,2
n178,chemical,2
n179,Mammals,2
n180,rodents,2
n181,scent,2
n182,audition,2
n183,vision,2
n184,Primates,2
n185,primates,2
n186,touch,2
n187,words,2
n188,voice,2
n189,face,2
n190,effect,2
n191,system,2
n192,telepathy,2
n193,heart,2
n194,rate,2
n195,breathing,2
n196,actions,2
n197,Plato,2
n198,forces,2
n199,notion,2
n200,parts,2
n201,description,2
n202,psyche,2
n203,moment,2
n204,mind,2
n205,scholars,2
n206,soul,2
n207,Greece,2
n208,behavior,2
n209,responsibility,2
n210,metaphor,2
