id,source,target,value
e0,n1046,n0,previous
e1,n1046,n1,
e2,n1046,n2,
e3,n1046,n3,genuine
e4,n1046,n4,
e5,n1046,n5,good
e6,n1046,n6,little
e7,n1046,n7,
e8,n1046,n8,
e9,n1046,n9,
e10,n1046,n10,
e11,n1046,n11,
e12,n1046,n12,own
e13,n1046,n13,big
e14,n1046,n14,first
e15,n1046,n15,romantic
e16,n1046,n16,academic
e17,n1046,n17,
e18,n1046,n18,
e19,n1046,n19,
e20,n1046,n20,
e21,n1046,n21,
e22,n1046,n22,
e23,n1046,n23,
e24,n1046,n24,
e25,n1046,n25,assistant
e26,n1046,n26,new
e27,n1046,n27,
e28,n1046,n28,
e29,n1046,n29,
e30,n1046,n30,
e31,n1046,n31,
e32,n1046,n32,
e33,n1046,n33,
e34,n1046,n34,assistant
e35,n1046,n35,
e36,n1046,n36,many
e37,n1046,n37,inner
e38,n1046,n38,certain
e39,n1046,n39,
e40,n1046,n40,first
e41,n1046,n41,Japanese
e42,n1046,n42,
e43,n1046,n43,
e44,n1046,n44,developmental
e45,n1046,n45,
e46,n1046,n46,early
e47,n1046,n47,
e48,n1046,n48,
e49,n1046,n49,
e50,n1046,n50,good
e51,n1046,n51,good
e52,n1046,n52,nice
e53,n1046,n53,second
e54,n1046,n54,
e55,n1046,n55,
e56,n1046,n56,easygoing
e57,n1046,n57,big
e58,n1046,n58,
e59,n1046,n59,eligible
e60,n1046,n60,
e61,n1046,n61,
e62,n1046,n62,crushed
e63,n1046,n63,
e64,n1046,n64,beautiful
e65,n1046,n65,
e66,n1046,n66,
e67,n1046,n67,
e68,n1046,n68,
e69,n1046,n69,close
e70,n1046,n70,net
e71,n1046,n71,
e72,n1046,n72,real
e73,n1046,n73,
e74,n1046,n74,
e75,n1046,n75,
e76,n1046,n76,
e77,n1046,n77,
e78,n1046,n78,
e79,n1046,n79,old
e80,n1046,n80,
e81,n1046,n81,
e82,n1046,n82,
e83,n1046,n83,brief
e84,n1046,n84,
e85,n1046,n85,more
e86,n1046,n86,
e87,n1046,n87,
e88,n1046,n88,
e89,n1046,n89,
e90,n1046,n90,first
e91,n1046,n91,
e92,n1046,n92,
e93,n1046,n93,
e94,n1046,n94,
e95,n1046,n95,
e96,n1046,n96,female
e97,n1046,n97,
e98,n1046,n98,good
e99,n1046,n99,dominant
e100,n1046,n100,social
e101,n1046,n101,
e102,n1046,n102,
e103,n1046,n103,
e104,n1046,n104,
e105,n1046,n105,
e106,n1046,n106,
e107,n1046,n107,
e108,n1046,n108,
e109,n1046,n109,
e110,n1046,n110,
e111,n1046,n111,
e112,n1046,n112,
e113,n1046,n113,
e114,n1046,n114,
e115,n1046,n115,majestic
e116,n1046,n116,own
e117,n1046,n117,
e118,n1046,n118,little
e119,n1046,n119,Greek
e120,n1046,n120,
e121,n1046,n121,
e122,n1046,n122,
e123,n1046,n123,20th
e124,n1046,n124,
e125,n1046,n125,
e126,n1046,n126,
e127,n1046,n127,first
e128,n1046,n128,
e129,n1046,n129,
e130,n1046,n130,big
e131,n1046,n131,
e132,n1046,n132,several
e133,n1046,n133,
e134,n1046,n134,
e135,n1046,n135,
e136,n1046,n136,other
e137,n1046,n137,big
e138,n1046,n138,
e139,n1046,n139,bodily
e140,n1046,n140,nondescript
e141,n1046,n141,
e142,n1046,n142,first
e143,n1046,n143,safe
e144,n1046,n144,
e145,n1046,n145,
e146,n1046,n146,
e147,n1046,n147,
e148,n1046,n148,
e149,n1046,n149,
e150,n1046,n150,whole
e151,n1046,n151,next
e152,n1046,n152,
e153,n1046,n153,
e154,n1046,n154,old
e155,n1046,n155,
e156,n1046,n156,
e157,n1046,n157,
e158,n1046,n158,
e159,n1046,n159,
e160,n1046,n160,long
e161,n1046,n161,
e162,n1046,n162,
e163,n1046,n163,horrible
e164,n1046,n164,
e165,n1046,n165,
e166,n1046,n166,
e167,n1046,n167,
e168,n1046,n168,
e169,n1046,n169,
e170,n1046,n170,
e171,n1046,n171,
e172,n1046,n172,
e173,n1046,n173,
e174,n1046,n174,
e175,n1046,n175,
e176,n1046,n176,
e177,n1046,n177,
e178,n1046,n178,nice
e179,n1046,n179,
e180,n1046,n180,
e181,n1046,n181,
e182,n1046,n182,
e183,n1046,n183,
e184,n1046,n184,
e185,n1046,n185,bad
e186,n1046,n186,graduate
e187,n1046,n187,
e188,n1046,n188,little
e189,n1046,n189,
e190,n1046,n190,
e191,n1046,n191,
e192,n1046,n192,
e193,n1046,n193,
e194,n1046,n194,
e195,n1046,n195,
e196,n1046,n196,
e197,n1046,n197,
e198,n1046,n198,
e199,n1046,n199,
e200,n1046,n200,long
e201,n1046,n201,
e202,n1046,n202,
e203,n1046,n203,
e204,n1046,n204,whole
e205,n1046,n205,
e206,n1046,n206,
e207,n1046,n207,
e208,n1046,n208,egocentric
e209,n1046,n209,
e210,n1046,n210,
e211,n1046,n211,brief
e212,n1046,n212,
e213,n1046,n213,30th
e214,n1046,n214,
e215,n1046,n215,
e216,n1046,n216,first
e217,n1046,n217,
e218,n1046,n218,great
e219,n1046,n219,physical
e220,n1046,n220,
e221,n1046,n221,
e222,n1046,n222,
e223,n1046,n223,beautiful
e224,n1046,n224,
e225,n1046,n225,
e226,n1046,n226,powerful
e227,n1046,n227,blue
e228,n1046,n228,huge
e229,n1046,n229,affective
e230,n1046,n230,human
e231,n1046,n231,
e232,n1046,n232,
e233,n1046,n233,
e234,n1046,n234,
e235,n1046,n235,special
e236,n1046,n236,
e237,n1046,n237,human
e238,n1046,n238,weird
e239,n1046,n239,little
e240,n1046,n240,
e241,n1046,n241,
e242,n1046,n242,
e243,n1046,n243,
e244,n1046,n244,
e245,n1046,n245,interesting
e246,n1046,n246,negative
e247,n1046,n247,positive
e248,n1046,n248,
e249,n1046,n249,
e250,n1046,n250,wonderful
e251,n1046,n251,
e252,n1046,n252,
e253,n1046,n253,
e254,n1046,n254,
e255,n1046,n255,
e256,n1046,n256,
e257,n1046,n257,
e258,n1046,n258,
e259,n1046,n259,actual
e260,n1046,n260,optimal
e261,n1046,n261,positive
e262,n1046,n262,
e263,n1046,n263,
e264,n1046,n264,
e265,n1046,n265,special
e266,n1046,n266,single
e267,n1046,n267,adaptive
e268,n1046,n268,
e269,n1046,n269,many
e270,n1046,n270,fucking
e271,n1046,n271,
e272,n1046,n272,romantic
e273,n1046,n273,
e274,n1046,n274,
e275,n1046,n275,
e276,n1046,n276,
e277,n1046,n277,
e278,n1046,n278,own
e279,n1046,n279,own
e280,n1046,n280,certain
e281,n1046,n281,useful
e282,n1046,n282,actual
e283,n1046,n283,
e284,n1046,n284,
e285,n1046,n285,
e286,n1046,n286,
e287,n1046,n287,little
e288,n1046,n288,
e289,n1046,n289,little
e290,n1046,n290,own
e291,n1046,n291,
e292,n1046,n292,
e293,n1046,n293,deep
e294,n1046,n294,
e295,n1046,n295,
e296,n1046,n296,
e297,n1046,n297,
e298,n1046,n298,
e299,n1046,n299,
e300,n1046,n300,
e301,n1046,n301,
e302,n1046,n302,
e303,n1046,n303,
e304,n1046,n304,little
e305,n1046,n305,
e306,n1046,n306,
e307,n1046,n307,
e308,n1046,n308,first
e309,n1046,n309,
e310,n1046,n310,
e311,n1046,n311,
e312,n1046,n312,giant
e313,n1046,n313,
e314,n1046,n314,
e315,n1046,n315,
e316,n1046,n316,
e317,n1046,n317,
e318,n1046,n318,
e319,n1046,n319,
e320,n1046,n320,cool
e321,n1046,n321,
e322,n1046,n322,little
e323,n1046,n323,strong
e324,n1046,n324,
e325,n1046,n325,
e326,n1046,n326,
e327,n1046,n327,romantic
e328,n1046,n328,Western
e329,n1046,n329,Western
e330,n1046,n330,
e331,n1046,n331,
e332,n1046,n332,own
e333,n1046,n333,
e334,n1046,n334,secret
e335,n1046,n335,
e336,n1046,n336,
e337,n1046,n337,
e338,n1046,n338,
e339,n1046,n339,
e340,n1046,n340,
e341,n1046,n341,individual
e342,n1046,n342,deep
e343,n1046,n343,
e344,n1046,n344,
e345,n1046,n345,
e346,n1046,n346,
e347,n1046,n347,
e348,n1046,n348,
e349,n1046,n349,
e350,n1046,n350,first
e351,n1046,n351,late
e352,n1046,n352,
e353,n1046,n353,rudimentary
e354,n1046,n354,little
e355,n1046,n355,richest
e356,n1046,n356,
e357,n1046,n357,
e358,n1046,n358,
e359,n1046,n359,
e360,n1046,n360,
e361,n1046,n361,
e362,n1046,n362,academic
e363,n1046,n363,greatest
e364,n1046,n364,biggest
e365,n1046,n365,
e366,n1046,n366,
e367,n1046,n367,everyday
e368,n1046,n368,
e369,n1046,n369,mundane
e370,n1046,n370,
e371,n1046,n371,
e372,n1046,n372,
e373,n1046,n373,own
e374,n1046,n374,good
e375,n1046,n375,
e376,n1046,n376,
e377,n1046,n377,
e378,n1046,n378,popular
e379,n1046,n379,
e380,n1046,n380,
e381,n1046,n381,happy
e382,n1046,n382,
e383,n1046,n383,final
e384,n1046,n384,
e385,n1046,n385,
e386,n1046,n386,
e387,n1046,n387,
e388,n1046,n388,small
e389,n1046,n389,
e390,n1046,n390,
e391,n1046,n391,
e392,n1046,n392,
e393,n1046,n393,personal
e394,n1046,n394,
e395,n1046,n395,personal
e396,n1046,n396,
e397,n1046,n397,little
e398,n1046,n398,
e399,n1046,n399,
e400,n1046,n400,
e401,n1046,n401,
e402,n1046,n402,good
e403,n1046,n403,fascinating
e404,n1046,n404,human
e405,n1046,n405,
e406,n1046,n406,
e407,n1046,n407,little
e408,n1046,n408,
e409,n1046,n409,
e410,n1046,n410,first
e411,n1046,n411,
e412,n1046,n412,better
e413,n1046,n413,
e414,n1046,n414,
e415,n1046,n415,
e416,n1046,n416,
e417,n1046,n417,first
e418,n1046,n418,
e419,n1046,n419,
e420,n1046,n420,nervous
e421,n1046,n421,
e422,n1046,n422,
e423,n1046,n423,impeccable
e424,n1046,n424,
e425,n1046,n425,
e426,n1046,n426,
e427,n1046,n427,
e428,n1046,n428,
e429,n1046,n429,terrible
e430,n1046,n430,
e431,n1046,n431,corporeal
e432,n1046,n432,
e433,n1046,n433,
e434,n1046,n434,
e435,n1046,n435,
e436,n1046,n436,
e437,n1046,n437,
e438,n1046,n438,
e439,n1046,n439,solar
e440,n1046,n440,
