id,name,group
n0,conversation,2
n1,Lisa Feldman Barrett,1
n2,comments,2
n3,people,2
n4,fact,2
n5,ones,2
n6,fan,2
n7,husband,2
n8,Dan,2
n9,programmer,2
n10,Musician,2
n11,man,2
n12,heart,2
n13,question,2
n14,love,2
n15,story,2
n16,job,2
n17,Penn State University,2
n18,Pennsylvania,2
n19,middle,2
n20,mountains,2
n21,hours,2
n22,Philadelphia,2
n23,New York,2
n24,Washington,2
n25,professors,2
n26,friends,2
n27,student,2
n28,date,2
n29,department,2
n30,recipe,2
n31,disaster,2
n32,age,2
n33,lab,2
n34,professor,2
n35,sex,2
n36,months,2
n37,life,2
n38,point,2
n39,bitch,2
n40,thing,2
n41,sushi,2
n42,chef,2
n43,town,2
n44,state,2
n45,college,2
n46,nineties,2
n47,pizza,2
n48,shop,2
n49,sub,2
n50,bagel,2
n51,coffee,2
n52,restaurant,2
n53,son,2
n54,Japanese,2
n55,lessons,2
n56,guy,2
n57,party,2
n58,goal,2
n59,bachelor,2
n60,mile,2
n61,radius,2
n62,velvet,2
n63,burgundy,2
n64,dress,2
n65,personals,2
n66,ads,2
n67,paper,2
n68,newspaper,2
n69,friend,2
n70,news,2
n71,anonymous,2
n72,address,2
n73,lag,2
n74,bulletin,2
n75,board,2
n76,Internet,2
n77,delay,2
n78,couple,2
n79,days,2
n80,web,2
n81,pictures,2
n82,ASCII,2
n83,format,2
n84,ratio,2
n85,men,2
n86,women,2
n87,academics,2
n88,government,2
n89,AOL,2
n90,person,2
n91,scientist,2
n92,NASA,2
n93,holiday,2
n94,position,2
n95,career,2
n96,partners,2
n97,phone,2
n98,idea,2
n99,woman,2
n100,psychologist,2
n101,training,2
n102,roles,2
n103,level,2
n104,naiveté,2
n105,lingerie,2
n106,sister,2
n107,laundry,2
n108,banker,2
n109,Singapore,2
n110,announcement,2
n111,analogy,2
n112,a. Character,2
n113,The Fountainhead,2
n114,good,2
n115,scene,2
n116,ad,2
n117,course,2
n118,Greek,2
n119,chorus,2
n120,responses,2
n121,pitch,2
n122,Dand,2
n123,wedding,2
n124,anniversary,2
n125,exchanges,2
n126,leather,2
n127,book,2
n128,location,2
n129,lots,2
n130,pot,2
n131,gumbo,2
n132,bottles,2
n133,wine,2
n134,soulmate,2
n135,week,2
n136,email,2
n137,house,2
n138,care,2
n139,stuff,2
n140,kind,2
n141,thanks,2
n142,slate,2
n143,grant,2
n144,applications,2
n145,grants,2
n146,application,2
n147,door,2
n148,emails,2
n149,text,2
n150,weekend,2
n151,night,2
n152,Lisa,2
n153,Yom Kippur,2
n154,Jewish,2
n155,Atonement,2
n156,cookies,2
n157,breakfast,2
n158,end,2
n159,times,2
n160,conversations,2
n161,fax,2
n162,machines,2
n163,photograph,2
n164,secretary,2
n165,priority,2
n166,mail,2
n167,Madeleine,2
n168,shorts,2
n169,Bahamas,2
n170,ex,2
n171,-,2
n172,wife,2
n173,jackpot,2
n174,dates,2
n175,equivalent,2
n176,flight,2
n177,voice,2
n178,picture,2
n179,plane,2
n180,office,2
n181,colleagues,2
n182,Kevin,2
n183,pool,2
n184,hair,2
n185,way,2
n186,school,2
n187,UMass Amherst,2
n188,airport,2
n189,concern,2
n190,fate,2
n191,number,2
n192,cornfield,2
n193,car,2
n194,minutes,2
n195,dark,2
n196,telephone,2
n197,shot,2
n198,risk,2
n199,commitment,2
n200,distance,2
n201,relationships,2
n202,effort,2
n203,several billion,2
n204,world,2
n205,thousands,2
n206,millions,2
n207,curvature,2
n208,space,2
n209,stickiness,2
n210,falling,2
n211,moment,2
n212,State College,2
n213,birthday,2
