id,source,target,value
e0,n1335,n0,amazing
e1,n1335,n1,
e2,n1335,n2,
e3,n1335,n3,beautiful
e4,n1335,n4,
e5,n1335,n5,countless
e6,n1335,n6,most
e7,n1335,n7,better
e8,n1335,n8,
e9,n1335,n9,much
e10,n1335,n10,
e11,n1335,n11,
e12,n1335,n12,
e13,n1335,n13,human
e14,n1335,n14,
e15,n1335,n15,
e16,n1335,n16,
e17,n1335,n17,ancient
e18,n1335,n18,
e19,n1335,n19,less
e20,n1335,n20,
e21,n1335,n21,
e22,n1335,n22,
e23,n1335,n23,favorite
e24,n1335,n24,
e25,n1335,n25,
e26,n1335,n26,beautiful
e27,n1335,n27,
e28,n1335,n28,poor
e29,n1335,n29,
e30,n1335,n30,
e31,n1335,n31,
e32,n1335,n32,
e33,n1335,n33,next
e34,n1335,n34,
e35,n1335,n35,
e36,n1335,n36,
e37,n1335,n37,
e38,n1335,n38,
e39,n1335,n39,harsh
e40,n1335,n40,
e41,n1335,n41,
e42,n1335,n42,
e43,n1335,n43,whole
e44,n1335,n44,other
e45,n1335,n45,beautiful
e46,n1335,n46,
e47,n1335,n47,beautiful
e48,n1335,n48,
e49,n1335,n49,
e50,n1335,n50,
e51,n1335,n51,joyful
e52,n1335,n52,famous
e53,n1335,n53,emotional
e54,n1335,n54,Greek
e55,n1335,n55,
e56,n1335,n56,fast
e57,n1335,n57,
e58,n1335,n58,
e59,n1335,n59,
e60,n1335,n60,
e61,n1335,n61,
e62,n1335,n62,ordinary
e63,n1335,n63,clear
e64,n1335,n64,whole
e65,n1335,n65,
e66,n1335,n66,
e67,n1335,n67,
e68,n1335,n68,
e69,n1335,n69,young
e70,n1335,n70,
e71,n1335,n71,
e72,n1335,n72,earliest
e73,n1335,n73,
e74,n1335,n74,
e75,n1335,n75,
e76,n1335,n76,
e77,n1335,n77,
e78,n1335,n78,
e79,n1335,n79,
e80,n1335,n80,beautiful
e81,n1335,n81,
e82,n1335,n82,
e83,n1335,n83,human
e84,n1335,n84,few
e85,n1335,n85,
e86,n1335,n86,
e87,n1335,n87,
e88,n1335,n88,much
e89,n1335,n89,
e90,n1335,n90,common
e91,n1335,n91,
e92,n1335,n92,evolutionary
e93,n1335,n93,dimensional
e94,n1335,n94,
e95,n1335,n95,
e96,n1335,n96,teen
e97,n1335,n97,
e98,n1335,n98,American
e99,n1335,n99,
e100,n1335,n100,
e101,n1335,n101,
e102,n1335,n102,
e103,n1335,n103,same
e104,n1335,n104,
e105,n1335,n105,
e106,n1335,n106,
e107,n1335,n107,better
e108,n1335,n108,
e109,n1335,n109,
e110,n1335,n110,certain
e111,n1335,n111,refined
e112,n1335,n112,
e113,n1335,n113,
e114,n1335,n114,reptilian
e115,n1335,n115,many
e116,n1335,n116,English
e117,n1335,n117,
e118,n1335,n118,
e119,n1335,n119,symmetric
e120,n1335,n120,cognitive
e121,n1335,n121,
e122,n1335,n122,
e123,n1335,n123,rhythmic
e124,n1335,n124,common
e125,n1335,n125,strong
e126,n1335,n126,
e127,n1335,n127,higher
e128,n1335,n128,
e129,n1335,n129,
e130,n1335,n130,early
e131,n1335,n131,
e132,n1335,n132,
e133,n1335,n133,complex
e134,n1335,n134,big
e135,n1335,n135,
e136,n1335,n136,
e137,n1335,n137,ruthless
e138,n1335,n138,
e139,n1335,n139,synaptic
e140,n1335,n140,exotic
e141,n1335,n141,few
e142,n1335,n142,human
e143,n1335,n143,ancient
e144,n1335,n144,sequential
e145,n1335,n145,tectonic
e146,n1335,n146,
e147,n1335,n147,cognitive
e148,n1335,n148,accidental
e149,n1335,n149,general
e150,n1335,n150,
e151,n1335,n151,
e152,n1335,n152,artistic
e153,n1335,n153,
e154,n1335,n154,amazing
e155,n1335,n155,
e156,n1335,n156,
e157,n1335,n157,
e158,n1335,n158,
e159,n1335,n159,little
e160,n1335,n160,
e161,n1335,n161,
e162,n1335,n162,huge
e163,n1335,n163,
e164,n1335,n164,different
e165,n1335,n165,emotional
e166,n1335,n166,
e167,n1335,n167,
e168,n1335,n168,
e169,n1335,n169,
e170,n1335,n170,
e171,n1335,n171,full
e172,n1335,n172,
e173,n1335,n173,
e174,n1335,n174,
e175,n1335,n175,
e176,n1335,n176,
e177,n1335,n177,
e178,n1335,n178,
e179,n1335,n179,
e180,n1335,n180,
e181,n1335,n181,fundamental
e182,n1335,n182,macabre
e183,n1335,n183,cognitive
e184,n1335,n184,
e185,n1335,n185,
e186,n1335,n186,many
e187,n1335,n187,
e188,n1335,n188,
e189,n1335,n189,
e190,n1335,n190,other
e191,n1335,n191,
e192,n1335,n192,
e193,n1335,n193,
e194,n1335,n194,dead
e195,n1335,n195,
e196,n1335,n196,
e197,n1335,n197,
e198,n1335,n198,
e199,n1335,n199,
e200,n1335,n200,incredible
e201,n1335,n201,French
e202,n1335,n202,
e203,n1335,n203,English
e204,n1335,n204,entire
e205,n1335,n205,
e206,n1335,n206,
e207,n1335,n207,
e208,n1335,n208,
e209,n1335,n209,domestic
e210,n1335,n210,
e211,n1335,n211,
e212,n1335,n212,
e213,n1335,n213,
e214,n1335,n214,
e215,n1335,n215,
e216,n1335,n216,
e217,n1335,n217,
e218,n1335,n218,
e219,n1335,n219,
e220,n1335,n220,Greek
e221,n1335,n221,
e222,n1335,n222,
e223,n1335,n223,neural
e224,n1335,n224,
e225,n1335,n225,
e226,n1335,n226,
e227,n1335,n227,modern
e228,n1335,n228,
e229,n1335,n229,
e230,n1335,n230,
e231,n1335,n231,many
e232,n1335,n232,
e233,n1335,n233,
e234,n1335,n234,
e235,n1335,n235,
e236,n1335,n236,
e237,n1335,n237,
e238,n1335,n238,
e239,n1335,n239,second
e240,n1335,n240,
e241,n1335,n241,
e242,n1335,n242,free
e243,n1335,n243,last
e244,n1335,n244,small
e245,n1335,n245,
e246,n1335,n246,
e247,n1335,n247,female
e248,n1335,n248,
e249,n1335,n249,Modern
e250,n1335,n250,
e251,n1335,n251,
e252,n1335,n252,particular
e253,n1335,n253,
e254,n1335,n254,
e255,n1335,n255,
e256,n1335,n256,such
e257,n1335,n257,
e258,n1335,n258,luckiest
e259,n1335,n259,high
e260,n1335,n260,
e261,n1335,n261,
e262,n1335,n262,
e263,n1335,n263,
e264,n1335,n264,
e265,n1335,n265,
e266,n1335,n266,
e267,n1335,n267,
e268,n1335,n268,
e269,n1335,n269,
e270,n1335,n270,
e271,n1335,n271,Gentle
e272,n1335,n272,
e273,n1335,n273,
e274,n1335,n274,Modesty
e275,n1335,n275,
e276,n1335,n276,
e277,n1335,n277,
e278,n1335,n278,
e279,n1335,n279,
e280,n1335,n280,
e281,n1335,n281,
e282,n1335,n282,
e283,n1335,n283,
e284,n1335,n284,
e285,n1335,n285,less
e286,n1335,n286,own
e287,n1335,n287,
e288,n1335,n288,
e289,n1335,n289,
e290,n1335,n290,
e291,n1335,n291,
e292,n1335,n292,
e293,n1335,n293,
e294,n1335,n294,
e295,n1335,n295,final
e296,n1335,n296,
e297,n1335,n297,
e298,n1335,n298,angry
e299,n1335,n299,
e300,n1335,n300,deep
e301,n1335,n301,obvious
e302,n1335,n302,
e303,n1335,n303,own
e304,n1335,n304,
e305,n1335,n305,
e306,n1335,n306,
e307,n1335,n307,
e308,n1335,n308,beautiful
e309,n1335,n309,
e310,n1335,n310,close
e311,n1335,n311,
e312,n1335,n312,
e313,n1335,n313,whole
e314,n1335,n314,
e315,n1335,n315,whole
e316,n1335,n316,
e317,n1335,n317,
e318,n1335,n318,
