id,name,group
n0,conversation,2
n1,Manolis Calice,2
n2,Leonard Cohen,2
n3,song,2
n4,Hallelujah,2
n5,songs,2
n6,meaning,2
n7,life,2
n8,periods,2
n9,joy,2
n10,tears,2
n11,sadness,2
n12,son,2
n13,sentence,2
n14,wife,2
n15,radio,2
n16,hundreds,2
n17,Greece,2
n18,misery,2
n19,poverty,2
n20,adversity,2
n21,Harris Alexiou,2
n22,example,2
n23,singers,2
n24,parents,2
n25,Neeman Lucio's,2
n26,picture,2
n27,noises,2
n28,neighborhood,2
n29,train,2
n30,priest,2
n31,church,2
n32,kids,2
n33,door,2
n34,trouble,2
n35,juxtaposition,2
n36,spirit,2
n37,sublime,2
n38,physical,2
n39,reality,2
n40,troubles,2
n41,captain,2
n42,ship,2
n43,world,2
n44,stuff,2
n45,imagery,2
n46,Greek,2
n47,poetry,2
n48,cruelty,2
n49,difficulty,2
n50,longing,2
n51,half,2
n52,struggle,2
n53,state,2
n54,word,2
n55,English,2
n56,parties,2
n57,Youssou McLaughlin Kipton,2
n58,Nissan,2
n59,Kimmo,2
n60,sound,2
n61,arms,2
n62,men,2
n63,vision,2
n64,concept,2
n65,CELAC Yubari,2
n66,Poola,2
n67,Harasta,2
n68,Odisho Pulsates,2
n69,man,2
n70,cypress,2
n71,trees,2
n72,exposure,2
n73,metaphor,2
n74,fact,2
n75,story,2
n76,daughter,2
n77,pictures,2
n78,Jonathan,2
n79,Cleo,2
n80,image,2
n81,eyes,2
n82,video,2
n83,imagination,2
n84,images,2
n85,book,2
n86,Superiorly Took,2
n87,direction,2
n88,perspective,2
n89,face,2
n90,passion,2
n91,force,2
n92,drive,2
n93,view,2
n94,romanticism,2
n95,suffering,2
n96,years,2
n97,American,2
n98,pop,2
n99,Madonna,2
n100,Michael Jackson,2
n101,George Michael,2
n102,repeat,2
n103,thing,2
n104,Michael Jackson's,2
n105,mirror,2
n106,responsibility,2
n107,place,2
n108,look,2
n109,change,2
n110,philosophy,2
n111,way,2
n112,psyche,2
n113,regions,2
n114,brain,2
n115,people,2
n116,language,2
n117,ability,2
n118,accident,2
n119,region,2
n120,evolution,2
n121,duality,2
n122,musicality,2
n123,patterns,2
n124,sense,2
n125,connection,2
n126,music,2
n127,level,2
n128,importance,2
n129,Language,2
n130,cultures,2
n131,rituals,2
n132,stage,2
n133,dance,2
n134,performances,2
n135,meeting,2
n136,mate,2
n137,selection,2
n138,bird,2
n139,development,2
n140,birds,2
n141,tunes,2
n142,mating,2
n143,tribes,2
n144,formation,2
n145,movements,2
n146,prelude,2
n147,capabilities,2
n148,precursor,2
n149,intelligence,2
n150,prerequisite,2
n151,Esquires,2
n152,expression,2
n153,break,2
n154,scene,2
n155,New Hampshire,2
n156,work,2
n157,play,2
n158,Make Jack,2
n159,boy,2
n160,Shining,2
n161,typewriter,2
n162,number,2
n163,hobbies,2
n164,directions,2
n165,self,2
n166,art,2
n167,bridges,2
n168,rockets,2
n169,science,2
n170,creativity,2
n171,math,2
n172,treatment,2
n173,piano,2
n174,violin,2
n175,sports,2
n176,movement,2
n177,mazes,2
n178,tennis,2
n179,soccer,2
n180,obstacles,2
n181,dimensions,2
n182,concepts,2
n183,machinery,2
n184,theorems,2
n185,equations,2
n186,students,2
n187,hands,2
n188,whiteboard,2
n189,Zoom,2
n190,person,2
n191,meetings,2
n192,"Mesmeric, Careless Whisper",2
n193,tail,2
n194,end,2
n195,tape,2
n196,Norse,2
n197,George Michael EDI's,2
n198,France,2
n199,Gainsbourg,2
n200,French,2
n201,composer,2
n202,cigarette,2
n203,lyrics,2
n204,sentences,2
n205,rhyme,2
n206,speaking,2
n207,George Moustaki,2
n208,Mangala,2
n209,DGCA,2
n210,Patrick,2
n211,Mitic,2
n212,meat,2
n213,metter,2
n214,IKEA,2
n215,ecology,2
n216,homes,2
n217,migrant,2
n218,reform,2
n219,patchwork,2
n220,pastor,2
n221,Russian,2
n222,Orthodox,2
n223,connections,2
n224,measures,2
n225,hair,2
n226,wings,2
n227,Lahud,2
n228,pretense,2
n229,thief,2
n230,musician,2
n231,gardens,2
n232,mouth,2
n233,hunger,2
n234,skin,2
n235,sun,2
n236,summers,2
n237,skirt,2
n238,heart,2
n239,verse,2
n240,Monica Yasou,2
n241,enfranchise,2
n242,killers,2
n243,verses,2
n244,tangent,2
n245,course,2
n246,cover,2
n247,artists,2
n248,Nina Simone,2
n249,carat,2
n250,emerald,2
n251,Amsterdam,2
n252,version,2
n253,Namiki,2
n254,promises,2
n255,volcanoes,2
n256,depth,2
n257,desperation,2
n258,human,2
n259,school,2
n260,New York,2
n261,manners,2
n262,Magath,2
n263,hero,2
n264,ignorance,2
n265,combat,2
n266,gear,2
n267,license,2
n268,gun,2
n269,enemies,2
n270,gentleman,2
n271,gentleness,2
n272,sobriety,2
n273,society,2
n274,propriety,2
n275,notoriety,2
n276,kindness,2
n277,generosity,2
n278,anger,2
n279,Fragile,2
n280,Contras,2
n281,Ben Linder,2
n282,US,2
n283,guerrillas,2
n284,realization,2
n285,violence,2
n286,blood,2
n287,flesh,2
n288,steel,2
n289,color,2
n290,evening,2
n291,tomorrow,2
n292,rain,2
n293,stains,2
n294,minds,2
n295,act,2
n296,lifetime,2
n297,argument,2
n298,star,2
n299,the English language,2
n300,meanings,2
n301,words,2
n302,evocations,2
n303,mind,2
n304,boggling,2
n305,refrain,2
n306,et cetera,2
n307,bikinis,2
n308,rhymes,2
n309,rhythm,2
n310,attention,2
n311,flow,2
n312,Dark Moments,2
n313,album,2
n314,Pink Floyd,2
n315,movie,2
n316,teen,2
n317,teenager,2
n318,wall,2
n319,Tigers,2
n320,tanks,2
n321,Germans,2
n322,dawn,2
n323,morning,2
n324,Black 44,2
n325,commander,2
n326,generals,2
n327,thanks,2
n328,ranks,2
n329,enemy,2
n330,NCO,2
n331,bridgehead,2
n332,price,2
n333,lives,2
n334,theme,2
n335,rear,2
n336,rows,2
n337,child,2
n338,father,2
n339,drawer,2
n340,photographs,2
n341,damp,2
n342,His Majesty,2
n343,rubber,2
n344,stamp,2
n345,George,2
n346,mother,2
n347,note,2
n348,root,2
n349,pioneers,2
n350,chessboard,2
n351,ones,2
n352,heroes,2
n353,tonality,2
n354,attack,2
n355,the Royal Fusiliers Comp,2
n356,ground,2
n357,tigers,2
n358,rest,2
n359,command,2
n360,daddy,2
n361,head,2
n362,Prison,2
n363,loneliness,2
n364,prison,2
n365,moments,2
n366,room,2
n367,guitar,2
n368,prostitute,2
n369,window,2
n370,chair,2
n371,pool,2
n372,hours,2
n373,mania,2
n374,seconds,2
n375,turns,2
n376,tourniquet,2
n377,funeral,2
n378,drama,2
n379,bedroom,2
n380,suitcase,2
n381,left,2
n382,acts,2
n383,phase,2
n384,days,2
n385,moment,2
n386,Russians,2
n387,anthem,2
n388,Khrushchev,2
n389,point,2
n390,children,2
n391,humans,2
n392,Oppenheimer,2
n393,toy,2
n394,monopoly,2
n395,fence,2
n396,biology,2
n397,ideology,2
n398,war,2
n399,lie,2
n400,sake,2
n401,America,2
n402,Americans,2
n403,fellow,2
n404,Buyology,2
n405,humanity,2
n406,the Virgin Mary,2
n407,podcasts,2
n408,brother,2
n409,Sterk,2
n410,family,2
n411,monsters,2
n412,dehumanization,2
n413,nine percent,2
n414,percent,2
n415,weapons,2
n416,sides,2
n417,country,2
n418,Johnny Mitchell's,2
n419,rounds,2
n420,cloud,2
n421,love,2
n422,flows,2
n423,ice,2
n424,cream,2
n425,castles,2
n426,air,2
n427,feather,2
n428,canyons,2
n429,clouds,2
n430,snow,2
n431,illusions,2
n432,loss,2
n433,hate,2
n434,friends,2
n435,heads,2
n436,kid,2
n437,adult,2
n438,row,2
n439,lights,2
n440,sang,2
n441,Leonardo,2
n442,avenues,2
n443,recording,2
n444,Leonard Cohen's,2
n445,Dance Me to the End of Love,2
n446,opening,2
n447,Wedding,2
n448,guest,2
n449,type,2
n450,lover,2
n451,marriage,2
n452,tenderness,2
n453,gems,2
n454,partner,2
n455,hand,2
n456,boxer,2
n457,ring,2
n458,driver,2
n459,ride,2
n460,difference,2
n461,Mikita,2
n462,pause,2
n463,attitude,2
n464,kind,2
n465,Jacques Brel,2
n466,parallel,2
n467,woman,2
n468,knees,2
n469,apology,2
n470,Makita,2
n471,baby,2
n472,whisper,2
n473,feet,2
n474,Krul,2
n475,fall,2
n476,beauty,2
n477,dog,2
n478,heat,2
n479,sand,2
n480,Alison Krauss,2
n481,Union Station Country,2
n482,friend,2
n483,Serafim Battaglia,2
n484,guy,2
n485,genomics,2
n486,owe,2
n487,bolita,2
n488,dances,2
n489,the International Student Association,2
n490,president,2
n491,MIT,2
n492,tech,2
n493,Serafim,2
n494,Bodybuilder,2
n495,shoulder,2
n496,maneuvers,2
n497,conference,2
n498,girl,2
n499,member,2
n500,Communists,2
n501,death,2
n502,sickness,2
n503,area,2
n504,Monopoly's,2
n505,car,2
n506,smile,2
n507,planet,2
n508,question,2
n509,beach,2
n510,poofy Ciccio,2
n511,wind,2
n512,writing,2
n513,chapter,2
n514,road,2
n515,care,2
n516,fun,2
n517,jack,2
n518,trades,2
n519,master,2
n520,night,2
n521,stand,2
n522,trick,2
n523,pony,2
n524,winning,2
n525,losing,2
n526,game,2
n527,luck,2
n528,freedom,2
n529,Freedom,2
n530,commitment,2
n531,term,2
