id,name,group
n0,conversation,2
n1,Michael Legman,2
n2,video,2
n3,Charles Isbel,2
n4,Westworld,2
n5,TV,2
n6,series,2
n7,guys,2
n8,thing,2
n9,movie,2
n10,book,2
n11,impact,2
n12,robots,2
n13,movies,2
n14,Robot and Frank,2
n15,term,2
n16,future,2
n17,helpers,2
n18,people,2
n19,homes,2
n20,point,2
n21,issues,2
n22,cranky gentleman,2
n23,jewel,2
n24,thief,2
n25,robot,2
n26,life,2
n27,home,2
n28,robotics,2
n29,perspective,2
n30,thieves,2
n31,idea,2
n32,ability,2
n33,technology,2
n34,lives,2
n35,technologists,2
n36,kind,2
n37,vision,2
n38,rumors,2
n39,stuff,2
n40,level,2
n41,intelligence,2
n42,degree,2
n43,compassion,2
n44,A.I.,2
n45,dancing,2
n46,method,2
n47,education,2
n48,question,2
n49,songs,2
n50,story,2
n51,debates,2
n52,vice,2
n53,president,2
n54,pop,2
n55,music,2
n56,70s,2
n57,80s,2
n58,kids,2
n59,tastes,2
n60,week,2
n61,treadmill,2
n62,taste,2
n63,song,2
n64,charts,2
n65,art,2
n66,jazz,2
n67,band,2
n68,fusion,2
n69,college,2
n70,layers,2
n71,instruments,2
n72,orchestra,2
n73,way,2
n74,hits,2
n75,scholar,2
n76,Bieber,2
n77,Justin Timberlake,2
n78,years,2
n79,NRPs,2
n80,conference,2
n81,cross,2
n82,apple,2
n83,Steve Jobs,2
n84,talk,2
n85,culture,2
n86,topic,2
n87,celebrity,2
n88,dimensions,2
n89,cameos,2
n90,places,2
n91,commercial,2
n92,Einstein,2
n93,character,2
n94,Turbo Tax,2
n95,computer,2
n96,expert,2
n97,software,2
n98,world,2
n99,class,2
n100,science,2
n101,concentrating,2
n102,majors,2
n103,campus,2
n104,person,2
n105,daughter,2
n106,brother,2
n107,house,2
n108,husband,2
n109,friend,2
n110,wife,2
n111,family,2
n112,Brown,2
n113,dad,2
n114,kinds,2
n115,events,2
n116,advertising,2
n117,scientists,2
n118,turbo,2
n119,tax,2
n120,set,2
n121,ads,2
n122,ad,2
n123,researchers,2
n124,B,2
n125,list,2
n126,Dick Cheney,2
n127,candidates,2
n128,blurb,2
n129,sense,2
n130,handful,2
n131,YouTube,2
n132,experience,2
n133,campaigns,2
n134,television,2
n135,shows,2
n136,system,2
n137,buddies,2
n138,New Jersey,2
n139,woman,2
n140,reality,2
n141,room,2
n142,dozen,2
n143,ways,2
n144,job,2
n145,sun,2
n146,backyard,2
n147,ladders,2
n148,filters,2
n149,window,2
n150,shot,2
n151,snacks,2
n152,craft,2
n153,table,2
n154,reason,2
n155,place,2
n156,morning,2
n157,afternoon,2
n158,mathematics,2
n159,professor,2
n160,Princeton,2
n161,energy,2
n162,fleet,2
n163,organism,2
n164,camera,2
n165,cameraman,2
n166,film,2
n167,canister,2
n168,couple,2
n169,opposite,2
n170,scene,2
n171,professional,2
n172,actor,2
n173,improv,2
n174,comedian,2
n175,comedy,2
n176,script,2
n177,heck,2
n178,umbrella,2
n179,face,2
n180,sweat,2
n181,stalker,2
n182,videos,2
n183,parody,2
n184,aspect,2
n185,production,2
n186,value,2
n187,team,2
n188,ones,2
n189,lyrics,2
n190,backing,2
n191,track,2
n192,instrument,2
n193,cases,2
n194,visuals,2
n195,lots,2
n196,animation,2
n197,the Georgia Tech and Udacity,2
n198,overfitting,2
n199,end,2
n200,Thriller,2
n201,Michael Jackson,2
n202,leather,2
n203,jacket,2
n204,censorship,2
n205,thinkers,2
n206,teams,2
n207,media,2
n208,legitimacy,2
n209,NPR,2
n210,example,2
n211,breaks,2
n212,rush,2
n213,possibility,2
n214,Charles,2
n215,yesterday,2
n216,fact,2
n217,mind,2
n218,freedom,2
n219,doctor,2
n220,palindrome,2
n221,parts,2
n222,Charles Doctor,2
n223,group,2
n224,case,2
n225,problem,2
n226,program,2
n227,loop,2
n228,Billy Joel's,2
