id,source,target,value
e0,n1906,n0,nuanced
e1,n1906,n1,
e2,n1906,n2,
e3,n1906,n3,
e4,n1906,n4,
e5,n1906,n5,
e6,n1906,n6,
e7,n1906,n7,
e8,n1906,n8,last
e9,n1906,n9,
e10,n1906,n10,
e11,n1906,n11,more
e12,n1906,n12,Russian
e13,n1906,n13,
e14,n1906,n14,
e15,n1906,n15,
e16,n1906,n16,Russian
e17,n1906,n17,whole
e18,n1906,n18,next
e19,n1906,n19,
e20,n1906,n20,
e21,n1906,n21,fraudulent
e22,n1906,n22,
e23,n1906,n23,modern
e24,n1906,n24,
e25,n1906,n25,
e26,n1906,n26,
e27,n1906,n27,
e28,n1906,n28,
e29,n1906,n29,
e30,n1906,n30,
e31,n1906,n31,
e32,n1906,n32,
e33,n1906,n33,anti
e34,n1906,n34,several
e35,n1906,n35,
e36,n1906,n36,
e37,n1906,n37,
e38,n1906,n38,other
e39,n1906,n39,
e40,n1906,n40,favorite
e41,n1906,n41,
e42,n1906,n42,
e43,n1906,n43,Most
e44,n1906,n44,black
e45,n1906,n45,
e46,n1906,n46,sweetest
e47,n1906,n47,
e48,n1906,n48,
e49,n1906,n49,
e50,n1906,n50,
e51,n1906,n51,bad
e52,n1906,n52,
e53,n1906,n53,Russian
e54,n1906,n54,fun
e55,n1906,n55,
e56,n1906,n56,fun
e57,n1906,n57,corporate
e58,n1906,n58,same
e59,n1906,n59,close
e60,n1906,n60,loose
e61,n1906,n61,central
e62,n1906,n62,
e63,n1906,n63,sincere
e64,n1906,n64,
e65,n1906,n65,
e66,n1906,n66,
e67,n1906,n67,
e68,n1906,n68,back
e69,n1906,n69,same
e70,n1906,n70,
e71,n1906,n71,
e72,n1906,n72,
e73,n1906,n73,straight
e74,n1906,n74,
e75,n1906,n75,greater
e76,n1906,n76,many
e77,n1906,n77,
e78,n1906,n78,
e79,n1906,n79,
e80,n1906,n80,different
e81,n1906,n81,unhealthy
e82,n1906,n82,
e83,n1906,n83,
e84,n1906,n84,
e85,n1906,n85,
e86,n1906,n86,
e87,n1906,n87,
e88,n1906,n88,good
e89,n1906,n89,cuddle
e90,n1906,n90,own
e91,n1906,n91,
e92,n1906,n92,
e93,n1906,n93,last
e94,n1906,n94,last
e95,n1906,n95,
e96,n1906,n96,
e97,n1906,n97,martial
e98,n1906,n98,new
e99,n1906,n99,existential
e100,n1906,n100,
e101,n1906,n101,
e102,n1906,n102,
e103,n1906,n103,better
e104,n1906,n104,corporate
e105,n1906,n105,psychological
e106,n1906,n106,few
e107,n1906,n107,deep
