id,name,group
n0,conversation,2
n1,Michael Mallis,2
n2,Simpsons,2
n3,episode,2
n4,pills,2
n5,pep,2
n6,truck,2
n7,this Red Bull,2
n8,night,2
n9,line,2
n10,drugs,2
n11,love,2
n12,thing,2
n13,theme,2
n14,Russian,2
n15,Ukraine,2
n16,soul,2
n17,region,2
n18,summer,2
n19,buddy,2
n20,Chris Williamson,2
n21,podcasters,2
n22,British,2
n23,wisdom,2
n24,Apollo,2
n25,videographer,2
n26,mother,2
n27,Tamarac,2
n28,film,2
n29,St. Petersburg,2
n30,Moscow,2
n31,panic,2
n32,attacks,2
n33,Russia,2
n34,people,2
n35,podcast,2
n36,Google Perlman,2
n37,mathematician,2
n38,person,2
n39,Putin,2
n40,food,2
n41,story,2
n42,Merkel,2
n43,dogs,2
n44,lab,2
n45,Labrador,2
n46,animal,2
n47,pictures,2
n48,Gogola,2
n49,narrative,2
n50,friend,2
n51,guys,2
n52,stories,2
n53,upbringing,2
n54,stuff,2
n55,Russians,2
n56,friends,2
n57,America,2
n58,way,2
n59,family,2
n60,example,2
n61,problem,2
n62,roommates,2
n63,place,2
n64,gym,2
n65,apartment,2
n66,building,2
n67,apartments,2
n68,door,2
n69,house,2
n70,knocks,2
n71,apple,2
n72,head,2
n73,face,2
n74,thought,2
n75,American,2
n76,Americans,2
n77,strangers,2
n78,moat,2
n79,percolates,2
n80,aspects,2
n81,relationship,2
n82,default,2
n83,trust,2
n84,brain,2
n85,interview,2
n86,People,2
n87,advice,2
n88,work,2
n89,party,2
n90,problems,2
n91,coworker,2
n92,talk,2
n93,case,2
n94,resort,2
n95,hand,2
n96,vulnerability,2
n97,law,2
n98,right,2
n99,threat,2
n100,antagonism,2
n101,weakness,2
n102,reaction,2
n103,position,2
n104,setting,2
n105,issues,2
n106,years,2
n107,distrust,2
n108,world,2
n109,rest,2
n110,circle,2
n111,situation,2
n112,wind,2
n113,blows,2
n114,opportunity,2
n115,differences,2
n116,hug,2
n117,point,2
n118,source,2
n119,fear,2
n120,Internet,2
n121,mechanism,2
n122,word,2
n123,meanings,2
n124,sense,2
n125,Love,2
n126,attraction,2
n127,entity,2
n128,manner,2
n129,earth,2
n130,book,2
n131,fire,2
n132,kind,2
n133,kindness,2
n134,media,2
n135,lots,2
n136,audience,2
n137,psychology,2
n138,intelligence,2
n139,fact,2
n140,age,2
n141,Attacks,2
n142,power,2
n143,structures,2
n144,opposite,2
n145,trolls,2
n146,mechanisms,2
n147,knife,2
n148,fight,2
n149,possibility,2
n150,values,2
n151,Brave New World,2
n152,gulag,2
n153,prison,2
n154,pressures,2
n155,masks,2
n156,subway,2
n157,New York City,2
n158,Instagram,2
n159,Asian,2
n160,dude,2
n161,thirties,2
n162,clothes,2
n163,rickshaw,2
n164,man,2
n165,fifties,2
n166,guy,2
n167,vector,2
n168,disease,2
n169,mask,2
n170,permission,2
n171,assert dominance,2
n172,control,2
n173,quality,2
n174,chance,2
n175,dominance,2
n176,status,2
n177,weaponry,2
n178,fighting,2
n179,mockery,2
n180,claims,2
n181,authority,2
n182,patience,2
n183,mismatch,2
n184,Superman,2
n185,Batman,2
n186,job,2
n187,jobs,2
n188,type,2
n189,costumes,2
n190,ears,2
n191,billionaire,2
n192,swimming,2
n193,trim,2
n194,superhero,2
n195,movies,2
n196,predisposition,2
n197,advocate,2
n198,devil,2
n199,angels,2
n200,angel,2
n201,path,2
n202,escalation,2
n203,conflict,2
n204,ways,2
n205,guerrilla,2
n206,warfare,2
n207,topic,2
n208,pill,2
n209,stocks,2
n210,basis,2
n211,effects,2
n212,society,2
n213,oncology,2
n214,cancer,2
n215,concept,2
n216,oppression,2
n217,individuals,2
n218,freedom,2
n219,view,2
n220,utopian,2
n221,Kohji,2
n222,euphemism,2
n223,violence,2
n224,matters,2
n225,leads,2
n226,divisions,2
n227,life,2
n228,game,2
n229,plant,2
n230,tribes,2
n231,groups,2
n232,form,2
n233,ideologies,2
n234,result,2
n235,humanity,2
n236,progress,2
n237,kinds,2
n238,ideas,2
n239,question,2
n240,divisiveness,2
n241,divorces,2
n242,goal,2
n243,group,2
n244,country,2
n245,article,2
n246,states,2
n247,cultures,2
n248,thumbtacks,2
n249,string,2
n250,contempt,2
n251,reason,2
n252,happiness,2
n253,lessons,2
n254,vice,2
n255,friction,2
n256,tension,2
n257,Jewish,2
n258,males,2
n259,academic,2
n260,Venn,2
n261,diagram,2
n262,politics,2
n263,cohesion,2
n264,volunteer,2
n265,step,2
n266,semblance,2
n267,validity,2
n268,Lockdown,2
n269,Cuomo and de Blasio,2
n270,New York,2
n271,couple,2
n272,weeks,2
n273,deaths,2
n274,months,2
n275,cases,2
n276,numbers,2
n277,dream,2
n278,business,2
n279,Mom,2
n280,cook,2
n281,restaurant,2
n282,fruit,2
