id,source,target,value
e0,n808,n0,bad
e1,n808,n1,
e2,n808,n2,
e3,n808,n3,existential
e4,n808,n4,
e5,n808,n5,
e6,n808,n6,
e7,n808,n7,original
e8,n808,n8,first
e9,n808,n9,crude
e10,n808,n10,literal
e11,n808,n11,large
e12,n808,n12,enough
e13,n808,n13,more
e14,n808,n14,physical
e15,n808,n15,advanced
e16,n808,n16,quantum
e17,n808,n17,shaping
e18,n808,n18,physical
e19,n808,n19,own
e20,n808,n20,certain
e21,n808,n21,
e22,n808,n22,experienced
e23,n808,n23,
e24,n808,n24,current
e25,n808,n25,simulated
e26,n808,n26,more
e27,n808,n27,compute
e28,n808,n28,empirical
e29,n808,n29,necessary
e30,n808,n30,
e31,n808,n31,wrong
e32,n808,n32,other
e33,n808,n33,many
e34,n808,n34,conscious
e35,n808,n35,
e36,n808,n36,
e37,n808,n37,
e38,n808,n38,
e39,n808,n39,valuable
e40,n808,n40,
e41,n808,n41,certain
e42,n808,n42,general
e43,n808,n43,original
e44,n808,n44,psychological
e45,n808,n45,
e46,n808,n46,such
e47,n808,n47,contemporary
e48,n808,n48,fundamental
e49,n808,n49,
e50,n808,n50,
e51,n808,n51,
e52,n808,n52,certain
e53,n808,n53,
e54,n808,n54,physical
e55,n808,n55,own
e56,n808,n56,
e57,n808,n57,
e58,n808,n58,
e59,n808,n59,logical
e60,n808,n60,blurry
e61,n808,n61,indexical
e62,n808,n62,
e63,n808,n63,same
e64,n808,n64,interesting
e65,n808,n65,
e66,n808,n66,complete
e67,n808,n67,
e68,n808,n68,most
e69,n808,n69,current
e70,n808,n70,technological
e71,n808,n71,technological
e72,n808,n72,great
e73,n808,n73,vast
e74,n808,n74,full
e75,n808,n75,
e76,n808,n76,
e77,n808,n77,different
e78,n808,n78,astronomical
e79,n808,n79,stronger
e80,n808,n80,interesting
e81,n808,n81,other
e82,n808,n82,limited
e83,n808,n83,technological
e84,n808,n84,useful
e85,n808,n85,
e86,n808,n86,
e87,n808,n87,
e88,n808,n88,
e89,n808,n89,
e90,n808,n90,molecular
e91,n808,n91,theoretical
e92,n808,n92,
e93,n808,n93,precise
e94,n808,n94,molecular
e95,n808,n95,
e96,n808,n96,
e97,n808,n97,computational
e98,n808,n98,
e99,n808,n99,
e100,n808,n100,other
e101,n808,n101,mature
e102,n808,n102,upper
e103,n808,n103,
e104,n808,n104,current
e105,n808,n105,more
e106,n808,n106,random
e107,n808,n107,technological
e108,n808,n108,basic
e109,n808,n109,deep
e110,n808,n110,
e111,n808,n111,
e112,n808,n112,real
e113,n808,n113,other
e114,n808,n114,high
e115,n808,n115,
e116,n808,n116,
e117,n808,n117,same
e118,n808,n118,spatial
e119,n808,n119,
e120,n808,n120,molecular
e121,n808,n121,
e122,n808,n122,many
e123,n808,n123,human
e124,n808,n124,
e125,n808,n125,
e126,n808,n126,
e127,n808,n127,
e128,n808,n128,optimum
e129,n808,n129,fine
e130,n808,n130,
e131,n808,n131,
e132,n808,n132,more
e133,n808,n133,
e134,n808,n134,
e135,n808,n135,big
e136,n808,n136,
e137,n808,n137,lower
e138,n808,n138,own
e139,n808,n139,general
e140,n808,n140,
e141,n808,n141,
e142,n808,n142,independent
e143,n808,n143,
e144,n808,n144,
e145,n808,n145,new
e146,n808,n146,super
e147,n808,n147,
e148,n808,n148,few
e149,n808,n149,historical
e150,n808,n150,independent
e151,n808,n151,
e152,n808,n152,historical
e153,n808,n153,more
e154,n808,n154,
e155,n808,n155,reasonable
e156,n808,n156,
e157,n808,n157,
e158,n808,n158,first
e159,n808,n159,different
e160,n808,n160,anthropic
e161,n808,n161,watertight
e162,n808,n162,disastrous
e163,n808,n163,
e164,n808,n164,large
e165,n808,n165,little
e166,n808,n166,basic
e167,n808,n167,deep
e168,n808,n168,
e169,n808,n169,
e170,n808,n170,conscious
e171,n808,n171,
e172,n808,n172,cosmological
e173,n808,n173,stochastic
e174,n808,n174,infinite
e175,n808,n175,many
e176,n808,n176,neural
e177,n808,n177,possible
e178,n808,n178,elementary
e179,n808,n179,extra
e180,n808,n180,technological
e181,n808,n181,high
e182,n808,n182,existential
e183,n808,n183,best
e184,n808,n184,
