id,name,group
n0,conversation,2
n1,Nick Bostrom,1
n2,the Rolling Stones,2
n3,risk,2
n4,yesterday,2
n5,satisfaction,2
n6,basics,2
n7,simulation,2
n8,hypothesis,2
n9,computer,2
n10,sense,2
n11,universe,2
n12,information,2
n13,processing,2
n14,system,2
n15,civilization,2
n16,computers,2
n17,effect,2
n18,world,2
n19,brains,2
n20,programs,2
n21,today,2
n22,machine,2
n23,type,2
n24,perspective,2
n25,ones,2
n26,memory,2
n27,power,2
n28,ideas,2
n29,assumption,2
n30,order,2
n31,conclusion,2
n32,kinds,2
n33,simulations,2
n34,beings,2
n35,idea,2
n36,philosophy,2
n37,science,2
n38,physics,2
n39,kind,2
n40,starting,2
n41,point,2
n42,terms,2
n43,thought,2
n44,experiment,2
n45,implications,2
n46,interest,2
n47,cosmology,2
n48,building,2
n49,blocks,2
n50,rules,2
n51,possibility,2
n52,level,2
n53,governing,2
n54,phenomena,2
n55,view,2
n56,religion,2
n57,Simulation,2
n58,results,2
n59,argument,2
n60,distinction,2
n61,propositions,2
n62,alternatives,2
n63,way,2
n64,people,2
n65,terminology,2
n66,possibilities,2
n67,disjunction,2
n68,civilizations,2
n69,stage,2
n70,development,2
n71,maturity,2
n72,filter,2
n73,cosmos,2
n74,potential,2
n75,span,2
n76,lifetime,2
n77,planets,2
n78,processes,2
n79,intuition,2
n80,concept,2
n81,purposes,2
n82,understanding,2
n83,capabilities,2
n84,technologies,2
n85,example,2
n86,research,2
n87,fellows,2
n88,Eric Drexler,2
n89,80s,2
n90,manufacturing,2
n91,tools,2
n92,performance,2
n93,structures,2
n94,ability,2
n95,atoms,2
n96,speed,2
n97,characteristics,2
n98,pathways,2
n99,fullness,2
n100,studies,2
n101,technology,2
n102,limit,2
n103,light,2
n104,rockets,2
n105,fuel,2
n106,stuff,2
n107,affordance,2
n108,set,2
n109,space,2
n110,exploration,2
n111,techno,2
n112,connection,2
n113,examples,2
n114,degree,2
n115,confidence,2
n116,breakthroughs,2
n117,parts,2
n118,scale,2
n119,processors,2
n120,nanotechnology,2
n121,Baxter,2
n122,times,2
n123,brain,2
n124,size,2
n125,sugar,2
n126,cube,2
n127,claim,2
n128,computing,2
n129,structure,2
n130,fraud,2
n131,nano,2
n132,resources,2
n133,planet,2
n134,compute,2
n135,difference,2
n136,piece,2
n137,bound,2
n138,right,2
n139,purpose,2
n140,nine point nine percent,2
n141,percent,2
n142,question,2
n143,ceiling,2
n144,maximum,2
n145,ceilings,2
n146,intelligence,2
n147,millions,2
n148,years,2
n149,timescales,2
n150,speculation,2
n151,timescale,2
n152,scales,2
n153,opportunity,2
n154,meantime,2
n155,probabilities,2
n156,billions,2
n157,future,2
n158,disjunct,2
n159,cases,2
n160,reasoning,2
n161,arguments,2
n162,ometer,2
n163,Earth,2
n164,number,2
n165,digressions,2
n166,questions,2
n167,conversations,2
n168,Fermi,2
n169,paradox,2
n170,person,2
n171,fact,2
n172,theory,2
n173,city,2
n174,demand,2
n175,lumps,2
n176,matter,2
n177,outcomes,2
n178,probability,2
n179,terrestrials,2
n180,mature,2
n181,fraction,2
n182,risks,2
n183,answer,2
n184,factor,2
n185,figures,2
n186,convergence,2
n187,capability,2
n188,fabric,2
n189,reality,2
n190,concerns,2
n191,pressures,2
n192,case,2
n193,half,2
n194,GDP,2
n195,debate,2
n196,existence,2
n197,reasons,2
n198,Ancestors,2
n199,ancestor,2
n200,past,2
n201,types,2
n202,experiences,2
n203,player,2
n204,character,2
n205,game,2
n206,Avatar,2
n207,body,2
n208,mechanism,2
n209,granularity,2
n210,ways,2
n211,minds,2
n212,guy,2
n213,premise,2
n214,mind,2
n215,neurons,2
n216,computation,2
n217,competition,2
n218,weights,2
n219,behavior,2
n220,human,2
n221,consciousness,2
n222,assimilation,2
n223,mist,2
n224,implementation,2
n225,property,2
n226,class,2
n227,computations,2
n228,emerges,2
n229,hand,2
n230,workspace,2
n231,attention,2
n232,self,2
n233,representations,2
n234,environment,2
n235,environments,2
n236,thing,2
n237,details,2
n238,perception,2
n239,virtue,2
n240,scene,2
n241,aspects,2
n242,microphone,2
n243,atom,2
n244,representation,2
n245,engineering,2
n246,context,2
n247,word,2
n248,psychology,2
n249,line,2
n250,Yours,2
n251,realism,2
n252,bar,2
n253,pong,2
n254,activity,2
n255,Pong,2
n256,Starcraft,2
n257,games,2
n258,hours,2
n259,months,2
n260,addiction,2
n261,life,2
n262,choice,2
n263,People,2
n264,preferences,2
n265,rest,2
n266,lives,2
n267,experience,2
n268,Robert Nozick,2
n269,duper,2
n270,neuroscientists,2
n271,dreams,2
n272,artist,2
n273,lover,2
n274,Life,2
n275,tank,2
n276,Nozick,2
n277,holiday,2
n278,views,2
n279,value,2
n280,function,2
n281,ups,2
n282,downs,2
n283,flowers,2
n284,creature,2
n285,face,2
n286,impact,2
n287,history,2
n288,explanations,2
n289,observation,2
n290,conclusions,2
n291,status,2
n292,dream,2
n293,farmer,2
n294,Peru,2
n295,peanuts,2
n296,Lex Friedemann,2
n297,podcast,2
n298,quo,2
n299,change,2
n300,projects,2
n301,relationships,2
n302,identity,2
n303,values,2
n304,leap,2
n305,description,2
n306,washes,2
n307,illusion,2
n308,depression,2
n309,wires,2
n310,superduper,2
n311,neuroscientist,2
n312,plugging,2
n313,head,2
n314,legs,2
n315,Friedemann,2
n316,soil,2
n317,experts,2
n318,situations,2
n319,vat,2
n320,farming,2
n321,peanut,2
n322,farms,2
n323,comments,2
n324,climate,2
n325,importance,2
n326,VAT,2
n327,differences,2
n328,machines,2
n329,versions,2
n330,distinguishment,2
n331,experiments,2
n332,term,2
n333,effects,2
n334,consequences,2
n335,baseline,2
n336,steps,2
n337,creatures,2
n338,quote,2
n339,unquote,2
n340,wife,2
n341,fears,2
n342,picture,2
n343,wall,2
n344,photograph,2
n345,doubt,2
n346,photographs,2
n347,good,2
n348,detail,2
n349,repertoire,2
n350,entity,2
n351,interaction,2
n352,days,2
n353,implementing,2
n354,extent,2
n355,message,2
n356,voice,2
n357,recording,2
n358,interactions,2
n359,angles,2
n360,Mousie,2
n361,hands,2
