id,source,target,value
e0,n617,n0,
e1,n617,n1,
e2,n617,n2,
e3,n617,n3,much
e4,n617,n4,divisive
e5,n617,n5,entire
e6,n617,n6,
e7,n617,n7,
e8,n617,n8,
e9,n617,n9,
e10,n617,n10,
e11,n617,n11,
e12,n617,n12,
e13,n617,n13,deep
e14,n617,n14,
e15,n617,n15,nuclear
e16,n617,n16,
e17,n617,n17,other
e18,n617,n18,
e19,n617,n19,
e20,n617,n20,many
e21,n617,n21,affluent
e22,n617,n22,overt
e23,n617,n23,authoritarian
e24,n617,n24,
e25,n617,n25,
e26,n617,n26,
e27,n617,n27,certain
e28,n617,n28,
e29,n617,n29,
e30,n617,n30,
e31,n617,n31,
e32,n617,n32,further
e33,n617,n33,
e34,n617,n34,different
e35,n617,n35,
e36,n617,n36,
e37,n617,n37,
e38,n617,n38,
e39,n617,n39,
e40,n617,n40,
e41,n617,n41,
e42,n617,n42,
e43,n617,n43,last
e44,n617,n44,
e45,n617,n45,human
e46,n617,n46,nuclear
e47,n617,n47,
e48,n617,n48,philosophical
e49,n617,n49,other
e50,n617,n50,
e51,n617,n51,whole
e52,n617,n52,much
e53,n617,n53,
e54,n617,n54,
e55,n617,n55,
e56,n617,n56,ripple
e57,n617,n57,positive
e58,n617,n58,
e59,n617,n59,
e60,n617,n60,
e61,n617,n61,common
e62,n617,n62,
e63,n617,n63,
e64,n617,n64,common
e65,n617,n65,
e66,n617,n66,
e67,n617,n67,
e68,n617,n68,sad
e69,n617,n69,
e70,n617,n70,
e71,n617,n71,
e72,n617,n72,
e73,n617,n73,
e74,n617,n74,other
e75,n617,n75,romanticized
e76,n617,n76,
e77,n617,n77,
e78,n617,n78,ridiculous
e79,n617,n79,conscious
e80,n617,n80,conscious
e81,n617,n81,
e82,n617,n82,
e83,n617,n83,
e84,n617,n84,own
e85,n617,n85,
e86,n617,n86,good
e87,n617,n87,
e88,n617,n88,
e89,n617,n89,
e90,n617,n90,
e91,n617,n91,
e92,n617,n92,
e93,n617,n93,upload
e94,n617,n94,ultimate
e95,n617,n95,
e96,n617,n96,
e97,n617,n97,decent
e98,n617,n98,influential
e99,n617,n99,current
e100,n617,n100,
e101,n617,n101,
e102,n617,n102,little
e103,n617,n103,
e104,n617,n104,
e105,n617,n105,little
e106,n617,n106,
e107,n617,n107,unpleasant
e108,n617,n108,beautiful
e109,n617,n109,
e110,n617,n110,right
e111,n617,n111,
e112,n617,n112,positive
e113,n617,n113,
e114,n617,n114,possible
e115,n617,n115,relative
e116,n617,n116,global
e117,n617,n117,
e118,n617,n118,
e119,n617,n119,ethical
e120,n617,n120,
e121,n617,n121,
e122,n617,n122,objective
e123,n617,n123,enough
e124,n617,n124,physical
e125,n617,n125,present
e126,n617,n126,basic
e127,n617,n127,affluent
e128,n617,n128,
e129,n617,n129,many
e130,n617,n130,
e131,n617,n131,larger
e132,n617,n132,
e133,n617,n133,interesting
e134,n617,n134,philosophical
e135,n617,n135,
e136,n617,n136,practical
e137,n617,n137,
e138,n617,n138,
e139,n617,n139,creative
e140,n617,n140,
e141,n617,n141,
e142,n617,n142,
e143,n617,n143,human
e144,n617,n144,
e145,n617,n145,
e146,n617,n146,
e147,n617,n147,
e148,n617,n148,same
e149,n617,n149,environmental
e150,n617,n150,
e151,n617,n151,
e152,n617,n152,
e153,n617,n153,racist
e154,n617,n154,
e155,n617,n155,
e156,n617,n156,
e157,n617,n157,
e158,n617,n158,grim
e159,n617,n159,
e160,n617,n160,
e161,n617,n161,
e162,n617,n162,third
e163,n617,n163,powerful
e164,n617,n164,
e165,n617,n165,interesting
e166,n617,n166,
e167,n617,n167,
e168,n617,n168,psychological
e169,n617,n169,
e170,n617,n170,ordinary
e171,n617,n171,
e172,n617,n172,
e173,n617,n173,only
e174,n617,n174,
e175,n617,n175,current
e176,n617,n176,
e177,n617,n177,
e178,n617,n178,
e179,n617,n179,different
e180,n617,n180,
e181,n617,n181,
e182,n617,n182,
e183,n617,n183,
e184,n617,n184,
e185,n617,n185,present
e186,n617,n186,
e187,n617,n187,
e188,n617,n188,
e189,n617,n189,
e190,n617,n190,
e191,n617,n191,weird
e192,n617,n192,
e193,n617,n193,
e194,n617,n194,
e195,n617,n195,
e196,n617,n196,terrible
e197,n617,n197,historical
e198,n617,n198,other
e199,n617,n199,
e200,n617,n200,
e201,n617,n201,
e202,n617,n202,
e203,n617,n203,
e204,n617,n204,
e205,n617,n205,
e206,n617,n206,
e207,n617,n207,huge
e208,n617,n208,
e209,n617,n209,
e210,n617,n210,
e211,n617,n211,brief
e212,n617,n212,
e213,n617,n213,
e214,n617,n214,internal
e215,n617,n215,future
e216,n617,n216,
e217,n617,n217,
e218,n617,n218,
e219,n617,n219,
e220,n617,n220,conscious
e221,n617,n221,worst
e222,n617,n222,artificial
e223,n617,n223,
e224,n617,n224,
e225,n617,n225,
e226,n617,n226,
e227,n617,n227,
e228,n617,n228,
e229,n617,n229,certain
e230,n617,n230,
e231,n617,n231,
e232,n617,n232,
e233,n617,n233,
e234,n617,n234,other
e235,n617,n235,
e236,n617,n236,
e237,n617,n237,own
e238,n617,n238,several
e239,n617,n239,different
e240,n617,n240,
e241,n617,n241,
e242,n617,n242,
e243,n617,n243,human
e244,n617,n244,
e245,n617,n245,
e246,n617,n246,
e247,n617,n247,
e248,n617,n248,
e249,n617,n249,
e250,n617,n250,
e251,n617,n251,
e252,n617,n252,
e253,n617,n253,
e254,n617,n254,direct
e255,n617,n255,
e256,n617,n256,
e257,n617,n257,cruel
e258,n617,n258,small
e259,n617,n259,
e260,n617,n260,existential
e261,n617,n261,same
e262,n617,n262,
e263,n617,n263,
e264,n617,n264,
e265,n617,n265,
e266,n617,n266,fake
e267,n617,n267,
e268,n617,n268,positive
e269,n617,n269,
e270,n617,n270,simple
e271,n617,n271,
e272,n617,n272,philosophical
e273,n617,n273,philosophical
e274,n617,n274,
e275,n617,n275,
e276,n617,n276,famous
e277,n617,n277,
e278,n617,n278,human
e279,n617,n279,linguistic
e280,n617,n280,
e281,n617,n281,
e282,n617,n282,
e283,n617,n283,
e284,n617,n284,
e285,n617,n285,
e286,n617,n286,
e287,n617,n287,long
e288,n617,n288,
e289,n617,n289,
e290,n617,n290,
e291,n617,n291,
e292,n617,n292,
e293,n617,n293,
e294,n617,n294,
e295,n617,n295,main
e296,n617,n296,
e297,n617,n297,
e298,n617,n298,
e299,n617,n299,
e300,n617,n300,
e301,n617,n301,
e302,n617,n302,
e303,n617,n303,
e304,n617,n304,empirical
e305,n617,n305,
e306,n617,n306,
e307,n617,n307,
e308,n617,n308,legal
e309,n617,n309,
e310,n617,n310,
e311,n617,n311,natural
e312,n617,n312,own
e313,n617,n313,
e314,n617,n314,
e315,n617,n315,other
e316,n617,n316,
e317,n617,n317,slippery
e318,n617,n318,basic
e319,n617,n319,
e320,n617,n320,
e321,n617,n321,
e322,n617,n322,
e323,n617,n323,
