id,name,group
n0,conversation,2
n1,Peter Singer,1
n2,fact,2
n3,suffering,2
n4,world,2
n5,family,2
n6,background,2
n7,grandparents,2
n8,Holocaust,2
n9,grandparent,2
n10,camps,2
n11,the Soviet Union,2
n12,World War Two,2
n13,roots,2
n14,culture,2
n15,war,2
n16,millions,2
n17,people,2
n18,music,2
n19,literatures,2
n20,impact,2
n21,society,2
n22,racism,2
n23,government,2
n24,West,2
n25,anti-Semitism,2
n26,era,2
n27,kind,2
n28,parents,2
n29,Europe,2
n30,Australia,2
n31,fear,2
n32,outbreak,2
n33,the Second World War,2
n34,way,2
n35,overshadowing,2
n36,childhood,2
n37,possibility,2
n38,adult,2
n39,film,2
n40,beach,2
n41,city,2
n42,Melbourne,2
n43,place,2
n44,Earth,2
n45,beings,2
n46,cloud,2
n47,north,2
n48,sense,2
n49,legacies,2
n50,the Cold War,2
n51,set,2
n52,beauty,2
n53,son,2
n54,death,2
n55,mirror,2
n56,effects,2
n57,aspects,2
n58,patriotism,2
n59,People,2
n60,wartime,2
n61,enemy,2
n62,country,2
n63,countries,2
n64,purposes,2
n65,nationalism,2
n66,Brotherhood,2
n67,soldiers,2
n68,idea,2
n69,moments,2
n70,edge,2
n71,comrades,2
n72,arms,2
n73,Suffering,2
n74,ways,2
n75,Russian,2
n76,literature,2
n77,step,2
n78,question,2
n79,state,2
n80,states,2
n81,terms,2
n82,justice,2
n83,past,2
n84,sake,2
n85,course,2
n86,consequences,2
n87,challenge,2
n88,marathon,2
n89,mountain,2
n90,dentist,2
n91,toothache,2
n92,extent,2
n93,consciousness,2
n94,goal,2
n95,anniversary,2
n96,release,2
n97,life,2
n98,book,2
n99,times,2
n100,minimum,2
n101,threshold,2
n102,drop,2
n103,poison,2
n104,practice,2
n105,drops,2
n106,dash,2
n107,color,2
n108,composition,2
n109,theory,2
n110,answer,2
n111,weather,2
n112,highs,2
n113,order,2
n114,experiences,2
n115,aspect,2
n116,poverty,2
n117,bar,2
n118,raises,2
n119,level,2
n120,feeling,2
n121,proof,2
n122,indicators,2
n123,food,2
n124,pains,2
n125,stage,2
n126,needs,2
n127,societies,2
n128,example,2
n129,hours,2
n130,money,2
n131,purpose,2
n132,focus,2
n133,challenges,2
n134,brain,2
n135,interest,2
n136,need,2
n137,moment,2
n138,elimination,2
n139,force,2
n140,lows,2
n141,basis,2
n142,population,2
n143,nature,2
n144,good,2
n145,evil,2
n146,environment,2
n147,potential,2
n148,circumstances,2
n149,influences,2
n150,Nazis,2
n151,Nazi,2
n152,regime,2
n153,ideas,2
n154,orders,2
n155,commands,2
n156,Fuhrer,2
n157,threat,2
n158,fight,2
n159,Jews,2
n160,intuition,2
n161,less than 10 percent,2
n162,percent,2
n163,thing,2
n164,the 10 percent,2
n165,thought,2
n166,majority,2
n167,answers,2
n168,research,2
n169,the White Rose Group,2
n170,Germans,2
n171,studies,2
n172,resistance,2
n173,reason,2
n174,exercise,2
n175,skill,2
n176,capacity,2
n177,derision,2
n178,hatred,2
n179,kinds,2
n180,balance,2
n181,America,2
n182,history,2
n183,cost,2
n184,today,2
n185,questions,2
n186,stand,2
n187,years,2
n188,meat,2
n189,vegetarian,2
n190,Hindu,2
n191,theories,2
n192,health,2
n193,decision,2
n194,friends,2
n195,crank,2
n196,sanctions,2
n197,examples,2
n198,issues,2
n199,opportunity,2
n200,Climate,2
n201,change,2
n202,gratitude,2
n203,courage,2
n204,schoolgirl,2
n205,strike,2
n206,climate,2
n207,amounts,2
n208,support,2
n209,teenager,2
n210,Ethics,2
n211,essays,2
n212,robots,2
n213,rights,2
n214,perspective,2
n215,lives,2
n216,prerequisite,2
n217,pleasure,2
n218,planet,2
n219,Philosophers,2
n220,subject,2
n221,experience,2
n222,intelligence,2
n223,phone,2
n224,Google Directions,2
n225,Google,2
n226,directions,2
n227,indication,2
n228,Google II,2
