id,source,target,value
e0,n890,n0,
e1,n890,n1,
e2,n890,n2,
e3,n890,n3,plain
e4,n890,n4,expressive
e5,n890,n5,
e6,n890,n6,formal
e7,n890,n7,such
e8,n890,n8,
e9,n890,n9,mathematical
e10,n890,n10,various
e11,n890,n11,
e12,n890,n12,
e13,n890,n13,subjective
e14,n890,n14,young
e15,n890,n15,
e16,n890,n16,bad
e17,n890,n17,
e18,n890,n18,grad
e19,n890,n19,older
e20,n890,n20,mathematical
e21,n890,n21,shortest
e22,n890,n22,non
e23,n890,n23,perfect
e24,n890,n24,
e25,n890,n25,straight
e26,n890,n26,
e27,n890,n27,
e28,n890,n28,pure
e29,n890,n29,
e30,n890,n30,next
e31,n890,n31,
e32,n890,n32,
e33,n890,n33,shortest
e34,n890,n34,many
e35,n890,n35,very
e36,n890,n36,
e37,n890,n37,
e38,n890,n38,little
e39,n890,n39,more
e40,n890,n40,earlier
e41,n890,n41,
e42,n890,n42,arithmetic
e43,n890,n43,visual
e44,n890,n44,dimensional
e45,n890,n45,dimensional
e46,n890,n46,dimensional
e47,n890,n47,
e48,n890,n48,
e49,n890,n49,
e50,n890,n50,dimensional
e51,n890,n51,good
e52,n890,n52,
e53,n890,n53,alternate
e54,n890,n54,
e55,n890,n55,
e56,n890,n56,
e57,n890,n57,surprising
e58,n890,n58,highest
e59,n890,n59,formal
e60,n890,n60,
e61,n890,n61,
e62,n890,n62,
e63,n890,n63,
e64,n890,n64,
e65,n890,n65,
e66,n890,n66,
e67,n890,n67,
e68,n890,n68,
e69,n890,n69,enormous
e70,n890,n70,
e71,n890,n71,original
e72,n890,n72,combinatorial
e73,n890,n73,same
e74,n890,n74,
e75,n890,n75,
e76,n890,n76,
e77,n890,n77,linear
e78,n890,n78,
e79,n890,n79,dimensional
e80,n890,n80,
e81,n890,n81,dile
e82,n890,n82,first
e83,n890,n83,
e84,n890,n84,
e85,n890,n85,Hungarian
e86,n890,n86,
e87,n890,n87,inner
e88,n890,n88,exact
e89,n890,n89,computational
e90,n890,n90,
e91,n890,n91,
e92,n890,n92,
e93,n890,n93,theoretical
e94,n890,n94,
e95,n890,n95,particular
e96,n890,n96,
e97,n890,n97,
e98,n890,n98,
e99,n890,n99,same
e100,n890,n100,only
e101,n890,n101,
e102,n890,n102,canonical
e103,n890,n103,
e104,n890,n104,continual
e105,n890,n105,
e106,n890,n106,magical
e107,n890,n107,
e108,n890,n108,first
e109,n890,n109,
e110,n890,n110,
e111,n890,n111,messy
e112,n890,n112,certain
e113,n890,n113,
e114,n890,n114,optimum
e115,n890,n115,various
e116,n890,n116,
e117,n890,n117,
e118,n890,n118,
e119,n890,n119,inferior
e120,n890,n120,few
e121,n890,n121,aesthetic
e122,n890,n122,universal
e123,n890,n123,computational
e124,n890,n124,
e125,n890,n125,
e126,n890,n126,
e127,n890,n127,
e128,n890,n128,outgoing
e129,n890,n129,
e130,n890,n130,
e131,n890,n131,
e132,n890,n132,
e133,n890,n133,total
e134,n890,n134,impossible
e135,n890,n135,
e136,n890,n136,
e137,n890,n137,negative
e138,n890,n138,
e139,n890,n139,best
e140,n890,n140,
e141,n890,n141,
e142,n890,n142,
e143,n890,n143,
e144,n890,n144,
e145,n890,n145,
e146,n890,n146,own
e147,n890,n147,
e148,n890,n148,optimal
e149,n890,n149,same
e150,n890,n150,particular
e151,n890,n151,
e152,n890,n152,
e153,n890,n153,
e154,n890,n154,different
e155,n890,n155,
e156,n890,n156,different
e157,n890,n157,other
e158,n890,n158,entire
e159,n890,n159,
e160,n890,n160,
e161,n890,n161,Small
e162,n890,n162,
e163,n890,n163,
e164,n890,n164,
e165,n890,n165,
e166,n890,n166,same
e167,n890,n167,mechanical
e168,n890,n168,
e169,n890,n169,other
e170,n890,n170,
e171,n890,n171,systematic
e172,n890,n172,
e173,n890,n173,
e174,n890,n174,
e175,n890,n175,
e176,n890,n176,
e177,n890,n177,minimum
e178,n890,n178,fondest
e179,n890,n179,
e180,n890,n180,
e181,n890,n181,first
e182,n890,n182,
e183,n890,n183,
e184,n890,n184,
e185,n890,n185,
e186,n890,n186,
e187,n890,n187,
e188,n890,n188,
e189,n890,n189,
e190,n890,n190,
e191,n890,n191,
e192,n890,n192,
e193,n890,n193,
e194,n890,n194,
e195,n890,n195,
e196,n890,n196,
e197,n890,n197,other
e198,n890,n198,juvenile
e199,n890,n199,academic
e200,n890,n200,mental
e201,n890,n201,popular
e202,n890,n202,
e203,n890,n203,
e204,n890,n204,
e205,n890,n205,
e206,n890,n206,basic
e207,n890,n207,
e208,n890,n208,early
e209,n890,n209,early
e210,n890,n210,general
e211,n890,n211,
e212,n890,n212,
e213,n890,n213,
e214,n890,n214,
e215,n890,n215,
e216,n890,n216,
e217,n890,n217,higher
e218,n890,n218,nice
e219,n890,n219,
e220,n890,n220,real
e221,n890,n221,
e222,n890,n222,emotional
e223,n890,n223,
e224,n890,n224,
e225,n890,n225,historical
e226,n890,n226,computational
e227,n890,n227,
e228,n890,n228,
e229,n890,n229,
e230,n890,n230,commercial
e231,n890,n231,
e232,n890,n232,large
e233,n890,n233,large
e234,n890,n234,
e235,n890,n235,
e236,n890,n236,mathematical
e237,n890,n237,
e238,n890,n238,
e239,n890,n239,individual
e240,n890,n240,practical
e241,n890,n241,
e242,n890,n242,mid
e243,n890,n243,
e244,n890,n244,particular
e245,n890,n245,
e246,n890,n246,particular
e247,n890,n247,
e248,n890,n248,
e249,n890,n249,fetching
e250,n890,n250,
e251,n890,n251,
e252,n890,n252,
e253,n890,n253,
e254,n890,n254,
e255,n890,n255,
e256,n890,n256,
e257,n890,n257,
e258,n890,n258,smart
e259,n890,n259,
e260,n890,n260,personal
e261,n890,n261,
e262,n890,n262,
e263,n890,n263,mathematical
e264,n890,n264,theoretical
e265,n890,n265,
e266,n890,n266,other
e267,n890,n267,
e268,n890,n268,
e269,n890,n269,
e270,n890,n270,successful
e271,n890,n271,good
e272,n890,n272,
e273,n890,n273,
e274,n890,n274,incredible
e275,n890,n275,different
e276,n890,n276,emotional
e277,n890,n277,greater
e278,n890,n278,
e279,n890,n279,
e280,n890,n280,human
e281,n890,n281,current
e282,n890,n282,
e283,n890,n283,limited
e284,n890,n284,
e285,n890,n285,
e286,n890,n286,precise
e287,n890,n287,different
e288,n890,n288,
e289,n890,n289,
e290,n890,n290,
e291,n890,n291,
e292,n890,n292,physical
e293,n890,n293,
e294,n890,n294,
e295,n890,n295,
e296,n890,n296,
e297,n890,n297,
e298,n890,n298,
e299,n890,n299,old
e300,n890,n300,current
e301,n890,n301,cognitive
e302,n890,n302,
e303,n890,n303,
e304,n890,n304,
e305,n890,n305,human
e306,n890,n306,different
e307,n890,n307,
e308,n890,n308,organizational
e309,n890,n309,
e310,n890,n310,
e311,n890,n311,
e312,n890,n312,
e313,n890,n313,social
e314,n890,n314,
e315,n890,n315,
e316,n890,n316,
e317,n890,n317,enough
e318,n890,n318,
e319,n890,n319,much
e320,n890,n320,
e321,n890,n321,
e322,n890,n322,digital
e323,n890,n323,
e324,n890,n324,
e325,n890,n325,
e326,n890,n326,existential
e327,n890,n327,new
e328,n890,n328,
e329,n890,n329,
e330,n890,n330,natural
e331,n890,n331,
e332,n890,n332,
e333,n890,n333,
e334,n890,n334,
e335,n890,n335,
e336,n890,n336,exponential
e337,n890,n337,
e338,n890,n338,exponential
e339,n890,n339,constant
e340,n890,n340,underlying
e341,n890,n341,
