id,name,group
n0,conversation,2
n1,Richard Karp,1
n2,age,2
n3,geometry,2
n4,power,2
n5,elegance,2
n6,proofs,2
n7,problems,2
n8,properties,2
n9,ideas,2
n10,aspects,2
n11,Michael Raybon,2
n12,story,2
n13,experience,2
n14,student,2
n15,classroom,2
n16,behavior,2
n17,corridors,2
n18,school,2
n19,students,2
n20,problem,2
n21,distance,2
n22,overlapping,2
n23,circles,2
n24,Michael,2
n25,line,2
n26,centers,2
n27,segment,2
n28,reasoning,2
n29,result,2
n30,step,2
n31,process,2
n32,radius,2
n33,path,2
n34,edges,2
n35,fact,2
n36,dispute,2
n37,challenge,2
n38,puzzles,2
n39,fun,2
n40,mathematics,2
n41,courses,2
n42,operations,2
n43,component,2
n44,vision,2
n45,object,2
n46,objects,2
n47,surfaces,2
n48,hyper,2
n49,planes,2
n50,intuition,2
n51,example,2
n52,sum,2
n53,angles,2
n54,triangle,2
n55,degrees,2
n56,surprise,2
n57,idea,2
n58,point,2
n59,proof,2
n60,success,2
n61,corner,2
n62,Parallel,2
n63,transects,2
n64,angle,2
n65,sides,2
n66,plane,2
n67,quality,2
n68,correspondence,2
n69,impact,2
n70,future,2
n71,work,2
n72,algorithms,2
n73,kind,2
n74,terms,2
n75,Euclidean,2
n76,tools,2
n77,programming,2
n78,integer,2
n79,visualization,2
n80,algebraic,2
n81,algebra,2
n82,interpretation,2
n83,Hedren,2
n84,mind,2
n85,algorithm,2
n86,repetition,2
n87,loop,2
n88,solution,2
n89,steps,2
n90,try,2
n91,certainty,2
n92,mechanics,2
n93,computer,2
n94,salesman,2
n95,function,2
n96,approaches,2
n97,minimum,2
n98,optimum,2
n99,city,2
n100,ones,2
n101,cities,2
n102,standard,2
n103,objective,2
n104,progress,2
n105,parts,2
n106,thing,2
n107,magic,2
n108,sets,2
n109,intuitions,2
n110,detail,2
n111,details,2
n112,complexity,2
n113,gap,2
n114,decrease,2
n115,metrics,2
n116,assignment,2
n117,Don Knuth,2
n118,attention,2
n119,breed,2
n120,people,2
n121,pleasure,2
n122,structure,2
n123,processes,2
n124,Don,2
n125,folks,2
n126,geeks,2
n127,moment,2
n128,person,2
n129,Hungarian,2
n130,boys,2
n131,girls,2
n132,desirability,2
n133,cost,2
n134,matching,2
n135,girl,2
n136,matrix,2
n137,numbers,2
n138,costs,2
n139,way,2
n140,men,2
n141,jobs,2
n142,correspondences,2
n143,connection,2
n144,intercourse,2
n145,observation,2
n146,identity,2
n147,optimal,2
n148,permutation,2
n149,constant,2
n150,row,2
n151,column,2
n152,The Matrix,2
n153,comparison,2
n154,assignments,2
n155,elements,2
n156,solutions,2
n157,rows,2
n158,columns,2
n159,Rohwer,2
n160,property,2
n161,moves,2
n162,constants,2
n163,Matrix,2
n164,zeros,2
n165,simplicity,2
n166,amounts,2
n167,ability,2
n168,woodworking,2
n169,activities,2
n170,shape,2
n171,nature,2
n172,Duncan,2
n173,mindset,2
n174,beauty,2
n175,digit,2
n176,head,2
n177,number,2
n178,memory,2
n179,information,2
n180,friends,2
n181,couple,2
n182,summer,2
n183,job,2
n184,beach,2
n185,resort,2
n186,Boston,2
n187,barker,2
n188,ski,2
n189,ball,2
n190,game,2
n191,microphone,2
n192,skee ball,2
n193,five cents,2
n194,cents,2
n195,nickel,2
n196,Barker,2
n197,employees,2
n198,delinquents,2
n199,bent,2
n200,Molterer,2
n201,videos,2
n202,Internet,2
n203,YouTube,2
n204,channel,2
n205,math,2
n206,concept,2
n207,lessons,2
n208,teen,2
n209,years,2
n210,population,2
n211,scientists,2
n212,mathematicians,2
n213,cannibals,2
n214,missionaries,2
n215,achievement,2
n216,puzzle,2
n217,level,2
n218,escape,2
n219,messiness,2
n220,world,2
n221,attribute,2
n222,intelligence,2
n223,abstractions,2
n224,complexities,2
n225,note,2
n226,lab,2
n227,Harvard,2
n228,Howard Aikin,2
n229,market,2
n230,computers,2
n231,history,2
n232,room,2
n233,office,2
n234,relays,2
n235,interior,2
n236,machine,2
n237,bugs,2
n238,creatures,2
n239,switches,2
n240,purpose,2
n241,60s,2
