id,name,group
n0,conversation,2
n1,Bob Langer,2
n2,love,2
n3,magic,2
n4,connection,2
n5,science,2
n6,discoveries,2
n7,kind,2
n8,process,2
n9,tricks,2
n10,duality,2
n11,person,2
n12,thing,2
n13,universe,2
n14,trick,2
n15,observer,2
n16,role,2
n17,scientist,2
n18,people,2
n19,fascination,2
n20,puzzle,2
n21,fact,2
n22,way,2
n23,form,2
n24,pack,2
n25,stack,2
n26,believe,2
n27,card,2
n28,hearts,2
n29,deck,2
n30,cards,2
n31,imaginary,2
n32,pocket,2
n33,today,2
n34,citation,2
n35,index,2
n36,history,2
n37,engineering,2
n38,failure,2
n39,papers,2
n40,ideas,2
n41,efforts,2
n42,life,2
n43,impact,2
n44,plenty,2
n45,rejection,2
n46,ways,2
n47,advisor,2
n48,Judah Folkman,2
n49,substances,2
n50,blood,2
n51,vessels,2
n52,B,2
n53,months,2
n54,Nature,2
n55,Journal,2
n56,Senate,2
n57,nature,2
n58,rejections,2
n59,work,2
n60,feeling,2
n61,thought,2
n62,career,2
n63,self,2
n64,doubt,2
n65,idea,2
n66,confidence,2
n67,feelings,2
n68,grants,2
n69,beginning,2
n70,emotions,2
n71,reviewers,2
n72,stages,2
n73,reviews,2
n74,versions,2
n75,advice,2
n76,students,2
n77,world,2
n78,exposure,2
n79,Folkman,2
n80,potential,2
n81,implications,2
n82,stuff,2
n83,space,2
n84,levels,2
n85,type,2
n86,creation,2
n87,tissues,2
n88,scratch,2
n89,technology,2
n90,times,2
n91,ha,2
n92,moments,2
n93,drug,2
n94,delivery,2
n95,example,2
n96,notion,2
n97,questions,2
n98,examples,2
n99,molecules,2
n100,vessel,2
n101,inhibitors,2
n102,terms,2
n103,mechanisms,2
n104,parts,2
n105,years,2
n106,principles,2
n107,aerosols,2
n108,delivering,2
n109,therapy,2
n110,patients,2
n111,kinds,2
n112,basics,2
n113,biology,2
n114,chemistry,2
n115,body,2
n116,perspective,2
n117,field,2
n118,computer,2
n119,robotics,2
n120,surface,2
n121,progress,2
n122,technologies,2
n123,knobs,2
n124,a.,2
n125,aspects,2
n126,understanding,2
n127,populations,2
n128,humans,2
n129,hand,2
n130,device,2
