id,name,group
n0,conversation,2
n1,Roger Penrose,1
n2,Eric Stein,2
n3,Portal,2
n4,podcast,2
n5,movie,2
n6,representation,2
n7,intelligence,2
n8,science,2
n9,engineering,2
n10,sorts,2
n11,scenes,2
n12,people,2
n13,Interstellar,2
n14,patch,2
n15,details,2
n16,scene,2
n17,beginning,2
n18,ancestors,2
n19,namesake,2
n20,monolith,2
n21,bone,2
n22,air,2
n23,sequence,2
n24,meaning,2
n25,kind,2
n26,thing,2
n27,innovation,2
n28,Arthur C. Clarke,2
n29,fan,2
n30,city,2
n31,clerk,2
n32,plot,2
n33,device,2
n34,Hal 9000,2
n35,astronauts,2
n36,mission,2
n37,view,2
n38,sense,2
n39,machine,2
n40,human,2
n41,beings,2
n42,evil,2
n43,systems,2
n44,future,2
n45,flaw,2
n46,questions,2
n47,Hal,2
n48,way,2
n49,pain,2
n50,inkling,2
n51,consciousness,2
n52,aspect,2
n53,computer,2
n54,feelings,2
n55,idea,2
n56,ideas,2
n57,mixture,2
n58,criterion,2
n59,terms,2
n60,evaluation,2
n61,decision,2
n62,machines,2
n63,degree,2
n64,computation,2
n65,course,2
n66,problems,2
n67,reasons,2
n68,A.I.,2
n69,planet,2
n70,entity,2
n71,fact,2
n72,thinking,2
n73,responsibility,2
n74,sound,2
n75,viewpoint,2
n76,names,2
n77,moment,2
n78,Douglas Hofstadter,2
n79,stuff,2
n80,book,2
n81,conclusion,2
n82,girls,2
n83,story,2
n84,occasion,2
n85,mind,2
n86,corner,2
n87,arguments,2
n88,numbers,2
n89,integers,2
n90,entities,2
n91,reductio,2
n92,ad,2
n93,absurdum,2
n94,argument,2
n95,point,2
n96,intuition,2
n97,world,2
n98,power,2
n99,brain,2
n100,cerebellum,2
n101,subject,2
n102,left,2
n103,business,2
n104,arm,2
n105,lots,2
n106,parts,2
n107,Homunculi,2
n108,pictures,2
n109,figure,2
n110,body,2
n111,hand,2
n112,sensory,2
n113,motor,2
n114,vision,2
n115,feet,2
n116,organisation,2
n117,mistake,2
n118,nature,2
n119,Cerebellum,2
n120,half,2
n121,neurons,2
n122,cerebrum,2
n123,room,2
n124,People,2
n125,ball,2
n126,wool,2
n127,connections,2
n128,actions,2
n129,pianist,2
n130,piece,2
