id,name,group
n0,conversation,2
n1,Ross Teja,2
n2,emotion,2
n3,animal,2
n4,robot,2
n5,motion,2
n6,walkers,2
n7,ones,2
n8,Steve Collins,2
n9,Andy Ruina,2
n10,Cornell,2
n11,walking,2
n12,machine,2
n13,boom,2
n14,plane,2
n15,ramp,2
n16,push,2
n17,gravity,2
n18,controllers,2
n19,batteries,2
n20,date,2
n21,model,2
n22,models,2
n23,rimless,2
n24,wheel,2
n25,bicycle,2
n26,rim,2
n27,spokes,2
n28,foot,2
n29,smoke,2
n30,ground,2
n31,energy,2
n32,step,2
n33,balance,2
n34,phenomenon,2
n35,hinge,2
n36,middle,2
n37,legs,2
n38,compass,2
n39,Kate Walker,2
n40,biped,2
n41,Steve,2
n42,Andy,2
n43,Ted McGeer,2
n44,exercise,2
n45,conclusion,2
n46,knees,2
n47,arms,2
n48,torso,2
n49,stroll,2
n50,park,2
n51,art,2
n52,science,2
n53,boundary,2
n54,solution,2
n55,way,2
n56,finesse,2
n57,system,2
n58,tricks,2
n59,suction,2
n60,cups,2
n61,instance,2
n62,trade,2
n63,point,2
n64,world,2
n65,Honda,2
n66,Asimo,2
n67,engineering,2
n68,Pitou,2
n69,coals,2
n70,rap,2
n71,Atlas,2
n72,Atlus,2
n73,robots,2
n74,thing,2
n75,control,2
n76,complexity,2
n77,motors,2
n78,dynamics,2
n79,example,2
n80,physics,2
n81,work,2
n82,flat,2
n83,forces,2
n84,flow,2
n85,Zen,2
n86,versions,2
n87,thousands,2
n88,patience,2
n89,question,2
n90,sense,2
n91,answer,2
n92,movement,2
n93,idea,2
n94,animals,2
n95,series,2
n96,experiments,2
n97,George Lawter,2
n98,Harvard,2
n99,MIT,2
n100,fish,2
n101,swimming,2
n102,water,2
n103,tunnel,2
n104,type,2
n105,rainbow,2
n106,trout,2
n107,season,2
n108,rocks,2
n109,upstream,2
n110,rock,2
n111,cylinder,2
n112,vortex street,2
n113,eddies,2
n114,stream,2
n115,gate,2
n116,net,2
n117,street,2
n118,walks,2
n119,gait,2
n120,changes,2
n121,surfing,2
n122,vortices,2
n123,experiment,2
n124,clincher,2
n125,mechanics,2
n126,brain,2
n127,favorites,2
n128,string,2
n129,mouth,2
n130,grates,2
n131,vortex,2
n132,wake,2
n133,happens,2
n134,video,2
n135,examples,2
n136,evolution,2
n137,generations,2
n138,entirety,2
n139,efficiency,2
n140,nature,2
n141,environment,2
n142,people,2
n143,situations,2
n144,recover,2
n145,direction,2
n146,reason,2
n147,motor,2
n148,order,2
n149,goal,2
n150,course,2
n151,distinction,2
n152,line,2
n153,links,2
n154,springs,2
n155,dampers,2
n156,muscles,2
n157,tendons,2
n158,job,2
n159,commands,2
n160,interplay,2
n161,divide,2
n162,systems,2
n163,pandemic,2
n164,virus,2
n165,intelligence,2
n166,bodies,2
n167,finger,2
n168,20s,2
n169,metacarpal,2
n170,ways,2
n171,jars,2
n172,bone,2
n173,contact,2
n174,left,2
n175,couple,2
n176,years,2
n177,geometry,2
n178,change,2
n179,circumstances,2
n180,bipedal,2
n181,heck,2
n182,mammals,2
n183,feet,2
n184,us,2
n185,advantage,2
n186,food,2
n187,tribe,2
n188,stuff,2
n189,place,2
n190,shelter,2
n191,value,2
n192,robotics,2
n193,perspective,2
n194,books,2
n195,body,2
n196,arguments,2
n197,state,2
n198,ancestors,2
n199,meat,2
n200,eaters,2
n201,species,2
n202,lots,2
n203,ice,2
n204,age,2
n205,glaciers,2
n206,variables,2
n207,information,2
n208,stories,2
n209,history,2
n210,events,2
n211,grant,2
n212,retrospect,2
n213,points,2
n214,head,2
n215,person,2
n216,days,2
n217,tribes,2
n218,millions,2
n219,criticism,2
n220,processes,2
n221,community,2
n222,People,2
n223,mom,2
n224,book,2
n225,Nicholas Taleb,2
n226,Randomness and Black Swan,2
n227,TV,2
n228,theory,2
n229,company,2
n230,bipeds,2
n231,form,2
n232,today,2
n233,places,2
n234,factors,2
n235,run,2
n236,environments,2
n237,argument,2
n238,wife,2
n239,chagrin,2
n240,human,2
n241,Human,2
n242,conference,2
n243,the Dynamic Walking Conference,2
n244,biomechanics,2
n245,hearing,2
n246,talks,2
n247,running,2
n248,Run,2
n249,runner,2
n250,barefoot,2
n251,distances,2
n252,fan,2
n253,shoes,2
n254,term,2
n255,game,2
n256,miles,2
n257,night,2
n258,damage,2
n259,feedback,2
n260,shoe,2
n261,goals,2
n262,races,2
n263,activities,2
n264,teeth,2
n265,hands,2
n266,source,2
n267,pain,2
n268,suffering,2
n269,steps,2
n270,heel,2
n271,elements,2
n272,number,2
n273,songs,2
n274,beats,2
n275,beat,2
n276,runners,2
n277,pair,2
n278,socks,2
n279,sandals,2
n280,difference,2
n281,sensors,2
n282,hand,2
n283,proprioception,2
n284,flaws,2
n285,protection,2
n286,cuts,2
n287,concern,2
n288,scratch,2
n289,week,2
n290,tips,2
n291,suggestions,2
n292,Bob Barefoot,2
n293,Ken Bob Sexton,2
n294,guy,2
n295,bike,2
n296,bucket,2
n297,list,2
n298,items,2
n299,commute,2
n300,distance,2
n301,M.I.T.,2
n302,Bike,2
n303,times,2
n304,kinds,2
n305,the Charles River,2
n306,rowboat,2
n307,house,2
n308,decompress,2
n309,morning,2
n310,meetings,2
n311,group,2
n312,tension,2
n313,scheme,2
n314,meeting,2
n315,Zen Haddo,2
n316,beauty,2
n317,simplicity,2
