id,name,group
n0,conversation,2
n1,Ryan Hall,1
n2,view,2
n3,warrior,2
n4,history,2
n5,question,2
n6,historian,2
n7,measure,2
n8,bands,2
n9,Metallica,2
n10,music,2
n11,album,2
n12,orchestra,2
n13,example,2
n14,Nickelback,2
n15,fun,2
n16,people,2
n17,situations,2
n18,circumstances,2
n19,times,2
n20,outcomes,2
n21,outcome,2
n22,world,2
n23,matter,2
n24,Cuba,2
n25,combat,2
n26,sports,2
n27,perspective,2
n28,level,2
n29,competitors,2
n30,wrestling,2
n31,boxing,2
n32,judo,2
n33,island,2
n34,money,2
n35,the United States,2
n36,Olympics,2
n37,course,2
n38,Russia,2
n39,China,2
n40,India,2
n41,resources,2
n42,talent,2
n43,issue,2
n44,starting,2
n45,point,2
n46,argument,2
n47,Madonna,2
n48,Maradona,2
n49,Messi,2
n50,the World Cup,2
n51,team,2
n52,Barcelona,2
n53,superstars,2
n54,factors,2
n55,soccer,2
n56,game,2
n57,points,2
n58,star,2
n59,squad,2
n60,class,2
n61,players,2
n62,instance,2
n63,Argentina,2
n64,ball,2
n65,backing,2
n66,midfield,2
n67,killers,2
n68,rights,2
n69,leaders,2
n70,artist,2
n71,direction,2
n72,mind,2
n73,head,2
n74,Hannibal Alexander the Great,2
n75,Miyamoto Musashi,2
n76,commanders,2
n77,guy,2
n78,warriors,2
n79,Musashi,2
n80,duels,2
n81,Alexander,2
n82,Hannibal,2
n83,Rome,2
n84,thing,2
n85,tactics,2
n86,strategies,2
n87,novel,2
n88,skin,2
n89,video,2
n90,bummer,2
n91,quality,2
n92,opposition,2
n93,Muhammad Ali,2
n94,ring,2
n95,type,2
n96,situation,2
n97,stone,2
n98,uphill,2
n99,conviction,2
n100,man,2
n101,order,2
n102,fighters,2
n103,kind,2
n104,idea,2
n105,conquerors,2
n106,Alexander the Great,2
n107,hardcore,2
n108,Odan Karlen,2
n109,Elon Musk,2
n110,fan,2
n111,episode,2
n112,Percent,2
n113,Genghis Khan,2
n114,ancestor,2
n115,truth,2
n116,concours,2
n117,murder,2
n118,rape,2
n119,pillage,2
n120,stealing,2
n121,stuff,2
n122,case,2
n123,way,2
n124,context,2
n125,liberator,2
n126,progressive,2
n127,terms,2
n128,violence,2
n129,atrocities,2
n130,stories,2
n131,option,2
n132,the Bernie Sanders,2
n133,era,2
n134,nature,2
n135,misunderstanding,2
n136,characters,2
n137,phrase,2
n138,freedom,2
n139,fighter,2
n140,person,2
n141,terrorist,2
n142,TV,2
n143,wire,2
n144,angles,2
n145,character,2
n146,motivations,2
n147,demons,2
n148,problems,2
n149,gang,2
n150,conflict,2
n151,ammo,2
n152,planet,2
n153,Earth,2
n154,cage,2
n155,positives,2
n156,law,2
n157,jungle,2
n158,life,2
n159,base,2
n160,lion,2
n161,gazelle,2
n162,controls,2
n163,behavior,2
n164,ends,2
n165,means,2
n166,answers,2
n167,smarts,2
n168,line,2
n169,veil,2
n170,ignorance,2
n171,philosophical,2
n172,Skyrim,2
n173,hat,2
n174,underpinnings,2
n175,actions,2
n176,reaction,2
n177,physics,2
n178,sense,2
n179,table,2
