id,name,group
n0,conversation,2
n1,Sara Seager,1
n2,love,2
n3,stars,2
n4,memory,2
n5,moon,2
n6,car,2
n7,dad,2
n8,parents,2
n9,siblings,2
n10,house,2
n11,weekend,2
n12,idea,2
n13,sky,2
n14,thing,2
n15,sense,2
n16,age,2
n17,range,2
n18,way,2
n19,kid,2
n20,curiosity,2
n21,kids,2
n22,ideas,2
n23,earth,2
n24,Internet,2
n25,Earth,2
n26,ball,2
n27,space,2
n28,frame,2
n29,reference,2
n30,planet,2
n31,curvature,2
n32,physics,2
n33,layout,2
n34,system,2
n35,school,2
n36,book,2
n37,child,2
n38,French,2
n39,Canada,2
n40,Frenches,2
n41,English,2
n42,Canadians,2
n43,convention,2
n44,camping,2
n45,UK,2
n46,type,2
n47,tie,2
n48,weekends,2
n49,comfort,2
n50,zone,2
n51,babysitter,2
n52,summer,2
n53,baby,2
n54,Tom,2
n55,brother,2
n56,tent,2
n57,middle,2
n58,night,2
n59,thought,2
n60,mind,2
n61,experience,2
n62,robots,2
n63,robot,2
n64,ability,2
n65,beings,2
n66,ways,2
n67,puppy,2
n68,dog,2
n69,bond,2
n70,magic,2
n71,universe,2
n72,matter,2
n73,perspective,2
n74,billions,2
n75,immortality,2
n76,scientist,2
n77,world,2
n78,class,2
n79,planetary,2
n80,astronomer,2
n81,idiot,2
n82,questions,2
n83,realm,2
n84,speculation,2
n85,work,2
n86,data,2
n87,science,2
n88,topic,2
n89,sons,2
n90,life,2
n91,sister,2
n92,numbers,2
n93,facts,2
n94,question,2
n95,scientists,2
n96,capability,2
n97,years,2
n98,difference,2
n99,decade,2
n100,decades,2
n101,journalists,2
n102,people,2
n103,tomorrow,2
n104,news,2
n105,telescopes,2
n106,ground,2
n107,atmospheres,2
n108,planets,2
n109,water,2
n110,gases,2
n111,nitty gritty astronomy,2
n112,astronomy,2
n113,hints,2
n114,kind,2
n115,word,2
n116,hint,2
n117,100 percent,2
n118,percent,2
n119,generations,2
n120,probe,2
n121,exoplanets,2
n122,details,2
n123,fact,2
n124,picture,2
n125,vastness,2
n126,eyesight,2
n127,thousands,2
n128,galaxy,2
n129,hundreds of billions,2
n130,galaxies,2
n131,number,2
n132,Things,2
n133,reverie,2
n134,lifetime,2
n135,term,2
n136,hosts,2
n137,star,2
n138,tens,2
n139,hundreds,2
n140,tool,2
n141,eyes,2
n142,NASA,2
n143,software,2
n144,neighbors,2
n145,neighborhood,2
n146,chance,2
n147,dozen,2
n148,detail,2
n149,field,2
n150,Proxima Centauri,2
n151,Alpha Centauri,2
n152,Proxima Proxima Centauri,2
n153,mass,2
n154,Goldilocks,2
n155,host,2
n156,interest,2
n157,size,2
n158,play,2
n159,factors,2
n160,level,2
n161,probability,2
n162,equation,2
n163,Frank Drake,2
n164,exoplanet,2
n165,court,2
n166,approval,2
n167,stuff,2
n168,creation,2
n169,Drake,2
n170,Seager,2
n171,framework,2
n172,description,2
n173,civilizations,2
n174,radiowaves,2
n175,movie,2
n176,contact,2
n177,research,2
n178,radio,2
n179,wavelengths,2
n180,message,2
n181,start,2
n182,paper,2
n183,estimate,2
n184,prediction,2
n185,search,2
n186,temperature,2
n187,output,2
n188,future,2
n189,spirit,2
n190,guide,2
n191,the Drake Equation,2
n192,variables,2
n193,Web,2
n194,site,2
n195,signs,2
n196,atmosphere,2
n197,terms,2
n198,trillions,2
n199,example,2
n200,MIT,2
n201,emission,2
n202,tests,2
n203,kinds,2
n204,survey,2
n205,sources,2
n206,fraction,2
n207,case,2
n208,telescope,2
n209,observation,2
n210,transiting,2
n211,blob,2
n212,light,2
n213,cloud,2
n214,frequency,2
n215,appearance,2
n216,reason,2
n217,sun,2
n218,plane,2
n219,account,2
n220,factor,2
n221,evidence,2
n222,handle,2
n223,set,2
n224,Kepler,2
n225,estimates,2
n226,ones,2
n227,F.L.,2
n228,spectroscopy,2
n229,instrument,2
n230,tools,2
n231,gas,2
n232,FLN,2
n233,interplay,2
n234,humans,2
n235,carbon,2
n236,dioxide,2
n237,parts,2
n238,signal,2
n239,intuition,2
n240,chemistry,2
n241,days,2
n242,one percent,2
n243,like 80 percent,2
n244,assumption,2
n245,food,2
n246,air,2
n247,metabolism,2
n248,energy,2
n249,byproduct,2
n250,waste,2
n251,product,2
n252,windmill,2
n253,team,2
n254,radiation,2
n255,oxygen,2
n256,environment,2
n257,paralyzing,2
n258,folks,2
n259,notion,2
n260,record,2
n261,indicator,2
n262,20 percent,2
n263,volume,2
n264,Mount Everest,2
n265,mountain,2
n266,plants,2
n267,bacteria,2
n268,Oxygen,2
n269,civilization,2
n270,point,2
n271,scenarios,2
n272,distance,2
n273,dozens,2
n274,1990s,2
n275,deal,2
n276,Jupiter,2
n277,heck,2
n278,Mercury,2
n279,Venus,2
n280,Mars,2
n281,suns,2
n282,brain,2
n283,darkness,2
n284,brief,2
n285,history,2
n286,90s,2
n287,methodology,2
n288,line,2
n289,legit,2
n290,career,2
n291,place,2
n292,today,2
n293,good,2
n294,inquiry,2
n295,computers,2
n296,hardware,2
n297,phones,2
n298,detector,2
n299,cameras,2
n300,film,2
n301,camera,2
n302,pictures,2
n303,images,2
n304,detectors,2
n305,brightness,2
n306,function,2
n307,seconds,2
n308,minutes,2
n309,drop,2
n310,transit,2
n311,measurement,2
n312,telephoto,2
n313,lens,2
n314,swaths,2
n315,times,2
n316,about one percent,2
n317,precision,2
n318,pixels,2
n319,megapixels,2
n320,pixel,2
n321,information,2
n322,cases,2
n323,effect,2
n324,millions,2
n325,hand,2
n326,computer,2
n327,code,2
n328,job,2
n329,deputy,2
n330,director,2
n331,mission,2
n332,Purview,2
n333,candidates,2
n334,Lakers,2
n335,community,2
n336,positives,2
n337,crunch,2
n338,policy,2
n339,group,2
n340,Planet Hunters Tag,2
n341,Tag,2
n342,signals,2
n343,distinction,2
n344,categories,2
n345,earths,2
n346,surface,2
n347,rock,2
n348,bay,2
n349,river,2
n350,lava,2
n351,lakes,2
n352,molecules,2
n353,temperatures,2
n354,Neptune,2
n355,counterpart,2
n356,forest,2
n357,creature,2
n358,animal,2
n359,thoughts,2
n360,types,2
n361,worlds,2
n362,versions,2
n363,icy,2
n364,moons,2
n365,half,2
n366,connection,2
n367,possibility,2
n368,astrobiology,2
n369,consensus,2
n370,liquid,2
n371,liquids,2
n372,materials,2
n373,gasoline,2
n374,ethane,2
n375,methane,2
n376,leaks,2
n377,Saturn,2
n378,oceans,2
n379,continents,2
n380,vapor,2
n381,reservoir,2
n382,H.A.,2
n383,hydrogen,2
n384,helium,2
n385,balloon,2
n386,leave,2
n387,ocean,2
n388,need,2
n389,sensors,2
n390,pressures,2
n391,study,2
n392,personal,2
n393,systems,2
n394,progress,2
n395,dream,2
n396,condition,2
n397,ingredients,2
n398,base,2
n399,colonel,2
n400,land,2
n401,composition,2
n402,general,2
n403,definition,2
n404,intelligence,2
n405,pathways,2
n406,evolution,2
n407,directions,2
n408,cats,2
n409,measures,2
n410,the Golden Doodle,2
n411,Leo,2
n412,genius,2
n413,projection,2
n414,aliens,2
n415,kit,2
n416,couple,2
n417,structure,2
n418,the Great Wall of China,2
n419,METI,2
n420,messaging,2
n421,fear,2
n422,Medy,2
n423,game,2
n424,Voyager,2
n425,spacecraft,2
n426,OK,2
n427,scale,2
n428,degree,2
n429,use,2
n430,earthlings,2
n431,photosynthesis,2
n432,like 20 percent,2
n433,impact,2
n434,warming,2
n435,species,2
n436,war,2
n437,edge,2
n438,fiction,2
n439,academia,2
n440,excitement,2
n441,core,2
n442,discovery,2
n443,events,2
