id,name,group
n0,conversation,2
n1,Serguei Levine,2
n2,difference,2
n3,state,2
n4,art,2
n5,human,2
n6,humans,2
n7,robot,2
n8,question,2
n9,Robot,2
n10,capability,2
n11,thing,2
n12,gap,2
n13,capabilities,2
n14,robots,2
n15,terms,2
n16,hardware,2
n17,video,2
n18,robotics,2
n19,researchers,2
n20,Stanford,2
n21,prototype,2
n22,PR,2
n23,home,2
n24,assistance,2
n25,living,2
n26,room,2
n27,toys,2
n28,end,2
n29,beer,2
n30,person,2
n31,couch,2
n32,punch,2
n33,line,2
n34,ways,2
n35,brain,2
n36,bodies,2
n37,money,2
n38,engineering,2
n39,work,2
n40,intelligence,2
n41,body,2
n42,cognition,2
n43,nerves,2
n44,system,2
n45,mind,2
n46,kind,2
n47,bottleneck,2
n48,sense,2
n49,ability,2
n50,reason,2
n51,world,2
n52,events,2
n53,spectrum,2
n54,size,2
n55,factory,2
n56,motion,2
n57,way,2
n58,car,2
n59,environment,2
n60,kitchen,2
n61,example,2
n62,questions,2
n63,abilities,2
n64,nature,2
n65,nurture,2
n66,product,2
n67,evolution,2
n68,scratch,2
n69,implications,2
n70,A.I.,2
n71,biologist,2
n72,hope,2
n73,A.I,2
n74,course,2
n75,biology,2
n76,hypotheses,2
n77,support,2
n78,birth,2
n79,faces,2
n80,pressure,2
n81,mother,2
n82,face,2
n83,people,2
n84,situations,2
n85,lives,2
n86,automobiles,2
n87,space,2
n88,flight,2
n89,joystick,2
n90,arm,2
n91,couple,2
n92,seconds,2
n93,life,2
n94,store,2
n95,device,2
n96,controls,2
n97,flexibility,2
n98,adaptability,2
n99,systems,2
n100,train,2
n101,models,2
n102,knowledge,2
n103,iceberg,2
n104,table,2
n105,lifetimes,2
n106,experience,2
n107,efficiency,2
n108,fitness,2
n109,machine,2
n110,learning,2
n111,challenge,2
n112,understanding,2
n113,notion,2
n114,input,2
n115,output,2
n116,model,2
n117,mass,2
n118,supervision,2
n119,instances,2
n120,picture,2
n121,perspective,2
n122,algorithms,2
n123,access,2
n124,data,2
n125,signals,2
n126,limits,2
n127,research,2
n128,community,2
n129,Internet,2
n130,century,2
n131,analog,2
n132,language,2
n133,outcome,2
n134,actions,2
n135,augments,2
n136,parts,2
n137,samples,2
n138,mining,2
n139,outcomes,2
n140,years,2
n141,lack,2
n142,bottle,2
n143,water,2
n144,utility,2
n145,aspects,2
n146,problem,2
n147,answer,2
n148,stuff,2
n149,curiosity,2
n150,regions,2
n151,solutions,2
n152,improvement,2
n153,loop,2
n154,key,2
n155,methods,2
n156,tomorrow,2
n157,exploration,2
n158,box,2
n159,jump,2
n160,domains,2
n161,optimization,2
n162,specifics,2
n163,strategy,2
n164,strategies,2
n165,intuition,2
n166,differences,2
n167,formulation,2
n168,reinforcement,2
n169,reformulations,2
n170,agent,2
n171,service,2
n172,problems,2
n173,solution,2
n174,future,2
n175,coverage,2
n176,arsenal,2
n177,tools,2
n178,job,2
n179,coffee,2
n180,task,2
n181,multitask,2
n182,vision,2
n183,means,2
n184,step,2
n185,goal,2
n186,Robotics,2
n187,pictures,2
n188,general,2
