id,source,target,value
e0,n1349,n0,stupid
e1,n1349,n1,
e2,n1349,n2,fundamental
e3,n1349,n3,giant
e4,n1349,n4,
e5,n1349,n5,decent
e6,n1349,n6,evolutionary
e7,n1349,n7,human
e8,n1349,n8,
e9,n1349,n9,
e10,n1349,n10,motivational
e11,n1349,n11,brilliant
e12,n1349,n12,good
e13,n1349,n13,evolutionary
e14,n1349,n14,human
e15,n1349,n15,last
e16,n1349,n16,
e17,n1349,n17,
e18,n1349,n18,
e19,n1349,n19,cultural
e20,n1349,n20,great
e21,n1349,n21,social
e22,n1349,n22,
e23,n1349,n23,
e24,n1349,n24,
e25,n1349,n25,
e26,n1349,n26,own
e27,n1349,n27,human
e28,n1349,n28,modern
e29,n1349,n29,ancient
e30,n1349,n30,
e31,n1349,n31,
e32,n1349,n32,dualistic
e33,n1349,n33,
e34,n1349,n34,dirty
e35,n1349,n35,corporal
e36,n1349,n36,
e37,n1349,n37,
e38,n1349,n38,
e39,n1349,n39,
e40,n1349,n40,natural
e41,n1349,n41,
e42,n1349,n42,
e43,n1349,n43,
e44,n1349,n44,
e45,n1349,n45,
e46,n1349,n46,
e47,n1349,n47,woodpecker
e48,n1349,n48,
e49,n1349,n49,accepted
e50,n1349,n50,
e51,n1349,n51,fascinating
e52,n1349,n52,fellow
e53,n1349,n53,rational
e54,n1349,n54,only
e55,n1349,n55,
e56,n1349,n56,
e57,n1349,n57,cultural
e58,n1349,n58,20th
e59,n1349,n59,playful
e60,n1349,n60,
e61,n1349,n61,Jewish
e62,n1349,n62,
e63,n1349,n63,
e64,n1349,n64,
e65,n1349,n65,
e66,n1349,n66,
e67,n1349,n67,
e68,n1349,n68,collective
e69,n1349,n69,sufficient
e70,n1349,n70,young
e71,n1349,n71,single
e72,n1349,n72,
e73,n1349,n73,
e74,n1349,n74,Scottish
e75,n1349,n75,
e76,n1349,n76,
e77,n1349,n77,
e78,n1349,n78,
e79,n1349,n79,
e80,n1349,n80,
e81,n1349,n81,
e82,n1349,n82,great
e83,n1349,n83,British
e84,n1349,n84,academic
e85,n1349,n85,
e86,n1349,n86,
e87,n1349,n87,short
e88,n1349,n88,
e89,n1349,n89,old
e90,n1349,n90,
e91,n1349,n91,
e92,n1349,n92,
e93,n1349,n93,
e94,n1349,n94,
e95,n1349,n95,
e96,n1349,n96,psychodynamic
e97,n1349,n97,important
e98,n1349,n98,allegorical
e99,n1349,n99,
e100,n1349,n100,
e101,n1349,n101,vast
e102,n1349,n102,
e103,n1349,n103,ugly
e104,n1349,n104,
e105,n1349,n105,young
e106,n1349,n106,
e107,n1349,n107,
e108,n1349,n108,remarkable
e109,n1349,n109,clinical
e110,n1349,n110,
e111,n1349,n111,pharmacological
e112,n1349,n112,
e113,n1349,n113,first
e114,n1349,n114,
e115,n1349,n115,
e116,n1349,n116,
e117,n1349,n117,other
e118,n1349,n118,
e119,n1349,n119,
e120,n1349,n120,
e121,n1349,n121,
e122,n1349,n122,
e123,n1349,n123,
e124,n1349,n124,
e125,n1349,n125,
e126,n1349,n126,
e127,n1349,n127,
e128,n1349,n128,
e129,n1349,n129,
e130,n1349,n130,
e131,n1349,n131,first
e132,n1349,n132,existential
e133,n1349,n133,animated
e134,n1349,n134,human
e135,n1349,n135,
e136,n1349,n136,British
e137,n1349,n137,same
e138,n1349,n138,
e139,n1349,n139,mid
