id,name,group
n0,conversation,2
n1,Sheldon Solomon,1
n2,role,2
n3,death,2
n4,fear,2
n5,life,2
n6,perspective,2
n7,awareness,2
n8,unwillingness,2
n9,fact,2
n10,impetus,2
n11,people,2
n12,work,2
n13,view,2
n14,condition,2
n15,book,2
n16,worm,2
n17,core,2
n18,consciousness,2
n19,world,2
n20,question,2
n21,psychology,2
n22,class,2
n23,students,2
n24,terms,2
n25,ology,2
n26,study,2
n27,mind,2
n28,interpretation,2
n29,Greek,2
n30,soul,2
n31,Cartesian,2
n32,sense,2
n33,West,2
n34,word,2
n35,container,2
n36,Aristotle,2
n37,psyche,2
n38,dualist,2
n39,modernist,2
n40,body,2
n41,essence,2
n42,example,2
n43,axe,2
n44,eyeball,2
n45,head,2
n46,grasshopper,2
n47,pack,2
n48,course,2
n49,conception,2
n50,humanity,2
n51,idea,2
n52,humans,2
n53,animals,2
n54,game,2
n55,town,2
n56,Got Joseph Hoisin,2
n57,anthropologist,2
n58,century,2
n59,creatures,2
n60,Hannah,2
n61,woman,2
n62,Ellen Dissanayake,2
n63,Homo Aesthetics,2
n64,beauty,2
n65,homo,2
n66,narratives,2
n67,designations,2
n68,cogitation,2
n69,attention,2
n70,punk,2
n71,line,2
n72,essay,2
n73,Scottish,2
n74,guy,2
n75,Alexander Smith,2
n76,Dream Pailthorpe,2
n77,sixties,2
n78,middle,2
n79,knowledge,2
n80,gut,2
n81,William James,2
n82,Harvard,2
n83,philosopher,2
n84,psychologist,2
n85,allusion,2
n86,the Garden of Eden,2
n87,story,2
n88,Genesis,2
n89,days,2
n90,the Tree of Knowledge,2
n91,serpent,2
n92,chomp,2
n93,apple,2
n94,Adam,2
n95,Bible,2
n96,vantage,2
n97,point,2
n98,recount,2
n99,origin,2
n100,virtue,2
n101,intelligence,2
n102,inevitability,2
n103,reality,2
n104,finitude,2
n105,professor,2
n106,Skidmore College,2
n107,Ph.D.,2
n108,studies,2
n109,psychologists,2
n110,efficacy,2
n111,interventions,2
n112,stress,2
n113,week,2
n114,Skidmore,2
n115,shelves,2
n116,library,2
n117,books,2
n118,Ernest Becker,2
n119,weeks,2
n120,the Pulitzer Prize,2
n121,nonfiction,2
n122,The Denial of Death,2
n123,Death,2
n124,Escape,2
n125,denial,2
n126,page,2
n127,escape,2
n128,evil,2
n129,wife,2
n130,Marie Becker,2
n131,paragraph,2
n132,terror,2
n133,way,2
n134,beings,2
n135,Lex,2
n136,dude,2
n137,thing,2
n138,reason,2
n139,20s,2
n140,inspectors,2
n141,hand,2
n142,years,2
n143,grandmother,2
n144,mom,2
n145,goodbye,2
n146,grandma,2
n147,Grandma,2
n148,magnitude,2
n149,illness,2
n150,evening,2
n151,stamp,2
n152,collection,2
n153,mother,2
n154,dinner,2
n155,stamps,2
n156,American,2
n157,presidents,2
n158,George Washington,2
n159,Thomas Jefferson,2
n160,crisis,2
n161,blood,2
n162,realizations,2
n163,Becker,2
n164,eighties,2
n165,reasons,2
n166,experience,2
n167,Bucker,2
n168,The Birth and Death of Meaning,2
n169,academic,2
n170,juxtaposition,2
n171,types,2
n172,vice,2
n173,John Bowlby,2
n174,folks,2
n175,attachment,2
n176,theorist,2
n177,academics,2
n178,ways,2
n179,psychodynamics,2
n180,case,2
n181,surroundings,2
n182,service,2
n183,gene,2
n184,pool,2
n185,fish,2
n186,podcast,2
n187,development,2
n188,lifespan,2
n189,support,2
n190,views,2
n191,guys,2
n192,expression,2
n193,water,2
n194,stories,2
n195,Fill,2
n196,blank,2
n197,thought,2
n198,antifascists,2
n199,viewpoints,2
n200,science,2
n201,philosophy,2
n202,meaning,2
n203,kind,2
n204,truth,2
n205,Freud,2
n206,aspects,2
n207,sciences,2
n208,field,2
n209,physics,2
n210,stance,2
n211,Socratic,2
n212,step,2
n213,path,2
n214,wisdom,2
n215,Thomas Kunz,2
n216,change,2
n217,progress,2
n218,wax,2
n219,wings,2
n220,mountain,2
n221,scientists,2
n222,audacity,2
n223,precision,2
n224,insight,2
n225,mistake,2
n226,estimation,2
n227,Einstein,2
n228,accumulation,2
n229,data,2
n230,breakthroughs,2
n231,hope,2
n232,graduate,2
n233,school,2
n234,the University of Kansas,2
n235,room,2
n236,board,2
n237,quote,2
n238,Kurt Lewin,2
n239,German,2
n240,theory,2
n241,physicist,2
n242,theories,2
n243,affairs,2
n244,hypothesis,2
n245,generating,2
n246,devices,2
n247,interplay,2
n248,assertions,2
n249,hypotheses,2
n250,results,2
