id,name,group
n0,conversation,2
n1,Simon Sinek,1
n2,The Infinite Game,2
n3,book,2
n4,game,2
n5,perspective,2
n6,intelligence,2
n7,theory,2
n8,fan,2
n9,games,2
n10,sense,2
n11,robotics,2
n12,space,2
n13,rules,2
n14,objective,2
n15,players,2
n16,unknowns,2
n17,element,2
n18,business,2
n19,politics,2
n20,life,2
n21,function,2
n22,cliche,2
n23,meaning,2
n24,start,2
n25,softball,2
n26,question,2
n27,James Carr,2
n28,philosopher,2
n29,concept,2
n30,view,2
n31,world,2
n32,number,2
n33,objectives,2
n34,football,2
n35,baseball,2
n36,beginning,2
n37,middle,2
n38,end,2
n39,winner,2
n40,loser,2
n41,Casta,2
n42,words,2
n43,thing,2
n44,finish,2
n45,line,2
n46,metrics,2
n47,timeframes,2
n48,outcomes,2
n49,decline,2
n50,trust,2
n51,cooperation,2
n52,innovation,2
n53,ways,2
n54,organizations,2
n55,mindset,2
n56,process,2
n57,work,2
n58,term,2
n59,hook,2
n60,Tombstone,2
n61,right,2
n62,date,2
n63,gap,2
n64,poem,2
n65,Dash,2
n66,dash,2
n67,lives,2
n68,power,2
n69,money,2
n70,people,2
n71,way,2
n72,kind,2
n73,mother,2
n74,father,2
n75,person,2
n76,Jack Welch,2
n77,The Washington Post,2
n78,headline,2
n79,obit,2
n80,employees,2
n81,legacy,2
n82,player,2
n83,gains,2
n84,distress,2
n85,choice,2
n86,contributions,2
n87,detractions,2
n88,career,2
n89,service,2
n90,communities,2
n91,shape,2
n92,goals,2
n93,dreams,2
n94,motivations,2
n95,ego,2
n96,drive,2
n97,fire,2
n98,reason,2
n99,morning,2
n100,bed,2
n101,vision,2
n102,majority,2
n103,values,2
n104,touch,2
n105,points,2
n106,iceberg,2
n107,ocean,2
n108,success,2
n109,growth,2
n110,momentum,2
n111,revealing,2
n112,realization,2
n113,unknown,2
n114,imagination,2
n115,reality,2
n116,optimism,2
n117,optimist,2
n118,Idiot,2
n119,character,2
n120,Husky,2
n121,society,2
n122,fool,2
n123,future,2
n124,media,2
n125,word,2
n126,toxicity,2
n127,negativity,2
n128,likes,2
n129,beauty,2
n130,silver,2
n131,lining,2
n132,cloud,2
n133,tragedy,2
n134,foolishness,2
n135,belief,2
n136,good,2
n137,times,2
n138,struggle,2
n139,war,2
n140,peace,2
n141,city,2
n142,People,2
n143,resources,2
n144,story,2
n145,Stalin,2
n146,conflict,2
n147,desire,2
n148,nature,2
n149,aspect,2
n150,idealist,2
n151,idealism,2
n152,ideals,2
n153,point,2
n154,Vision,2
n155,purposes,2
n156,milestones,2
n157,ideal,2
n158,ball,2
n159,field,2
n160,progress,2
n161,Things,2
n162,state,2
n163,aspects,2
n164,personal,2
n165,mortality,2
n166,death,2
n167,Earth,2
n168,fact,2
n169,planet,2
n170,ideas,2
n171,immortality,2
n172,guy,2
n173,Ernest Becker,2
n174,cognition,2
n175,illusion,2
n176,mix,2
n177,denial,2
n178,Denial of Death,2
n179,inspiration,2
n180,TED,2
n181,talk,2
n182,millions,2
n183,genius,2
n184,test,2
n185,value,2
n186,Complement,2
n187,awareness,2
n188,pleasure,2
n189,fulfillment,2
n190,areas,2
n191,years,2
n192,rule,2
n193,face,2
n194,cover,2
n195,page,2
n196,website,2
n197,fight,2
n198,publisher,2
n199,books,2
n200,names,2
n201,idea,2
n202,messenger,2
n203,message,2
n204,responsibility,2
n205,culture,2
n206,health,2
n207,sleep,2
n208,diet,2
n209,relaxation,2
n210,meditation,2
n211,vacation,2
n212,passion,2
n213,love,2
n214,engineering,2
n215,fields,2
n216,mind,2
n217,pushback,2
n218,course,2
n219,Russian,2
n220,engineer,2
n221,strategy,2
n222,body,2
n223,care,2
n224,illness,2
n225,studies,2
n226,executives,2
n227,example,2
n228,night,2
n229,midnight,2
n230,oil,2
n231,brains,2
n232,minds,2
n233,bodies,2
n234,driving,2
n235,push,2
n236,one hundred percent,2
n237,percent,2
n238,terms,2
n239,size,2
n240,100 percent,2
n241,kinds,2
n242,excuses,2
n243,leaders,2
n244,days,2
n245,madness,2
n246,energy,2
n247,evidence,2
n248,seat,2
n249,generalizations,2
n250,workplace,2
n251,watches,2
n252,clock,2
n253,goodbye,2
n254,problem,2
n255,Passions,2
n256,output,2
n257,input,2
n258,stress,2
n259,accountability,2
n260,purpose,2
n261,projections,2
n262,loyalty,2
n263,inability,2
n264,failure,2
n265,product,2
n266,leader,2
n267,blame,2
n268,individual,2
n269,limits,2
n270,steps,2
n271,path,2
n272,individuals,2
n273,flame,2
n274,chance,2
n275,movie,2
n276,Whiplash,2
n277,Russians,2
n278,suffering,2
n279,drum,2
n280,instructor,2
n281,musician,2
n282,relationship,2
n283,past,2
n284,athletes,2
n285,athletics,2
n286,performers,2
n287,wonders,2
n288,relationships,2
n289,mentee,2
n290,mentor,2
n291,the Marine Corps,2
n292,Marines,2
n293,drill,2
n294,boot,2
n295,camp,2
n296,hat,2
n297,human,2
n298,instructors,2
n299,group,2
n300,recruits,2
n301,respect,2
n302,plenty,2
n303,stories,2
n304,parent,2
n305,teacher,2
n306,mean,2
n307,formula,2
n308,pressure,2
n309,personalities,2
n310,results,2
n311,Elon Musk,2
n312,jobs,2
n313,Amazon,2
n314,Jeff Bezos,2
n315,ones,2
n316,couple,2
n317,opportunity,2
n318,lovey,2
n319,reputations,2
n320,man,2
n321,level,2
n322,answers,2
n323,autopilot,2
n324,hardware,2
n325,difference,2
n326,organization,2
n327,argument,2
n328,model,2
