id,source,target,value
e0,n533,n0,confidential
e1,n533,n1,
e2,n533,n2,tough
e3,n533,n3,great
e4,n533,n4,huge
e5,n533,n5,odd
e6,n533,n6,many
e7,n533,n7,real
e8,n533,n8,
e9,n533,n9,different
e10,n533,n10,
e11,n533,n11,huge
e12,n533,n12,
e13,n533,n13,
e14,n533,n14,certain
e15,n533,n15,large
e16,n533,n16,
e17,n533,n17,
e18,n533,n18,whole
e19,n533,n19,commercial
e20,n533,n20,
e21,n533,n21,
e22,n533,n22,
e23,n533,n23,
e24,n533,n24,
e25,n533,n25,
e26,n533,n26,
e27,n533,n27,best
e28,n533,n28,pro
e29,n533,n29,
e30,n533,n30,
e31,n533,n31,
e32,n533,n32,
e33,n533,n33,memorable
e34,n533,n34,huge
e35,n533,n35,easy
e36,n533,n36,small
e37,n533,n37,many
e38,n533,n38,
e39,n533,n39,human
e40,n533,n40,traditional
e41,n533,n41,virtuous
e42,n533,n42,other
e43,n533,n43,
e44,n533,n44,creative
e45,n533,n45,
e46,n533,n46,fine
e47,n533,n47,
e48,n533,n48,
e49,n533,n49,
e50,n533,n50,
e51,n533,n51,certain
e52,n533,n52,
e53,n533,n53,white
e54,n533,n54,black
e55,n533,n55,big
e56,n533,n56,
e57,n533,n57,
e58,n533,n58,discordant
e59,n533,n59,
e60,n533,n60,discordant
e61,n533,n61,straight
e62,n533,n62,
e63,n533,n63,scientific
e64,n533,n64,
e65,n533,n65,own
e66,n533,n66,particular
e67,n533,n67,
e68,n533,n68,
e69,n533,n69,
e70,n533,n70,
e71,n533,n71,whole
e72,n533,n72,
e73,n533,n73,
e74,n533,n74,quick
e75,n533,n75,long
e76,n533,n76,
e77,n533,n77,
e78,n533,n78,
e79,n533,n79,artificial
e80,n533,n80,various
e81,n533,n81,
e82,n533,n82,
e83,n533,n83,
e84,n533,n84,bad
e85,n533,n85,
e86,n533,n86,
e87,n533,n87,
e88,n533,n88,
e89,n533,n89,first
e90,n533,n90,own
e91,n533,n91,hard
e92,n533,n92,much
e93,n533,n93,particular
e94,n533,n94,
e95,n533,n95,
e96,n533,n96,
e97,n533,n97,full
e98,n533,n98,
e99,n533,n99,other
e100,n533,n100,public
e101,n533,n101,
e102,n533,n102,
e103,n533,n103,
e104,n533,n104,facial
e105,n533,n105,
e106,n533,n106,
e107,n533,n107,
e108,n533,n108,
e109,n533,n109,
e110,n533,n110,
e111,n533,n111,
e112,n533,n112,common
e113,n533,n113,enormous
e114,n533,n114,different
e115,n533,n115,
e116,n533,n116,powerful
e117,n533,n117,interesting
e118,n533,n118,
e119,n533,n119,biggest
e120,n533,n120,particular
e121,n533,n121,other
e122,n533,n122,
e123,n533,n123,
e124,n533,n124,regular
e125,n533,n125,certain
e126,n533,n126,interesting
e127,n533,n127,
e128,n533,n128,
e129,n533,n129,
e130,n533,n130,big
e131,n533,n131,previous
e132,n533,n132,
e133,n533,n133,
e134,n533,n134,
e135,n533,n135,
e136,n533,n136,unresolved
e137,n533,n137,interesting
e138,n533,n138,
e139,n533,n139,big
e140,n533,n140,
e141,n533,n141,
e142,n533,n142,
e143,n533,n143,
e144,n533,n144,
e145,n533,n145,different
e146,n533,n146,
e147,n533,n147,
e148,n533,n148,
e149,n533,n149,
e150,n533,n150,
e151,n533,n151,easy
e152,n533,n152,
e153,n533,n153,
e154,n533,n154,
e155,n533,n155,difficult
e156,n533,n156,real
e157,n533,n157,
e158,n533,n158,different
e159,n533,n159,
e160,n533,n160,
e161,n533,n161,same
e162,n533,n162,different
e163,n533,n163,
e164,n533,n164,great
e165,n533,n165,great
e166,n533,n166,general
e167,n533,n167,
e168,n533,n168,
e169,n533,n169,
e170,n533,n170,much
e171,n533,n171,
e172,n533,n172,
e173,n533,n173,
e174,n533,n174,
e175,n533,n175,good
e176,n533,n176,own
e177,n533,n177,difficult
e178,n533,n178,
e179,n533,n179,
e180,n533,n180,mid
e181,n533,n181,
e182,n533,n182,
e183,n533,n183,
e184,n533,n184,middle
e185,n533,n185,
e186,n533,n186,solid
e187,n533,n187,
e188,n533,n188,
e189,n533,n189,
e190,n533,n190,
e191,n533,n191,
e192,n533,n192,
e193,n533,n193,
e194,n533,n194,
e195,n533,n195,same
e196,n533,n196,real
e197,n533,n197,
e198,n533,n198,scientific
e199,n533,n199,recent
e200,n533,n200,effective
e201,n533,n201,competitive
e202,n533,n202,personal
e203,n533,n203,big
e204,n533,n204,big
e205,n533,n205,new
e206,n533,n206,
e207,n533,n207,
e208,n533,n208,
e209,n533,n209,
e210,n533,n210,
e211,n533,n211,large
e212,n533,n212,
e213,n533,n213,miniature
e214,n533,n214,
e215,n533,n215,new
e216,n533,n216,
e217,n533,n217,global
e218,n533,n218,
e219,n533,n219,major
e220,n533,n220,robust
e221,n533,n221,more
e222,n533,n222,modern
e223,n533,n223,
e224,n533,n224,
e225,n533,n225,
e226,n533,n226,
e227,n533,n227,social
e228,n533,n228,unintended
e229,n533,n229,
e230,n533,n230,
e231,n533,n231,free
e232,n533,n232,
e233,n533,n233,liberal
e234,n533,n234,enormous
e235,n533,n235,
e236,n533,n236,few
e237,n533,n237,
e238,n533,n238,
e239,n533,n239,
e240,n533,n240,
e241,n533,n241,
e242,n533,n242,industrial
e243,n533,n243,large
e244,n533,n244,competitive
e245,n533,n245,double
e246,n533,n246,
e247,n533,n247,
e248,n533,n248,ripple
e249,n533,n249,
e250,n533,n250,transformative
e251,n533,n251,
e252,n533,n252,other
e253,n533,n253,
e254,n533,n254,
e255,n533,n255,
e256,n533,n256,
e257,n533,n257,
e258,n533,n258,
e259,n533,n259,
e260,n533,n260,
e261,n533,n261,
e262,n533,n262,
e263,n533,n263,
e264,n533,n264,
e265,n533,n265,new
e266,n533,n266,
e267,n533,n267,
e268,n533,n268,unique
e269,n533,n269,academic
e270,n533,n270,
e271,n533,n271,
e272,n533,n272,
e273,n533,n273,
e274,n533,n274,great
e275,n533,n275,
e276,n533,n276,remarkable
e277,n533,n277,right
e278,n533,n278,critical
e279,n533,n279,
e280,n533,n280,scientific
e281,n533,n281,
e282,n533,n282,
e283,n533,n283,
e284,n533,n284,
e285,n533,n285,
e286,n533,n286,
e287,n533,n287,global
e288,n533,n288,
e289,n533,n289,
e290,n533,n290,
e291,n533,n291,certain
e292,n533,n292,
e293,n533,n293,
e294,n533,n294,
e295,n533,n295,discordant
e296,n533,n296,regulatory
e297,n533,n297,
e298,n533,n298,
e299,n533,n299,
e300,n533,n300,
e301,n533,n301,
e302,n533,n302,
e303,n533,n303,complex
e304,n533,n304,functional
e305,n533,n305,
e306,n533,n306,
e307,n533,n307,huge
e308,n533,n308,
e309,n533,n309,
e310,n533,n310,healthy
e311,n533,n311,
e312,n533,n312,
e313,n533,n313,
e314,n533,n314,third
e315,n533,n315,
e316,n533,n316,
e317,n533,n317,
e318,n533,n318,
e319,n533,n319,
e320,n533,n320,
e321,n533,n321,
e322,n533,n322,
e323,n533,n323,
e324,n533,n324,
e325,n533,n325,last
e326,n533,n326,famous
e327,n533,n327,
e328,n533,n328,
e329,n533,n329,non
e330,n533,n330,actual
e331,n533,n331,
e332,n533,n332,
e333,n533,n333,
e334,n533,n334,
e335,n533,n335,whole
e336,n533,n336,
e337,n533,n337,own
e338,n533,n338,own
e339,n533,n339,
e340,n533,n340,senior
e341,n533,n341,Chinese
e342,n533,n342,
e343,n533,n343,
e344,n533,n344,sided
e345,n533,n345,sure
e346,n533,n346,fascinating
e347,n533,n347,
e348,n533,n348,
e349,n533,n349,
e350,n533,n350,
e351,n533,n351,
e352,n533,n352,
e353,n533,n353,
e354,n533,n354,
e355,n533,n355,
e356,n533,n356,
e357,n533,n357,
e358,n533,n358,dynamic
e359,n533,n359,major
e360,n533,n360,high
e361,n533,n361,
e362,n533,n362,
e363,n533,n363,
e364,n533,n364,
e365,n533,n365,federal
e366,n533,n366,few
e367,n533,n367,first
