id,name,group
n0,conversation,2
n1,Stephen Schwarzman,1
n2,question,2
n3,idea,2
n4,data,2
n5,intuition,2
n6,people,2
n7,world,2
n8,book,2
n9,kind,2
n10,space,2
n11,impact,2
n12,prospect,2
n13,success,2
n14,type,2
n15,opportunities,2
n16,scale,2
n17,disagreement,2
n18,life,2
n19,choices,2
n20,America,2
n21,benefit,2
n22,cost,2
n23,terms,2
n24,business,2
n25,happiness,2
n26,pursuit,2
n27,talent,2
n28,football,2
n29,ball,2
n30,team,2
n31,objectives,2
n32,joy,2
n33,example,2
n34,opportunity,2
n35,place,2
n36,thing,2
n37,places,2
n38,ability,2
n39,resources,2
n40,way,2
n41,circle,2
n42,facts,2
n43,deliberation,2
n44,process,2
n45,art,2
n46,science,2
n47,pattern,2
n48,recognition,2
n49,patterns,2
n50,changes,2
n51,level,2
n52,piece,2
n53,lint,2
n54,dress,2
n55,discrepancy,2
n56,constellation,2
n57,sense,2
n58,note,2
n59,key,2
n60,notes,2
n61,line,2
n62,someplace,2
n63,discovery,2
n64,humans,2
n65,reality,2
n66,reason,2
n67,moment,2
n68,set,2
n69,focus,2
n70,scientist,2
n71,computer,2
n72,work,2
n73,rest,2
n74,tangent,2
n75,term,2
n76,history,2
n77,AI,2
n78,goal,2
n79,intelligence,2
n80,flavors,2
n81,Pattern,2
n82,outlier,2
n83,detection,2
n84,decisions,2
n85,future,2
n86,code,2
n87,domain,2
n88,knowledge,2
n89,A.I.,2
n90,case,2
n91,wiring,2
n92,stuff,2
n93,point,2
n94,family,2
n95,voice,2
n96,anger,2
n97,array,2
n98,inputs,2
n99,words,2
n100,face,2
n101,eyes,2
n102,window,2
n103,soul,2
n104,expressions,2
n105,posture,2
n106,amplitude,2
n107,mind,2
n108,course,2
n109,game,2
n110,conclusion,2
n111,area,2
n112,interest,2
n113,advantage,2
n114,levels,2
n115,communication,2
n116,approach,2
n117,topic,2
n118,listening,2
n119,problem,2
n120,individual,2
n121,group,2
n122,solution,2
n123,fact,2
n124,person,2
n125,types,2
n126,situations,2
n127,chance,2
n128,meetings,2
n129,pretend,2
n130,problems,2
n131,president,2
n132,the United States,2
n133,press,2
n134,television,2
n135,position,2
n136,issue,2
n137,solutions,2
n138,the White House,2
n139,deal,2
n140,Bush,2
n141,son,2
n142,dormitory,2
n143,oddity,2
n144,invitation,2
n145,ways,2
n146,date,2
n147,corner,2
n148,minutes,2
n149,dad,2
n150,answer,2
n151,outcome,2
n152,conversations,2
n153,want,2
n154,good,2
n155,situation,2
n156,service,2
n157,motives,2
n158,skills,2
n159,advance,2
n160,planning,2
n161,ecosystem,2
n162,roles,2
n163,New York,2
n164,quarterback,2
n165,coach,2
n166,manager,2
n167,reasons,2
n168,salary,2
n169,caps,2
n170,money,2
n171,players,2
n172,positions,2
n173,questions,2
n174,cases,2
n175,results,2
n176,ego,2
n177,leap,2
n178,languages,2
n179,I.,2
n180,teens,2
n181,city,2
n182,suburbs,2
n183,values,2
n184,class,2
n185,accouterment,2
n186,foundation,2
n187,desire,2
n188,kid,2
n189,Philadelphia,2
n190,strength,2
n191,integrity,2
n192,personality,2
n193,touch,2
n194,background,2
n195,lens,2
n196,adjustments,2
n197,activity,2
n198,progress,2
n199,years,2
n200,altruism,2
n201,perspective,2
n202,motivation,2
n203,picture,2
n204,issues,2
n205,organizations,2
n206,investment,2
n207,philanthropy,2
n208,society,2
n209,end,2
n210,check,2
n211,amounts,2
n212,unfairness,2
n213,version,2
n214,Amity,2
n215,school,2
n216,computing,2
n217,race,2
n218,Quantum,2
n219,technologies,2
n220,US,2
n221,enhancement,2
n222,China,2
n223,need,2
n224,control,2
n225,mess,2
n226,Internet,2
n227,media,2
n228,consequence,2
n229,kinds,2
n230,freedom,2
n231,speech,2
n232,functioning,2
n233,democracies,2
n234,difference,2
n235,views,2
n236,practitioners,2
n237,accident,2
n238,force,2
n239,technology,2
n240,disruption,2
n241,workforces,2
n242,revolution,2
n243,number,2
n244,basis,2
n245,limites,2
n246,faculty,2
n247,university,2
n248,effect,2
n249,beacon,2
n250,research,2
n251,community,2
n252,universities,2
n253,MIT,2
n254,creation,2
n255,vision,2
n256,the College of Computing,2
n257,gift,2
n258,notion,2
n259,Stanford,2
n260,CMU,2
n261,seed,2
n262,leader,2
n263,direction,2
n264,hope,2
n265,college,2
n266,production,2
n267,creativity,2
n268,aspects,2
n269,surveys,2
