id,name,group
n0,conversation,2
n1,Stephen Wolfram,1
n2,son,2
n3,Christopher,2
n4,language,2
n5,movie,2
n6,question,2
n7,aliens,2
n8,Earth,2
n9,story,2
n10,concept,2
n11,alien,2
n12,kind,2
n13,sense,2
n14,physical,2
n15,radio,2
n16,signals,2
n17,thing,2
n18,terms,2
n19,ways,2
n20,example,2
n21,right,2
n22,intelligence,2
n23,middle,2
n24,net,2
n25,setup,2
n26,answer,2
n27,form,2
n28,communication,2
n29,Communication,2
n30,notions,2
n31,purpose,2
n32,quagmire,2
n33,A.I.,2
n34,life,2
n35,looks,2
n36,computation,2
n37,world,2
n38,visit,2
n39,implication,2
n40,imprecision,2
n41,future,2
n42,documentation,2
n43,properties,2
n44,embodiment,2
n45,spacecraft,2
n46,photons,2
n47,signal,2
n48,pattern,2
n49,atoms,2
n50,possibility,2
n51,et cetera,2
n52,result,2
n53,science,2
n54,line,2
n55,intelligent,2
n56,discussion,2
n57,weather,2
n58,mind,2
n59,processes,2
n60,determine,2
n61,dynamics,2
n62,sun,2
n63,atmosphere,2
n64,brains,2
n65,computations,2
n66,represent,2
n67,distinction,2
n68,thread,2
n69,history,2
n70,connects,2
n71,stories,2
n72,brain,2
n73,trouble,2
n74,pulsar,2
n75,civilization,2
n76,millions,2
n77,years,2
n78,neutron,2
n79,end,2
n80,people,2
n81,Fermi,2
n82,paradox,2
n83,force,2
n84,signs,2
n85,universe,2
n86,guess,2
n87,fact,2
n88,words,2
n89,computers,2
n90,idea,2
n91,branch,2
n92,instance,2
n93,eyes,2
n94,spectrum,2
n95,narrative,2
n96,kinds,2
n97,level,2
n98,Copernicus,2
n99,planets,2
n100,center,2
n101,chemistry,2
n102,organisms,2
n103,hope,2
n104,reason,2
n105,details,2
n106,attribute,2
n107,definition,2
n108,self,2
n109,respect,2
n110,canvas,2
n111,tangent,2
n112,monolith,2
n113,Odyssey,2
n114,humans,2
n115,sci fi,2
n116,monoliths,2
n117,cuboid,2
n118,earth,2
n119,apes,2
