id,name,group
n0,conversation,2
n1,Steven Pressfield,1
n2,society,2
n3,ways,2
n4,dreams,2
n5,peace,2
n6,war,2
n7,civilization,2
n8,history,2
n9,level,2
n10,world,2
n11,way,2
n12,purpose,2
n13,creatures,2
n14,cave,2
n15,hundreds,2
n16,thousands,2
n17,millions,2
n18,years,2
n19,dynamic,2
n20,mind,2
n21,kind,2
n22,tribe,2
n23,people,2
n24,iota,2
n25,centuries,2
n26,question,2
n27,urge,2
n28,artist,2
n29,place,2
n30,commitment,2
n31,face,2
n32,competition,2
n33,adversity,2
n34,et cetera,2
n35,race,2
n36,basis,2
n37,hope,2
n38,sports,2
n39,activities,2
n40,need,2
n41,conquest,2
n42,aggression,2
n43,opponents,2
n44,beings,2
n45,game,2
n46,competitor,2
n47,stuff,2
n48,nature,2
n49,force,2
n50,benefit,2
n51,cultures,2
n52,Alexander the Great,2
n53,Julius Caesar,2
n54,Napoleon,2
n55,individual,2
n56,plants,2
n57,plant,2
n58,hillside,2
n59,days,2
n60,whoknows,2
n61,earth,2
n62,kingdoms,2
n63,China,2
n64,Japan,2
n65,Asia,2
n66,Europe,2
n67,prince,2
n68,dreamt,2
n69,neighbor,2
n70,universal,2
n71,imperative,2
n72,male,2
n73,species,2
n74,realization,2
n75,Spartan,2
n76,the Battle of Thermopylae,2
n77,the six day war,2
n78,Israel,2
n79,Egypt,2
n80,Jordan,2
n81,Syria,2
n82,questions,2
n83,ones,2
n84,Mongols,2
n85,bringing,2
n86,the Roman Empire,2
n87,Roman,2
n88,culture,2
n89,Alexander,2
n90,wars,2
n91,United East,2
n92,West,2
n93,empire,2
n94,sense,2
n95,empires,2
n96,conflict,2
n97,line,2
n98,border,2
n99,percentage,2
n100,population,2
n101,descendant,2
n102,Genghis Khan,2
n103,effects,2
n104,the World War Two,2
n105,family,2
n106,Lex,2
n107,theme,2
n108,Eric Weinstein,2
n109,killing,2
n110,notion,2
n111,warrior,2
n112,fighting,2
n113,music,2
n114,art,2
n115,desire,2
n116,societies,2
n117,stake,2
n118,land,2
n119,echoes,2
n120,humans,2
n121,animals,2
n122,life,2
n123,answers,2
n124,reason,2
n125,Anger,2
n126,hate,2
n127,metaphor,2
n128,resistance,2
n129,negativity,2
n130,spirituality,2
n131,opposite,2
n132,expert,2
n133,Jim Mattis,2
n134,Victor Davis Hanson,2
n135,envelope,2
n136,tension,2
n137,wall,2
n138,Israeli,2
n139,army,2
n140,odds,2
n141,fight,2
n142,the Six Day War,2
n143,feeling,2
n144,return,2
n145,exile,2
n146,culmination,2
n147,-,2
n148,establishment,2
n149,state,2
n150,places,2
n151,Jewish,2
n152,hands,2
n153,enemies,2
n154,hand,2
n155,Alexander the Great Conquest,2
n156,scenario,2
n157,father,2
n158,Philip,2
n159,nation,2
n160,capital,2
n161,pathway,2
n162,guys,2
n163,mountain,2
n164,men,2
n165,barbarians,2
n166,Macedonians,2
n167,dream,2
n168,creativity,2
n169,stories,2
n170,Spartans,2
n171,Thermopylae,2
n172,death,2
n173,group,2
n174,Jesus Christ,2
n175,sacrifice,2
n176,lives,2
n177,good,2
n178,Marine Corps,2
n179,groups,2
n180,spokesman,2
n181,class,2
n182,warriors,2
n183,terms,2
n184,union,2
n185,archetypes,2
n186,males,2
n187,youth,2
n188,wanderer,2
n189,student,2
n190,thing,2
n191,point,2
n192,age,2
n193,football,2
n194,arts,2
n195,forces,2
n196,buddies,2
n197,bond,2
n198,archetype,2
n199,fathers,2
n200,teachers,2
n201,end,2
n202,book,2
n203,The Virtues of War,2
n204,character,2
n205,Telemann,2
n206,story,2
n207,India,2
n208,gymnast,2
n209,office,2
n210,fakirs,2
n211,selves,2
n212,Lions Gate,2
n213,words,2
n214,midst,2
n215,today,2
n216,core,2
n217,conflicts,2
