id,source,target,value
e0,n857,n0,actual
e1,n857,n1,
e2,n857,n2,most
e3,n857,n3,flourishing
e4,n857,n4,
e5,n857,n5,great
e6,n857,n6,
e7,n857,n7,long
e8,n857,n8,glacial
e9,n857,n9,
e10,n857,n10,less
e11,n857,n11,urgent
e12,n857,n12,
e13,n857,n13,
e14,n857,n14,many
e15,n857,n15,several
e16,n857,n16,social
e17,n857,n17,drastic
e18,n857,n18,
e19,n857,n19,
e20,n857,n20,moral
e21,n857,n21,beautiful
e22,n857,n22,better
e23,n857,n23,human
e24,n857,n24,productive
e25,n857,n25,
e26,n857,n26,
e27,n857,n27,
e28,n857,n28,civilized
e29,n857,n29,popular
e30,n857,n30,
e31,n857,n31,
e32,n857,n32,
e33,n857,n33,different
e34,n857,n34,earlier
e35,n857,n35,
e36,n857,n36,horrible
e37,n857,n37,
e38,n857,n38,worst
e39,n857,n39,
e40,n857,n40,
e41,n857,n41,early
e42,n857,n42,liberal
e43,n857,n43,
e44,n857,n44,possible
e45,n857,n45,
e46,n857,n46,fixed
e47,n857,n47,wrong
e48,n857,n48,informational
e49,n857,n49,
e50,n857,n50,
e51,n857,n51,
e52,n857,n52,modern
e53,n857,n53,future
e54,n857,n54,nuclear
e55,n857,n55,
e56,n857,n56,
e57,n857,n57,
e58,n857,n58,
e59,n857,n59,social
e60,n857,n60,rational
e61,n857,n61,eccentric
e62,n857,n62,quantitative
e63,n857,n63,
e64,n857,n64,
e65,n857,n65,
e66,n857,n66,good
e67,n857,n67,
e68,n857,n68,
e69,n857,n69,
e70,n857,n70,full
e71,n857,n71,
e72,n857,n72,single
e73,n857,n73,mental
e74,n857,n74,potential
e75,n857,n75,viral
e76,n857,n76,
e77,n857,n77,
e78,n857,n78,
e79,n857,n79,
e80,n857,n80,
e81,n857,n81,viral
e82,n857,n82,outraged
e83,n857,n83,big
e84,n857,n84,
e85,n857,n85,
e86,n857,n86,ripple
e87,n857,n87,viral
e88,n857,n88,high
e89,n857,n89,
e90,n857,n90,sober
e91,n857,n91,long
e92,n857,n92,good
e93,n857,n93,financial
e94,n857,n94,current
e95,n857,n95,
e96,n857,n96,
e97,n857,n97,
e98,n857,n98,more
e99,n857,n99,more
e100,n857,n100,
e101,n857,n101,little
e102,n857,n102,bad
e103,n857,n103,
e104,n857,n104,podcast
e105,n857,n105,astonishing
e106,n857,n106,
e107,n857,n107,unquote
e108,n857,n108,
e109,n857,n109,
e110,n857,n110,
e111,n857,n111,
e112,n857,n112,different
e113,n857,n113,different
e114,n857,n114,
e115,n857,n115,
e116,n857,n116,different
e117,n857,n117,real
e118,n857,n118,
e119,n857,n119,
e120,n857,n120,
e121,n857,n121,exciting
e122,n857,n122,
e123,n857,n123,human
e124,n857,n124,
e125,n857,n125,
e126,n857,n126,more
e127,n857,n127,human
e128,n857,n128,effective
e129,n857,n129,
e130,n857,n130,effective
e131,n857,n131,richest
e132,n857,n132,better
e133,n857,n133,
e134,n857,n134,primary
e135,n857,n135,
e136,n857,n136,
e137,n857,n137,good
e138,n857,n138,amazing
e139,n857,n139,
